n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_B5_001,159,35.046974,-106.603853,Ramp_02_008,261,35.047207,-106.603754
Txy_E1_K,86,35.039748,-106.621427,Txy_K_001,87,35.039744,-106.62051
Txy_F1_001,140,35.034864,-106.619137,Txy_F_F1,139,35.034183,-106.618317
Txy_A_A2,48,35.04557,-106.619601,Ramp_01_006,221,35.046501,-106.619585
Ramp_01_018,233,35.048282,-106.615913,Gate_A_002,215,35.047708,-106.61628
Rwy_03_010,40,35.033317,-106.617243,Rwy_03_011,41,35.035781,-106.614269
Ramp_05_011,323,35.047722,-106.573934,Txy_M6_007,189,35.047223,-106.573933
Txy_F_003,144,35.035051,-106.617269,Txy_F1_003,142,35.033898,-106.617698
Ramp_01_008,223,35.045554,-106.616687,Ramp_01_009,224,35.045551,-106.616025
Txy_G1_001,90,35.040582,-106.617351,Txy_G_G1,89,35.040124,-106.617367
Txy_F_003,144,35.035051,-106.617269,Txy_F_V,145,35.036157,-106.615931
Txy_E9_001,170,35.043465,-106.588132,Rwy_01_012,11,35.044145,-106.588124
Rwy_02_014,28,35.03155,-106.612881,Txy_C4_001,75,35.031578,-106.613706
Parking_03_003,275,35.049094,-106.592956,Ramp_03_003,285,35.047703,-106.592486
Txy_D_B,76,35.046553,-106.610392,Txy_D_A,77,35.04579,-106.610451
Txy_B_B6,158,35.046397,-106.599346,Txy_B6_001,161,35.047188,-106.599343
Parking_03_004,276,35.04931,-106.59091,Ramp_03_004,286,35.047719,-106.590892
Txy_A_A3,49,35.045554,-106.617313,Ramp_01_008,223,35.045554,-106.616687
Rwy_02_011,25,35.037097,-106.612681,Rwy_02_012,26,35.036974,-106.612483
Parking_03_005,277,35.049351,-106.590137,Ramp_03_005,287,35.047697,-106.590114
Rwy_01_02,6,35.044291,-106.611957,Rwy_02_007,21,35.043588,-106.612013
Ramp_01_001,216,35.048226,-106.617491,Gate_B_002,193,35.047639,-106.617241
Txy_A_A5,150,35.045754,-106.603826,Txy_B_B5,156,35.04649,-106.603854
Ramp_03_001,283,35.047727,-106.595383,Ramp_03_002,284,35.047715,-106.59343
Parking_07_001,352,35.036089,-106.620957,Txy_F1_001,140,35.034864,-106.619137
Txy_E_E7,105,35.042537,-106.594961,Txy_E_009,104,35.042565,-106.598976
Txy_F_F1,139,35.034183,-106.618317,Txy_F1_002,141,35.033788,-106.617837
Parking_02_006,265,35.048008,-106.601457,Txy_M2_001,160,35.047199,-106.601595
Rwy_02_014,28,35.03155,-106.612881,Rwy_02_013,27,35.033286,-106.612746
Txy_C2_001,55,35.054989,-106.612032,Rwy_02_003,17,35.054935,-106.611196
Parking_04_003,293,35.0478,-106.58288,Ramp_04_001,294,35.046872,-106.582773
Txy_F_002,129,35.023379,-106.631316,Parking_Holding_01_001,240,35.02422,-106.630768
Txy_M7_001,191,35.04482,-106.575357,Ramp_05_017,336,35.04633,-106.573418
Txy_A_A1,46,35.045581,-106.621363,Txy_A1_001,45,35.045038,-106.621402
Txy_C_C3,57,35.050853,-106.612832,Txy_C_002,59,35.048712,-106.612974
Txy_F1_003,142,35.033898,-106.617698,Txy_F1_004,143,35.03373,-106.617754
Txy_M6_M7,190,35.04721,-106.57344,Txy_M6_007,189,35.047223,-106.573933
Txy_E_009,104,35.042565,-106.598976,Txy_E_E6,103,35.042571,-106.60029
Txy_F_F4,132,35.029512,-106.623955,Txy_F_F5,130,35.02836,-106.625349
Txy_E5_001,173,35.0434,-106.602642,Rwy_01_009,8,35.044219,-106.601128
Txy_C2_001,55,35.054989,-106.612032,Txy_C_C2,56,35.055002,-106.612535
Rwy_02_003,17,35.054935,-106.611196,Rwy_02_004,18,35.050789,-106.611493
Txy_C_C4,72,35.031629,-106.614377,Txy_C_C5,73,35.030768,-106.614415
Txy_A11_001,178,35.044747,-106.577113,Rwy_01_014,13,35.044075,-106.577122
Rwy_04_004,33,35.038965,-106.61386,Rwy_02_04,23,35.038001,-106.612417
Txy_A_005,181,35.044897,-106.575696,Txy_A_006,182,35.044561,-106.5757
Txy_G1_001,90,35.040582,-106.617351,Rwy_04_003,32,35.041268,-106.617345
Txy_A_A9,163,35.045835,-106.595214,Txy_A_M3,162,35.045815,-106.591235
Ramp_05_011,323,35.047722,-106.573934,Ramp_05_006,318,35.048741,-106.573921
Parking_Helipad_205,250,35.049073,-106.601991,Ramp_02_005,258,35.048654,-106.601692
Parking_02_002,245,35.053119,-106.599586,Ramp_02_001,246,35.052832,-106.597862
Gate_A_009,207,35.047044,-106.614518,Txy_C_A,61,35.045804,-106.613439
Txy_F3_002,136,35.03016,-106.622212,Rwy_03_009,39,35.029686,-106.621623
Txy_C_G,67,35.038069,-106.61414,Txy_C_F,68,35.037483,-106.61433
Txy_F5_001,131,35.028814,-106.625896,Ramp_06_001,347,35.029601,-106.62495
Rwy_01_015,14,35.044062,-106.575701,Txy_A_006,182,35.044561,-106.5757
Txy_A_A5,150,35.045754,-106.603826,Txy_A5_001,151,35.045082,-106.602639
Txy_C_007,69,35.036412,-106.614673,Txy_C_008,70,35.036174,-106.614746
Parking_07_009,360,35.040156,-106.622796,Txy_E1_K,86,35.039748,-106.621427
Ramp_05_009,321,35.048246,-106.575014,Ramp_05_003,315,35.048748,-106.575012
Ramp_02_008,261,35.047207,-106.603754,Ramp_02_007,260,35.047674,-106.603159
Rwy_01_003,2,35.044339,-106.618234,Rwy_01_002,1,35.044335,-106.619621
Txy_C_B,60,35.046603,-106.613139,Txy_C_A,61,35.045804,-106.613439
Ramp_02_009,267,35.04789,-106.599136,Parking_Helipad_202,251,35.048915,-106.598716
Txy_E10_001,176,35.043432,-106.582771,Txy_E_E10,110,35.042601,-106.582759
Txy_E_E11,111,35.042564,-106.577129,Txy_E_E10,110,35.042601,-106.582759
Ramp_04_009,307,35.036103,-106.557941,Parking_04_008,299,35.035388,-106.557355
Rwy_01_010,9,35.044203,-106.597554,Txy_E7_001,172,35.043371,-106.596619
Txy_A_A6,152,35.045775,-106.59935,Rwy_01_010,9,35.044203,-106.597554
Txy_E1_K,86,35.039748,-106.621427,Txy_E1_E,84,35.04249,-106.621425
Rwy_02_005,19,35.046597,-106.611796,Rwy_02_004,18,35.050789,-106.611493
Ramp_05_002,314,35.04874,-106.575467,Ramp_05_003,315,35.048748,-106.575012
Ramp_02_010,268,35.049377,-106.59818,Ramp_02_011,269,35.050165,-106.597245
Txy_E_E12,112,35.042556,-106.575756,Txy_E12_001,192,35.043381,-106.575718
Ramp_01_004,219,35.048236,-106.619254,Ramp_01_019,237,35.048252,-106.618962
Txy_A_001,148,35.045809,-106.612662,Txy_C_A,61,35.045804,-106.613439
Ramp_03_008,290,35.049753,-106.588059,Ramp_03_006,288,35.047683,-106.588101
Gate_A_014,209,35.047358,-106.614183,Ramp_01_012,227,35.047194,-106.613095
Txy_F_001,128,35.022806,-106.631089,Rwy_03_007,37,35.02235,-106.630483
Parking_07_006,358,35.038648,-106.618503,Txy_K_G,88,35.039724,-106.616744
Rwy_04_006,36,35.033284,-106.605251,Rwy_04_005,35,35.035283,-106.608307
Txy_E_006,101,35.042415,-106.605119,Txy_H_004,123,35.042101,-106.605222
Ramp_03_007,289,35.046939,-106.592386,Ramp_03_003,285,35.047703,-106.592486
Ramp_03_001,283,35.047727,-106.595383,Parking_03_010,282,35.047146,-106.594339
Parking_07_007,357,35.037653,-106.620435,Txy_K_001,87,35.039744,-106.62051
Ramp_01_012,227,35.047194,-106.613095,Ramp_01_013,228,35.048092,-106.613054
Rwy_01_011,10,35.044177,-106.593204,Rwy_01_010,9,35.044203,-106.597554
Txy_E1_001,82,35.043984,-106.621411,Rwy_01_001,0,35.044348,-106.621407
Txy_F4_001,133,35.029965,-106.624508,Txy_F_F4,132,35.029512,-106.623955
Txy_A_A3,49,35.045554,-106.617313,Ramp_01_007,222,35.045563,-106.618358
Txy_C_B,60,35.046603,-106.613139,Ramp_01_012,227,35.047194,-106.613095
Gate_01_024,234,35.049002,-106.619526,Ramp_01_004,219,35.048236,-106.619254
Rwy_02_04,23,35.038001,-106.612417,Rwy_03_04,34,35.037711,-106.611947
Txy_A9_A,168,35.045792,-106.58811,Txy_A9_001,167,35.044816,-106.58811
Rwy_01_02,6,35.044291,-106.611957,Rwy_01_008,7,35.044283,-106.610556
Parking_04_001,291,35.046571,-106.583569,Txy_M4_A,174,35.045764,-106.583567
Txy_A_003,177,35.04572,-106.577148,Txy_A_M5,175,35.04576,-106.582765
Txy_E1_003,85,35.042489,-106.621093,Txy_G_G1,89,35.040124,-106.617367
Txy_G_002,125,35.037524,-106.61332,Txy_F_G,147,35.037854,-106.613817
Ramp_01_002,217,35.048234,-106.617801,Ramp_01_001,216,35.048226,-106.617491
Txy_D_E,80,35.042427,-106.610692,Txy_E_005,100,35.042408,-106.607427
Txy_C_C1,54,35.05764,-106.611839,Rwy_02_001,15,35.057591,-106.611006
Rwy_01_004,3,35.04432,-106.617316,Txy_A3_001,50,35.044998,-106.617308
Rwy_03_010,40,35.033317,-106.617243,Rwy_03_009,39,35.029686,-106.621623
Ramp_05_013,332,35.047115,-106.572298,Ramp_05_014,333,35.047277,-106.572455
Txy_M7_001,191,35.04482,-106.575357,Txy_A_006,182,35.044561,-106.5757
Ramp_01_014,229,35.048732,-106.613508,Txy_C_002,59,35.048712,-106.612974
Ramp_01_002,217,35.048234,-106.617801,Gate_B_004,194,35.047661,-106.617692
Ramp_05_003,315,35.048748,-106.575012,Ramp_05_004,316,35.048744,-106.574465
Txy_M6_007,189,35.047223,-106.573933,Txy_M6_006,188,35.047217,-106.57448
