id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_02,0,41.93856,-72.687993,n0,Rwy,,,,
Rwy_01_001,1,41.929383,-72.675407,n1,Rwy,RW33 ,Entry,RW15 ,End
Rwy_01_002,2,41.93225,-72.679353,n2,Rwy,,,,
Rwy_01_003,3,41.934199,-72.682012,n3,Rwy,,,,
Rwy_01_004,4,41.937511,-72.68656,n4,Rwy,,,,
Rwy_01_005,5,41.938019,-72.687256,n5,Rwy,,,,
Rwy_01_006,6,41.9391,-72.688738,n6,Rwy,,,,
Rwy_01_008,7,41.939636,-72.68948,n7,Rwy,,,,
Rwy_01_007,8,41.942276,-72.693096,n8,Rwy,RW15 ,Entry,RW33 ,End
Rwy_02_03,9,41.944735,-72.679883,n9,Rwy,RW19 ,Entry,RW01 ,End
Rwy_02_001,10,41.932221,-72.696338,n10,Rwy,RW06 ,Entry,RW24 ,End
Rwy_02_002,11,41.936324,-72.690933,n11,Rwy,,,,
Rwy_02_003,12,41.937748,-72.689062,n12,Rwy,,,,
Rwy_02_004,13,41.939104,-72.687271,n13,Rwy,,,,
Rwy_02_005,14,41.940215,-72.685806,n14,Rwy,,,,
Rwy_02_006,15,41.943851,-72.681032,n15,Rwy,,,,
Rwy_02_007,16,41.945832,-72.678458,n16,Rwy,,,,
Rwy_02_008,17,41.946293,-72.677854,n17,Rwy,,,,
Rwy_02_009,18,41.950543,-72.672289,n18,Rwy,RW24 ,Entry,RW06 ,End
Rwy_03_001,19,41.933811,-72.679644,n19,Rwy,RW01 ,Entry,RW19 ,End
Rwy_03_002,20,41.93755,-72.679711,n20,Rwy,,,,
Rwy_03_003,21,41.94302,-72.679814,n21,Rwy,,,,
Rwy_03_004,22,41.943436,-72.679818,n22,Rwy,,,,
Gate_A_001,23,41.92937,-72.682864,n23,Gate,,,,
Gate_A_003,24,41.929361,-72.682355,n24,Gate,,,,
Gate_A_005,25,41.929361,-72.68191,n25,Gate,,,,
Gate_A_007,26,41.929395,-72.681378,n26,Gate,,,,
Gate_A_009,27,41.929398,-72.681012,n27,Gate,,,,
Gate_A_011,28,41.929727,-72.680783,n28,Gate,,,,
Gate_A_012,29,41.929999,-72.680941,n29,Gate,,,,
Gate_A_010,30,41.930054,-72.681353,n30,Gate,,,,
Gate_A_008,31,41.930059,-72.681782,n31,Gate,,,,
Gate_A_006,32,41.929997,-72.682289,n32,Gate,,,,
Gate_A_004,33,41.92998,-72.682804,n33,Gate,,,,
Gate_A_002,34,41.929967,-72.683326,n34,Gate,,,,
Gate_A_021,35,41.930669,-72.684442,n35,Gate,,,,
Gate_A_023,36,41.930891,-72.684066,n36,Gate,,,,
Gate_A_027,37,41.931348,-72.683412,n37,Gate,,,,
Gate_A_029,38,41.931615,-72.683273,n38,Gate,,,,
Gate_A_030,39,41.931835,-72.683476,n39,Gate,,,,
Gate_A_028,40,41.931967,-72.683792,n40,Gate,,,,
Gate_A_026,41,41.931787,-72.68417,n41,Gate,,,,
Gate_A_024,42,41.931526,-72.684502,n42,Gate,,,,
Gate_A_022,43,41.931306,-72.684793,n43,Gate,,,,
Gate_03_001,44,41.932259,-72.686065,n44,Gate,,,,
Gate_03_002,45,41.932701,-72.685942,n45,Gate,,,,
Gate_03_003,46,41.932944,-72.685557,n46,Gate,,,,
Gate_03_004,47,41.933662,-72.685405,n47,Gate,,,,
Gate_04_001,48,41.934061,-72.687216,n48,Gate,,,,
Gate_04_002,49,41.934522,-72.686987,n49,Gate,,,,
Gate_04_003,50,41.934781,-72.686783,n50,Gate,,,,
Gate_04_004,51,41.93502,-72.687104,n51,Gate,,,,
Gate_04_005,52,41.935134,-72.687482,n52,Gate,,,,
Gate_04_006,53,41.93492,-72.687785,n53,Gate,,,,
Gate_04_007,54,41.93464,-72.687748,n54,Gate,,,,
Gate_04_008,55,41.934254,-72.68808,n55,Gate,,,,
Gate_04_009,56,41.933946,-72.688246,n56,Gate,,,,
Gate_04_010,57,41.933615,-72.688714,n57,Gate,,,,
Ramp_01_001,58,41.928687,-72.682791,n58,Ramp,,,,
Ramp_01_002,59,41.928662,-72.682292,n59,Ramp,,,,
Ramp_01_003,60,41.928677,-72.681815,n60,Ramp,,,,
Ramp_01_004,61,41.928716,-72.681337,n61,Ramp,,,,
Ramp_01_005,62,41.928808,-72.680363,n62,Ramp,,,,
Ramp_01_006,63,41.929815,-72.679061,n63,Ramp,,,,
Ramp_01_007,64,41.930417,-72.679893,n64,Ramp,,,,
