n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_C_005,92,41.93528,-72.689472,Ramp_03_008,82,41.934965,-72.68905
Rwy_03_002,20,41.93755,-72.679711,Rwy_03_001,19,41.933811,-72.679644
Txy_C_005,92,41.93528,-72.689472,Txy_C_006,93,41.935739,-72.688884
Ramp_03_007,81,41.935429,-72.688445,Txy_C_006,93,41.935739,-72.688884
Gate_A_030,39,41.931835,-72.683476,Ramp_02_001,70,41.932335,-72.682416
Ramp_02_003,72,41.932481,-72.684488,Ramp_02_004,73,41.932147,-72.684912
Gate_03_004,47,41.933662,-72.685405,Ramp_03_001,75,41.9341,-72.684821
Txy_C_006,93,41.935739,-72.688884,Txy_C_S,87,41.936727,-72.687571
Gate_03_002,45,41.932701,-72.685942,Ramp_02_004,73,41.932147,-72.684912
Rwy_02_002,11,41.936324,-72.690933,Txy_V_001,152,41.935739,-72.690106
Txy_T_002,143,41.930561,-72.673904,Txy_L_001,142,41.929924,-72.674711
Txy_E_004,133,41.94211,-72.678316,Ramp_D_001,136,41.942088,-72.677728
Txy_S_015,126,41.928833,-72.676152,Rwy_01_001,1,41.929383,-72.675407
Txy_S_011,122,41.931449,-72.680369,Txy_S_012,123,41.930786,-72.679435
Txy_C_003,90,41.934238,-72.690857,Ramp_03_010,84,41.933922,-72.690428
Ramp_03_002,76,41.933929,-72.686373,Ramp_03_003,77,41.93419,-72.685995
Txy_S_008,119,41.933378,-72.683032,Txy_S_009,120,41.932651,-72.682032
Rwy_01_008,7,41.939636,-72.68948,Rwy_01_006,6,41.9391,-72.688738
Txy_J_S,104,41.938769,-72.690657,Txy_J_002,106,41.937044,-72.692918
Ramp_03_009,83,41.93435,-72.689885,Gate_04_009,56,41.933946,-72.688246
Ramp_01_009,66,41.931763,-72.681661,Gate_A_008,31,41.930059,-72.681782
Txy_E_001,130,41.932765,-72.67868,Rwy_01_002,2,41.93225,-72.679353
Rwy_03_002,20,41.93755,-72.679711,Txy_F_001,146,41.937546,-72.678788
Txy_S_008,119,41.933378,-72.683032,Ramp_02_002,71,41.933131,-72.683519
Gate_A_005,25,41.929361,-72.68191,Ramp_01_003,60,41.928677,-72.681815
Txy_S_003,114,41.937213,-72.688241,Txy_C_S,87,41.936727,-72.687571
Rwy_01_003,3,41.934199,-72.682012,Rwy_01_002,2,41.93225,-72.679353
Txy_C_005,92,41.93528,-72.689472,Txy_C_004,91,41.934654,-72.690294
Rwy_01_006,6,41.9391,-72.688738,Rwy_01_02,0,41.93856,-72.687993
Rwy_02_03,9,41.944735,-72.679883,Rwy_02_007,16,41.945832,-72.678458
Rwy_02_005,14,41.940215,-72.685806,Rwy_02_006,15,41.943851,-72.681032
Txy_S_002,113,41.938266,-72.689971,Rwy_02_003,12,41.937748,-72.689062
Gate_04_002,49,41.934522,-72.686987,Ramp_03_003,77,41.93419,-72.685995
Rwy_02_008,17,41.946293,-72.677854,Rwy_02_009,18,41.950543,-72.672289
Gate_A_029,38,41.931615,-72.683273,Ramp_01_010,67,41.931244,-72.682354
Ramp_01_007,64,41.930417,-72.679893,Txy_S_012,123,41.930786,-72.679435
Txy_H_001,148,41.945299,-72.67771,Txy_C_012,99,41.94497,-72.677275
Txy_S_006,117,41.934896,-72.685085,Txy_S_007,118,41.934406,-72.684419
Ramp_02_003,72,41.932481,-72.684488,Gate_A_026,41,41.931787,-72.68417
Rwy_02_009,18,41.950543,-72.672289,Txy_C_015,102,41.950011,-72.671542
Ramp_01_012,69,41.930534,-72.6833,Gate_A_025,154,41.9310895,-72.6836747
Txy_J_002,106,41.937044,-72.692918,Txy_J_001,105,41.933268,-72.69783
Gate_A_021,35,41.930669,-72.684442,Ramp_01_012,69,41.930534,-72.6833
Txy_E_002,131,41.937559,-72.678227,Txy_E_003,132,41.94049,-72.678308
Rwy_02_004,13,41.939104,-72.687271,Rwy_01_02,0,41.93856,-72.687993
Gate_A_003,24,41.929361,-72.682355,Ramp_01_002,59,41.928662,-72.682292
Rwy_01_005,5,41.938019,-72.687256,Rwy_01_004,4,41.937511,-72.68656
Rwy_01_002,2,41.93225,-72.679353,Rwy_01_001,1,41.929383,-72.675407
Txy_C_003,90,41.934238,-72.690857,Txy_C_004,91,41.934654,-72.690294
Txy_C_012,99,41.94497,-72.677275,Txy_E_006,134,41.94416,-72.678346
Txy_S_004,115,41.93611,-72.686747,Txy_C_S,87,41.936727,-72.687571
Ramp_01_012,69,41.930534,-72.6833,Gate_A_002,34,41.929967,-72.683326
