id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_E_003,0,43.565018,-116.224148,n0,Txy,,,,
Rwy_01_001,1,43.569991,-116.242499,n1,Rwy,RW10R,Entry,RW28L,End
Rwy_01_002,2,43.56858,-116.238387,n2,Rwy,,,,
Rwy_01_003,3,43.566702,-116.232878,n3,Rwy,,,,
Rwy_01_004,4,43.565912,-116.23055,n4,Rwy,,,,
Rwy_01_005,5,43.564069,-116.225158,n5,Rwy,,,,
Rwy_01_006,6,43.563755,-116.224253,n6,Rwy,,,,
Rwy_01_007,7,43.563639,-116.223892,n7,Rwy,,,,
Rwy_01_008,8,43.561235,-116.216842,n8,Rwy,,,,
Rwy_01_009,9,43.561142,-116.216562,n9,Rwy,,,,
Rwy_01_010,10,43.559893,-116.212899,n10,Rwy,,,,
Rwy_01_011,11,43.558986,-116.210244,n11,Rwy,,,,
Rwy_02_001,12,43.570196,-116.236906,n12,Rwy,RW10L,Entry,RW28R,End
Rwy_02_002,13,43.570126,-116.236684,n13,Rwy,,,,
Rwy_01-012,14,43.558764,-116.209605,n14,Rwy,RW28L,Entry,RW10R,End
Rwy_02_003,15,43.567657,-116.229423,n15,Rwy,,,,
Rwy_02_004,16,43.565825,-116.224081,n16,Rwy,,,,
Rwy_02_005,17,43.563441,-116.217075,n17,Rwy,,,,
Rwy_02_006,18,43.561627,-116.211782,n18,Rwy,,,,
Rwy_02_007,19,43.560714,-116.209087,n19,Rwy,,,,
Rwy_02_008,20,43.558641,-116.203005,n20,Rwy,RW28R,Entry,RW10L,End
Txy_J_001,21,43.569199,-116.242666,n21,Txy,,,,
Txy_J_002,22,43.568238,-116.242683,n22,Txy,,,,
Txy_J_F,23,43.565752,-116.242587,n23,Txy,,,,
Txy_F_001,24,43.565832,-116.24126,n24,Txy,,,,
Txy_B_001,25,43.565674,-116.233747,n25,Txy,,,,
Txy_H_001,26,43.567877,-116.238747,n26,Txy,,,,
Txy_F_H,27,43.565919,-116.239721,n27,Txy,,,,
Txy_F_B,28,43.566197,-116.235279,n28,Txy,,,,
Txy_B_002,29,43.565534,-116.23331,n29,Txy,,,,
Txy_B_003,30,43.565306,-116.232672,n30,Txy,,,,
Txy_B1_B,31,43.563005,-116.225786,n31,Txy,,,,
Txy_B1_E,32,43.562615,-116.22464,n32,Txy,,,,
Txy_B1_001,33,43.563375,-116.225546,n33,Txy,,,,
Txy_E_001,34,43.562977,-116.224384,n34,Txy,,,,
Txy_D_001,35,43.560465,-116.217019,n35,Txy,,,,
Txy_D_B,36,43.560096,-116.217305,n36,Txy,,,,
Txy_B_004,37,43.55982,-116.21655,n37,Txy,,,,
Txy_B_C,38,43.558825,-116.213642,n38,Txy,,,,
Txy_B_005,39,43.557849,-116.210786,n39,Txy,,,,
Txy_B_006,40,43.557717,-116.21031,n40,Txy,,,,
Txy_B_007,41,43.558065,-116.210016,n41,Txy,,,,
Txy_C_001,42,43.559203,-116.21334,n42,Txy,,,,
Txy_C_002,43,43.560573,-116.212455,n43,Txy,,,,
Txy_C_003,44,43.560941,-116.212216,n44,Txy,,,,
Txy_C_004,45,43.562313,-116.211327,n45,Txy,,,,
Txy_C_A,46,43.562632,-116.211155,n46,Txy,,,,
Txy_W_001,47,43.55966,-116.209767,n47,Txy,,,,
Txy_W_002,48,43.560028,-116.209526,n48,Txy,,,,
Txy_W_003,49,43.561398,-116.208641,n49,Txy,,,,
Txy_W_A,50,43.561713,-116.208469,n50,Txy,,,,
Txy_D_002,51,43.562103,-116.216925,n51,Txy,,,,
Txy_D_003,52,43.562565,-116.216978,n52,Txy,,,,
Txy_D_004,53,43.564315,-116.217181,n53,Txy,,,,
Txy_D_A,54,43.564708,-116.217223,n54,Txy,,,,
Txy_E_004,55,43.566642,-116.224008,n55,Txy,,,,
Txy_E_A,56,43.5671221,-116.2243278,n56,Txy,,,,
Txy_G_001,57,43.566596,-116.230106,n57,Txy,,,,
Txy_G_002,58,43.566957,-116.229874,n58,Txy,,,,
Txy_G_003,59,43.568337,-116.228985,n59,Txy,,,,
Txy_G_A,60,43.568631,-116.228738,n60,Txy,,,,
Txy_B2_001,61,43.566023,-116.233367,n61,Txy,,,,
Txy_F_002,62,43.566277,-116.234128,n62,Txy,,,,
Txy_J_003,63,43.570466,-116.241309,n63,Txy,,,,
Txy_J_004,64,43.57061,-116.240585,n64,Txy,,,,
Txy_J_Z,65,43.570889,-116.238974,n65,Txy,,,,
Txy_J_006,66,43.571109,-116.236352,n66,Txy,,,,
Txy_J_A,67,43.571075,-116.236027,n67,Txy,,,,
Txy_A_001,68,43.570845,-116.236337,n68,Txy,,,,
Txy_A_002,69,43.570363,-116.233843,n69,Txy,,,,
Txy_A_003,70,43.569456,-116.231184,n70,Txy,,,,
Txy_A_004,71,43.56843,-116.228191,n71,Txy,,,,
Txy_A7_A,72,43.569325,-116.230742,n72,Txy,,,,
Txy_A5_A,73,43.567897,-116.226523,n73,Txy,,,,
Txy_A5_001,74,43.568123,-116.226372,n74,Txy,,,,
Txy_A5_002,75,43.568659,-116.226034,n75,Txy,,,,
Txy_A5_003,76,43.57023,-116.225483,n76,Txy,,,,
Txy_A6_002,77,43.570323,-116.227685,n77,Txy,,,,
Txy_A6_001,78,43.568866,-116.228557,n78,Txy,,,,
Txy_A7_001,79,43.569589,-116.230668,n79,Txy,,,,
Txy_A7_002,80,43.570451,-116.230531,n80,Txy,,,,
Txy_A6_003,81,43.570013,-116.227817,n81,Txy,,,,
Txy_A6_004,82,43.569699,-116.228014,n82,Txy,,,,
Txy_A6_005,83,43.56939,-116.228214,n83,Txy,,,,
Txy_A6_006,84,43.569084,-116.22841,n84,Txy,,,,
Txy_A5_004,85,43.569295,-116.225726,n85,Txy,,,,
