n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_A5_005,86,43.569602,-116.22561,Txy_A5_006,87,43.569915,-116.225528
Txy_F_B,28,43.566197,-116.235279,Txy_F_002,62,43.566277,-116.234128
Txy_C_001,42,43.559203,-116.21334,Rwy_01_010,10,43.559893,-116.212899
Ramp_01_004,189,43.567537,-116.216434,Ramp_01_005,190,43.567918,-116.217602
Txy_C_A,46,43.562632,-116.211155,Txy_A_011,100,43.561908,-116.20905
Ramp_01_016,201,43.566408,-116.220152,Ramp_01_015,200,43.566225,-116.219611
Txy_W_A,50,43.561713,-116.208469,Txy_W_003,49,43.561398,-116.208641
Txy_J_020,115,43.567644,-116.242694,Ramp_05_002,111,43.567655,-116.243068
Ramp_01_001,166,43.56705,-116.223381,Txy_A_005,89,43.566853,-116.223541
Txy_A_010,94,43.564387,-116.216329,Txy_A4_A,95,43.563865,-116.214749
Txy_B1_E,32,43.562615,-116.22464,Txy_B1_B,31,43.563005,-116.225786
Parking_04_005,132,43.559335,-116.217943,Parking_04_006,136,43.561058,-116.222551
Rwy_01_011,11,43.558986,-116.210244,Txy_W_001,47,43.55966,-116.209767
Txy_X_001,140,43.557928,-116.219545,Parking_Helipad_001,137,43.557954,-116.221547
Txy_B_C,38,43.558825,-116.213642,Txy_B_004,37,43.55982,-116.21655
Parking_Helipad_002,145,43.556996,-116.212657,Txy_X_004,143,43.55735,-116.213642
Parking_04_005,132,43.559335,-116.217943,Ramp_04_005,133,43.559969,-116.217363
Ramp_05_003,118,43.567267,-116.243064,Txy_J_021,116,43.567264,-116.242705
Txy_A6_002,77,43.570323,-116.227685,Txy_A5_003,76,43.57023,-116.225483
Rwy_01_006,6,43.563755,-116.224253,Rwy_01_007,7,43.563639,-116.223892
Txy_J_021,116,43.567264,-116.242705,Txy_J_022,117,43.566675,-116.242704
Txy_G_003,59,43.568337,-116.228985,Rwy_02_003,15,43.567657,-116.229423
Ramp_01_014,199,43.565949,-116.218786,Ramp_01_013,198,43.565448,-116.21731
Txy_X_003,142,43.556384,-116.21451,Parking_04_007,146,43.555949,-116.214705
Ramp_01_017,202,43.56656,-116.220589,Ramp_01_019,204,43.566156,-116.220763
