id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,44.465832,-73.141888,n0,Rwy,,,,
Rwy_01_002,1,44.46679,-73.143411,n1,Rwy,RW33 ,Entry,RW15 ,End
Rwy_01_003,2,44.470748,-73.149827,n2,Rwy,,,,
Rwy_01_02,3,44.472631,-73.152874,n3,Rwy,,,,
Rwy_01_004,4,44.47345,-73.154188,n4,Rwy,,,,
Rwy_01_005,5,44.475686,-73.157793,n5,Rwy,,,,
Rwy_01_007,6,44.480582,-73.16577,n6,Rwy,RW15 ,Entry,RW33 ,End
Rwy_02_001,7,44.474877,-73.15334,n7,Rwy,,,,
Rwy_02_002,8,44.47353,-73.153034,n8,Rwy,RW19 ,Entry,RW01 ,End
Rwy_02_004,9,44.469081,-73.152122,n9,Rwy,,,,
Rwy_02_005,10,44.465927,-73.151452,n10,Rwy,,,,
Rwy_02_006,11,44.464173,-73.151087,n11,Rwy,RW01 ,Entry,RW19 ,End
Txy_G_001,12,44.479891,-73.166702,n12,Txy,,,,
Txy_G_002,13,44.479355,-73.16667,n13,Txy,,,,
Txy_M_G,14,44.478735,-73.165662,n14,Txy,,,,
Rwy_01_006,15,44.479677,-73.164256,n15,Rwy,,,,
Txy_H_G,16,44.4744,-73.159204,n16,Txy,,,,
Txy_A_G,17,44.470971,-73.153679,n17,Txy,,,,
Rwy_02_003,18,44.470143,-73.152335,n18,Rwy,,,,
Txy_A_001,19,44.47479,-73.154266,n19,Txy,,,,
Txy_A_002,20,44.474507,-73.154421,n20,Txy,,,,
Txy_A_B,21,44.468966,-73.153285,n21,Txy,,,,
Txy_A_C,22,44.465888,-73.152663,n22,Txy,,,,
Txy_A_L,23,44.464043,-73.152266,n23,Txy,,,,
Txy_B_K,24,44.46974,-73.151123,n24,Txy,,,,
Txy_C_K,25,44.465774,-73.144654,n25,Txy,,,,
Txy_J_K,26,44.464816,-73.143092,n26,Txy,,,,
Txy_E_F,27,44.473958,-73.150447,n27,Txy,,,,
Txy_F_N,28,44.480798,-73.164743,n28,Txy,,,,
Txy_F_001,29,44.480469,-73.161632,n29,Txy,,,,
Txy_D_001,30,44.466512,-73.141258,n30,Txy,,,,
Txy_D_002,31,44.47005,-73.144219,n31,Txy,,,,
Txy_D_003,32,44.471336,-73.146172,n32,Txy,,,,
Ramp_01_001,33,44.467163,-73.153888,n33,Ramp,,,,
Ramp_01_002,34,44.468268,-73.153309,n34,Ramp,,,,
Ramp_01_003,35,44.46982,-73.153606,n35,Ramp,,,,
Ramp_01_004,36,44.470871,-73.15391,n36,Ramp,,,,
Ramp_01_005,37,44.471139,-73.154706,n37,Ramp,,,,
Gate_01_014,38,44.467845,-73.15426,n38,Gate,,,,
Gate_01_015,39,44.467872,-73.153696,n39,Gate,,,,
Gate_01_013,40,44.468356,-73.153753,n40,Gate,,,,
Gate_01_011,41,44.468883,-73.154217,n41,Gate,,,,
Gate_01_008,42,44.469352,-73.154266,n42,Gate,,,,
Gate_01_007,43,44.469838,-73.154467,n43,Gate,,,,
Gate_01_003,44,44.47009,-73.154248,n44,Gate,,,,
Gate_01_005,45,44.470306,-73.154267,n45,Gate,,,,
Gate_01_006,46,44.470567,-73.154576,n46,Gate,,,,
Gate_01_004,47,44.470085,-73.154732,n47,Gate,,,,
Gate_01_001,48,44.470165,-73.155373,n48,Gate,,,,
Txy_K_001,49,44.463241,-73.140507,n49,Txy,,,,
