n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,45.7705461,-111.1420679,Rwy_01_02,1,45.7733599,-111.1459732
Rwy_01_002,2,45.7753878,-111.1488056,Rwy_01_02,1,45.7733599,-111.1459732
Rwy_01_002,2,45.7753878,-111.1488056,Rwy_01_003,3,45.7796081,-111.154685
Rwy_01_003,3,45.7796081,-111.154685,Rwy_01_004,4,45.7831846,-111.1596632
Rwy_01_005,5,45.7879879,-111.1663258,Rwy_01_004,4,45.7831846,-111.1596632
Rwy_02_001,6,45.7674578,-111.1546372,Rwy_02_002,7,45.768674,-111.1528401
Rwy_02_003,8,45.7719182,-111.1480658,Rwy_02_002,7,45.768674,-111.1528401
Rwy_01_02,1,45.7733599,-111.1459732,Rwy_02_002,7,45.768674,-111.1528401
Rwy_01_02,1,45.7733599,-111.1459732,Rwy_02_004,9,45.7738639,-111.1452065
Txy_A1_A,10,45.7692203,-111.1440191,Rwy_01_001,0,45.7705461,-111.1420679
Rwy_02_003,8,45.7719182,-111.1480658,Txy_A1_A,10,45.7692203,-111.1440191
Txy_A5_001,11,45.7874152,-111.1672269,Rwy_01_005,5,45.7879879,-111.1663258
Txy_A_001,12,45.7865997,-111.1682676,Txy_A5_001,11,45.7874152,-111.1672269
Txy_A3_A,14,45.7779965,-111.1565265,Rwy_01_003,3,45.7796081,-111.154685
Rwy_01_004,4,45.7831846,-111.1596632,Txy_A_A4,13,45.7817589,-111.1617766
Txy_A_001,12,45.7865997,-111.1682676,Txy_A_A4,13,45.7817589,-111.1617766
Rwy_01_001,0,45.7705461,-111.1420679,Rwy_01_001,0,45.7705461,-111.1420679
Rwy_01_002,2,45.7753878,-111.1488056,Txy_A2_A,17,45.7739856,-111.1509661
Txy_A3_A,14,45.7779965,-111.1565265,Txy_A2_A,17,45.7739856,-111.1509661
Txy_A_003,16,45.7795687,-111.158723,Txy_A3_A,14,45.7779965,-111.1565265
Txy_A_002,15,45.7805676,-111.1601178,Txy_A_003,16,45.7795687,-111.158723
Txy_A_A4,13,45.7817589,-111.1617766,Txy_A_002,15,45.7805676,-111.1601178
Ramp_01_001,26,45.7780584,-111.1582361,Gate_01_001,18,45.7776974,-111.1591696
Ramp_01_001,26,45.7780584,-111.1582361,Gate_01_002,19,45.7779312,-111.1595236
Ramp_01_002,27,45.7783877,-111.1587887,Gate_01_003,20,45.7781857,-111.1598481
Ramp_01_003,28,45.7788441,-111.1593573,Gate_01_004,21,45.7784513,-111.1601137
Ramp_01_004,29,45.779308,-111.1600761,Gate_01_006,23,45.7790499,-111.1609023
Ramp_01_004,29,45.779308,-111.1600761,Gate_01_005,22,45.7787375,-111.1605133
Ramp_01_005,30,45.7796709,-111.1605858,Gate_01_007,24,45.7792762,-111.161267
Ramp_01_005,30,45.7796709,-111.1605858,Gate_01_008,25,45.7794465,-111.1615889
Ramp_01_001,26,45.7780584,-111.1582361,Ramp_01_002,27,45.7783877,-111.1587887
Ramp_01_003,28,45.7788441,-111.1593573,Ramp_01_002,27,45.7783877,-111.1587887
Ramp_01_004,29,45.779308,-111.1600761,Ramp_01_003,28,45.7788441,-111.1593573
Txy_A_003,16,45.7795687,-111.158723,Ramp_01_003,28,45.7788441,-111.1593573
Ramp_01_004,29,45.779308,-111.1600761,Ramp_01_005,30,45.7796709,-111.1605858
Ramp_01_005,30,45.7796709,-111.1605858,Txy_A_002,15,45.7805676,-111.1601178
Txy_A3_A,14,45.7779965,-111.1565265,Ramp_01_001,26,45.7780584,-111.1582361
