n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,32.88496,-80.045571,Rwy_01_002,1,32.892834,-80.041333
Rwy_01_003,2,32.896663,-80.039273,Rwy_01_002,1,32.892834,-80.041333
Rwy_01_003,2,32.896663,-80.039273,Rwy_01_02,3,32.899365,-80.037771
Rwy_01_004,4,32.901527,-80.036634,Rwy_01_02,3,32.899365,-80.037771
Rwy_01_005,5,32.902185,-80.03629,Rwy_01_004,4,32.901527,-80.036634
Rwy_02_001,6,32.892312,-80.032428,Rwy_02_002,7,32.89641,-80.035614
Rwy_01_02,3,32.899365,-80.037771,Rwy_02_002,7,32.89641,-80.035614
Rwy_01_02,3,32.899365,-80.037771,Rwy_02_003,8,32.904022,-80.041322
Rwy_02_004,9,32.908265,-80.04453,Rwy_02_003,8,32.904022,-80.041322
Rwy_02_005,10,32.912904,-80.048017,Rwy_02_004,9,32.908265,-80.04453
Txy_C_001,11,32.884825,-80.044101,Rwy_01_001,0,32.88496,-80.045571
Txy_B_C,12,32.886987,-80.040732,Txy_C_001,11,32.884825,-80.044101
Txy_B_001,13,32.88605,-80.039863,Txy_B_C,12,32.886987,-80.040732
Txy_A_C,14,32.890104,-80.036033,Txy_B_C,12,32.886987,-80.040732
Txy_A_M,15,32.88751,-80.036462,Txy_A_C,14,32.890104,-80.036033
Txy_B_001,13,32.88605,-80.039863,Txy_A_M,15,32.88751,-80.036462
Txy_A_M,15,32.88751,-80.036462,Txy_M_001,16,32.887059,-80.034735
Txy_M_001,16,32.887059,-80.034735,Txy_M_002,17,32.882849,-80.031505
Txy_A_C,14,32.890104,-80.036033,Txy_C_H,19,32.891516,-80.033855
Txy_C_H,19,32.891516,-80.033855,Rwy_02_001,6,32.892312,-80.032428
Txy_A_C,14,32.890104,-80.036033,Txy_A_H,18,32.891895,-80.03599
Txy_C_H,19,32.891516,-80.033855,Txy_A_H,18,32.891895,-80.03599
Txy_A_H,18,32.891895,-80.03599,Rwy_01_002,1,32.892834,-80.041333
Txy_A_H,18,32.891895,-80.03599,Rwy_02_002,7,32.89641,-80.035614
Rwy_01_003,2,32.896663,-80.039273,Rwy_02_002,7,32.89641,-80.035614
Txy_G_001,20,32.892625,-80.031902,Rwy_02_001,6,32.892312,-80.032428
Txy_G_001,20,32.892625,-80.031902,Txy_G_F,21,32.895918,-80.031612
