id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,41.399986,-81.873294,n0,Rwy,RW06L,Entry,RW24R,End
Rwy_01_002,1,41.401397,-81.87111,n1,Rwy,,,,
Rwy_01_003,2,41.404571,-81.866099,n2,Rwy,,,,
Rwy_01_004,3,41.406426,-81.863157,n3,Rwy,,,,
Rwy_01_005,4,41.408945,-81.859172,n4,Rwy,,,,
Rwy_02_003,5,41.408126,-81.853424,n5,Rwy,,,,
Rwy_01_006,6,41.41115,-81.855682,n6,Rwy,,,,
Rwy_01_007,7,41.413211,-81.852424,n7,Rwy,,,,
Rwy_01_008,8,41.414868,-81.849803,n8,Rwy,,,,
Rwy_02_004,9,41.409005,-81.852041,n9,Rwy,,,,
Rwy_01_009,10,41.415679,-81.848526,n10,Rwy,RW24R,Entry,RW06L,End
Rwy_02_001,11,41.40375,-81.860363,n11,Rwy,RW06R,Entry,RW24L,End
Rwy_02_002,12,41.406639,-81.85578,n12,Rwy,,,,
Rwy_02_006,13,41.410746,-81.84929,n13,Rwy,,,,
Rwy_02_007,14,41.413401,-81.845096,n14,Rwy,,,,
Rwy_02_008,15,41.415386,-81.841952,n15,Rwy,RW24L,Entry,RW06R,End
Rwy_02_009,16,41.415739,-81.841397,n16,Rwy,,,,
Rwy_02_03,17,41.416416,-81.84033,n17,Rwy,,,,
Rwy_02_010,18,41.416971,-81.83945,n18,Rwy,,,,
Rwy_03_001,19,41.41707,-81.855279,n19,Rwy,,,,
Rwy_03_002,20,41.416963,-81.852882,n20,Rwy,RW10 ,Entry,RW28 ,End
Rwy_03_003,21,41.416846,-81.850106,n21,Rwy,,,,
Rwy_03_004,22,41.416574,-81.84403,n22,Rwy,,,,
Rwy_03_005,23,41.416552,-81.84341,n23,Rwy,,,,
Rwy_03_02,24,41.416518,-81.842615,n24,Rwy,,,,
Rwy_03_006,25,41.416484,-81.841857,n25,Rwy,,,,
Rwy_03_007,26,41.416459,-81.841311,n26,Rwy,,,,
Rwy_03_008,27,41.416351,-81.838822,n27,Rwy,,,,
Rwy_03_009,28,41.416257,-81.836659,n28,Rwy,,,,
Rwy_03_010,29,41.41611,-81.833936,n29,Rwy,RW28 ,Entry,RW10 ,End
Rwy_04_001,30,41.404667,-81.861396,n30,Rwy,,,,
Rwy_04_002,31,41.407263,-81.857294,n31,Rwy,,,,
Rwy_04_003,32,41.41081,-81.851697,n32,Rwy,,,,
Rwy_04_004,33,41.411534,-81.850549,n33,Rwy,,,,
Rwy_04_005,34,41.414028,-81.846606,n34,Rwy,,,,
Rwy_04_006,35,41.415469,-81.844328,n35,Rwy,,,,
Rwy_04_007,36,41.415861,-81.843708,n36,Rwy,,,,
Rwy_04_008,37,41.417115,-81.841742,n37,Rwy,,,,
Rwy_04_009,38,41.41729,-81.841454,n38,Rwy,,,,
Rwy_04_010,39,41.417718,-81.840681,n39,Rwy,,,,
Txy_S_001,40,41.416245,-81.855336,n40,Txy,,,,
Txy_S_002,41,41.415659,-81.855159,n41,Txy,,,,
Txy_S_003,42,41.415371,-81.855611,n42,Txy,,,,
Txy_S_004,43,41.415934,-81.854559,n43,Txy,,,,
Txy_S_D,44,41.415869,-81.852934,n44,Txy,,,,
Txy_D_001,45,41.416179,-81.852903,n45,Txy,,,,
Txy_S_007,46,41.415823,-81.851851,n46,Txy,,,,
Txy_S_008,47,41.415754,-81.850305,n47,Txy,,,,
Txy_B_001,48,41.415229,-81.854676,n48,Txy,,,,
Txy_B_002,49,41.414386,-81.853743,n49,Txy,,,,
Txy_B_003,50,41.414061,-81.853378,n50,Txy,,,,
Txy_B_004,51,41.413815,-81.853094,n51,Txy,,,,
Txy_B_005,52,41.412614,-81.851761,n52,Txy,,,,
Txy_B_G,53,41.41237,-81.851488,n53,Txy,,,,
Txy_B_006,54,41.412131,-81.851213,n54,Txy,,,,
Txy_B_007,55,41.411204,-81.850172,n55,Txy,,,,
Txy_B_008,56,41.410993,-81.849952,n56,Txy,,,,
Txy_V_001,57,41.413814,-81.85375,n57,Txy,,,,
Txy_V_003,58,41.412481,-81.855845,n58,Txy,,,,
Txy_V_R,59,41.412029,-81.856661,n59,Txy,,,,
Txy_R1_R,60,41.412969,-81.857762,n60,Txy,,,,
Txy_R_001,61,41.412329,-81.856995,n61,Txy,,,,
Txy_R_002,62,41.411759,-81.856356,n62,Txy,,,,
Txy_R_003,63,41.410854,-81.855352,n63,Txy,,,,
Txy_R_004,64,41.410855,-81.854548,n64,Txy,,,,
Txy_R_G,65,41.410849,-81.853896,n65,Txy,,,,
Txy_R_005,66,41.41084,-81.853261,n66,Txy,,,,
Txy_R_006,67,41.410785,-81.850845,n67,Txy,,,,
Txy_R_007,68,41.41077,-81.850317,n68,Txy,,,,
Txy_R_008,69,41.410717,-81.847736,n69,Txy,,,,
Txy_R_L,70,41.410696,-81.847112,n70,Txy,,,,
Txy_R_009,71,41.410665,-81.845899,n71,Txy,,,,
Txy_R_J,72,41.410615,-81.843792,n72,Txy,,,,
Txy_S_009,73,41.415109,-81.847818,n73,Txy,,,,
Txy_S_G,74,41.414869,-81.847552,n74,Txy,,,,
Txy_S_010,75,41.414629,-81.847286,n75,Txy,,,,
Txy_S_011,76,41.4137,-81.846232,n76,Txy,,,,
Txy_S_012,77,41.413609,-81.845831,n77,Txy,,,,
Txy_S_013,78,41.412919,-81.844252,n78,Txy,,,,
Txy_S_L,79,41.412736,-81.843881,n79,Txy,,,,
Txy_S_J,80,41.412385,-81.843286,n80,Txy,,,,
Txy_W_001,81,41.41545,-81.843491,n81,Txy,,,,
Txy_W_002,82,41.41543,-81.842925,n82,Txy,,,,
Txy_W_003,83,41.415148,-81.840729,n83,Txy,,,,
Txy_W_L,84,41.414883,-81.840427,n84,Txy,,,,
Txy_W_004,85,41.414671,-81.840188,n85,Txy,,,,
Txy_W_J,86,41.414499,-81.839958,n86,Txy,,,,
Txy_G1_001,87,41.414294,-81.849112,n87,Txy,,,,
Txy_G1_G,88,41.414059,-81.848823,n88,Txy,,,,
Txy_K_001,89,41.408346,-81.858509,n89,Txy,,,,
Txy_G_K,90,41.408102,-81.858238,n90,Txy,,,,
Txy_K_002,91,41.40786,-81.857957,n91,Txy,,,,
Txy_K_003,92,41.406952,-81.856918,n92,Txy,,,,
Txy_K_004,93,41.406767,-81.856653,n93,Txy,,,,
Txy_K_005,94,41.406576,-81.854229,n94,Txy,,,,
Txy_K_L,95,41.406548,-81.853661,n95,Txy,,,,
Txy_K_006,96,41.406509,-81.852659,n96,Txy,,,,
Txy_K_007,97,41.406354,-81.849064,n97,Txy,,,,
Txy_K_K1,98,41.406307,-81.847987,n98,Txy,,,,
Txy_K_Q,99,41.406238,-81.846525,n99,Txy,,,,
Txy_K_008,100,41.406212,-81.845876,n100,Txy,,,,
Txy_K_J,101,41.406147,-81.844359,n101,Txy,,,,
Txy_J_K,102,41.406116,-81.843699,n102,Txy,,,,
Txy_K_009,103,41.406118,-81.843328,n103,Txy,,,,
Txy_N_001,104,41.405755,-81.862603,n104,Txy,,,,
Txy_N_002,105,41.405259,-81.862079,n105,Txy,,,,
Txy_N_003,106,41.404356,-81.861032,n106,Txy,,,,
Txy_N_004,107,41.404131,-81.860785,n107,Txy,,,,
Txy_N_005,108,41.403145,-81.859662,n108,Txy,,,,
Txy_N_L,109,41.402849,-81.859289,n109,Txy,,,,
Txy_P_001,110,41.403279,-81.866613,n110,Txy,,,,
Txy_P_G,111,41.402776,-81.86611,n111,Txy,,,,
Txy_P_002,112,41.401808,-81.86502,n112,Txy,,,,
Txy_P_003,113,41.401217,-81.864377,n113,Txy,,,,
Txy_P_004,114,41.400553,-81.863617,n114,Txy,,,,
Txy_P_005,115,41.399954,-81.862941,n115,Txy,,,,
Txy_P_L,116,41.39985,-81.862287,n116,Txy,,,,
Txy_L_001,117,41.400702,-81.860918,n117,Txy,,,,
Txy_L_002,118,41.40157,-81.859718,n118,Txy,,,,
Txy_L_003,119,41.403524,-81.858439,n119,Txy,,,,
Txy_L_004,120,41.404054,-81.857597,n120,Txy,,,,
Txy_L_005,121,41.405537,-81.855256,n121,Txy,,,,
Txy_L_006,122,41.408174,-81.851087,n122,Txy,,,,
Txy_L_007,123,41.409068,-81.849677,n123,Txy,,,,
Txy_L_008,124,41.410177,-81.847925,n124,Txy,,,,
Txy_L_009,125,41.41124,-81.84625,n125,Txy,,,,
Txy_L_010,126,41.413249,-81.843068,n126,Txy,,,,
Txy_L_011,127,41.414114,-81.841703,n127,Txy,,,,
Txy_L1_001,128,41.408401,-81.851373,n128,Txy,,,,
Txy_H_001,129,41.406994,-81.853537,n129,Txy,,,,
Txy_GG_001,130,41.399345,-81.872711,n130,Txy,,,,
Txy_G_001,131,41.399281,-81.872023,n131,Txy,,,,
Txy_T_001,132,41.400779,-81.870478,n132,Txy,,,,
Txy_G_T,133,41.400297,-81.870033,n133,Txy,,,,
Txy_J_001,134,41.411896,-81.843825,n134,Txy,,,,
Txy_J_002,135,41.40983,-81.843775,n135,Txy,,,,
Txy_J_003,136,41.409148,-81.843868,n136,Txy,,,,
Txy_J_004,137,41.408811,-81.84438,n137,Txy,,,,
Txy_J_005,138,41.407882,-81.844335,n138,Txy,,,,
Txy_J_006,139,41.40693,-81.844311,n139,Txy,,,,
Parking_Holding_701,140,41.39958,-81.861633,n140,Park,,,,
Txy_J_007,141,41.405676,-81.843691,n141,Txy,,,,
Parking_Holding_702,142,41.400156,-81.860725,n142,Park,,,,
Parking_Holding_502,143,41.403614,-81.85745,n143,Park,,,,
Parking_Holding_501,144,41.403222,-81.858086,n144,Park,,,,
Txy_J_008,145,41.415228,-81.838482,n145,Txy,,,,
Txy_J_U,146,41.415157,-81.836707,n146,Txy,,,,
Txy_JJ_001,147,41.415347,-81.833692,n147,Txy,,,,
Txy_JJ_J,148,41.415032,-81.833545,n148,Txy,,,,
Txy_Y_001,149,41.414151,-81.835612,n149,Txy,,,,
Txy_JJ_Y,150,41.414656,-81.833358,n150,Txy,,,,
Txy_Y_002,151,41.41468,-81.836726,n151,Txy,,,,
Txy_K1_001,152,41.403237,-81.847918,n152,Txy,,,,
Txy_K1_002,153,41.4027036,-81.8479114,n153,Txy,,,,
Txy_K1_003,154,41.4026609,-81.8471035,n154,Txy,,,,
Txy_Q_001,155,41.402952,-81.8464944,n155,Txy,,,,
Txy_PA_001,156,41.405911,-81.849072,n156,Txy,,,,
Parking_Holding_201,157,41.405446,-81.849058,n157,Park,,,,
Parking_Holding_202,158,41.404348,-81.849036,n158,Park,,,,
Txy_PA_002,159,41.404063,-81.849018,n159,Txy,,,,
Txy_PA_003,160,41.403658,-81.848509,n160,Txy,,,,
Txy_L2_001,161,41.402737,-81.854041,n161,Txy,,,,
Parking_L2_001,162,41.401272,-81.854149,n162,Park,,,,
Parking_L2_002,163,41.401463,-81.855233,n163,Park,,,,
Gate_A_002,164,41.4128288,-81.8379617,n164,Gate,,,,
Gate_A_004,165,41.4131158,-81.8378578,n165,Gate,,,,
