n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_PA_001,156,41.405911,-81.849072,Parking_Holding_201,157,41.405446,-81.849058
Gate_A_001,175,41.412006,-81.838992,Ramp_01_012,222,41.412276,-81.839898
Rwy_01_007,7,41.413211,-81.852424,Txy_B_005,52,41.412614,-81.851761
Ramp_01_012,222,41.412276,-81.839898,Ramp_01_013,223,41.412305,-81.840549
Ramp_02_021,288,41.406616,-81.836447,Ramp_02_020,287,41.406797,-81.836857
Ramp_01_019,229,41.410551,-81.841693,Gate_B_007,183,41.411154,-81.841552
Txy_S_012,77,41.413609,-81.845831,Txy_S_011,76,41.4137,-81.846232
Txy_S_004,43,41.415934,-81.854559,Txy_S_D,44,41.415869,-81.852934
Ramp_02_014,281,41.408312,-81.837555,Ramp_02_015,282,41.408166,-81.837244
Gate_A_008,167,41.41374,-81.83777,Ramp_01_004,214,41.413553,-81.836464
Txy_N_G,347,41.4055,-81.862345,Txy_N_002,105,41.405259,-81.862079
Ramp_02_016,283,41.408025,-81.836936,Ramp_02_017,284,41.407873,-81.836621
Txy_P_002,112,41.401808,-81.86502,Txy_P_003,113,41.401217,-81.864377
Ramp_03_008,317,41.402707,-81.844178,Ramp_03_007,316,41.402703,-81.844415
Txy_S_J,80,41.412385,-81.843286,Txy_S_L,79,41.412736,-81.843881
Rwy_01_008,8,41.414868,-81.849803,Txy_G1_001,87,41.414294,-81.849112
Rwy_02_007,14,41.413401,-81.845096,Txy_S_012,77,41.413609,-81.845831
Txy_V_R,59,41.412029,-81.856661,Txy_R_001,61,41.412329,-81.856995
Txy_S_001,40,41.416245,-81.855336,Txy_S_002,41,41.415659,-81.855159
Gate_C_002,188,41.409674,-81.839768,Ramp_01_025,235,41.410252,-81.840546
Txy_P_G,111,41.402776,-81.86611,Txy_P_002,112,41.401808,-81.86502
Ramp_02_024,291,41.405819,-81.837112,Ramp_02_023,290,41.40605,-81.837582
Txy_L_007,123,41.409068,-81.849677,Txy_LK_001,339,41.408723,-81.849312
Txy_R_002,62,41.411759,-81.856356,Rwy_01_006,6,41.41115,-81.855682
Parking_Holding_502,143,41.403614,-81.85745,Txy_L_004,120,41.404054,-81.857597
Ramp_02_019,286,41.407123,-81.836062,Ramp_02_021,288,41.406616,-81.836447
Txy_RJ_001,344,41.409967,-81.846062,Txy_JK_001,333,41.408651,-81.844632
Gate_C_020,199,41.407084,-81.842738,Ramp_01_036,244,41.40651,-81.843479
Rwy_03_002,20,41.416963,-81.852882,Rwy_03_003,21,41.416846,-81.850106
Gate_C_003,189,41.409348,-81.840185,Ramp_01_026,236,41.410109,-81.840884
Ramp_01_017,227,41.411392,-81.842841,Ramp_01_018,228,41.410572,-81.84325
Gate_C_019,198,41.407396,-81.84286,Ramp_01_034,243,41.407057,-81.8436
Txy_S_D,44,41.415869,-81.852934,Txy_S_007,46,41.415823,-81.851851
Txy_B_001,48,41.415229,-81.854676,Txy_S_002,41,41.415659,-81.855159
Txy_PA_003,160,41.403658,-81.848509,Txy_K1_001,152,41.403237,-81.847918
Ramp_02_032,299,41.404854,-81.839834,Ramp_02_031,298,41.404706,-81.839523
Txy_B_003,50,41.414061,-81.853378,Txy_B_004,51,41.413815,-81.853094
Gate_D_002,258,41.407628,-81.838125,Ramp_02_013,280,41.407934,-81.838818
Ramp_01_046,255,41.408516,-81.8382,Ramp_01_045,254,41.408382,-81.838999
Txy_LK_001,339,41.408723,-81.849312,Txy_LK_002,340,41.408527,-81.849091
Rwy_02_001,11,41.40375,-81.860363,Txy_N_004,107,41.404131,-81.860785
Txy_LK_003,341,41.409062,-81.848169,Txy_LK_004,342,41.409602,-81.847284
Parking_Holding_502,143,41.403614,-81.85745,Parking_Holding_501,144,41.403222,-81.858086
Txy_B_002,49,41.414386,-81.853743,Txy_B_003,50,41.414061,-81.853378
Txy_S_D,44,41.415869,-81.852934,Txy_D_001,45,41.416179,-81.852903
Txy_G_T,133,41.400297,-81.870033,Txy_P_G,111,41.402776,-81.86611
Ramp_01_011,221,41.412494,-81.839814,Ramp_01_010,220,41.413028,-81.83963
Parking_Holding_701,140,41.39958,-81.861633,Txy_P_L,116,41.39985,-81.862287
Ramp_01_004,214,41.413553,-81.836464,Ramp_01_005,215,41.41426,-81.836459
Txy_K_009,103,41.406118,-81.843328,Ramp_01_036,244,41.40651,-81.843479
Rwy_02_003,5,41.408126,-81.853424,Rwy_02_004,9,41.409005,-81.852041
Txy_K_007,97,41.406354,-81.849064,Txy_PA_001,156,41.405911,-81.849072
Txy_JK_005,337,41.407507,-81.846447,Txy_JK_004,336,41.406945,-81.847329
Txy_JK_001,333,41.408651,-81.844632,Txy_J_005,138,41.407882,-81.844335
Ramp_01_025,235,41.410252,-81.840546,Ramp_01_024,234,41.410341,-81.840375
Txy_JJ_Y,150,41.414656,-81.833358,Parking_01_001,301,41.4136252,-81.8340889
Txy_JJ_001,147,41.415347,-81.833692,Txy_JJ_J,148,41.415032,-81.833545
Txy_K1_002,153,41.4027036,-81.8479114,Txy_K1_003,154,41.4026609,-81.8471035
Txy_J_002,135,41.40983,-81.843775,Txy_R_J,72,41.410615,-81.843792
Parking_Holding_201,157,41.405446,-81.849058,Parking_Holding_202,158,41.404348,-81.849036
Rwy_02_006,13,41.410746,-81.84929,Txy_R_007,68,41.41077,-81.850317
Rwy_02_010,18,41.416971,-81.83945,Rwy_02_03,17,41.416416,-81.84033
Gate_A_007,173,41.413179,-81.838858,Ramp_01_009,219,41.413326,-81.839554
Gate_A_011,171,41.413831,-81.838753,Ramp_01_007,217,41.414231,-81.839319
Ramp_02_032,299,41.404854,-81.839834,Ramp_02_033,300,41.40531,-81.840781
Txy_L_008,124,41.410177,-81.847925,Txy_R_L,70,41.410696,-81.847112
Rwy_04_004,33,41.411534,-81.850549,Rwy_04_003,32,41.41081,-81.851697
Txy_J_008,145,41.415228,-81.838482,Txy_J_U,146,41.415157,-81.836707
Rwy_02_006,13,41.410746,-81.84929,Txy_B_008,56,41.410993,-81.849952
Ramp_03_014,323,41.404062,-81.843653,Ramp_03_012,321,41.403791,-81.843644
Ramp_02_001,256,41.405707,-81.843232,Txy_J_007,141,41.405676,-81.843691
Ramp_01_043,252,41.407742,-81.839606,Gate_C_027,206,41.407967,-81.84089
Txy_R_009,71,41.410665,-81.845899,Txy_R_J,72,41.410615,-81.843792
Rwy_01_001,0,41.399986,-81.873294,Txy_GG_001,130,41.399345,-81.872711
Ramp_01_022,232,41.410526,-81.84052,Gate_B_003,185,41.411065,-81.840383
Txy_J_005,138,41.407882,-81.844335,Txy_J_006,139,41.40693,-81.844311
Ramp_02_006,273,41.406484,-81.840019,Ramp_02_005,272,41.406245,-81.840216
Rwy_04_005,34,41.414028,-81.846606,Rwy_04_004,33,41.411534,-81.850549
Ramp_01_029,239,41.409003,-81.841833,Ramp_01_028,238,41.409315,-81.841426
Rwy_03_02,24,41.416518,-81.842615,Rwy_03_006,25,41.416484,-81.841857
Txy_N_L,109,41.402849,-81.859289,Txy_N_005,108,41.403145,-81.859662
Parking_Holding_101,338,41.407751,-81.848228,Txy_JK_004,336,41.406945,-81.847329
Txy_S_L,79,41.412736,-81.843881,Txy_L_009,125,41.41124,-81.84625
Txy_P_001,110,41.403279,-81.866613,Rwy_01_003,2,41.404571,-81.866099
Txy_B_004,51,41.413815,-81.853094,Rwy_01_007,7,41.413211,-81.852424
Rwy_02_004,9,41.409005,-81.852041,Txy_L1_001,128,41.408401,-81.851373
Txy_K_K1,98,41.406307,-81.847987,Txy_K_007,97,41.406354,-81.849064
Parking_Holding_102,345,41.408254,-81.847281,Txy_LK_003,341,41.409062,-81.848169
Ramp_03_009,318,41.402902,-81.844418,Parking_03_005,306,41.402841,-81.844493
Ramp_01_001,211,41.412152,-81.837893,Ramp_01_002,212,41.412471,-81.837516
Txy_V_003,58,41.412481,-81.855845,Txy_V_001,57,41.413814,-81.85375
Txy_G_001,131,41.399281,-81.872023,Txy_G_T,133,41.400297,-81.870033
Ramp_03_011,320,41.403283,-81.843635,Ramp_03_012,321,41.403791,-81.843644
Txy_K1_003,154,41.4026609,-81.8471035,Txy_Q_001,155,41.402952,-81.8464944
Rwy_03_003,21,41.416846,-81.850106,Rwy_03_004,22,41.416574,-81.84403
Gate_C_011,193,41.408355,-81.841735,Ramp_01_029,239,41.409003,-81.841833
Ramp_01_012,222,41.412276,-81.839898,Ramp_01_011,221,41.412494,-81.839814
Gate_C_021,200,41.406762,-81.842459,Txy_K_009,103,41.406118,-81.843328
Ramp_03_013,322,41.404305,-81.843656,Parking_03_001,302,41.404293,-81.844646
Ramp_01_042,251,41.407085,-81.840153,Ramp_01_043,252,41.407742,-81.839606
Txy_Y_002,151,41.41468,-81.836726,Txy_J_U,146,41.415157,-81.836707
Rwy_03_002,20,41.416963,-81.852882,Rwy_03_001,19,41.41707,-81.855279
Txy_LK_004,342,41.409602,-81.847284,Parking_Holding_103,346,41.408806,-81.846397
Parking_03_004,305,41.402842,-81.844252,Ramp_03_010,319,41.402913,-81.843626
Txy_P_001,110,41.403279,-81.866613,Txy_P_G,111,41.402776,-81.86611
Gate_C_004,210,41.409207,-81.839202,Ramp_01_046,255,41.408516,-81.8382
Txy_Q_001,155,41.402952,-81.8464944,Txy_K_Q,99,41.406238,-81.846525
Txy_K_006,96,41.406509,-81.852659,Txy_K_007,97,41.406354,-81.849064
Ramp_03_001,312,41.400368,-81.843582,Ramp_03_002,313,41.401314,-81.843606
Txy_L_005,121,41.405537,-81.855256,Txy_K_L,95,41.406548,-81.853661
Txy_B_005,52,41.412614,-81.851761,Txy_B_G,53,41.41237,-81.851488
Gate_B_010,180,41.411663,-81.842115,Ramp_01_016,226,41.412025,-81.842819
Rwy_01_007,7,41.413211,-81.852424,Rwy_01_006,6,41.41115,-81.855682
Txy_K_Q,99,41.406238,-81.846525,Txy_KJ_001,331,41.406661,-81.846257
Ramp_01_039,248,41.406099,-81.842151,Ramp_01_040,249,41.406119,-81.841342
Txy_H_001,129,41.406994,-81.853537,Rwy_02_003,5,41.408126,-81.853424
Ramp_02_003,270,41.405889,-81.840525,Ramp_02_002,257,41.405717,-81.842739
Ramp_01_046,255,41.408516,-81.8382,Ramp_02_013,280,41.407934,-81.838818
Txy_S_G,74,41.414869,-81.847552,Txy_S_009,73,41.415109,-81.847818
Txy_JJ_J,148,41.415032,-81.833545,Txy_JJ_Y,150,41.414656,-81.833358
Ramp_01_043,252,41.407742,-81.839606,Ramp_01_044,253,41.408047,-81.83935
Txy_P_004,114,41.400553,-81.863617,Txy_P_005,115,41.399954,-81.862941
Ramp_02_004,271,41.406039,-81.840393,Ramp_02_003,270,41.405889,-81.840525
Parking_03_010,311,41.399663,-81.843453,Ramp_03_001,312,41.400368,-81.843582
