id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_F2_001,0,39.8654,-104.685999,n0,Txy,,,,
Txy_F2_F,1,39.865399,-104.685034,n1,Txy,,,,
Txy_F_001,2,39.841586,-104.685291,n2,Txy,,,,
Txy_B3_B,3,39.842341,-104.689258,n3,Txy,,,,
Txy_B8_001,4,39.841822,-104.721297,n4,Txy,,,,
Txy_F_B,5,39.842314,-104.685292,n5,Txy,,,,
Rwy_05_003,6,39.832257,-104.660491,n6,Rwy,,,,
Rwy_02_004,7,39.887541,-104.686905,n7,Rwy,,,,
Rwy_04_006,8,39.855042,-104.641425,n8,Rwy,,,,
Rwy_01_003,9,39.840903,-104.721316,n9,Rwy,,,,
Rwy_01_002,10,39.840935,-104.725349,n10,Rwy,,,,
Txy_F6_001,11,39.876583,-104.685842,n11,Txy,,,,
Txy_F_077,12,39.88068,-104.684839,n12,Txy,,,,
Rwy_01_001,13,39.840946,-104.726506,n13,Rwy,RW07 ,Entry,RW25 ,End
Rwy_01_005,14,39.840765,-104.698972,n14,Rwy,,,,
Rwy_01_004,15,39.840859,-104.713958,n15,Rwy,,,,
Rwy_01_006,16,39.840702,-104.689275,n16,Rwy,,,,
Rwy_01_007,17,39.840669,-104.68538,n17,Rwy,,,,
Rwy_02_001,18,39.896915,-104.686791,n18,Rwy,RW16L,Entry,RW34R,End
Rwy_01_008,19,39.840662,-104.684176,n19,Rwy,RW25 ,Entry,RW07 ,End
Rwy_02_002,20,39.89561,-104.686806,n20,Rwy,,,,
Rwy_02_003,21,39.892953,-104.686837,n21,Rwy,,,,
Rwy_02_005,22,39.884657,-104.686925,n22,Rwy,,,,
Rwy_02_006,23,39.878236,-104.687015,n23,Rwy,,,,
Rwy_02_007,24,39.874985,-104.68705,n24,Rwy,,,,
Rwy_02_008,25,39.874134,-104.687057,n25,Rwy,,,,
Rwy_02_009,26,39.868233,-104.687125,n26,Rwy,,,,
Rwy_02_010,27,39.865424,-104.687157,n27,Rwy,,,,
Rwy_02_011,28,39.864282,-104.687166,n28,Rwy,RW34R,Entry,RW16L,End
Rwy_03_001,29,39.877252,-104.619645,n29,Rwy,RW26 ,Entry,RW08 ,End
Rwy_03_002,30,39.877249,-104.620812,n30,Rwy,,,,
Rwy_03_003,31,39.877288,-104.624825,n31,Rwy,,,,
Rwy_03_004,32,39.877354,-104.631926,n32,Rwy,,,,
Rwy_03_005,33,39.877435,-104.644381,n33,Rwy,,,,
Rwy_03_006,34,39.877471,-104.649627,n34,Rwy,,,,
Rwy_03_007,35,39.877515,-104.656916,n35,Rwy,,,,
Rwy_03_008,36,39.877548,-104.660937,n36,Rwy,,,,
Rwy_03_009,37,39.877561,-104.662084,n37,Rwy,RW08 ,Entry,RW26 ,End
Rwy_04_001,38,39.832124,-104.641704,n38,Rwy,RW35R,Entry,RW17L,End
Rwy_04_002,39,39.833022,-104.641701,n39,Rwy,,,,
Rwy_04_003,40,39.836132,-104.641651,n40,Rwy,,,,
Rwy_04_004,41,39.84157,-104.641585,n41,Rwy,,,,
Rwy_04_005,42,39.851204,-104.64147,n42,Rwy,,,,
Rwy_05_005,43,39.842099,-104.660369,n43,Rwy,,,,
Rwy_04_007,44,39.860826,-104.641349,n44,Rwy,,,,
Rwy_04_008,45,39.863946,-104.641314,n45,Rwy,,,,
Rwy_04_009,46,39.86483,-104.64129,n46,Rwy,RW17L,Entry,RW35R,End
Rwy_05_001,47,39.828434,-104.660538,n47,Rwy,RW35L,Entry,RW17R,End
Rwy_05_002,48,39.82932,-104.660527,n48,Rwy,,,,
Rwy_05_004,49,39.838001,-104.660427,n49,Rwy,,,,
Rwy_05_006,50,39.847608,-104.660314,n50,Rwy,,,,
Rwy_05_007,51,39.851427,-104.660273,n51,Rwy,,,,
Rwy_05_008,52,39.856754,-104.660201,n52,Rwy,,,,
Rwy_05_009,53,39.860133,-104.660162,n53,Rwy,,,,
Rwy_05_010,54,39.861017,-104.660156,n54,Rwy,RW17R,Entry,RW35L,End
Txy_B10_001,55,39.841853,-104.726513,n55,Txy,,,,
Txy_B9_001,56,39.841839,-104.725341,n56,Txy,,,,
Txy_B10_B,57,39.842588,-104.726482,n57,Txy,,,,
Txy_B9_B,58,39.842573,-104.72534,n58,Txy,,,,
Txy_G_AA,59,39.85205,-104.684017,n59,Txy,,,,
Txy_B8_B,60,39.842556,-104.721306,n60,Txy,,,,
Txy_B7_B,61,39.842532,-104.717544,n61,Txy,,,,
Txy_B7_001,62,39.841789,-104.716041,n62,Txy,,,,
Txy_B_B4,63,39.842384,-104.695167,n63,Txy,,,,
Txy_B4_001,64,39.841674,-104.696755,n64,Txy,,,,
Txy_B3_001,65,39.841611,-104.689253,n65,Txy,,,,
Txy_AA_001,66,39.852105,-104.683104,n66,Txy,,,,
Txy_G_001,67,39.841574,-104.684153,n67,Txy,,,,
Txy_F_G,68,39.84232,-104.684129,n68,Txy,,,,
Txy_F_AA,69,39.852057,-104.68518,n69,Txy,,,,
Txy_F_AS,70,39.853095,-104.685173,n70,Txy,,,,
Txy_G_AS,71,39.853078,-104.684015,n71,Txy,,,,
Txy_AS_001,72,39.85307,-104.683335,n72,Txy,,,,
Txy_F_003,73,39.854855,-104.685147,n73,Txy,,,,
Txy_AN_F,74,39.855971,-104.685135,n74,Txy,,,,
Txy_G_AN,75,39.855971,-104.683987,n75,Txy,,,,
Txy_BS_F,76,39.856882,-104.685134,n76,Txy,,,,
Txy_AN_001,77,39.855971,-104.683299,n77,Txy,,,,
Txy_BS_G,78,39.856863,-104.683971,n78,Txy,,,,
Txy_BS_001,79,39.856862,-104.683287,n79,Txy,,,,
Txy_F_BN,80,39.860324,-104.685101,n80,Txy,,,,
Txy_CS_G,81,39.861388,-104.683934,n81,Txy,,,,
Txy_G_BN,82,39.860296,-104.683938,n82,Txy,,,,
Txy_BN_001,83,39.860295,-104.68326,n83,Txy,,,,
Txy_CS_F,84,39.861405,-104.685077,n84,Txy,,,,
Txy_CS_001,85,39.861381,-104.683245,n85,Txy,,,,
Txy_F_004,86,39.863588,-104.685041,n86,Txy,,,,
Txy_F_F1,87,39.864263,-104.685043,n87,Txy,,,,
Txy_F1_001,88,39.864271,-104.685975,n88,Txy,,,,
Txy_G_F1,89,39.864254,-104.683896,n89,Txy,,,,
Txy_F1_002,90,39.864245,-104.683204,n90,Txy,,,,
Txy_F3_F,91,39.868218,-104.684991,n91,Txy,,,,
Txy_F2_G,92,39.865385,-104.683879,n92,Txy,,,,
Txy_F3_001,93,39.86823,-104.685947,n93,Txy,,,,
Txy_Z_003,94,39.870999,-104.667407,n94,Txy,,,,
