n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_04_021,56,32.900092,-97.046665,Ramp_04_002,446,32.900092,-97.046983
Rwy_05_007,747,32.901063,-97.026048,Rwy_05_008,650,32.900221,-97.026046
Txy_K_EF,703,32.915592,-97.032721,Txy_K_EG,701,32.914855,-97.032713
Ramp_04_019,58,32.900821,-97.046279,Gate_D_029,283,32.899947,-97.045637
Txy_K_EM,660,32.890377,-97.033199,Txy_K_022,659,32.889691,-97.033205
Rwy_04_010,716,32.897515,-97.029987,Txy_M_K8,731,32.897504,-97.028027
Rwy_03_008,796,32.901163,-97.050789,Txy_F_WK,592,32.901151,-97.048844
Txy_F_WF,637,32.91566,-97.048771,Txy_G_WF,638,32.91566,-97.047915
Ramp_01_027,468,32.901314,-97.033691,Txy_K_010,671,32.901308,-97.033144
Ramp_06_017,198,32.912371,-97.058688,Gate_06_015,213,32.912382,-97.059852
Txy_K_EK,224,32.901098,-97.033145,Ramp_01_030,236,32.901097,-97.033692
Txy_A_F,584,32.885044,-97.048947,Txy_B_F,585,32.886075,-97.048941
Txy_R_003,781,32.908471,-97.019413,Rwy_06_003,785,32.907594,-97.015632
Txy_A_011,530,32.886877,-97.057097,Txy_B_D,531,32.887642,-97.056263
Txy_F_WF,637,32.91566,-97.048771,Txy_F_WG,600,32.914927,-97.048794
Txy_G_WJ,630,32.904732,-97.047612,Txy_G_009,503,32.904031,-97.047613
Txy_L_EL,687,32.893952,-97.031959,Txy_L4_L5,430,32.89216,-97.030761
Txy_E_WF,564,32.915677,-97.052713,Rwy_03_001,580,32.915676,-97.050762
Txy_M_Y,735,32.910048,-97.027963,Txy_M_EG,736,32.914845,-97.027934
Rwy_02_004,550,32.909117,-97.054678,Rwy_02_005,549,32.90185,-97.054726
Ramp_02_040,75,32.902052,-97.045113,Gate_B_009,301,32.902501,-97.044558
Ramp_06_006,209,32.915184,-97.06144,Ramp_06_007,208,32.915179,-97.060975
Txy_F_WL,589,32.894015,-97.048893,Txy_F_G10,588,32.891817,-97.048901
Ramp_02_014,94,32.907614,-97.044976,Gate_B_040,320,32.906929,-97.044372
Ramp_01_055,13,32.908268,-97.037286,Gate_01_031,334,32.908534,-97.037429
Txy_Y_P,789,32.910034,-97.022789,Txy_Y_021,1,32.910034,-97.022483
Txy_Z_011,239,32.909042,-97.034584,Ramp_01_008,190,32.908603,-97.03465
Ramp_02_038,77,32.902377,-97.04552,Gate_B_011,303,32.902867,-97.045016
Txy_A_F,584,32.885044,-97.048947,Rwy_03_018,565,32.885054,-97.050918
Ramp_01_033,165,32.901112,-97.037461,Gate_C_007,397,32.900369,-97.03756
Ramp_05_022,117,32.889334,-97.034574,Gate_E_017,360,32.889485,-97.035338
Txy_B_019,228,32.886032,-97.035107,Txy_B_013,506,32.886035,-97.035748
Txy_Z_P,788,32.909002,-97.022817,Txy_Z_Q,777,32.908985,-97.021718
Ramp_03_041,134,32.894205,-97.038377,Ramp_03_042,133,32.894205,-97.038664
Ramp_01_043,471,32.904671,-97.033738,Ramp_01_019,179,32.904671,-97.033983
Ramp_02_006,102,32.908201,-97.042511,Ramp_02_007,101,32.908262,-97.042795
Txy_K_EJ,673,32.904669,-97.033122,Txy_K_008,651,32.903984,-97.033126
Rwy_03_007,795,32.901889,-97.050787,Rwy_03_008,796,32.901163,-97.050789
Ramp_04_022,55,32.899369,-97.046665,Ramp_04_023,54,32.898652,-97.046666
Txy_Z_011,239,32.909042,-97.034584,Txy_Z_JY,507,32.909044,-97.034781
Rwy_01_005,515,32.896287,-97.069455,Rwy_01_006,514,32.890907,-97.063901
Ramp_01_053,15,32.908167,-97.036543,Ramp_01_054,14,32.908233,-97.036925
Rwy_02_014,540,32.889166,-97.054766,Rwy_02_015,539,32.886765,-97.054769
Ramp_03_027,147,32.89597,-97.034557,Ramp_03_028,146,32.895757,-97.034772
Ramp_04_039,38,32.894282,-97.043216,Gate_D_008,266,32.895269,-97.042999
Txy_E_G8,558,32.8976,-97.052774,Txy_E_WL,557,32.894025,-97.052808
Txy_E_WM,556,32.890453,-97.052828,Txy_E_010,485,32.887523,-97.052851
Rwy_03_013,570,32.893286,-97.05086,Txy_F4_F5,484,32.892235,-97.050104
Txy_G_023,616,32.895784,-97.047657,Txy_G_024,615,32.895066,-97.047659
Ramp_03_036,140,32.893963,-97.035204,Ramp_03_037,138,32.894182,-97.03633
Ramp_06_016,199,32.912855,-97.05868,Gate_06_014,214,32.912859,-97.059801
Rwy_04_015,711,32.89036,-97.030022,Txy_M_EM,729,32.890367,-97.028055
Txy_A_P,755,32.884951,-97.022952,Txy_B_P,756,32.885981,-97.022948
Txy_K_EM,660,32.890377,-97.033199,Txy_L_EM,685,32.890372,-97.031984
Ramp_04_031,46,32.895063,-97.046686,Gate_D_015,271,32.895279,-97.045462
Txy_F_WJ,594,32.904739,-97.048836,Txy_G_WJ,630,32.904732,-97.047612
Txy_Q_EJ,776,32.904613,-97.016592,Txy_R_EJ,780,32.904467,-97.014702
Txy_G_018,621,32.897939,-97.047645,Txy_G_017,622,32.898657,-97.047638
Ramp_01_053,15,32.908167,-97.036543,Gate_01_033,336,32.908449,-97.036677
Rwy_07_004,771,32.893859,-97.009792,Rwy_07_005,769,32.891153,-97.009807
Txy_K_EL,222,32.893957,-97.033183,Ramp_03_034,232,32.893969,-97.033716
Txy_R_006,778,32.893917,-97.002315,Rwy_06_006,782,32.895092,-97.00094
Ramp_02_010,98,32.908266,-97.04383,Gate_B_043,323,32.907473,-97.043706
Ramp_03_031,143,32.895057,-97.035472,Gate_C_036,378,32.895484,-97.036107
Ramp_06_007,208,32.915179,-97.060975,Ramp_06_008,207,32.915181,-97.060464
Txy_P_R,790,32.910566,-97.021882,Txy_Y_021,1,32.910034,-97.022483
Ramp_01_010,188,32.907714,-97.035986,Gate_A_014,422,32.907056,-97.036538
Txy_L_EQ,679,32.879766,-97.032028,Rwy_04_020,706,32.879753,-97.030074
Txy_Y_004,597,32.91012,-97.047599,Txy_G_Z,633,32.909088,-97.047603
Ramp_01_033,165,32.901112,-97.037461,Ramp_01_034,164,32.901115,-97.037889
Txy_K_EK,224,32.901098,-97.033145,Txy_K_029,223,32.900892,-97.033146
Txy_F_WR,581,32.8791,-97.048981,Txy_F_WQ,582,32.879829,-97.048979
Txy_L_EP,680,32.880508,-97.032023,Rwy_04_019,707,32.880492,-97.030074
Rwy_07_009,766,32.87584,-97.009893,Rwy_07_010,765,32.875074,-97.009898
Ramp_02_035,80,32.903243,-97.04614,Ramp_02_036,79,32.903002,-97.046023
Ramp_01_035,163,32.901116,-97.038323,Gate_A_034,402,32.901835,-97.038356
Ramp_04_035,42,32.89429,-97.045399,Gate_D_014,270,32.895214,-97.045118
Ramp_05_034,109,32.887006,-97.037205,Ramp_05_035,108,32.886933,-97.037602
Ramp_01_014,184,32.906511,-97.034671,Gate_A_018,418,32.906096,-97.035509
Ramp_03_005,160,32.900217,-97.035567,Gate_C_012,393,32.89976,-97.036186
