id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,41.5235027,-93.6769116,n0,Rwy,RW05 ,Entry,RW23 ,End
Rwy_01_002,1,41.5270048,-93.6705172,n1,Rwy,,,,
Rwy_01_003,2,41.5276875,-93.6692941,n2,Rwy,,,,
Rwy_01_004,3,41.5310127,-93.6632323,n3,Rwy,,,,
Rwy_01_005,4,41.5334382,-93.658855,n4,Rwy,,,,
Rwy_01_02,5,41.5340887,-93.6576426,n5,Rwy,,,,
Rwy_01_006,6,41.5347633,-93.6564517,n6,Rwy,,,,
Rwy_01_007,7,41.5365783,-93.653115,n7,Rwy,,,,
Rwy_01_008,8,41.5378633,-93.6507976,n8,Rwy,RW23 ,Entry,RW05 ,End
Txy_P7_001,9,41.5228681,-93.6764631,n9,Txy,,,,
Txy_P_001,10,41.5227396,-93.6758515,n10,Txy,,,,
Txy_P_P6,11,41.5262417,-93.6694732,n11,Txy,,,,
Txy_P_P5,12,41.5269244,-93.6682502,n12,Txy,,,,
Txy_P_P4,13,41.5301131,-93.6624351,n13,Txy,,,,
Txy_P_P3,14,41.5326671,-93.6577466,n14,Txy,,,,
Txy_P_D,15,41.5340244,-93.6553112,n15,Txy,,,,
Txy_P_B,16,41.5356949,-93.6522749,n16,Txy,,,,
Txy_P_P1,17,41.5370039,-93.6498931,n17,Txy,,,,
Rwy_02_001,18,41.529085,-93.6502607,n18,Rwy,RW31 ,Entry,RW13 ,End
Rwy_02_002,19,41.5321049,-93.6547346,n19,Rwy,,,,
Rwy_02_003,20,41.5333498,-93.6565263,n20,Rwy,,,,
Rwy_02_004,21,41.5348596,-93.6587364,n21,Rwy,,,,
Rwy_02_005,22,41.5384013,-93.6639077,n22,Rwy,,,,
Rwy_02_006,23,41.5419186,-93.6690683,n23,Rwy,,,,
Rwy_02_007,24,41.5455401,-93.6743576,n24,Rwy,RW13 ,Entry,RW31 ,End
Txy_D6_001,25,41.5460714,-93.6737523,n25,Txy,,,,
Txy_D_001,26,41.5461196,-93.6730228,n26,Txy,,,,
Txy_D5_D,27,41.5427149,-93.668066,n27,Txy,,,,
Txy_D4_D,28,41.5391815,-93.6629162,n28,Txy,,,,
Txy_D_B,29,41.5372461,-93.6600301,n29,Txy,,,,
Txy_D_R,30,41.5355115,-93.6575196,n30,Txy,,,,
Txy_D_D2,31,41.5328612,-93.6536894,n31,Txy,,,,
Txy_D_D1,32,41.5298734,-93.6492691,n32,Txy,,,,
Txy_R_R3,33,41.5342586,-93.6597512,n33,Txy,,,,
Txy_B_R,34,41.5374858,-93.6539555,n34,Txy,,,,
Txy_R_R1,35,41.5387547,-93.651579,n35,Txy,,,,
Txy_A_001,36,41.5280771,-93.6515468,n36,Txy,,,,
Txy_A_002,37,41.528045,-93.6539501,n37,Txy,,,,
Parking_01_001,38,41.5298521,-93.6566859,n38,Park,,,,
Txy_G_001,39,41.5369497,-93.648929,n39,Txy,,,,
Txy_G_002,40,41.5355844,-93.6488647,n40,Txy,,,,
Ramp_01_001,41,41.5335365,-93.6490148,n41,Ramp,,,,
Ramp_01_002,42,41.5343195,-93.6490256,n42,Ramp,,,,
Ramp_01_003,43,41.5351708,-93.6490417,n43,Ramp,,,,
Ramp_01_004,44,41.5355523,-93.6504901,n44,Ramp,,,,
Ramp_01_005,45,41.5346648,-93.651799,n45,Ramp,,,,
Ramp_01_006,46,41.5338618,-93.6518795,n46,Ramp,,,,
Ramp_01_007,47,41.5330265,-93.6518741,n47,Ramp,,,,
Ramp_01_008,48,41.5321792,-93.6518633,n48,Ramp,,,,
Ramp_01_009,49,41.5311939,-93.6496859,n49,Ramp,,,,
Ramp_01_010,50,41.5320332,-93.6491092,n50,Ramp,,,,
Gate_C_002,51,41.533777,-93.6496658,n51,Gate,,,,
Gate_C_004,52,41.5343583,-93.6498764,n52,Gate,,,,
Gate_C_006,53,41.5348883,-93.6501394,n53,Gate,,,,
Gate_C_007,54,41.5346875,-93.6508126,n54,Gate,,,,
Gate_C_005,55,41.5343934,-93.6508622,n55,Gate,,,,
Gate_C_003,56,41.533771,-93.650582,n56,Gate,,,,
Gate_C_001,57,41.5332901,-93.650409,n57,Gate,,,,
Gate_A_001,58,41.5325552,-93.6504036,n58,Gate,,,,
Gate_A_003,59,41.5321657,-93.6506852,n59,Gate,,,,
Gate_A_005,60,41.5316547,-93.6504264,n60,Gate,,,,
Gate_A_004,61,41.5319318,-93.6498055,n61,Gate,,,,
Gate_A_002,62,41.5327119,-93.6494595,n62,Gate,,,,
Txy_D_F,63,41.531613,-93.651858,n63,Txy,,,,
Txy_D_E,64,41.530613,-93.6503935,n64,Txy,,,,
