n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_007,7,41.5365783,-93.653115,Rwy_01_008,8,41.5378633,-93.6507976
Rwy_01_007,7,41.5365783,-93.653115,Rwy_01_006,6,41.5347633,-93.6564517
Rwy_01_02,5,41.5340887,-93.6576426,Rwy_01_006,6,41.5347633,-93.6564517
Rwy_01_02,5,41.5340887,-93.6576426,Rwy_01_005,4,41.5334382,-93.658855
Rwy_01_004,3,41.5310127,-93.6632323,Rwy_01_005,4,41.5334382,-93.658855
Rwy_01_003,2,41.5276875,-93.6692941,Rwy_01_004,3,41.5310127,-93.6632323
Rwy_01_002,1,41.5270048,-93.6705172,Rwy_01_003,2,41.5276875,-93.6692941
Rwy_01_001,0,41.5235027,-93.6769116,Rwy_01_002,1,41.5270048,-93.6705172
Rwy_01_001,0,41.5235027,-93.6769116,Txy_P7_001,9,41.5228681,-93.6764631
Txy_P7_001,9,41.5228681,-93.6764631,Txy_P_001,10,41.5227396,-93.6758515
Rwy_01_008,8,41.5378633,-93.6507976,Txy_P_P1,17,41.5370039,-93.6498931
Txy_P_B,16,41.5356949,-93.6522749,Txy_P_P1,17,41.5370039,-93.6498931
Rwy_01_007,7,41.5365783,-93.653115,Txy_P_B,16,41.5356949,-93.6522749
Txy_P_D,15,41.5340244,-93.6553112,Txy_P_B,16,41.5356949,-93.6522749
Rwy_01_006,6,41.5347633,-93.6564517,Txy_P_D,15,41.5340244,-93.6553112
Rwy_01_005,4,41.5334382,-93.658855,Txy_P_P3,14,41.5326671,-93.6577466
Txy_P_P4,13,41.5301131,-93.6624351,Txy_P_P3,14,41.5326671,-93.6577466
Rwy_01_004,3,41.5310127,-93.6632323,Txy_P_P4,13,41.5301131,-93.6624351
Txy_P_P5,12,41.5269244,-93.6682502,Txy_P_P4,13,41.5301131,-93.6624351
Rwy_01_002,1,41.5270048,-93.6705172,Txy_P_P6,11,41.5262417,-93.6694732
Rwy_01_003,2,41.5276875,-93.6692941,Txy_P_P5,12,41.5269244,-93.6682502
Txy_P_P5,12,41.5269244,-93.6682502,Txy_P_P6,11,41.5262417,-93.6694732
Txy_P_001,10,41.5227396,-93.6758515,Txy_P_P6,11,41.5262417,-93.6694732
Rwy_02_001,18,41.529085,-93.6502607,Rwy_02_002,19,41.5321049,-93.6547346
Rwy_02_003,20,41.5333498,-93.6565263,Rwy_02_002,19,41.5321049,-93.6547346
Rwy_01_02,5,41.5340887,-93.6576426,Rwy_02_003,20,41.5333498,-93.6565263
Rwy_01_02,5,41.5340887,-93.6576426,Rwy_02_004,21,41.5348596,-93.6587364
Rwy_02_004,21,41.5348596,-93.6587364,Rwy_02_005,22,41.5384013,-93.6639077
Rwy_02_005,22,41.5384013,-93.6639077,Rwy_02_006,23,41.5419186,-93.6690683
Rwy_02_006,23,41.5419186,-93.6690683,Rwy_02_007,24,41.5455401,-93.6743576
Txy_P_P3,14,41.5326671,-93.6577466,Rwy_02_003,20,41.5333498,-93.6565263
Rwy_02_003,20,41.5333498,-93.6565263,Txy_P_D,15,41.5340244,-93.6553112
Rwy_02_007,24,41.5455401,-93.6743576,Txy_D6_001,25,41.5460714,-93.6737523
Txy_D_001,26,41.5461196,-93.6730228,Txy_D6_001,25,41.5460714,-93.6737523
Rwy_02_001,18,41.529085,-93.6502607,Txy_D_D1,32,41.5298734,-93.6492691
Rwy_02_002,19,41.5321049,-93.6547346,Txy_D_D2,31,41.5328612,-93.6536894
Txy_P_D,15,41.5340244,-93.6553112,Txy_D_D2,31,41.5328612,-93.6536894
Rwy_01_005,4,41.5334382,-93.658855,Txy_R_R3,33,41.5342586,-93.6597512
Txy_R_R3,33,41.5342586,-93.6597512,Rwy_01_001,0,41.5235027,-93.6769116
Rwy_02_004,21,41.5348596,-93.6587364,Txy_D_R,30,41.5355115,-93.6575196
Txy_D_R,30,41.5355115,-93.6575196,Rwy_01_001,0,41.5235027,-93.6769116
Txy_D_R,30,41.5355115,-93.6575196,Txy_D_B,29,41.5372461,-93.6600301
Txy_D4_D,28,41.5391815,-93.6629162,Txy_D_B,29,41.5372461,-93.6600301
Rwy_02_005,22,41.5384013,-93.6639077,Txy_D4_D,28,41.5391815,-93.6629162
Txy_D4_D,28,41.5391815,-93.6629162,Txy_D5_D,27,41.5427149,-93.668066
Rwy_02_006,23,41.5419186,-93.6690683,Txy_D5_D,27,41.5427149,-93.668066
Txy_D_001,26,41.5461196,-93.6730228,Txy_D5_D,27,41.5427149,-93.668066
Rwy_01_008,8,41.5378633,-93.6507976,Txy_R_R1,35,41.5387547,-93.651579
Txy_B_R,34,41.5374858,-93.6539555,Txy_R_R1,35,41.5387547,-93.651579
Rwy_01_007,7,41.5365783,-93.653115,Txy_B_R,34,41.5374858,-93.6539555
Txy_D_R,30,41.5355115,-93.6575196,Txy_B_R,34,41.5374858,-93.6539555
Txy_D_B,29,41.5372461,-93.6600301,Txy_B_R,34,41.5374858,-93.6539555
Txy_A_001,36,41.5280771,-93.6515468,Rwy_02_001,18,41.529085,-93.6502607
Txy_A_001,36,41.5280771,-93.6515468,Txy_A_002,37,41.528045,-93.6539501
Parking_01_001,38,41.5298521,-93.6566859,Txy_A_002,37,41.528045,-93.6539501
Txy_G_001,39,41.5369497,-93.648929,Txy_G_002,40,41.5355844,-93.6488647
Txy_P_P1,17,41.5370039,-93.6498931,Txy_G_001,39,41.5369497,-93.648929
Gate_A_002,62,41.5327119,-93.6494595,Ramp_01_010,50,41.5320332,-93.6491092
Gate_A_004,61,41.5319318,-93.6498055,Ramp_01_009,49,41.5311939,-93.6496859
Gate_A_005,60,41.5316547,-93.6504264,Ramp_01_008,48,41.5321792,-93.6518633
