id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_01_001,0,42.231678,-83.345753,n0,Gate,,,,
Gate_01_101,1,42.23124,-83.345892,n1,Gate,,,,
Gate_01_002,2,42.230726,-83.34648,n2,Gate,,,,
Gate_01_102,3,42.230473,-83.346397,n3,Gate,,,,
Gate_01_003,4,42.222381,-83.352372,n4,Gate,,,,
Gate_01_205,5,42.221512,-83.352538,n5,Gate,,,,
Gate_01_105,6,42.221522,-83.353,n6,Gate,,,,
Gate_01_006,7,42.221813,-83.352296,n7,Gate,,,,
Gate_01_007,8,42.221981,-83.351768,n8,Gate,,,,
Gate_01_008,9,42.222026,-83.351198,n9,Gate,,,,
Gate_01_009,10,42.222153,-83.350824,n10,Gate,,,,
Gate_01_010,11,42.220595,-83.350672,n11,Gate,,,,
Gate_01_011,12,42.220623,-83.351032,n12,Gate,,,,
Gate_01_012,13,42.220544,-83.351431,n13,Gate,,,,
Gate_01_013,14,42.220425,-83.351698,n14,Gate,,,,
Gate_01_014,15,42.219944,-83.351687,n15,Gate,,,,
Gate_01_015,16,42.21976,-83.351533,n16,Gate,,,,
Gate_01_016,17,42.219782,-83.351226,n17,Gate,,,,
Gate_01_017,18,42.219712,-83.350781,n18,Gate,,,,
Gate_01_018,19,42.21981,-83.350421,n19,Gate,,,,
Gate_01_019,20,42.22051,-83.348952,n20,Gate,,,,
Gate_01_020,21,42.220296,-83.348633,n21,Gate,,,,
Gate_01_021,22,42.219954,-83.347956,n22,Gate,,,,
Gate_01_027,23,42.220461,-83.347632,n23,Gate,,,,
Gate_01_028,24,42.220279,-83.347194,n24,Gate,,,,
Gate_01_029,25,42.220059,-83.346978,n25,Gate,,,,
Gate_01_022,26,42.219457,-83.347946,n26,Gate,,,,
Gate_01_023,27,42.219122,-83.348273,n27,Gate,,,,
Gate_01_024,28,42.21888,-83.347758,n28,Gate,,,,
Gate_01_025,29,42.219205,-83.347472,n29,Gate,,,,
Gate_01_026,30,42.219543,-83.347238,n30,Gate,,,,
