id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_Z_025,0,40.700581,-74.157432,n0,Txy,,,,
Txy_K_015,1,40.698027,-74.159197,n1,Txy,,,,
Parking_08_002,2,40.685029,-74.177492,n2,Park,,,,
Parking_08_001,3,40.684219,-74.183537,n3,Park,,,,
Parking_08_003,4,40.684539,-74.187237,n4,Park,,,,
Rwy_03_102,5,40.701255,-74.157352,n5,Rwy,RW29 ,Entry,RW11 ,End
Txy_H_002,6,40.694045,-74.1687,n6,Txy,,,,
Txy_V_007,7,40.679593,-74.174081,n7,Txy,,,,
Txy_R_107,8,40.697261,-74.166648,n8,Txy,,,,
Txy_R_007,9,40.697917,-74.166715,n9,Txy,,,,
Txy_B_101,10,40.699691,-74.175462,n10,Txy,,,,
Txy_RK_002,11,40.699243,-74.175219,n11,Txy,,,,
Txy_RC_001,12,40.686133,-74.176029,n12,Txy,,,,
Txy_DK_001,13,40.687389,-74.175165,n13,Txy,,,,
Txy_A_214,14,40.689499,-74.173273,n14,Txy,,,,
Txy_RD_001,15,40.688302,-74.174579,n15,Txy,,,,
Txy_Q_R,16,40.698385,-74.166422,n16,Txy,,,,
Txy_Q_004,17,40.701156,-74.16611,n17,Txy,,,,
Txy_Q_002,18,40.70259,-74.165948,n18,Txy,,,,
Txy_U_006,19,40.701652,-74.173558,n19,Txy,,,,
Txy_U_003,20,40.702753,-74.173434,n20,Txy,,,,
Txy_T_002,21,40.701537,-74.171983,n21,Txy,,,,
Txy_BB_002,22,40.701934,-74.177994,n22,Txy,,,,
Txy_AA_005,23,40.677836,-74.174623,n23,Txy,,,,
Txy_AA_004,24,40.678235,-74.174943,n24,Txy,,,,
Txy_AA_002,25,40.679336,-74.175835,n25,Txy,,,,
Txy_V_002,26,40.680247,-74.177458,n26,Txy,,,,
Txy_V_005,27,40.679608,-74.175648,n27,Txy,,,,
Txy_V_AA,28,40.679789,-74.176231,n28,Txy,,,,
Txy_PC_004,29,40.67626,-74.177785,n29,Txy,,,,
Txy_PC_002,30,40.676929,-74.179577,n30,Txy,,,,
Txy_PB_005,31,40.677356,-74.177082,n31,Txy,,,,
Txy_PB_003,32,40.678017,-74.178864,n32,Txy,,,,
Txy_RB_006,33,40.680912,-74.179219,n33,Txy,,,,
Txy_F_002,34,40.687326,-74.172964,n34,Txy,,,,
Txy_N_011,35,40.682038,-74.17312,n35,Txy,,,,
Txy_N_009,36,40.681453,-74.174493,n36,Txy,,,,
Txy_N_006,37,40.68211,-74.176279,n37,Txy,,,,
Txy_C_001,38,40.682822,-74.175845,n38,Txy,,,,
Txy_E_003,39,40.686893,-74.173244,n39,Txy,,,,
Txy_G_007,40,40.689773,-74.167599,n40,Txy,,,,
Txy_G_005,41,40.69025,-74.16889,n41,Txy,,,,
Txy_G_003,42,40.690916,-74.170688,n42,Txy,,,,
Txy_J_010,43,40.692469,-74.165913,n43,Txy,,,,
Txy_J_008,44,40.694093,-74.166447,n44,Txy,,,,
Txy_J_005,45,40.694752,-74.168249,n45,Txy,,,,
Txy_Y_016,46,40.697415,-74.160504,n46,Txy,,,,
Txy_K_013,47,40.695302,-74.161089,n47,Txy,,,,
Txy_K_011,48,40.694985,-74.162038,n48,Txy,,,,
Txy_K_008,49,40.69562,-74.163882,n49,Txy,,,,
Txy_K_006,50,40.696088,-74.165175,n50,Txy,,,,
Txy_M_004,51,40.698635,-74.165214,n51,Txy,,,,
Txy_L_003,52,40.698314,-74.162456,n52,Txy,,,,
Txy_Y_L,53,40.698033,-74.162178,n53,Txy,,,,
Txy_Y_012,54,40.698216,-74.162642,n54,Txy,,,,
Txy_Y_010,55,40.69856,-74.163579,n55,Txy,,,,
Txy_Y_008,56,40.69922,-74.16538,n56,Txy,,,,
Txy_Y_U,57,40.700418,-74.173694,n57,Txy,,,,
Txy_Y_RL,58,40.700611,-74.17669,n58,Txy,,,,
Txy_Y_RM,59,40.700915,-74.181183,n59,Txy,,,,
Txy_RM_001,60,40.700418,-74.181374,n60,Txy,,,,
Txy_W_012,61,40.700128,-74.161015,n61,Txy,,,,
Txy_W_010,62,40.700633,-74.164493,n62,Txy,,,,
Txy_W_002,63,40.701688,-74.180435,n63,Txy,,,,
Txy_W_RL,64,40.701434,-74.176593,n64,Txy,,,,
Txy_Z_022,65,40.702328,-74.156544,n65,Txy,,,,
Txy_Z_020,66,40.702557,-74.158352,n66,Txy,,,,
Txy_Z_019,67,40.702525,-74.159489,n67,Txy,,,,
Txy_Z_018,68,40.70261,-74.161152,n68,Txy,,,,
Txy_Z_117,69,40.703243,-74.162273,n69,Txy,,,,
Txy_Z_016,70,40.702773,-74.163644,n70,Txy,,,,
Txy_Z_002,71,40.703694,-74.179814,n71,Txy,,,,
Txy_P_018,72,40.680714,-74.174454,n72,Txy,,,,
Txy_P_N,73,40.682163,-74.173532,n73,Txy,,,,
Txy_P_014,74,40.683709,-74.172553,n74,Txy,,,,
Txy_P_013,75,40.686083,-74.171044,n75,Txy,,,,
Txy_P_008,76,40.696281,-74.164548,n76,Txy,,,,
Txy_P_005,77,40.699587,-74.162438,n77,Txy,,,,
Txy_P_003,78,40.70078,-74.161684,n78,Txy,,,,
Txy_P_002,79,40.702169,-74.160807,n79,Txy,,,,
Txy_R_Z,80,40.702837,-74.164549,n80,Txy,,,,
Txy_R_008,81,40.701069,-74.164757,n81,Txy,,,,
Txy_D_002,82,40.682492,-74.176536,n82,Txy,,,,
Txy_PA_003,83,40.680759,-74.178831,n83,Txy,,,,
Txy_B_N,84,40.683374,-74.177526,n84,Txy,,,,
Txy_B_PA,85,40.683611,-74.177023,n85,Txy,,,,
Txy_B_D,86,40.6856,-74.174571,n86,Txy,,,,
Txy_B_017,87,40.687785,-74.173176,n87,Txy,,,,
Txy_B_016,88,40.688819,-74.172517,n88,Txy,,,,
Ramp_03_154,89,40.699781,-74.176787,n89,Ramp,,,,
Txy_B_RK,90,40.699647,-74.174752,n90,Txy,,,,
Txy_B_K,91,40.696181,-74.170123,n91,Txy,,,,
Txy_B_R,92,40.693308,-74.169653,n92,Txy,,,,
Txy_S_004,93,40.702678,-74.1672,n93,Txy,,,,
Txy_S_010,94,40.698293,-74.167711,n94,Txy,,,,
Txy_A_023,95,40.684127,-74.184718,n95,Txy,,,,
Txy_A_021,96,40.683467,-74.182072,n96,Txy,,,,
Txy_A_017,97,40.685467,-74.175855,n97,Txy,,,,
Txy_A_117,98,40.685952,-74.175544,n98,Txy,,,,
Txy_A_015,99,40.688137,-74.174142,n99,Txy,,,,
Txy_A_010,100,40.693872,-74.170512,n100,Txy,,,,
Txy_A_K,101,40.695925,-74.171037,n101,Txy,,,,
Ramp_03_016,102,40.699044,-74.175425,n102,Ramp,,,,
Rwy_01_010,103,40.6799,-74.172762,n103,Rwy,,,,
Rwy_01_009,104,40.683,-74.170795,n104,Rwy,,,,
Txy_Z_011,105,40.703063,-74.168047,n105,Txy,,,,
Txy_Z_U,106,40.703423,-74.173361,n106,Txy,,,,
Txy_Z_009,107,40.703482,-74.174546,n107,Txy,,,,
Txy_S_002,108,40.702977,-74.166785,n108,Txy,,,,
Gate_C_088,109,40.693655,-74.172133,n109,Gate,,,,
Ramp_03_030,110,40.697637,-74.181024,n110,Ramp,,,,
Ramp_03_029,111,40.698463,-74.181546,n111,Ramp,,,,
Ramp_03_028,112,40.69898,-74.18185,n112,Ramp,,,,
Ramp_03_027,113,40.700142,-74.181491,n113,Ramp,,,,
Ramp_03_026,114,40.700026,-74.18043,n114,Ramp,,,,
Ramp_03_025,115,40.69989,-74.178423,n115,Ramp,,,,
Ramp_03_024,116,40.699849,-74.177779,n116,Ramp,,,,
Ramp_03_023,117,40.699206,-74.176155,n117,Ramp,,,,
Ramp_03_022,118,40.698683,-74.17692,n118,Ramp,,,,
Ramp_03_021,119,40.698288,-74.177371,n119,Ramp,,,,
Ramp_03_020,120,40.697461,-74.177088,n120,Ramp,,,,
Ramp_03_019,121,40.69802,-74.176717,n121,Ramp,,,,
Ramp_03_018,122,40.698304,-74.176414,n122,Ramp,,,,
