n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_W_RL,64,40.701434,-74.176593,Txy_W_U,289,40.701235,-74.173611
Txy_B_RB,321,40.682658,-74.180409,Txy_RB_004,323,40.681771,-74.179804
Rwy_01_005,426,40.695283,-74.162996,Rwy_01_006,427,40.690943,-74.165752
Txy_J_010,43,40.692469,-74.165913,Rwy_01_006,427,40.690943,-74.165752
Gate_B_072,256,40.692567,-74.174527,Ramp_02_021,431,40.693041,-74.174536
Rwy_02_008,412,40.694419,-74.167334,Rwy_02_009,413,40.692324,-74.168672
Ramp_03_141,457,40.698528,-74.176164,Ramp_03_017,123,40.698648,-74.176025
Txy_RB_004,323,40.681771,-74.179804,Txy_RB_006,33,40.680912,-74.179219
Ramp_02_001,154,40.688103,-74.178463,Ramp_02_002,156,40.687305,-74.178468
Txy_Z_217,433,40.702669,-74.162088,Rwy_02_001,407,40.702357,-74.162302
Txy_PA_010,344,40.67663,-74.181455,Txy_D_009,343,40.676296,-74.180473
Rwy_01_003,424,40.699803,-74.160105,Rwy_01_004,425,40.697748,-74.161422
Txy_RK_002,11,40.699243,-74.175219,Txy_B_RK,90,40.699647,-74.174752
Txy_Z_U,106,40.703423,-74.173361,Txy_U_002,293,40.703086,-74.173396
Txy_B_015,287,40.689833,-74.171872,Txy_B_016,88,40.688819,-74.172517
Txy_W_BB,334,40.701591,-74.178959,Txy_W_RL,64,40.701434,-74.176593
Txy_T_002,21,40.701537,-74.171983,Rwy_03_010,400,40.702118,-74.170354
Txy_K_011,48,40.694985,-74.162038,Txy_K_012,376,40.695092,-74.161399
Rwy_03_007,403,40.70174,-74.164672,Rwy_02_03,395,40.701613,-74.162775
Txy_B_K,91,40.696181,-74.170123,Txy_S_J,349,40.695257,-74.169618
Ramp_03_027,113,40.700142,-74.181491,Ramp_03_026,114,40.700026,-74.18043
Txy_Y_L,53,40.698033,-74.162178,Rwy_01_105,436,40.695588,-74.162791
Txy_C_001,38,40.682822,-74.175845,Rwy_02_013,417,40.683803,-74.174121
Txy_P_N,73,40.682163,-74.173532,Txy_N_011,35,40.682038,-74.17312
Txy_V_007,7,40.679593,-74.174081,Txy_P_V,359,40.679543,-74.175207
Txy_PA_006,382,40.679305,-74.179759,Txy_PA_PB,342,40.67853,-74.180257
Txy_P_E,390,40.68627,-74.170919,Txy_P_013,75,40.686083,-74.171044
Ramp_03_157,451,40.699931,-74.179094,Gate_C_139,186,40.699145,-74.179207
Txy_ZB_002,303,40.702128,-74.159784,Rwy_01_03,396,40.701371,-74.159123
Txy_K_015,1,40.698027,-74.159197,Txy_Y_K,278,40.697158,-74.159808
Gate_A_035,233,40.685989,-74.178963,Ramp_01_018,159,40.685521,-74.178132
Txy_P_008,76,40.696281,-74.164548,Txy_P_K,279,40.695941,-74.164762
Txy_B_K,91,40.696181,-74.170123,Txy_S_K,361,40.696525,-74.168811
Rwy_02_015,419,40.679916,-74.176569,Rwy_02_016,420,40.677696,-74.177973
Ramp_02_011,146,40.689025,-74.176532,Ramp_02_012,148,40.688686,-74.175627
Ramp_01_004,173,40.687513,-74.186864,Ramp_01_005,171,40.68651,-74.187054
Gate_C_083,221,40.694372,-74.172308,Ramp_03_104,337,40.694523,-74.171193
Txy_PD_001,319,40.675868,-74.180279,Rwy_02_019,422,40.675529,-74.179351
Txy_RF_001,333,40.692536,-74.171872,Txy_A_011,311,40.69238,-74.171447
Txy_V_AA,28,40.679789,-74.176231,Txy_V_005,27,40.679608,-74.175648
