n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,46.908389,-96.816436,Rwy_01_02,1,46.910405,-96.816393
Rwy_01_002,2,46.914663,-96.816329,Rwy_01_02,1,46.910405,-96.816393
Rwy_01_002,2,46.914663,-96.816329,Rwy_01_003,3,46.916913,-96.816329
Rwy_01_004,4,46.924973,-96.816222,Rwy_01_003,3,46.916913,-96.816329
Rwy_01_03,5,46.927076,-96.816222,Rwy_01_004,4,46.924973,-96.816222
Rwy_01_03,5,46.927076,-96.816222,Rwy_01_005,6,46.92819,-96.816179
Rwy_01_005,6,46.92819,-96.816179,Rwy_01_006,7,46.932725,-96.816114
Rwy_03_001,8,46.927134,-96.827152,Rwy_03_002,9,46.92712,-96.81947
Rwy_03_002,9,46.92712,-96.81947,Rwy_01_03,5,46.927076,-96.816222
Rwy_01_03,5,46.927076,-96.816222,Rwy_03_003,10,46.927076,-96.813334
Rwy_03_003,10,46.927076,-96.813334,Rwy_03_004,11,46.927076,-96.806896
Rwy_03_004,11,46.927076,-96.806896,Rwy_03_005,12,46.927047,-96.80224
Rwy_02_005,17,46.914094,-96.821466,Rwy_02_004,16,46.912739,-96.819653
Rwy_02_004,16,46.912739,-96.819653,Rwy_01_02,1,46.910405,-96.816393
Rwy_01_02,1,46.910405,-96.816393,Rwy_02_003,15,46.908546,-96.813956
Rwy_02_002,14,46.908282,-96.813623,Rwy_02_003,15,46.908546,-96.813956
Rwy_02_002,14,46.908282,-96.813623,Rwy_02_001,13,46.90656,-96.811284
Txy_F_001,18,46.907403,-96.809836,Rwy_02_001,13,46.90656,-96.811284
Rwy_02_002,14,46.908282,-96.813623,Txy_G_001,19,46.90826,-96.810501
Rwy_01_001,0,46.908389,-96.816436,Rwy_02_002,14,46.908282,-96.813623
Rwy_02_003,15,46.908546,-96.813956,Txy_D_001,20,46.908928,-96.813376
Txy_D_B,21,46.91128,-96.809879,Txy_D_001,20,46.908928,-96.813376
Txy_D_B,21,46.91128,-96.809879,Txy_B_001,22,46.909301,-96.809857
Txy_D_B,21,46.91128,-96.809879,Txy_B_002,23,46.91386,-96.813505
Txy_B_002,23,46.91386,-96.813505,Txy_B_B3,24,46.916923,-96.813494
Rwy_01_003,3,46.916913,-96.816329,Txy_B_B3,24,46.916923,-96.813494
Txy_A4_A,25,46.908422,-96.819674,Rwy_01_001,0,46.908389,-96.816436
Txy_A4_A,25,46.908422,-96.819674,Rwy_02_004,16,46.912739,-96.819653
Rwy_02_004,16,46.912739,-96.819653,Txy_A3_A,26,46.914681,-96.819674
Txy_A3_A,26,46.914681,-96.819674,Rwy_01_002,2,46.914663,-96.816329
Rwy_01_004,4,46.924973,-96.816222,Txy_B_E,27,46.925013,-96.813355
Txy_A_E,28,46.925043,-96.819492,Rwy_01_004,4,46.924973,-96.816222
Txy_B_B3,24,46.916923,-96.813494,Txy_B_E,27,46.925013,-96.813355
Txy_A3_A,26,46.914681,-96.819674,Txy_A_002,29,46.92109,-96.819529
Txy_A_002,29,46.92109,-96.819529,Txy_A_E,28,46.925043,-96.819492
Txy_A_E,28,46.925043,-96.819492,Rwy_03_002,9,46.92712,-96.81947
Txy_B_E,27,46.925013,-96.813355,Rwy_03_003,10,46.927076,-96.813334
Txy_J_001,30,46.921837,-96.827103,Rwy_03_001,8,46.927134,-96.827152
Txy_T_001,31,46.92106,-96.824099,Txy_A_002,29,46.92109,-96.819529
Rwy_03_001,8,46.927134,-96.827152,Txy_C_C5,32,46.928234,-96.827103
Rwy_03_002,9,46.92712,-96.81947,Txy_C_A,33,46.928204,-96.819454
Txy_C_C4,35,46.928234,-96.823262,Txy_C_C5,32,46.928234,-96.827103
Txy_C4_001,34,46.928805,-96.823262,Txy_C_C4,35,46.928234,-96.823262
Txy_C_C4,35,46.928234,-96.823262,Txy_C_A,33,46.928204,-96.819454
Rwy_01_005,6,46.92819,-96.816179,Txy_C_A,33,46.928204,-96.819454
Rwy_01_005,6,46.92819,-96.816179,Txy_C_B,36,46.928175,-96.813338
Rwy_03_003,10,46.927076,-96.813334,Txy_C_B,36,46.928175,-96.813338
Txy_C_B,36,46.928175,-96.813338,Txy_C_C3,38,46.928168,-96.810452
Txy_C_C3,38,46.928168,-96.810452,Txy_C3_001,37,46.928739,-96.810442
Txy_C_C3,38,46.928168,-96.810452,Txy_C_C2,40,46.928146,-96.80689
Txy_C2_001,39,46.928798,-96.80689,Txy_C_C2,40,46.928146,-96.80689
Rwy_03_004,11,46.927076,-96.806896,Txy_C_C2,40,46.928146,-96.80689
Rwy_03_005,12,46.927047,-96.80224,Txy_C_001,41,46.928087,-96.802234
Txy_C_C2,40,46.928146,-96.80689,Txy_C_001,41,46.928087,-96.802234
Txy_B_003,42,46.931853,-96.813277,Txy_B1_001,43,46.932689,-96.814301
Rwy_01_006,7,46.932725,-96.816114,Txy_B1_001,43,46.932689,-96.814301
Txy_C_B,36,46.928175,-96.813338,Txy_B_003,42,46.931853,-96.813277
Txy_A1_001,45,46.932789,-96.818949,Rwy_01_006,7,46.932725,-96.816114
Txy_C_A,33,46.928204,-96.819454,Txy_A_001,44,46.93258,-96.819399
Txy_A1_001,45,46.932789,-96.818949,Txy_A_001,44,46.93258,-96.819399
Ramp_01_001,46,46.92111,-96.824909,Txy_T_001,31,46.92106,-96.824099
Ramp_01_001,46,46.92111,-96.824909,Ramp_01_002,47,46.921152,-96.826698
Txy_J_001,30,46.921837,-96.827103,Ramp_01_002,47,46.921152,-96.826698
Ramp_01_002,47,46.921152,-96.826698,Gate_01_005,52,46.920184,-96.826765
Ramp_01_002,47,46.921152,-96.826698,Gate_01_004,51,46.920248,-96.826175
Ramp_01_002,47,46.921152,-96.826698,Gate_01_003,50,46.920503,-96.825912
Ramp_01_001,46,46.92111,-96.824909,Gate_01_002,49,46.92049,-96.825348
Ramp_01_001,46,46.92111,-96.824909,Gate_01_001,48,46.920219,-96.824949
