id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,26.07694,-80.16643,n0,Rwy,,,,
Rwy_01_002,1,26.076931,-80.16472,n1,Rwy,RW10L,Entry,RW28R,End
Rwy_01_003,2,26.076921,-80.163027,n2,Rwy,,,,
Rwy_01_004,3,26.076896,-80.160984,n3,Rwy,,,,
Rwy_01_005,4,26.076904,-80.159945,n4,Rwy,,,,
Rwy_01_02,5,26.076885,-80.158184,n5,Rwy,,,,
Rwy_01_006,6,26.076883,-80.156477,n6,Rwy,,,,
Rwy_01_007,7,26.076851,-80.151234,n7,Rwy,,,,
Rwy_01_008,8,26.076843,-80.1504,n8,Rwy,,,,
Rwy_01_009,9,26.076816,-80.145085,n9,Rwy,,,,
Rwy_01_010,10,26.076806,-80.142296,n10,Rwy,,,,
Rwy_01_011,11,26.076797,-80.140996,n11,Rwy,RW28R,Entry,RW10L,End
Rwy_01_012,12,26.076792,-80.139241,n12,Rwy,,,,
Rwy_02_001,13,26.078628,-80.16009,n13,Rwy,,,,
Rwy_02_002,14,26.078144,-80.159555,n14,Rwy,,,,
Rwy_02_003,15,26.075644,-80.156839,n15,Rwy,,,,
Rwy_02_007,16,26.070559,-80.151274,n16,Rwy,,,,
Rwy_02_009,17,26.067143,-80.147523,n17,Rwy,,,,
Rwy_02_03,18,26.065887,-80.146165,n18,Rwy,,,,
Rwy_03_001,19,26.065968,-80.160149,n19,Rwy,,,,
Rwy_03_002,20,26.065959,-80.159152,n20,Rwy,RW10R,Entry,RW28L,End
Rwy_03_003,21,26.065947,-80.157376,n21,Rwy,,,,
Rwy_03_004,22,26.065928,-80.153672,n22,Rwy,,,,
Rwy_03_005,23,26.065913,-80.151315,n23,Rwy,,,,
Rwy_03_006,24,26.065904,-80.147924,n24,Rwy,,,,
Rwy_03_007,25,26.065932,-80.142252,n25,Rwy,,,,
Rwy_03_008,26,26.065908,-80.13574,n26,Rwy,RW28L,Entry,RW10R,End
Txy_A_001,27,26.077826,-80.166365,n27,Txy,,,,
Txy_A_002,28,26.078044,-80.164156,n28,Txy,,,,
Txy_A_A1,29,26.078155,-80.162998,n29,Txy,,,,
Txy_A_E,30,26.078153,-80.161302,n30,Txy,,,,
Txy_A_003,31,26.078153,-80.160661,n31,Txy,,,,
Txy_A_004,32,26.078133,-80.158494,n32,Txy,,,,
Txy_A_D,33,26.078131,-80.157837,n33,Txy,,,,
Txy_A_005,34,26.078128,-80.157001,n34,Txy,,,,
Txy_A_006,35,26.07811,-80.153749,n35,Txy,,,,
Txy_A_007,36,26.078098,-80.152072,n36,Txy,,,,
Txy_A_Q,37,26.078096,-80.151222,n37,Txy,,,,
Txy_A_008,38,26.07809,-80.150603,n38,Txy,,,,
Txy_A_009,39,26.078085,-80.14942,n39,Txy,,,,
Txy_A_010,40,26.078076,-80.148261,n40,Txy,,,,
Txy_A_011,41,26.078072,-80.147103,n41,Txy,,,,
Txy_A_012,42,26.078061,-80.145443,n42,Txy,,,,
Txy_A_013,43,26.078056,-80.145091,n43,Txy,,,,
Txy_A_014,44,26.078052,-80.143876,n44,Txy,,,,
Txy_A_015,45,26.078046,-80.142744,n45,Txy,,,,
Txy_A_016,46,26.078041,-80.142296,n46,Txy,,,,
Txy_A_017,47,26.078022,-80.139232,n47,Txy,,,,
Txy_A_018,48,26.077651,-80.139226,n48,Txy,,,,
Txy_A1_001,49,26.077672,-80.163008,n49,Txy,,,,
Txy_A4_001,50,26.077581,-80.145069,n50,Txy,,,,
Txy_A5_001,51,26.077575,-80.14229,n51,Txy,,,,
Txy_B_001,52,26.076069,-80.166426,n52,Txy,,,,
Txy_B_002,53,26.075693,-80.164799,n53,Txy,,,,
Txy_B_003,54,26.07569,-80.163383,n54,Txy,,,,
Txy_B_004,55,26.075674,-80.161776,n55,Txy,,,,
Txy_B_005,56,26.075666,-80.159685,n56,Txy,,,,
Txy_B_E,57,26.075657,-80.158573,n57,Txy,,,,
Txy_B_006,58,26.075653,-80.157889,n58,Txy,,,,
Txy_B_007,59,26.075641,-80.155764,n59,Txy,,,,
Txy_B_D,60,26.075639,-80.155109,n60,Txy,,,,
Txy_B_Q,61,26.075616,-80.151242,n61,Txy,,,,
Txy_B_009,62,26.075604,-80.149667,n62,Txy,,,,
Txy_B_S,63,26.075598,-80.148141,n63,Txy,,,,
Txy_B_T4,64,26.0756,-80.147587,n64,Txy,,,,
Txy_B_T3,65,26.07558,-80.145212,n65,Txy,,,,
Txy_B_010,66,26.075579,-80.144288,n66,Txy,,,,
Txy_B_B4,67,26.075566,-80.142704,n67,Txy,,,,
Txy_B_B5,68,26.07557,-80.142306,n68,Txy,,,,
Txy_B_011,69,26.075553,-80.140979,n69,Txy,,,,
Txy_B_T1,70,26.075553,-80.139902,n70,Txy,,,,
