id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_002,0,43.577578,-96.749,n0,Rwy,,,,
Rwy_01_02,1,43.585637,-96.741254,n1,Rwy,,,,
Rwy_01_003,2,43.578138,-96.748431,n2,Rwy,RW09 ,Entry,RW27 ,End
Rwy_01_004,3,43.582047,-96.744687,n3,Rwy,,,,
Rwy_01_001,4,43.572782,-96.75357,n4,Rwy,RW03 ,Entry,RW21 ,End
Rwy_01_005,5,43.586695,-96.740243,n5,Rwy,,,,
Rwy_01_006,6,43.590386,-96.736713,n6,Rwy,,,,
Rwy_01_007,7,43.592787,-96.734396,n7,Rwy,RW21 ,Entry,RW03 ,End
Rwy_02_001,8,43.573399,-96.73337,n8,Rwy,RW33 ,Entry,RW15 ,End
Rwy_02_002,9,43.575956,-96.735001,n9,Rwy,,,,
Rwy_02_003,10,43.580254,-96.737791,n10,Rwy,,,,
Rwy_02_004,11,43.583752,-96.740044,n11,Rwy,,,,
Rwy_02_005,12,43.589735,-96.743906,n12,Rwy,,,,
Rwy_02_006,13,43.59303,-96.745998,n13,Rwy,RW15 ,Entry,RW33 ,End
Rwy_03_001,14,43.576057,-96.736287,n14,Rwy,RW27 ,Entry,RW09 ,End
Rwy_03_002,15,43.577759,-96.746136,n15,Rwy,,,,
Txy_A1_001,16,43.573904,-96.732521,n16,Txy,,,,
Txy_A_001,17,43.57479,-96.732596,n17,Txy,,,,
Txy_A_A2,18,43.576904,-96.73398,n18,Txy,,,,
Txy_M_A,19,43.580674,-96.736394,n19,Txy,,,,
Txy_A_D,20,43.582236,-96.737392,n20,Txy,,,,
Txy_D_001,21,43.582764,-96.735954,n21,Txy,,,,
Txy_A_B,22,43.584793,-96.739055,n22,Txy,,,,
Txy_E_001,23,43.584793,-96.735804,n23,Txy,,,,
Txy_A_L,24,43.588488,-96.74141,n24,Txy,,,,
Txy_A_A3,25,43.590147,-96.74252,n25,Txy,,,,
Txy_A_A4,26,43.591258,-96.743207,n26,Txy,,,,
Txy_A_A5,27,43.593372,-96.744655,n27,Txy,,,,
Txy_L_L1,28,43.590769,-96.739259,n28,Txy,,,,
Txy_L1_001,29,43.591025,-96.739892,n29,Txy,,,,
Txy_L_K,30,43.593776,-96.736384,n30,Txy,,,,
Txy_B5_001,31,43.59202,-96.732961,n31,Txy,,,,
Txy_B_001,32,43.591418,-96.732655,n32,Txy,,,,
Txy_B_B4,33,43.589397,-96.734737,n33,Txy,,,,
Txy_B_B3,34,43.581097,-96.742751,n34,Txy,,,,
Txy_B_B2,35,43.576698,-96.747279,n35,Txy,,,,
Txy_B1_001,36,43.572298,-96.752673,n36,Txy,,,,
Txy_B_002,37,43.572259,-96.751482,n37,Txy,,,,
Txy_B_C,38,43.576239,-96.747684,n38,Txy,,,,
Txy_C_C2,39,43.574327,-96.736655,n39,Txy,,,,
Txy_C1_001,40,43.573071,-96.734336,n40,Txy,,,,
Ramp_01_001,41,43.581366,-96.733002,n41,Ramp,,,,
Ramp_01_002,42,43.580355,-96.73541,n42,Ramp,,,,
Ramp_01_003,43,43.579512,-96.733426,n43,Ramp,,,,
Gate_01_001,44,43.579742,-96.732277,n44,Gate,,,,
Gate_01_003,45,43.579988,-96.73276,n45,Gate,,,,
Gate_01_005,46,43.580306,-96.733906,n46,Gate,,,,
Gate_01_007,47,43.580589,-96.734096,n47,Gate,,,,
Gate_01_006,48,43.58091,-96.733673,n48,Gate,,,,
Gate_01_004,49,43.580659,-96.733219,n49,Gate,,,,
Gate_01_002,50,43.580424,-96.732568,n50,Gate,,,,
