n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,4,43.572782,-96.75357,Rwy_01_002,0,43.577578,-96.749
Rwy_01_003,2,43.578138,-96.748431,Rwy_01_002,0,43.577578,-96.749
Rwy_01_004,3,43.582047,-96.744687,Rwy_01_003,2,43.578138,-96.748431
Rwy_01_02,1,43.585637,-96.741254,Rwy_01_004,3,43.582047,-96.744687
Rwy_01_005,5,43.586695,-96.740243,Rwy_01_02,1,43.585637,-96.741254
Rwy_01_005,5,43.586695,-96.740243,Rwy_01_006,6,43.590386,-96.736713
Rwy_01_007,7,43.592787,-96.734396,Rwy_01_006,6,43.590386,-96.736713
Rwy_02_001,8,43.573399,-96.73337,Rwy_02_002,9,43.575956,-96.735001
Rwy_02_003,10,43.580254,-96.737791,Rwy_02_002,9,43.575956,-96.735001
Rwy_02_004,11,43.583752,-96.740044,Rwy_02_003,10,43.580254,-96.737791
Rwy_01_02,1,43.585637,-96.741254,Rwy_02_004,11,43.583752,-96.740044
Rwy_01_02,1,43.585637,-96.741254,Rwy_02_005,12,43.589735,-96.743906
Rwy_02_006,13,43.59303,-96.745998,Rwy_02_005,12,43.589735,-96.743906
Rwy_03_001,14,43.576057,-96.736287,Rwy_03_002,15,43.577759,-96.746136
Rwy_03_001,14,43.576057,-96.736287,Rwy_02_002,9,43.575956,-96.735001
Rwy_01_003,2,43.578138,-96.748431,Rwy_03_002,15,43.577759,-96.746136
Rwy_02_001,8,43.573399,-96.73337,Txy_A1_001,16,43.573904,-96.732521
Txy_A1_001,16,43.573904,-96.732521,Txy_A_001,17,43.57479,-96.732596
Txy_A_A2,18,43.576904,-96.73398,Txy_A_001,17,43.57479,-96.732596
Rwy_02_002,9,43.575956,-96.735001,Txy_A_A2,18,43.576904,-96.73398
Rwy_02_003,10,43.580254,-96.737791,Txy_M_A,19,43.580674,-96.736394
Txy_A_A2,18,43.576904,-96.73398,Txy_M_A,19,43.580674,-96.736394
Txy_A_D,20,43.582236,-96.737392,Txy_M_A,19,43.580674,-96.736394
Txy_A_D,20,43.582236,-96.737392,Txy_D_001,21,43.582764,-96.735954
Txy_A_D,20,43.582236,-96.737392,Txy_A_B,22,43.584793,-96.739055
Rwy_02_004,11,43.583752,-96.740044,Txy_A_B,22,43.584793,-96.739055
Txy_A_B,22,43.584793,-96.739055,Rwy_01_005,5,43.586695,-96.740243
Txy_A_B,22,43.584793,-96.739055,Txy_E_001,23,43.584793,-96.735804
Rwy_01_005,5,43.586695,-96.740243,Txy_A_L,24,43.588488,-96.74141
Txy_A_A3,25,43.590147,-96.74252,Txy_A_L,24,43.588488,-96.74141
Rwy_02_005,12,43.589735,-96.743906,Txy_A_A3,25,43.590147,-96.74252
Txy_A_A3,25,43.590147,-96.74252,Txy_A_A4,26,43.591258,-96.743207
Txy_A_A4,26,43.591258,-96.743207,Txy_A_A5,27,43.593372,-96.744655
Rwy_02_006,13,43.59303,-96.745998,Txy_A_A5,27,43.593372,-96.744655
Txy_A_L,24,43.588488,-96.74141,Txy_L_L1,28,43.590769,-96.739259
Txy_L_L1,28,43.590769,-96.739259,Txy_L1_001,29,43.591025,-96.739892
Rwy_01_007,7,43.592787,-96.734396,Txy_L_K,30,43.593776,-96.736384
Txy_L_L1,28,43.590769,-96.739259,Txy_L_K,30,43.593776,-96.736384
Rwy_01_007,7,43.592787,-96.734396,Txy_B5_001,31,43.59202,-96.732961
Txy_B5_001,31,43.59202,-96.732961,Txy_B_001,32,43.591418,-96.732655
Rwy_01_006,6,43.590386,-96.736713,Txy_B_B4,33,43.589397,-96.734737
Txy_B_001,32,43.591418,-96.732655,Txy_B_B4,33,43.589397,-96.734737
Txy_A_B,22,43.584793,-96.739055,Txy_B_B4,33,43.589397,-96.734737
Rwy_01_004,3,43.582047,-96.744687,Txy_B_B3,34,43.581097,-96.742751
Rwy_02_004,11,43.583752,-96.740044,Txy_B_B3,34,43.581097,-96.742751
Txy_B_B3,34,43.581097,-96.742751,Rwy_02_003,10,43.580254,-96.737791
Rwy_03_002,15,43.577759,-96.746136,Txy_B_B2,35,43.576698,-96.747279
Rwy_01_002,0,43.577578,-96.749,Txy_B_B2,35,43.576698,-96.747279
Rwy_03_002,15,43.577759,-96.746136,Txy_B_B3,34,43.581097,-96.742751
Rwy_01_001,4,43.572782,-96.75357,Txy_B1_001,36,43.572298,-96.752673
Txy_B1_001,36,43.572298,-96.752673,Txy_B_002,37,43.572259,-96.751482
Txy_B_B2,35,43.576698,-96.747279,Txy_B_C,38,43.576239,-96.747684
Txy_B_C,38,43.576239,-96.747684,Txy_B_002,37,43.572259,-96.751482
Rwy_02_002,9,43.575956,-96.735001,Txy_C_C2,39,43.574327,-96.736655
Txy_B_C,38,43.576239,-96.747684,Txy_C_C2,39,43.574327,-96.736655
Txy_C1_001,40,43.573071,-96.734336,Rwy_02_001,8,43.573399,-96.73337
Txy_C1_001,40,43.573071,-96.734336,Txy_C_C2,39,43.574327,-96.736655
Txy_M_A,19,43.580674,-96.736394,Ramp_01_002,42,43.580355,-96.73541
Ramp_01_002,42,43.580355,-96.73541,Ramp_01_003,43,43.579512,-96.733426
Ramp_01_002,42,43.580355,-96.73541,Ramp_01_001,41,43.581366,-96.733002
Ramp_01_003,43,43.579512,-96.733426,Gate_01_003,45,43.579988,-96.73276
Ramp_01_003,43,43.579512,-96.733426,Gate_01_001,44,43.579742,-96.732277
Ramp_01_002,42,43.580355,-96.73541,Gate_01_005,46,43.580306,-96.733906
Ramp_01_002,42,43.580355,-96.73541,Gate_01_007,47,43.580589,-96.734096
Ramp_01_001,41,43.581366,-96.733002,Gate_01_006,48,43.58091,-96.733673
Ramp_01_001,41,43.581366,-96.733002,Gate_01_004,49,43.580659,-96.733219
Ramp_01_001,41,43.581366,-96.733002,Gate_01_002,50,43.580424,-96.732568
