n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_006,4,41.616433,-87.412073,Txy_C_002,24,41.617004,-87.411526
Rwy_02_003,29,41.615348,-87.416824,Rwy_02_002,28,41.612858,-87.41812
Ramp_C_001,26,41.618092,-87.411052,Parking_C_001,49,41.619009,-87.410955
Ramp_A_001,20,41.613492,-87.401993,Parking_A_001,56,41.613916,-87.401517
Rwy_02_004,30,41.619169,-87.414861,Rwy_01_02,3,41.618125,-87.415372
Txy_B_007,41,41.615136,-87.415859,Txy_B_006,40,41.615344,-87.415659
Ramp_A_003,22,41.61634,-87.407615,Parking_A_002,57,41.615541,-87.405702
Txy_B_002,33,41.620897,-87.412797,Txy_B_003,36,41.620134,-87.413185
Txy_A_003,8,41.621249,-87.41896,Txy_A_004,9,41.619676,-87.415875
Txy_C_002,24,41.617004,-87.411526,Txy_A_008,13,41.617322,-87.411241
Txy_A_008,13,41.617322,-87.411241,Txy_A_009,14,41.615745,-87.408152
Rwy_01_02,3,41.618125,-87.415372,Rwy_01_005,38,41.617657,-87.414463
Txy_B2_001,42,41.615161,-87.416137,Rwy_02_003,29,41.615348,-87.416824
Rwy_01_007,5,41.614828,-87.408913,Txy_A2_001,23,41.615399,-87.408466
Rwy_02_005,31,41.620663,-87.414085,Rwy_02_006,32,41.621424,-87.413694
Txy_A_011,16,41.612887,-87.402536,Txy_A4_001,19,41.612568,-87.402821
Rwy_01_005,38,41.617657,-87.414463,Txy_B_004,37,41.618309,-87.414128
Txy_A_009,14,41.615745,-87.408152,Ramp_A_003,22,41.61634,-87.407615
Rwy_01_003,1,41.620231,-87.419531,Rwy_01_004,2,41.618755,-87.416598
Txy_B_006,40,41.615344,-87.415659,Txy_C_003,46,41.615224,-87.41547
Txy_A_008,13,41.617322,-87.411241,Txy_A_007,12,41.618692,-87.413933
Txy_A_005,10,41.619482,-87.415485,Rwy_02_004,30,41.619169,-87.414861
Txy_A_001,6,41.621859,-87.421064,Txy_A_002,7,41.622154,-87.420808
Rwy_01_001,66,41.624177,-87.427241,Rwy_01_002,0,41.621264,-87.421523
Txy_A_008,13,41.617322,-87.411241,Txy_C_001,25,41.617661,-87.411151
Ramp_A_003,22,41.61634,-87.407615,Gate_A_001,54,41.617154,-87.407888
Rwy_02_001,27,41.612353,-87.418378,Txy_B_009,45,41.612219,-87.417603
