n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_J_002,170,38.95307,-77.439613,Txy_J_A,94,38.951015,-77.439651
Txy_Z_A,54,38.951157,-77.456001,Txy_A_001,55,38.951154,-77.455428
Txy_D_019,396,38.946563,-77.442169,Txy_D_020,395,38.946556,-77.441389
Txy_E_017,381,38.94412,-77.445925,Ramp_03_014,382,38.944499,-77.445983
Txy_Z_Y1,194,38.969246,-77.455726,Txy_Z_Z2,72,38.968715,-77.455744
Txy_E_009,365,38.944161,-77.45056,Txy_E_010,367,38.94417,-77.449931
Txy_Z_Z2,72,38.968715,-77.455744,Txy_Z2_001,73,38.968713,-77.455154
Ramp_02_011,319,38.949815,-77.454747,Gate_B_079,317,38.949177,-77.454761
Txy_C_010,290,38.947293,-77.44793,Txy_C_011,291,38.947284,-77.447416
Ramp_03_004,398,38.946121,-77.443053,Gate_C_007,324,38.945712,-77.44328
Txy_D_022,431,38.946546,-77.440275,Ramp_03_001,393,38.946243,-77.440546
Txy_B_006,310,38.950192,-77.446921,Txy_B_007,311,38.950189,-77.446499
Rwy_02_009,188,38.925119,-77.436423,Rwy_02_008,186,38.933866,-77.436308
Ramp_01_005,223,38.949763,-77.441677,Ramp_01_006,224,38.949505,-77.441676
Gate_A_02F,233,38.94841,-77.441365,Ramp_01_019,249,38.948382,-77.441691
Txy_C_006,286,38.947321,-77.451065,Ramp_02_017,269,38.9476686,-77.4508797
Txy_Y_005,37,38.936744,-77.457628,Txy_Q_Y,35,38.936239,-77.45787
Txy_K_K9,20,38.924274,-77.438882,Txy_K9_001,109,38.924244,-77.437486
Txy_J2_001,100,38.953523,-77.440159,Parking_J2_002,199,38.953523,-77.441185
Ramp_03_005,400,38.946124,-77.443735,Gate_C_009,325,38.945763,-77.443792
Txy_E_010,367,38.94417,-77.449931,Ramp_04_020,366,38.944531,-77.44997
Ramp_03_001,393,38.946243,-77.440546,Gate_C_001,15,38.945727,-77.441015
Txy_Z_B,51,38.950269,-77.456013,Txy_B_001,52,38.950265,-77.455441
Ramp_04_015,355,38.944559,-77.452405,Gate_D_020,339,38.945124,-77.452193
Txy_D_009,416,38.946629,-77.449334,Txy_D_010,415,38.946624,-77.448855
Txy_K1_001,106,38.953964,-77.437028,Rwy_02_002,180,38.953948,-77.435992
Txy_J_D,117,38.946535,-77.439708,Txy_J_E,115,38.944066,-77.43975
Txy_Z_Y4,62,38.957222,-77.45591,Txy_Z_Z3,59,38.953913,-77.455959
Txy_D_013,408,38.946599,-77.446424,Ramp_03_009,407,38.946144,-77.446426
Txy_E_013,373,38.944144,-77.448486,Txy_E_014,375,38.944136,-77.44792
Txy_Y_Y9,29,38.939141,-77.457322,Txy_Y_004,30,38.938619,-77.457327
Txy_Q_006,89,38.935606,-77.45572,Txy_Q_007,133,38.935432,-77.455163
Txy_K5_001,112,38.938603,-77.437425,Txy_K4_K5,183,38.939535,-77.436768
Ramp_01_018,255,38.947615,-77.442673,Gate_A_04E,239,38.9481354,-77.4423263
Txy_D_017,432,38.946576,-77.443672,Txy_D_018,399,38.946569,-77.442802
Txy_Y_Y8,28,38.940037,-77.457308,Txy_Z_Y8,142,38.940014,-77.456162
Txy_J_J1,104,38.954881,-77.439587,Txy_J1_002,103,38.954873,-77.439004
Txy_Y2_Y3,147,38.959643,-77.458923,Txy_Y3_001,64,38.958693,-77.458281
Txy_A_001,55,38.951154,-77.455428,Txy_A_002,56,38.951155,-77.455162
Txy_J1_001,101,38.954889,-77.44015,Txy_J_J1,104,38.954881,-77.439587
Txy_C_009,289,38.947299,-77.448567,Txy_C_010,290,38.947293,-77.44793
Txy_K_J1,197,38.954871,-77.438434,Txy_K_001,105,38.954433,-77.438446
Txy_D_018,399,38.946569,-77.442802,Ramp_03_004,398,38.946121,-77.443053
Txy_Y4_001,61,38.955793,-77.458332,Txy_Y_Y4,63,38.95724,-77.457051
Txy_E_011,369,38.944148,-77.449394,Ramp_04_021,368,38.944528,-77.449419
Txy_E_001,86,38.944209,-77.455537,Txy_E_002,351,38.944203,-77.454261
Txy_Q_004,38,38.936391,-77.458394,Txy_Q_Y,35,38.936239,-77.45787
Txy_B_003,267,38.950209,-77.449008,Txy_B_004,264,38.950204,-77.448314
Rwy_03_007,129,38.934119,-77.457671,Rwy_03_008,130,38.933635,-77.456029
Ramp_03_012,378,38.944508,-77.447117,Gate_C_022,11,38.945121,-77.446775
Ramp_02_008,266,38.949838,-77.449119,Gate_B_041,265,38.949118,-77.449333
Txy_E_022,349,38.944074,-77.440315,Txy_J_E,115,38.944066,-77.43975
Txy_Y9_Y11,134,38.939161,-77.459297,Txy_Y9_001,27,38.939153,-77.458716
Txy_K6_001,111,38.935689,-77.437465,Txy_K5_K6,19,38.937287,-77.438708
Txy_K_D,173,38.946529,-77.438569,Txy_K2_001,116,38.945296,-77.437331
Txy_E_014,375,38.944136,-77.44792,Txy_E_015,377,38.944133,-77.447493
Ramp_02_023,280,38.94772,-77.447063,Gate_A_026,277,38.948211,-77.446495
Txy_Z_Y11,139,38.937101,-77.456237,Txy_Z_006,39,38.936323,-77.456606
Txy_Y_Y11,138,38.937838,-77.457352,Txy_Y_005,37,38.936744,-77.457628
Txy_Y_B,49,38.950275,-77.457156,Txy_Z_B,51,38.950269,-77.456013
Txy_Y1_001,69,38.969252,-77.4583,Txy_Y_Y1,70,38.969239,-77.456877
Txy_Z_Y2,66,38.962255,-77.455835,Txy_Z_Z2,72,38.968715,-77.455744
Ramp_01_021,248,38.947602,-77.441707,Txy_C_018,261,38.94723,-77.441714
Ramp_01_013,220,38.949095,-77.443618,Gate_A_05F,214,38.948901,-77.443306
Ramp_01_015,258,38.947628,-77.443644,Ramp_01_014,257,38.948183,-77.44363
Ramp_03_014,382,38.944499,-77.445983,Gate_C_014,8,38.94509,-77.445518
Ramp_04_001,411,38.946149,-77.447775,Gate_C_025,17,38.945749,-77.44778
Ramp_03_018,385,38.944477,-77.444281,Gate_C_010,6,38.945045,-77.444254
Txy_Q4_001,41,38.937791,-77.46706,Txy_Q_Q4,127,38.938149,-77.464312
Txy_Z_B,51,38.950269,-77.456013,Txy_Z_001,160,38.949848,-77.45602
Txy_A_005,95,38.951021,-77.440217,Txy_J_A,94,38.951015,-77.439651
Txy_Q_003,132,38.937826,-77.463232,Txy_Q_004,38,38.936391,-77.458394
Txy_Z_Z1,193,38.970128,-77.455718,Txy_Z_Y1,194,38.969246,-77.455726
Txy_D_004,426,38.946658,-77.45328,Txy_D_005,424,38.946657,-77.452891
Txy_C_003,301,38.947346,-77.454066,Ramp_02_014,300,38.94778,-77.45406
Txy_Y_Z3,58,38.953921,-77.457101,Txy_Z_Z3,59,38.953913,-77.455959
Ramp_04_003,414,38.946175,-77.44943,Gate_D_003,0,38.945732,-77.449523
Txy_K_K7,191,38.932273,-77.438777,Txy_K5_K6,19,38.937287,-77.438708
Txy_Y_Y7,157,38.947579,-77.457202,Txy_Z_Y7,159,38.947579,-77.456056
Txy_K_J2,98,38.953515,-77.438459,Txy_K_002,97,38.953069,-77.438466
Txy_Y4_Y5,148,38.954843,-77.458992,Txy_Y4_001,61,38.955793,-77.458332
Txy_D_006,422,38.946649,-77.452119,Ramp_04_006,421,38.9462,-77.452039
Ramp_02_026,284,38.947704,-77.445486,Gate_A_020,283,38.94826,-77.445472
Ramp_02_009,321,38.949805,-77.453004,Gate_B_067,435,38.9492029,-77.452706
Txy_E_021,391,38.944095,-77.442209,Ramp_03_021,390,38.944465,-77.442218
Txy_E_010,367,38.94417,-77.449931,Txy_E_011,369,38.944148,-77.449394
Ramp_01_024,246,38.948327,-77.440562,Txy_J3_002,245,38.948461,-77.440246
Ramp_01_020,250,38.94811,-77.441699,Ramp_01_021,248,38.947602,-77.441707
Txy_Z_Y4,62,38.957222,-77.45591,Txy_Z_Y2,66,38.962255,-77.455835
Txy_Z_E,83,38.944222,-77.456103,Ramp_04_011,348,38.944669,-77.455518
Txy_C_001,76,38.947349,-77.455482,Txy_C_002,78,38.947352,-77.455042
Txy_E_005,359,38.944189,-77.452537,Ramp_04_015,355,38.944559,-77.452405
Txy_E_014,375,38.944136,-77.44792,Ramp_04_024,374,38.944522,-77.447962
Txy_E_008,363,38.944171,-77.450989,Ramp_04_018,362,38.944543,-77.450984
Txy_C_011,291,38.947284,-77.447416,Ramp_02_022,276,38.947722,-77.447409
Ramp_02_015,299,38.94777,-77.453177,Gate_B_072,298,38.9483808,-77.4533102
Txy_Z_Y2,66,38.962255,-77.455835,Txy_Y2_001,67,38.962257,-77.455284
Ramp_02_009,321,38.949805,-77.453004,Gate_B_071,316,38.9492154,-77.4532335
Rwy_01_002,144,38.969262,-77.459346,Txy_Y1_001,69,38.969252,-77.4583
Ramp_01_018,255,38.947615,-77.442673,Ramp_01_017,254,38.948126,-77.442667
Rwy_01_009,136,38.940061,-77.45976,Txy_Y8_001,26,38.940047,-77.458727
Txy_Y11_001,31,38.93874,-77.458671,Txy_Y_Y11,138,38.937838,-77.457352
Rwy_02_003,177,38.945104,-77.436128,Txy_K2_K3,175,38.944336,-77.436703
Txy_D_007,420,38.946642,-77.45101,Ramp_04_005,418,38.946188,-77.450997
Txy_Z1_001,71,38.970146,-77.458289,Txy_Y_Z1,192,38.970135,-77.456877
Txy_B_011,205,38.95013,-77.440494,Txy_B_012,206,38.950132,-77.440311
Rwy_01_001,143,38.970168,-77.459331,Rwy_01_002,144,38.969262,-77.459346
Ramp_02_010,320,38.949807,-77.453905,Gate_B_075,436,38.9492916,-77.4543267
Ramp_01_019,249,38.948382,-77.441691,Ramp_01_020,250,38.94811,-77.441699
Txy_K_C,172,38.947197,-77.438563,Txy_K_D,173,38.946529,-77.438569
Ramp_01_014,257,38.948183,-77.44363,Gate_A_06E,243,38.948174,-77.443315
Txy_E_016,380,38.944131,-77.446594,Ramp_03_013,379,38.9445,-77.446515
Txy_D_012,410,38.946611,-77.447346,Txy_D_013,408,38.946599,-77.446424
Txy_K_K8,190,38.925148,-77.43889,Txy_K_K7,191,38.932273,-77.438777
Txy_C_013,293,38.947271,-77.445499,Ramp_02_026,284,38.947704,-77.445486
Txy_Z_Y9,141,38.939127,-77.456178,Txy_Z_Z7,140,38.938244,-77.456186
Txy_Z_Z3,59,38.953913,-77.455959,Txy_Z3_001,60,38.953908,-77.455414
Txy_D_011,412,38.946614,-77.447773,Txy_D_012,410,38.946611,-77.447346
Txy_D_006,422,38.946649,-77.452119,Txy_D_007,420,38.946642,-77.45101
Ramp_01_012,221,38.949542,-77.443611,Ramp_01_013,220,38.949095,-77.443618
