id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_03_005,0,29.973269,-95.348952,n0,Rwy,,,,
Txy_SB_SF,1,29.979692,-95.330243,n1,Txy,,,,
Txy_SF_001,2,29.978398,-95.329287,n2,Txy,,,,
Txy_SG_001,3,29.978426,-95.322955,n3,Txy,,,,
Txy_SH_001,4,29.978424,-95.313681,n4,Txy,,,,
Txy_SJ_001,5,29.978424,-95.307355,n5,Txy,,,,
Txy_SA_SK,6,29.97842,-95.30267,n6,Txy,,,,
Txy_SB_SC,7,29.97969,-95.333972,n7,Txy,,,,
Txy_SA_SC,8,29.978691,-95.333966,n8,Txy,,,,
Txy_SC_001,9,29.97841,-95.333972,n9,Txy,,,,
Rwy_05_001,10,29.977602,-95.333959,n10,Rwy,RW09 ,Entry,RW27 ,End
Rwy_05_002,11,29.977604,-95.32769,n11,Rwy,,,,
Txy_SA_SF,12,29.978698,-95.33025,n12,Txy,,,,
Rwy_05_003,13,29.977612,-95.3213,n13,Rwy,,,,
Txy_SB_SG,14,29.979696,-95.323866,n14,Txy,,,,
Txy_SA_SG,15,29.978705,-95.323861,n15,Txy,,,,
Txy_SA_SH,16,29.978707,-95.312763,n16,Txy,,,,
Txy_SB_SH,17,29.979697,-95.312763,n17,Txy,,,,
Rwy_05_004,18,29.97761,-95.315255,n18,Rwy,,,,
Txy_SB_SJ,19,29.979699,-95.306445,n19,Txy,,,,
Txy_SA_SJ,20,29.978707,-95.306455,n20,Txy,,,,
Rwy_05_006,21,29.977614,-95.30267,n21,Rwy,RW27 ,Entry,RW09 ,End
Txy_SB_SK,22,29.979703,-95.302676,n22,Txy,,,,
Rwy_05_005,23,29.977605,-95.309107,n23,Rwy,,,,
Txy_RA_SC,24,29.982275,-95.333973,n24,Txy,,,,
Txy_RA_SF,25,29.982284,-95.330247,n25,Txy,,,,
Txy_RB_SC,26,29.983013,-95.333968,n26,Txy,,,,
Txy_RB_001,27,29.983016,-95.330754,n27,Txy,,,,
Txy_RB_SF,28,29.983019,-95.330244,n28,Txy,,,,
Txy_RB_006,29,29.983135,-95.336848,n29,Txy,,,,
Txy_RA_R2,30,29.982364,-95.336938,n30,Txy,,,,
Txy_NP_002,31,29.992621,-95.325382,n31,Txy,,,,
Txy_NP_001,32,29.994255,-95.325378,n32,Txy,,,,
Rwy_02_007,33,29.99344,-95.326467,n33,Rwy,,,,
Rwy_02_008,34,29.993449,-95.325384,n34,Rwy,RW26L,Entry,RW08R,End
Txy_NA_NP,35,29.991783,-95.325383,n35,Txy,,,,
Txy_NB_NP,36,29.9908,-95.325386,n36,Txy,,,,
Txy_NB_010,37,29.990803,-95.322404,n37,Txy,,,,
Txy_NB_009,38,29.9908,-95.326786,n38,Txy,,,,
Txy_NB_008,39,29.990798,-95.328567,n39,Txy,,,,
Txy_NB_NN,40,29.990797,-95.330257,n40,Txy,,,,
Txy_NN_001,41,29.992626,-95.331915,n41,Txy,,,,
Txy_NA_NN,42,29.991794,-95.330267,n42,Txy,,,,
Txy_NA_NK,43,29.991788,-95.336834,n43,Txy,,,,
Txy_NL_001,44,29.992624,-95.335176,n44,Txy,,,,
Rwy_02_006,45,29.993446,-95.333495,n45,Rwy,,,,
Txy_NK_002,46,29.99262,-95.338481,n46,Txy,,,,
Txy_NH_001,47,29.992619,-95.341745,n47,Txy,,,,
Txy_NK_001,48,29.994249,-95.340115,n48,Txy,,,,
Rwy_02_005,49,29.993444,-95.340108,n49,Rwy,,,,
Txy_CC_NK,50,29.995224,-95.340111,n50,Txy,,,,
Txy_NF_001,51,29.992606,-95.348306,n51,Txy,,,,
Rwy_02_004,52,29.993426,-95.346676,n52,Rwy,,,,
Txy_NG_001,53,29.992614,-95.345044,n53,Txy,,,,
Txy_NR_002,54,29.992598,-95.352765,n54,Txy,,,,
Rwy_02_002,55,29.993414,-95.353731,n55,Rwy,,,,
Txy_NR_001,56,29.994234,-95.352762,n56,Txy,,,,
Rwy_02_003,57,29.993414,-95.352762,n57,Rwy,,,,
Rwy_02_001,58,29.993408,-95.354835,n58,Rwy,RW08R,Entry,RW26L,End
Txy_NE_009,59,29.994239,-95.354845,n59,Txy,,,,
Txy_NE_010,60,29.992604,-95.35484,n60,Txy,,,,
Txy_NA_004,61,29.991763,-95.354222,n61,Txy,,,,
Txy_NA_NR,62,29.991766,-95.352759,n62,Txy,,,,
Txy_NB_NR,63,29.99077,-95.352765,n63,Txy,,,,
Txy_NB_006,64,29.99077,-95.352156,n64,Txy,,,,
Txy_NB_005,65,29.99077,-95.354221,n65,Txy,,,,
Txy_NB_NE,66,29.99077,-95.354838,n66,Txy,,,,
Txy_NC_001,67,29.989945,-95.354232,n67,Txy,,,,
Txy_NC_NR,68,29.989944,-95.352761,n68,Txy,,,,
Txy_WW_NR,69,29.989203,-95.352767,n69,Txy,,,,
Txy_NC_002,70,29.989946,-95.352155,n70,Txy,,,,
Txy_NC_NF,71,29.989946,-95.350762,n71,Txy,,,,
Txy_NC_ND,72,29.989954,-95.348103,n72,Txy,,,,
Txy_NC_003,73,29.989949,-95.347279,n73,Txy,,,,
Txy_NB_ND,74,29.990778,-95.348091,n74,Txy,,,,
Txy_NB_007,75,29.990781,-95.347285,n75,Txy,,,,
Txy_ND_001,76,29.989511,-95.348111,n76,Txy,,,,
Txy_ND_002,77,29.989511,-95.347286,n77,Txy,,,,
Txy_NB_NF,78,29.990775,-95.350754,n78,Txy,,,,
Txy_NA_NF,79,29.991776,-95.349958,n79,Txy,,,,
Txy_NA_NE,80,29.991658,-95.35484,n80,Txy,,,,
Txy_NA_003,81,29.991667,-95.357311,n81,Txy,,,,
Txy_NB_003,82,29.99091,-95.357016,n82,Txy,,,,
Txy_NB_004,83,29.990815,-95.355595,n83,Txy,,,,
Txy_WB_NB,84,29.990866,-95.356325,n84,Txy,,,,
Txy_WB_NA,85,29.991635,-95.356773,n85,Txy,,,,
Txy_NB_002,86,29.990558,-95.360047,n86,Txy,,,,
Txy_NA_002,87,29.991207,-95.360449,n87,Txy,,,,
Txy_WC_001,88,29.987362,-95.362113,n88,Txy,,,,
Txy_WP_001,89,29.988081,-95.360574,n89,Txy,,,,
Txy_WW_001,90,29.986065,-95.36132,n90,Txy,,,,
Txy_WW_002,91,29.986783,-95.359777,n91,Txy,,,,
Txy_WW_003,92,29.987439,-95.358578,n92,Txy,,,,
Txy_WP_002,93,29.986738,-95.358593,n93,Txy,,,,
Txy_WP_WW,94,29.987242,-95.358895,n94,Txy,,,,
Txy_WC_003,95,29.984169,-95.361229,n95,Txy,,,,
Txy_WQ_001,96,29.981387,-95.35846,n96,Txy,,,,
Txy_WQ_002,97,29.983279,-95.357618,n97,Txy,,,,
Txy_WD_001,98,29.982679,-95.355667,n98,Txy,,,,
Txy_WR_001,99,29.976442,-95.35543,n99,Txy,,,,
Txy_WR_002,100,29.978416,-95.354652,n100,Txy,,,,
Rwy_04_001,101,29.987723,-95.361345,n101,Rwy,RW15R,Entry,RW33L,End
Rwy_04_002,102,29.986428,-95.360538,n102,Rwy,,,,
Txy_WC_WW,103,29.985698,-95.362155,n103,Txy,,,,
Txy_WC_002,104,29.986918,-95.362761,n104,Txy,,,,
Txy_WP_WC,105,29.988496,-95.359657,n105,Txy,,,,
Txy_NB_001,106,29.990306,-95.360571,n106,Txy,,,,
Txy_NA_001,107,29.990948,-95.360965,n107,Txy,,,,
Txy_WC_WQ,108,29.981223,-95.35883,n108,Txy,,,,
Rwy_04_003,109,29.981752,-95.357674,n109,Rwy,,,,
Rwy_04_004,110,29.976798,-95.354614,n110,Rwy,,,,
Txy_WC_WR,111,29.976294,-95.355815,n111,Txy,,,,
Txy_WS_001,112,29.973658,-95.351738,n112,Txy,,,,
Txy_WU_001,113,29.971682,-95.352512,n113,Txy,,,,
Rwy_04_006,114,29.972036,-95.351735,n114,Rwy,,,,
Txy_WC_WU,115,29.971519,-95.352892,n115,Txy,,,,
Txy_WP_WS,116,29.972726,-95.349995,n116,Txy,,,,
Rwy_04_005,117,29.974574,-95.353305,n117,Rwy,,,,
Txy_WL_002,118,29.966158,-95.347155,n118,Txy,,,,
Rwy_04_008,119,29.965801,-95.347919,n119,Rwy,,,,
Txy_WL_001,120,29.965446,-95.348693,n120,Txy,,,,
Txy_WC_WL,121,29.96528,-95.349067,n121,Txy,,,,
Txy_WP_005,122,29.963997,-95.345836,n122,Txy,,,,
Txy_WC_008,123,29.963282,-95.347363,n123,Txy,,,,
Rwy_04_009,124,29.963643,-95.346599,n124,Rwy,RW33L,Entry,RW15R,End
Txy_WC_007,125,29.963442,-95.347943,n125,Txy,,,,
Txy_WP_WL,126,29.966586,-95.346262,n126,Txy,,,,
Txy_WL_003,127,29.966744,-95.345912,n127,Txy,,,,
Txy_WP_004,128,29.964429,-95.344932,n128,Txy,,,,
Txy_WT_001,129,29.968797,-95.34876,n129,Txy,,,,
Txy_WP_WT,130,29.967866,-95.347028,n130,Txy,,,,
Rwy_04_007,131,29.96967,-95.350291,n131,Rwy,,,,
Txy_WC_004,132,29.972439,-95.353463,n132,Txy,,,,
Txy_WC_005,133,29.970849,-95.352491,n133,Txy,,,,
Txy_WC_006,134,29.968657,-95.351146,n134,Txy,,,,
Txy_WL_004,135,29.967455,-95.344382,n135,Txy,,,,
Txy_WA_WL,136,29.967875,-95.343476,n136,Txy,,,,
Txy_WB_WL,137,29.968335,-95.342454,n137,Txy,,,,
Txy_WB_WK,138,29.972061,-95.344738,n138,Txy,,,,
Txy_WV_001,139,29.987509,-95.356647,n139,Txy,,,,
Txy_WA_WV,140,29.987924,-95.355734,n140,Txy,,,,
Txy_WA_WW,141,29.988566,-95.356164,n141,Txy,,,,
Txy_WB_WW,142,29.989013,-95.355195,n142,Txy,,,,
Txy_WB_WV,143,29.98836,-95.354789,n143,Txy,,,,
Txy_WB_001,144,29.98861,-95.354947,n144,Txy,,,,
Txy_WB_WD,145,29.986771,-95.353805,n145,Txy,,,,
Txy_WA_WD,146,29.986344,-95.354758,n146,Txy,,,,
Txy_WD_NR,147,29.988676,-95.352757,n147,Txy,,,,
Txy_NC_NE,148,29.989948,-95.354835,n148,Txy,,,,
Txy_WW_NE,149,29.989199,-95.35484,n149,Txy,,,,
Txy_WJ_001,150,29.971889,-95.349055,n150,Txy,,,,
tzy_WP_WJ,151,29.971291,-95.349128,n151,Unknown,,,,
Txy_WA_WN,152,29.959646,-95.338432,n152,Txy,,,,
Txy_WB_007,153,29.961389,-95.338215,n153,Txy,,,,
Txy_WB_006,154,29.962588,-95.338945,n154,Txy,,,,
Txy_WB_005,155,29.963582,-95.339551,n155,Txy,,,,
Txy_WB_WM,156,29.964536,-95.340135,n156,Txy,,,,
Txy_WA_WM,157,29.964078,-95.34114,n157,Txy,,,,
Txy_WB_004,158,29.966277,-95.341196,n158,Txy,,,,
Rwy_03_006,159,29.967097,-95.345136,n159,Rwy,,,,
Rwy_03_008,160,29.958893,-95.340126,n160,Rwy,RW33R,Entry,RW15L,End
Txy_WB_WH,161,29.97692,-95.347711,n161,Txy,,,,
Txy_WA_WH,162,29.976456,-95.348714,n162,Txy,,,,
Rwy_03_001,163,29.987794,-95.35784,n163,Rwy,RW15L,Entry,RW33R,End
Txy_WP_WQ,164,29.98504,-95.357545,n164,Txy,,,,
Txy_WP_003,165,29.982532,-95.355999,n165,Txy,,,,
Txy_WP_WR,166,29.98018,-95.354568,n166,Txy,,,,
Txy_CC_NE,167,29.995201,-95.354851,n167,Txy,,,,
Txy_CC_NR,168,29.995208,-95.352763,n168,Txy,,,,
Txy_CC_001,169,29.995205,-95.351685,n169,Txy,,,,
Txy_NA_NG,170,29.991784,-95.343398,n170,Txy,,,,
Txy_NA_NJ,171,29.99178,-95.339826,n171,Txy,,,,
Txy_NB_NJ,172,29.990789,-95.339811,n172,Txy,,,,
Txy_NB_NG,173,29.990782,-95.343401,n173,Txy,,,,
Txy_WB_WN,174,29.960123,-95.337422,n174,Txy,,,,
Txy_WA_WK,175,29.971609,-95.345752,n175,Txy,,,,
