n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_ED_003,505,29.998413,-95.311056,Gate_06_008,509,29.999449,-95.311072
Txy_NE_FC,193,30.005507,-95.357597,Txy_FA_FD,195,30.005513,-95.356551
Ramp_04_014,458,29.989204,-95.332458,Ramp_04_015,459,29.989206,-95.331849
Txy_RB_009,232,29.983404,-95.340288,Txy_RB_010,231,29.983699,-95.340867
Txy_FA_FH,221,30.005537,-95.332601,Txy_FH_001,186,30.006368,-95.334265
Txy_WB_WE,226,29.984038,-95.352137,Txy_WB_RB,289,29.984337,-95.352319
Ramp_05_006,424,29.983395,-95.333957,Gate_E_007,425,29.983832,-95.334673
Ramp_03_008,471,29.988484,-95.340552,Gate_C_013,352,29.987952,-95.340432
Ramp_04_006,446,29.989777,-95.337172,Gate_C_004,359,29.989686,-95.338129
Txy_RB_019,288,29.984152,-95.350864,Ramp_01_024,287,29.98451,-95.350876
Rwy_05_006,21,29.977614,-95.30267,Txy_SA_SK,6,29.97842,-95.30267
Txy_FJ_001,189,30.006375,-95.331555,Txy_FA_FJ,218,30.005536,-95.331552
Txy_RB_004,422,29.983013,-95.335056,Ramp_05_005,421,29.983392,-95.335055
Txy_WU_001,113,29.971682,-95.352512,Rwy_04_006,114,29.972036,-95.351735
Ramp_05_012,402,29.983395,-95.332789,Gate_E_017,400,29.983862,-95.332484
Txy_EA_EE,213,30.000892,-95.313964,Txy_EA_ED,210,29.998419,-95.313951
Ramp_04_013,456,29.989203,-95.333043,Gate_04_011,437,29.988198,-95.333064
Ramp_03_003,474,29.989034,-95.339802,Gate_C_008,356,29.989158,-95.338843
Ramp_01_023,282,29.984747,-95.350458,Gate_A_024,273,29.984965,-95.349718
Txy_NR_007,283,29.985703,-95.352758,Ramp_01_028,284,29.985704,-95.35249
Txy_NB_NP,36,29.9908,-95.325386,Txy_NB_010,37,29.990803,-95.322404
Ramp_02_054,384,29.98868,-95.34207,Ramp_02_055,385,29.988351,-95.342062
Txy_NC_NF,71,29.989946,-95.350762,Txy_NB_NF,78,29.990775,-95.350754
Rwy_01_002,178,30.007162,-95.357589,Txy_NE_002,192,30.006343,-95.357593
Txy_WP_WC,105,29.988496,-95.359657,Txy_NB_001,106,29.990306,-95.360571
Txy_NB_001,106,29.990306,-95.360571,Txy_NB_002,86,29.990558,-95.360047
Txy_RB_003,405,29.983014,-95.333042,Ramp_05_012,402,29.983395,-95.332789
Txy_NC_ND,72,29.989954,-95.348103,Txy_NC_003,73,29.989949,-95.347279
Txy_NE_FB,196,30.004578,-95.357594,Txy_FD_FB,198,30.004581,-95.356541
Txy_SA_SC,8,29.978691,-95.333966,Txy_SA_SF,12,29.978698,-95.33025
Ramp_01_017,246,29.988185,-95.34811,Gate_A_008,265,29.988172,-95.349007
Ramp_05_003,432,29.983514,-95.336719,Ramp_05_002,431,29.984296,-95.336715
Txy_EE_002,494,30.0009,-95.311824,Txy_EE_003,495,30.000892,-95.311076
Txy_WD_002,254,29.98458,-95.354838,Txy_WA_WD,146,29.986344,-95.354758
Txy_NP_EE,216,30.000907,-95.325391,Txy_EA_EE,213,30.000892,-95.313964
Txy_WP_003,165,29.982532,-95.355999,Txy_WP_WQ,164,29.98504,-95.357545
Ramp_01_011,241,29.988826,-95.35076,Ramp_01_012,240,29.988612,-95.350479
Txy_NB_NK,205,29.990797,-95.336849,Ramp_04_008,461,29.99035,-95.336476
Ramp_03_017,375,29.984703,-95.337252,Gate_C_043,348,29.985423,-95.337452
Ramp_02_043,331,29.98846,-95.343594,Gate_B_085,319,29.988111,-95.344023
Txy_RB_SF,28,29.983019,-95.330244,Txy_NN_002,462,29.989196,-95.330255
Txy_WB_NA,85,29.991635,-95.356773,Txy_NA_NE,80,29.991658,-95.35484
Txy_NH_001,47,29.992619,-95.341745,Rwy_02_005,49,29.993444,-95.340108
Rwy_02_001,58,29.993408,-95.354835,Txy_NE_009,59,29.994239,-95.354845
Ramp_03_006,470,29.989007,-95.340547,Ramp_02_062,479,29.989379,-95.340541
Rwy_03_005,0,29.973269,-95.348952,Txy_WK_001,487,29.972499,-95.34744
Ramp_01_001,238,29.988702,-95.352329,Ramp_01_002,236,29.988703,-95.351914
Txy_WC_WQ,108,29.981223,-95.35883,Txy_WC_003,95,29.984169,-95.361229
Txy_WB_001,144,29.98861,-95.354947,Txy_WB_WV,143,29.98836,-95.354789
Ramp_03_008,471,29.988484,-95.340552,Gate_C_014,364,29.988491,-95.341038
Ramp_04_017,463,29.988563,-95.330759,Gate_04_014,435,29.988188,-95.331457
Txy_RB_009,232,29.983404,-95.340288,Ramp_03_010,368,29.983951,-95.340299
Txy_WC_WW,103,29.985698,-95.362155,Txy_WC_002,104,29.986918,-95.362761
Txy_WB_003,255,29.969338,-95.343075,Txy_WB_WK,138,29.972061,-95.344738
Rwy_01_003,179,30.007169,-95.353317,Rwy_01_004,181,30.007164,-95.348517
Txy_NB_NF,78,29.990775,-95.350754,Txy_NB_ND,74,29.990778,-95.348091
Ramp_05_017,393,29.984901,-95.331071,Ramp_05_018,392,29.985529,-95.331079
Ramp_01_006,237,29.988705,-95.351329,Ramp_01_010,239,29.988736,-95.35092
Ramp_04_007,460,29.99035,-95.337175,Gate_C_005,358,29.989847,-95.338494
Rwy_02_005,49,29.993444,-95.340108,Rwy_02_004,52,29.993426,-95.346676
Ramp_02_041,329,29.989047,-95.343581,Ramp_02_042,330,29.988782,-95.343588
Ramp_04_002,449,29.988985,-95.337159,Gate_C_003,360,29.989327,-95.338129
Txy_NN_002,462,29.989196,-95.330255,Ramp_04_017,463,29.988563,-95.330759
Rwy_01_001,177,30.007169,-95.358666,Rwy_01_002,178,30.007162,-95.357589
Ramp_03_005,473,29.988467,-95.339515,Gate_C_010,354,29.988366,-95.338899
Ramp_02_055,385,29.988351,-95.342062,Gate_02_045,477,29.988355,-95.341818
Txy_WV_001,139,29.987509,-95.356647,Txy_WA_WV,140,29.987924,-95.355734
Ramp_02_054,384,29.98868,-95.34207,Gate_02_046,476,29.988688,-95.341833
Txy_WA_WV,140,29.987924,-95.355734,Txy_WB_WV,143,29.98836,-95.354789
Rwy_03_004,483,29.97818,-95.35193,Rwy_03_005,0,29.973269,-95.348952
txk_FH_FK,217,30.004626,-95.330471,Txy_NP_EE,216,30.000907,-95.325391
Txy_WC_WU,115,29.971519,-95.352892,Txy_WC_004,132,29.972439,-95.353463
Txy_NE_005,199,30.003246,-95.357605,Txy_NE_FB,196,30.004578,-95.357594
Txy_SJ_001,5,29.978424,-95.307355,Txy_SA_SJ,20,29.978707,-95.306455
Txy_NB_NK,205,29.990797,-95.336849,Txy_NB_NN,40,29.990797,-95.330257
Txy_SA_SH,16,29.978707,-95.312763,Txy_SA_SJ,20,29.978707,-95.306455
Txy_NC_NF,71,29.989946,-95.350762,Txy_NF_002,235,29.98951,-95.350764
Txy_WP_003,165,29.982532,-95.355999,Txy_WD_001,98,29.982679,-95.355667
Rwy_01_004,181,30.007164,-95.348517,Rwy_01_005,184,30.00718,-95.340637
Ramp_05_006,424,29.983395,-95.333957,Ramp_05_007,420,29.984466,-95.333956
Ramp_05_007,420,29.984466,-95.333956,Gate_E_011,413,29.985382,-95.33396
Txy_NA_NN,42,29.991794,-95.330267,Txy_NA_NK,43,29.991788,-95.336834
Ramp_04_005,447,29.989325,-95.337132,Ramp_04_004,450,29.989203,-95.336475
Txy_RB_005,433,29.983063,-95.335852,Ramp_05_004,426,29.983414,-95.335619
Ramp_02_034,249,29.988273,-95.345534,Gate_B_088,315,29.987686,-95.344849
Ramp_01_027,285,29.98523,-95.352299,Gate_A_029,269,29.985474,-95.351851
Rwy_04_002,102,29.986428,-95.360538,Txy_WW_002,91,29.986783,-95.359777
Rwy_04_006,114,29.972036,-95.351735,Rwy_04_005,117,29.974574,-95.353305
Txy_NN_002,462,29.989196,-95.330255,Ramp_04_016,464,29.989205,-95.330757
