id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,37.6351833,-97.4459427,n0,Rwy,RW01L,Entry,RW19R,End
Rwy_01_002,1,37.6402589,-97.4436058,n1,Rwy,,,,
Rwy_01_003,2,37.6453902,-97.4412669,n2,Rwy,,,,
Rwy_01_004,3,37.64858,-97.4398078,n3,Rwy,,,,
Rwy_01_005,4,37.6512484,-97.4385821,n4,Rwy,,,,
Rwy_01_03,5,37.6538476,-97.4373912,n5,Rwy,,,,
Rwy_01_006,6,37.6563661,-97.4362325,n6,Rwy,,,,
Rwy_01_007,7,37.661526,-97.4338839,n7,Rwy,RW19R,Entry,RW01L,End
Rwy_02_001,8,37.6428766,-97.4262718,n8,Rwy,RW01R,Entry,RW19L,End
Rwy_02_002,9,37.6438026,-97.4258534,n9,Rwy,,,,
Rwy_02_003,10,37.6486363,-97.4236325,n10,Rwy,,,,
Rwy_02_004,11,37.6507939,-97.4226347,n11,Rwy,,,,
Rwy_02_005,12,37.6534866,-97.4214116,n12,Rwy,,,,
Rwy_02_006,13,37.6566294,-97.4199632,n13,Rwy,,,,
Rwy_02_007,14,37.6602902,-97.4183003,n14,Rwy,,,,
Rwy_02_008,15,37.6615217,-97.4177209,n15,Rwy,RW19L,Entry,RW01R,End
Rwy_03_001,16,37.6426884,-97.4292905,n16,Rwy,RW32 ,Entry,RW14 ,End
Rwy_03_002,17,37.6474882,-97.4327666,n17,Rwy,,,,
Rwy_03_003,18,37.6489663,-97.433861,n18,Rwy,,,,
Rwy_03_004,19,37.6518035,-97.4359102,n19,Rwy,,,,
Rwy_03_005,20,37.652636,-97.4364895,n20,Rwy,,,,
Rwy_03_006,21,37.6574606,-97.4400086,n21,Rwy,RW14 ,Entry,RW32 ,End
Txy_D6_D,22,37.6349531,-97.4446713,n22,Txy,,,,
Txy_D5_D,23,37.6399488,-97.4423002,n23,Txy,,,,
Txy_D4_D,24,37.6450504,-97.439957,n24,Txy,,,,
Txy_B_D,25,37.6487033,-97.4383262,n25,Txy,,,,
Txy_D3_D,26,37.6509629,-97.4372533,n26,Txy,,,,
Txy_K_D,27,37.6538935,-97.4359123,n27,Txy,,,,
Txy_C_D,28,37.6551506,-97.4353543,n28,Txy,,,,
Txy_D2_D,29,37.6572741,-97.4343566,n29,Txy,,,,
Txy_D1_D,30,37.6611386,-97.432597,n30,Txy,,,,
Txy_L1_L,31,37.662214,-97.4362985,n31,Txy,,,,
Txy_L1_001,32,37.66218,-97.4374894,n32,Txy,,,,
Txy_L_001,33,37.660269,-97.4371031,n33,Txy,,,,
Txy_C_L,34,37.6579503,-97.4373714,n34,Txy,,,,
Txy_C4_C,35,37.6584344,-97.4377683,n35,Txy,,,,
Txy_K1_K,36,37.6528231,-97.4350701,n36,Txy,,,,
Txy_K_R,37,37.6500964,-97.4330638,n37,Txy,,,,
Txy_K_B,38,37.6490855,-97.4321841,n38,Txy,,,,
Txy_C_R,39,37.6501558,-97.4317549,n39,Txy,,,,
Txy_B_E,40,37.649354,-97.4284965,n40,Txy,,,,
Txy_E_R,41,37.6503819,-97.4286038,n41,Txy,,,,
Txy_E3_E,42,37.6443845,-97.4279386,n42,Txy,,,,
Txy_E_E1,43,37.6433056,-97.4278313,n43,Txy,,,,
Txy_C3_C,44,37.6531086,-97.4338754,n44,Txy,,,,
Txy_C2_C,45,37.6523271,-97.4332961,n45,Txy,,,,
Txy_C3_001,46,37.65327,-97.4334721,n46,Txy,,,,
Txy_C2_001,47,37.6524885,-97.4329142,n47,Txy,,,,
Txy_C1_C,48,37.651002,-97.4323455,n48,Txy,,,,
Txy_C1_001,49,37.6511294,-97.431852,n49,Txy,,,,
Txy_M7_M,50,37.642177,-97.4239169,n50,Txy,,,,
Txy_M_001,51,37.6446747,-97.4228011,n51,Txy,,,,
Txy_M_002,52,37.6464842,-97.42308,n52,Txy,,,,
Txy_M_B,53,37.6482681,-97.422329,n53,Txy,,,,
Txy_M6_M,54,37.6504512,-97.4213098,n54,Txy,,,,
Txy_M5_M,55,37.6531185,-97.4200974,n55,Txy,,,,
Txy_M4_M,56,37.6550976,-97.4191962,n56,Txy,,,,
Txy_M3_M,57,37.6555138,-97.4190031,n57,Txy,,,,
Txy_M2_M,58,37.6562783,-97.4186598,n58,Txy,,,,
Txy_M_003,59,37.6575099,-97.4179946,n59,Txy,,,,
Txy_M_004,60,37.6589538,-97.4162243,n60,Txy,,,,
Txy_M_P,61,37.6595823,-97.415881,n61,Txy,,,,
Txy_M1_M,62,37.6608139,-97.415366,n62,Txy,,,,
Txy_P_001,63,37.6590727,-97.4141858,n63,Txy,,,,
Txy_M4_001,64,37.654605,-97.4175225,n64,Txy,,,,
Txy_M3_001,65,37.6550127,-97.4173401,n65,Txy,,,,
Txy_A_B,66,37.6494743,-97.4260197,n66,Txy,,,,
Txy_N_B,67,37.6490666,-97.4250649,n67,Txy,,,,
Txy_N_A8,68,37.6512327,-97.4240885,n68,Txy,,,,
Txy_A_A8,69,37.6515045,-97.4250649,n69,Txy,,,,
Txy_R_A,70,37.6506381,-97.4254726,n70,Txy,,,,
Txy_N_A7,71,37.6539084,-97.4228547,n71,Txy,,,,
Txy_A_A7,72,37.6541887,-97.4238311,n72,Txy,,,,
Txy_A7_001,73,37.6544606,-97.4247645,n73,Txy,,,,
Txy_A_A6,74,37.6557601,-97.4231122,n74,Txy,,,,
Txy_A6_001,75,37.655998,-97.4239169,n75,Txy,,,,
Txy_N_A5,76,37.6570512,-97.4214171,n76,Txy,,,,
Txy_A_A5,77,37.6573315,-97.4223934,n77,Txy,,,,
