n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,39.700336,-86.30434,Rwy_01_002,1,39.700931,-86.303568
Rwy_01_003,2,39.705792,-86.297388,Rwy_01_002,1,39.700931,-86.303568
Rwy_01_004,3,39.709185,-86.293075,Rwy_01_003,2,39.705792,-86.297388
Rwy_01_005,4,39.711793,-86.289717,Rwy_01_004,3,39.709185,-86.293075
Rwy_01_006,5,39.713378,-86.287743,Rwy_01_005,4,39.711793,-86.289717
Rwy_01_007,6,39.716687,-86.283494,Rwy_01_006,5,39.713378,-86.287743
Rwy_01_008,7,39.71913,-86.280393,Rwy_01_007,6,39.716687,-86.283494
Rwy_01_009,8,39.719716,-86.279653,Rwy_01_008,7,39.71913,-86.280393
Rwy_02_001,9,39.706544,-86.320696,Rwy_02_002,10,39.707039,-86.320009
Rwy_02_003,11,39.714285,-86.310782,Rwy_02_002,10,39.707039,-86.320009
Rwy_02_004,12,39.720062,-86.303508,Rwy_02_003,11,39.714285,-86.310782
Rwy_02_005,13,39.723825,-86.298658,Rwy_02_004,12,39.720062,-86.303508
Rwy_02_006,14,39.727634,-86.29383,Rwy_02_005,13,39.723825,-86.298658
Rwy_02_006,14,39.727634,-86.29383,Rwy_02_007,15,39.728228,-86.293036
Rwy_03_001,16,39.720349,-86.270543,Rwy_03_002,17,39.722403,-86.273236
Rwy_03_003,18,39.724813,-86.276433,Rwy_03_002,17,39.722403,-86.273236
Rwy_03_004,19,39.726076,-86.27815,Rwy_03_003,18,39.724813,-86.276433
Rwy_03_005,20,39.727965,-86.280607,Rwy_03_004,19,39.726076,-86.27815
Rwy_03_006,21,39.729888,-86.283128,Rwy_03_005,20,39.727965,-86.280607
Rwy_03_007,22,39.734162,-86.288686,Rwy_03_006,21,39.729888,-86.283128
Rwy_01_001,0,39.700336,-86.30434,Txy_C9_C,23,39.701544,-86.305726
Rwy_01_002,1,39.700931,-86.303568,Txy_C8_C,24,39.702097,-86.305082
Txy_C8_C,24,39.702097,-86.305082,Txy_C9_C,23,39.701544,-86.305726
Txy_C7_C,25,39.708188,-86.29732,Rwy_01_004,3,39.709185,-86.293075
Txy_C7_C,25,39.708188,-86.29732,Txy_C8_C,24,39.702097,-86.305082
Txy_C7_C,25,39.708188,-86.29732,Txy_U1_C,26,39.71064,-86.294187
Txy_U1_C,26,39.71064,-86.294187,Txy_U2_C,27,39.712324,-86.292036
Txy_C4_C,28,39.7152,-86.288377,Txy_U2_C,27,39.712324,-86.292036
Rwy_01_006,5,39.713378,-86.287743,Txy_C4_C,28,39.7152,-86.288377
Txy_C3_C,29,39.717841,-86.285009,Txy_C4_C,28,39.7152,-86.288377
Rwy_01_007,6,39.716687,-86.283494,Txy_C3_C,29,39.717841,-86.285009
Txy_C3_C,29,39.717841,-86.285009,Txy_C2_C,30,39.720275,-86.281886
Rwy_01_008,7,39.71913,-86.280393,Txy_C2_C,30,39.720275,-86.281886
Txy_C1_C,31,39.720861,-86.281157,Txy_C2_C,30,39.720275,-86.281886
Rwy_01_009,8,39.719716,-86.279653,Txy_C1_C,31,39.720861,-86.281157
Rwy_01_001,0,39.700336,-86.30434,Txy_D9_D,32,39.699346,-86.302765
Txy_D8_D,33,39.699792,-86.302046,Txy_D9_D,32,39.699346,-86.302765
Rwy_01_002,1,39.700931,-86.303568,Txy_D8_D,33,39.699792,-86.302046
Txy_D7_D,34,39.703605,-86.297154,Rwy_01_003,2,39.705792,-86.297388
Txy_D8_D,33,39.699792,-86.302046,Txy_D7_D,34,39.703605,-86.297154
Txy_D7_D,34,39.703605,-86.297154,Txy_D6_D,35,39.707526,-86.293227
Txy_D6_D,35,39.707526,-86.293227,Rwy_01_004,3,39.709185,-86.293075
Txy_D6_D,35,39.707526,-86.293227,Txy_D5_D,36,39.711042,-86.28871
Rwy_01_005,4,39.711793,-86.289717,Txy_D5_D,36,39.711042,-86.28871
Txy_D5_D,36,39.711042,-86.28871,Txy_D4_D,37,39.713592,-86.285438
Rwy_01_006,5,39.713378,-86.287743,Txy_D4_D,37,39.713592,-86.285438
Txy_D4_D,37,39.713592,-86.285438,Txy_D3_D,38,39.715878,-86.282444
Rwy_01_007,6,39.716687,-86.283494,Txy_D3_D,38,39.715878,-86.282444
Txy_D2_D,39,39.717974,-86.278861,Txy_D3_D,38,39.715878,-86.282444
Txy_D1_D,40,39.718585,-86.278121,Txy_D2_D,39,39.717974,-86.278861
Rwy_01_008,7,39.71913,-86.280393,Txy_D2_D,39,39.717974,-86.278861
Txy_D1_D,40,39.718585,-86.278121,Rwy_01_009,8,39.719716,-86.279653
Txy_R_B,44,39.722668,-86.297116,Txy_R_E,43,39.721669,-86.295807
Txy_R_E,43,39.721669,-86.295807,Txy_R_H,42,39.719144,-86.292481
Txy_R_K,41,39.716644,-86.289263,Txy_R_H,42,39.719144,-86.292481
Txy_C4_C,28,39.7152,-86.288377,Txy_R_K,41,39.716644,-86.289263
Txy_U1_C,26,39.71064,-86.294187,Txy_U_K,45,39.713425,-86.294016
Txy_U2_C,27,39.712324,-86.292036,Txy_U_K,45,39.713425,-86.294016
Txy_U_K,45,39.713425,-86.294016,Txy_K_001,46,39.714514,-86.29246
Txy_K_001,46,39.714514,-86.29246,Txy_K_002,47,39.71567,-86.290808
Txy_K_002,47,39.71567,-86.290808,Txy_R_K,41,39.716644,-86.289263
Txy_A12_A,48,39.707776,-86.322333,Rwy_02_001,9,39.706544,-86.320696
