id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Parking_W_005,0,40.800638,-73.108288,n0,Park,,,,
Parking_W_004,1,40.798035,-73.109472,n1,Park,,,,
Parking_W_003,2,40.79702,-73.108171,n2,Park,,,,
Parking_S_001,3,40.789603,-73.092959,n3,Park,,,,
Gate_A_006,4,40.790277,-73.094912,n4,Gate,,,,
Parking_W_002,5,40.796364,-73.108286,n5,Park,,,,
Parking_A_001,6,40.78861,-73.108074,n6,Park,,,,
Parking_W_001,7,40.795082,-73.109425,n7,Park,,,,
Gate_A_008,8,40.789705,-73.094208,n8,Gate,,,,
Gate_A_007,9,40.789975,-73.094576,n9,Gate,,,,
Gate_A_004,10,40.790295,-73.095685,n10,Gate,,,,
Gate_A_002,11,40.790301,-73.096766,n11,Gate,,,,
Parking_S_005,12,40.789648,-73.104899,n12,Park,,,,
Gate_A_005,13,40.790403,-73.095175,n13,Gate,,,,
Parking_S_003,14,40.790225,-73.101449,n14,Park,,,,
Gate_B_017,15,40.790179,-73.09849,n15,Gate,,,,
Gate_A_003,16,40.790295,-73.096176,n16,Gate,,,,
Parking_S_004,17,40.79055,-73.103307,n17,Park,,,,
Parking_S_002,18,40.790235,-73.099822,n18,Park,,,,
Parking_S_006,19,40.790328,-73.105444,n19,Park,,,,
Rwy_01_001,20,40.78878,-73.11227,n20,Rwy,RW06 ,Entry,RW24 ,End
Rwy_01_002,21,40.790658,-73.10976,n21,Rwy,,,,
Rwy_01_03,22,40.792609,-73.107193,n22,Rwy,RW10 ,Entry,RW28 ,End
Rwy_01_004,23,40.796561,-73.101996,n23,Rwy,,,,
Rwy_01_005,24,40.796911,-73.101561,n24,Rwy,,,,
Rwy_01_02,25,40.797395,-73.100903,n25,Rwy,,,,
Rwy_01_007,26,40.798787,-73.099078,n26,Rwy,,,,
Rwy_01_009,27,40.802114,-73.094688,n27,Rwy,RW24 ,Entry,RW06 ,End
Rwy_02_001,28,40.801831,-73.106803,n28,Rwy,RW15R,Entry,RW33L,End
Rwy_02_002,29,40.800088,-73.104478,n29,Rwy,,,,
Rwy_02_003,30,40.798125,-73.101902,n30,Rwy,,,,
Rwy_02_004,31,40.797859,-73.10156,n31,Rwy,,,,
Rwy_02_005,32,40.796898,-73.100318,n32,Rwy,,,,
Rwy_02_006,33,40.796577,-73.099889,n33,Rwy,,,,
Rwy_02_007,34,40.793204,-73.095443,n34,Rwy,,,,
Rwy_02_03,35,40.792544,-73.094631,n35,Rwy,RW33L,Entry,RW15R,End
Rwy_03_001,36,40.792532,-73.106064,n36,Rwy,,,,
Rwy_03_002,37,40.792532,-73.100941,n37,Rwy,,,,
Rwy_03_003,38,40.792526,-73.095815,n38,Rwy,,,,
Rwy_03_004,39,40.792518,-73.090784,n39,Rwy,RW28 ,Entry,RW10 ,End
Rwy_04_001,40,40.793212,-73.090684,n40,Rwy,RW33R,Entry,RW15L,End
Rwy_04_002,41,40.796231,-73.094656,n41,Rwy,,,,
Rwy_04_003,42,40.79871,-73.097853,n42,Rwy,,,,
Rwy_01_04,43,40.79918,-73.098566,n43,Rwy,RW15L,Entry,RW33R,End
Txy_F_001,44,40.801658,-73.094014,n44,Txy,,,,
Txy_E_001,45,40.80116,-73.094652,n45,Txy,,,,
Txy_E_002,46,40.797002,-73.094666,n46,Txy,,,,
Txy_E_003,47,40.795468,-73.094656,n47,Txy,,,,
Txy_E_004,48,40.793583,-73.094645,n48,Txy,,,,
Txy_E_005,49,40.791841,-73.095504,n49,Txy,,,,
Txy_S_001,50,40.791845,-73.090742,n50,Txy,,,,
Txy_S_002,51,40.791228,-73.091556,n51,Txy,,,,
Txy_S_003,52,40.791121,-73.094067,n52,Txy,,,,
Txy_S_004,53,40.791121,-73.095153,n53,Txy,,,,
Txy_S_005,54,40.791114,-73.096665,n54,Txy,,,,
Txy_S_006,55,40.791121,-73.09763,n55,Txy,,,,
Txy_S_007,56,40.791121,-73.098552,n56,Txy,,,,
Txy_S_008,57,40.791127,-73.099806,n57,Txy,,,,
Txy_W_001,58,40.801155,-73.107178,n58,Txy,,,,
Txy_W_002,59,40.800655,-73.107187,n59,Txy,,,,
Txy_W_003,60,40.799907,-73.10719,n60,Txy,,,,
Txy_W_004,61,40.798012,-73.107185,n61,Txy,,,,
Txy_W_005,62,40.797031,-73.107176,n62,Txy,,,,
Txy_W_006,63,40.796371,-73.107181,n63,Txy,,,,
Txy_W_007,64,40.795061,-73.107176,n64,Txy,,,,
Txy_W_008,65,40.793588,-73.107183,n65,Txy,,,,
Rwy_01_103,66,40.793208,-73.106426,n66,Rwy,,,,
Txy_S_009,67,40.791122,-73.100938,n67,Txy,,,,
Txy_S_010,68,40.791121,-73.101982,n68,Txy,,,,
Txy_S_011,69,40.791113,-73.103319,n69,Txy,,,,
Txy_S_110,70,40.791124,-73.101416,n70,Txy,,,,
Txy_S_109,71,40.791122,-73.100464,n71,Txy,,,,
Txy_S_012,72,40.791122,-73.104853,n72,Txy,,,,
Txy_S_013,73,40.791143,-73.105376,n73,Txy,,,,
Txy_S_014,74,40.791521,-73.105944,n74,Txy,,,,
Txy_S_015,75,40.791847,-73.106382,n75,Txy,,,,
Txy_A_001,76,40.791533,-73.106601,n76,Txy,,,,
Txy_A_002,77,40.789886,-73.108752,n77,Txy,,,,
Txy_A_003,78,40.788218,-73.110954,n78,Txy,,,,
Txy_A_004,79,40.788248,-73.11169,n79,Txy,,,,
Txy_A1_001,80,40.790183,-73.109144,n80,Txy,,,,
Txy_B_001,81,40.800104,-73.10663,n81,Txy,,,,
Txy_B1_001,82,40.799623,-73.105143,n82,Txy,,,,
Txy_B_002,83,40.79929,-73.10555,n83,Txy,,,,
Txy_B_003,84,40.797326,-73.102974,n84,Txy,,,,
Txy_B2_001,85,40.797666,-73.102595,n85,Txy,,,,
Txy_B_004,86,40.797068,-73.102614,n86,Txy,,,,
Txy_B_005,87,40.796091,-73.101371,n87,Txy,,,,
Txy_B3_001,88,40.796091,-73.100529,n88,Txy,,,,
Txy_C_001,89,40.795674,-73.100935,n89,Txy,,,,
Txy_C_002,90,40.793204,-73.10094,n90,Txy,,,,
Txy_C_003,91,40.791853,-73.100935,n91,Txy,,,,
Txy_C_004,92,40.791474,-73.10094,n92,Txy,,,,
Txy_H_001,93,40.79321,-73.089417,n93,Txy,,,,
Ramp_H_001,94,40.793804,-73.087591,n94,Ramp,,,,
Parking_H_001,95,40.793861,-73.086037,n95,Park,,,,
Ramp_S_001,96,40.79086,-73.094637,n96,Ramp,,,,
Ramp_S_002,97,40.790865,-73.095067,n97,Ramp,,,,
Ramp_S_003,98,40.790861,-73.095867,n98,Ramp,,,,
Ramp_S_004,99,40.790863,-73.096658,n99,Ramp,,,,
Ramp_S_006,100,40.79086,-73.098553,n100,Ramp,,,,
Ramp_S_007,101,40.790866,-73.0998,n101,Ramp,,,,
Ramp_S_008,102,40.790862,-73.100937,n102,Ramp,,,,
Ramp_S_009,103,40.79086,-73.101979,n103,Ramp,,,,
Ramp_S_010,104,40.790861,-73.103317,n104,Ramp,,,,
Ramp_S_011,105,40.790871,-73.104857,n105,Ramp,,,,
Ramp_S_012,106,40.790867,-73.105407,n106,Ramp,,,,
Ramp_A_001,107,40.789421,-73.108145,n107,Ramp,,,,
Ramp_W_001,108,40.795073,-73.107528,n108,Ramp,,,,
Ramp_W_002,109,40.796368,-73.107519,n109,Ramp,,,,
Ramp_W_003,110,40.79703,-73.107519,n110,Ramp,,,,
Ramp_W_004,111,40.798036,-73.10753,n111,Ramp,,,,
Ramp_W_005,112,40.800639,-73.107524,n112,Ramp,,,,
Txy_E_101,113,40.80066,-73.094629,n113,Txy,,,,
Txy_D_001,114,40.79861,-73.101321,n114,Txy,,,,
Txy_D_003,115,40.802723,-73.095889,n115,Txy,,,,
Txy_D_002,116,40.800785,-73.098489,n116,Txy,,,,
Txy_D_004,117,40.802611,-73.095282,n117,Txy,,,,
ISP-Ref,118,40.79525,-73.100222,n118,Unknown,,,,
Gate_A_001,119,40.7903383,-73.0972767,n119,Gate,,,,
