n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_S_109,71,40.791122,-73.100464,Txy_S_009,67,40.791122,-73.100938
Rwy_02_03,35,40.792544,-73.094631,Rwy_02_007,34,40.793204,-73.095443
Txy_S_005,54,40.791114,-73.096665,Txy_S_006,55,40.791121,-73.09763
Txy_A_001,76,40.791533,-73.106601,Txy_S_015,75,40.791847,-73.106382
Ramp_W_001,108,40.795073,-73.107528,Txy_W_007,64,40.795061,-73.107176
Rwy_02_001,28,40.801831,-73.106803,Rwy_02_002,29,40.800088,-73.104478
Txy_W_005,62,40.797031,-73.107176,Txy_W_004,61,40.798012,-73.107185
Txy_W_001,58,40.801155,-73.107178,Rwy_02_001,28,40.801831,-73.106803
Txy_S_012,72,40.791122,-73.104853,Txy_S_013,73,40.791143,-73.105376
Rwy_01_02,25,40.797395,-73.100903,Rwy_02_005,32,40.796898,-73.100318
Rwy_02_003,30,40.798125,-73.101902,Rwy_02_004,31,40.797859,-73.10156
Txy_S_009,67,40.791122,-73.100938,Ramp_S_008,102,40.790862,-73.100937
Txy_S_008,57,40.791127,-73.099806,Txy_S_109,71,40.791122,-73.100464
Txy_W_008,65,40.793588,-73.107183,Txy_W_007,64,40.795061,-73.107176
Txy_S_011,69,40.791113,-73.103319,Txy_S_012,72,40.791122,-73.104853
Gate_A_005,13,40.790403,-73.095175,Ramp_S_002,97,40.790865,-73.095067
Txy_S_007,56,40.791121,-73.098552,Txy_S_008,57,40.791127,-73.099806
Rwy_01_04,43,40.79918,-73.098566,Rwy_04_003,42,40.79871,-73.097853
Txy_S_012,72,40.791122,-73.104853,Ramp_S_011,105,40.790871,-73.104857
Rwy_04_001,40,40.793212,-73.090684,Txy_H_001,93,40.79321,-73.089417
Rwy_04_002,41,40.796231,-73.094656,Txy_E_003,47,40.795468,-73.094656
Gate_A_006,4,40.790277,-73.094912,Ramp_S_002,97,40.790865,-73.095067
Txy_D_004,117,40.802611,-73.095282,Rwy_01_009,27,40.802114,-73.094688
Rwy_01_004,23,40.796561,-73.101996,Txy_B_005,87,40.796091,-73.101371
Rwy_01_009,27,40.802114,-73.094688,Txy_E_001,45,40.80116,-73.094652
Rwy_01_02,25,40.797395,-73.100903,Rwy_01_007,26,40.798787,-73.099078
Gate_A_008,8,40.789705,-73.094208,Ramp_S_002,97,40.790865,-73.095067
Txy_B1_001,82,40.799623,-73.105143,Rwy_02_002,29,40.800088,-73.104478
Parking_W_005,0,40.800638,-73.108288,Ramp_W_005,112,40.800639,-73.107524
Rwy_03_001,36,40.792532,-73.106064,Rwy_01_03,22,40.792609,-73.107193
Ramp_S_004,99,40.790863,-73.096658,Gate_A_001,119,40.7903383,-73.0972767
Txy_A_001,76,40.791533,-73.106601,Txy_S_014,74,40.791521,-73.105944
Rwy_01_03,22,40.792609,-73.107193,Txy_W_008,65,40.793588,-73.107183
Ramp_W_002,109,40.796368,-73.107519,Txy_W_006,63,40.796371,-73.107181
Txy_E_003,47,40.795468,-73.094656,Txy_E_004,48,40.793583,-73.094645
Txy_S_005,54,40.791114,-73.096665,Txy_S_004,53,40.791121,-73.095153
Txy_B_005,87,40.796091,-73.101371,Txy_C_001,89,40.795674,-73.100935
Txy_S_110,70,40.791124,-73.101416,Txy_S_010,68,40.791121,-73.101982
Txy_W_004,61,40.798012,-73.107185,Txy_W_003,60,40.799907,-73.10719
Txy_W_003,60,40.799907,-73.10719,Txy_B_001,81,40.800104,-73.10663
Rwy_02_002,29,40.800088,-73.104478,Rwy_02_003,30,40.798125,-73.101902
Ramp_S_007,101,40.790866,-73.0998,Parking_S_002,18,40.790235,-73.099822
Rwy_02_007,34,40.793204,-73.095443,Rwy_02_006,33,40.796577,-73.099889
Rwy_04_002,41,40.796231,-73.094656,Rwy_04_003,42,40.79871,-73.097853
Ramp_W_004,111,40.798036,-73.10753,Txy_W_004,61,40.798012,-73.107185
Txy_A_003,78,40.788218,-73.110954,Txy_A_002,77,40.789886,-73.108752
Txy_D_002,116,40.800785,-73.098489,Txy_D_003,115,40.802723,-73.095889
Txy_C_003,91,40.791853,-73.100935,Rwy_03_002,37,40.792532,-73.100941
Rwy_02_03,35,40.792544,-73.094631,Txy_E_005,49,40.791841,-73.095504
Txy_S_006,55,40.791121,-73.09763,Txy_S_007,56,40.791121,-73.098552
Ramp_A_001,107,40.789421,-73.108145,Parking_A_001,6,40.78861,-73.108074
Txy_B_002,83,40.79929,-73.10555,Txy_B1_001,82,40.799623,-73.105143
Txy_S_010,68,40.791121,-73.101982,Ramp_S_009,103,40.79086,-73.101979
Rwy_01_03,22,40.792609,-73.107193,Rwy_01_103,66,40.793208,-73.106426
Gate_A_007,9,40.789975,-73.094576,Ramp_S_002,97,40.790865,-73.095067
Txy_D_001,114,40.79861,-73.101321,Txy_D_002,116,40.800785,-73.098489
Txy_C_003,91,40.791853,-73.100935,Txy_C_004,92,40.791474,-73.10094
Txy_S_015,75,40.791847,-73.106382,Rwy_01_03,22,40.792609,-73.107193
Txy_S_013,73,40.791143,-73.105376,Ramp_S_012,106,40.790867,-73.105407
Ramp_W_005,112,40.800639,-73.107524,Txy_W_002,59,40.800655,-73.107187
Txy_B2_001,85,40.797666,-73.102595,Txy_B_003,84,40.797326,-73.102974
Rwy_01_007,26,40.798787,-73.099078,Rwy_01_04,43,40.79918,-73.098566
Txy_W_003,60,40.799907,-73.10719,Txy_W_002,59,40.800655,-73.107187
Txy_S_004,53,40.791121,-73.095153,Txy_E_005,49,40.791841,-73.095504
Parking_W_003,2,40.79702,-73.108171,Ramp_W_003,110,40.79703,-73.107519
Parking_S_005,12,40.789648,-73.104899,Ramp_S_011,105,40.790871,-73.104857
Txy_E_004,48,40.793583,-73.094645,Rwy_02_03,35,40.792544,-73.094631
Txy_S_011,69,40.791113,-73.103319,Ramp_S_010,104,40.790861,-73.103317
Parking_S_004,17,40.79055,-73.103307,Ramp_S_010,104,40.790861,-73.103317
Txy_S_004,53,40.791121,-73.095153,Ramp_S_001,96,40.79086,-73.094637
Ramp_W_003,110,40.79703,-73.107519,Txy_W_005,62,40.797031,-73.107176
Txy_S_008,57,40.791127,-73.099806,Ramp_S_007,101,40.790866,-73.0998
Rwy_04_002,41,40.796231,-73.094656,Rwy_04_001,40,40.793212,-73.090684
Parking_S_003,14,40.790225,-73.101449,Ramp_S_009,103,40.79086,-73.101979
Rwy_03_004,39,40.792518,-73.090784,Txy_S_001,50,40.791845,-73.090742
Txy_S_007,56,40.791121,-73.098552,Ramp_S_006,100,40.79086,-73.098553
Txy_C_002,90,40.793204,-73.10094,Rwy_03_002,37,40.792532,-73.100941
Txy_E_005,49,40.791841,-73.095504,Txy_S_005,54,40.791114,-73.096665
Txy_W_007,64,40.795061,-73.107176,Txy_W_006,63,40.796371,-73.107181
Ramp_S_004,99,40.790863,-73.096658,Gate_A_003,16,40.790295,-73.096176
Txy_H_001,93,40.79321,-73.089417,Txy_S_001,50,40.791845,-73.090742
Rwy_02_006,33,40.796577,-73.099889,Rwy_02_005,32,40.796898,-73.100318
Parking_S_003,14,40.790225,-73.101449,Ramp_S_008,102,40.790862,-73.100937
Parking_S_006,19,40.790328,-73.105444,Ramp_S_012,106,40.790867,-73.105407
Rwy_01_103,66,40.793208,-73.106426,Rwy_01_004,23,40.796561,-73.101996
Txy_S_004,53,40.791121,-73.095153,Txy_S_003,52,40.791121,-73.094067
Txy_F_001,44,40.801658,-73.094014,Rwy_01_009,27,40.802114,-73.094688
Rwy_01_001,20,40.78878,-73.11227,Rwy_01_002,21,40.790658,-73.10976
Parking_W_004,1,40.798035,-73.109472,Ramp_W_004,111,40.798036,-73.10753
Txy_A_002,77,40.789886,-73.108752,Ramp_A_001,107,40.789421,-73.108145
Parking_W_002,5,40.796364,-73.108286,Ramp_W_002,109,40.796368,-73.107519
Txy_A_002,77,40.789886,-73.108752,Txy_A1_001,80,40.790183,-73.109144
Txy_S_015,75,40.791847,-73.106382,Txy_S_014,74,40.791521,-73.105944
Txy_C_001,89,40.795674,-73.100935,Txy_C_002,90,40.793204,-73.10094
Txy_H_001,93,40.79321,-73.089417,Ramp_H_001,94,40.793804,-73.087591
Txy_W_002,59,40.800655,-73.107187,Txy_B_001,81,40.800104,-73.10663
Rwy_03_001,36,40.792532,-73.106064,Rwy_03_002,37,40.792532,-73.100941
Txy_S_009,67,40.791122,-73.100938,Txy_S_110,70,40.791124,-73.101416
Rwy_02_004,31,40.797859,-73.10156,Rwy_01_02,25,40.797395,-73.100903
Gate_A_004,10,40.790295,-73.095685,Ramp_S_003,98,40.790861,-73.095867
Rwy_02_003,30,40.798125,-73.101902,Txy_D_001,114,40.79861,-73.101321
Txy_E_101,113,40.80066,-73.094629,Txy_E_002,46,40.797002,-73.094666
