n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_01_004,124,30.4939430217,-81.6832738026,Ramp_01_005,133,30.4943898135,-81.6840707745
Ramp_01_006,132,30.49444778,-81.6854945743,Ramp_01_007,125,30.4940130605,-81.6856063224
Gate_04_002,142,30.4861498296,-81.684729283,Ramp_04_003,145,30.4862671108,-81.6854589383
Txy_A_006,30,30.5007601434,-81.6793862961,Txy_A_F,26,30.5019439199,-81.6755162764
Txy_R_001,54,30.4834870504,-81.6877485102,Rwy_02_005,55,30.4826055909,-81.6879335287
Txy_R_005,140,30.4873662466,-81.6869234037,Txy_R_004,139,30.4858981514,-81.6872384903
Ramp_01_007,125,30.4940130605,-81.6856063224,Ramp_01_008,126,30.4935685572,-81.6857039844
Txy_P_004,73,30.4915847326,-81.6897072948,Txy_P_003,72,30.4914730721,-81.6898719724
Txy_N_001,44,30.4923529353,-81.698169773,Txy_N_002,70,30.4892277245,-81.6939646841
Txy_G_001,12,30.5013158806,-81.6802944645,Txy_A_G,31,30.5006123526,-81.6798715064
Txy_N_L,46,30.4933368256,-81.6995016316,Txy_L_002,42,30.4931890849,-81.699651635
Txy_C_001,18,30.5046101549,-81.6698495965,Txy_A_C,19,30.5037852554,-81.6695057273
Txy_A_J,36,30.4969448148,-81.6918462679,Txy_J_002,34,30.4965323055,-81.6915660753
Ramp_01_010,127,30.4929758897,-81.6859969497,Ramp_01_009,128,30.4929082022,-81.6856042248
Gate_C_007,136,30.4888949117,-81.6850508103,Ramp_03_008,111,30.488753969,-81.6843904546
Txy_A_001,37,30.4952116223,-81.6975206072,Txy_A_002,35,30.4967830719,-81.6923739725
Ramp_04_002,144,30.4867745841,-81.6853533476,Ramp_04_003,145,30.4862671108,-81.6854589383
Txy_P_001,51,30.4881608946,-81.6940542519,Rwy_02_003,50,30.4872883351,-81.6942580862
Ramp_01_002,122,30.4931782217,-81.6834331448,Ramp_01_003,123,30.4935704261,-81.6833534733
Ramp_01_009,128,30.4929082022,-81.6856042248,Gate_B_001,90,30.4920686732,-81.685784137
Ramp_02_001,76,30.4928972148,-81.6890695249,Ramp_02_002,77,30.4918462341,-81.6892955942
Txy_B_F,24,30.5012986698,-81.6752258785,Txy_F_002,27,30.5007071261,-81.6749881097
Txy_J_002,34,30.4965323055,-81.6915660753,Txy_J_003,74,30.4934151167,-81.6894458206
Txy_M1_001,161,30.4915952216,-81.7028631802,Parking_M1_001,162,30.4913609458,-81.7047147609
Txy_B_002,23,30.5014478727,-81.6747435044,Txy_B_E,21,30.5026997929,-81.6706391349
Txy_N_L,46,30.4933368256,-81.6995016316,Txy_N_K,45,30.4926297144,-81.6985498587
Txy_M2_001,159,30.4912928348,-81.7013261969,Parking_M2_001,163,30.4896502311,-81.7021617222
Gate_C_009,104,30.4885716155,-81.685205502,Ramp_03_007,112,30.4884516775,-81.6844504701
Txy_A_002,35,30.4967830719,-81.6923739725,Txy_A_J,36,30.4969448148,-81.6918462679
Txy_N_P,71,30.4889523641,-81.6935839147,Txy_N_003,68,30.4886699454,-81.693184036
Txy_B_H,32,30.4984559112,-81.6845294903,Txy_B_G,28,30.4999609979,-81.6796034967
Rwy_01_002,4,30.4986974582,-81.6918392631,Rwy_01_003,10,30.5007830275,-81.6850360769
Txy_N_U,61,30.4797218885,-81.6811109522,Txy_U_001,60,30.4790485993,-81.6817666637
Txy_A_004,0,30.4990767721,-81.684890853,Txy_A_H,2,30.4992323044,-81.6843726401
Txy_G_006,81,30.4965690012,-81.6789360668,Parking_G_002,157,30.4964363604,-81.6781642712
Txy_G_005,82,30.4966160108,-81.6792283107,Txy_G_006,81,30.4965690012,-81.6789360668
Txy_A_H,2,30.4992323044,-81.6843726401,Txy_B_H,32,30.4984559112,-81.6845294903
Gate_A_002,83,30.4926766166,-81.6844252535,Ramp_01_001,121,30.4927982736,-81.6835213493
Txy_A_E,20,30.5033575687,-81.6708926037,Txy_A_C,19,30.5037852554,-81.6695057273
Rwy_02_005,55,30.4826055909,-81.6879335287,Rwy_02_006,56,30.4814137694,-81.6863587524
Txy_A_005,1,30.4993878349,-81.6838650462,Txy_A_G,31,30.5006123526,-81.6798715064
Rwy_01_007,17,30.5053376051,-81.6701470128,Txy_C_001,18,30.5046101549,-81.6698495965
