id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_terminalA_023,0,36.086567308,-115.1524915178,n0,Gate,,,,
Parking_01_086,1,36.079461553,-115.1441839103,n1,Park,,,,
Parking_01_080,2,36.0819078695,-115.1448205652,n2,Park,,,,
Parking_01_099,3,36.0876693404,-115.1514886519,n3,Park,,,,
Parking_01_081,4,36.0815658725,-115.1446257802,n4,Park,,,,
Parking_01_082,5,36.0812184631,-115.1444469263,n5,Park,,,,
Parking_01_084,6,36.0804891108,-115.1440284966,n6,Park,,,,
Parking_01_083,7,36.0808793402,-115.1442345608,n7,Park,,,,
Parking_01_085,8,36.0798364461,-115.1441842484,n8,Park,,,,
Gate_01_A15,9,36.0855937586,-115.1545314699,n9,Gate,,,,
Txy_C_C3,10,36.0782670138,-115.1329090398,n10,Txy,,,,
twy_C3_C,11,36.0782659211,-115.1337344436,n11,Txy,,,,
Txy_C_007,12,36.0782657868,-115.1353304503,n12,Txy,,,,
Gate_01_A14,13,36.085365914,-115.154761261,n13,Gate,,,,
Gate_01_A13,14,36.0851228137,-115.1546525404,n14,Gate,,,,
Gate_01_A12,15,36.084953248,-115.1544244972,n15,Gate,,,,
Gate_01_A11,16,36.0850004845,-115.1540374009,n16,Gate,,,,
Gate_01_A10,17,36.0853139775,-115.1535220463,n17,Gate,,,,
Gate_01_A09,18,36.0852213523,-115.1527194752,n18,Gate,,,,
Rwy_1_001,19,36.0995255505,-115.1565138421,n19,Rwy,,,,
Rwy_1_003,20,36.0986814019,-115.1569924423,n20,Rwy,,,,
Rwy_1_004,21,36.0977061557,-115.1575559233,n21,Rwy,RW19R,Entry,RW01L,End
Rwy_1_006,22,36.0937967057,-115.1597774337,n22,Rwy,,,,
Rwy_1_008,23,36.0897572849,-115.1621073888,n23,Rwy,,,,
Rwy_1_010,24,36.088474042,-115.1628485787,n24,Rwy,,,,
Rwy_1_009,25,36.0890154225,-115.1625266341,n25,Rwy,,,,
Rwy_1_012,26,36.0849394439,-115.1648634727,n26,Rwy,,,,
Rwy_1_014,27,36.082626332,-115.1661828235,n27,Rwy,,,,
Rwy_1_015,28,36.0820661815,-115.166490919,n28,Rwy,,,,
Rwy_1_016,29,36.0806755931,-115.1672926931,n29,Rwy,,,,
Rwy_1_018,30,36.0780188016,-115.1688292475,n30,Rwy,,,,
Rwy_1_3,31,36.0763684454,-115.1697710582,n31,Rwy,RW01L,Entry,RW19R,End
Rwy_1_021,32,36.0754517477,-115.1702935438,n32,Rwy,,,,
Rwy_2_002,33,36.0984324723,-115.153644262,n33,Rwy,,,,
Rwy_2_005,34,36.0951970917,-115.1554889803,n34,Rwy,,,,
Rwy_2_007,35,36.0927063704,-115.1569185895,n35,Rwy,,,,
Rwy_2_010,36,36.0896150539,-115.1586870567,n36,Rwy,,,,
Rwy_2_012,37,36.0879341114,-115.1596453639,n37,Rwy,,,,
Rwy_2_015,38,36.0847802716,-115.1614582701,n38,Rwy,,,,
Rwy_2_018,39,36.081642449,-115.1632545173,n39,Rwy,,,,
Rwy_2_021,40,36.0780230708,-115.1653244268,n40,Rwy,,,,
Rwy_2_3,41,36.0763775875,-115.1662475791,n41,Rwy,,,,
Rwy_2_022,42,36.0754747197,-115.1667852407,n42,Rwy,RW01R,Entry,RW19L,End
Rwy_2_024,43,36.0743736946,-115.167408013,n43,Rwy,,,,
Rwy_3_001,44,36.0764086784,-115.1212714604,n44,Rwy,,,,
Rwy_3_002,45,36.0764059488,-115.1223857647,n45,Rwy,,,,
Rwy_3_005,46,36.0763996899,-115.1338412011,n46,Rwy,,,,
Rwy_3_008,47,36.0763986785,-115.1378982621,n47,Rwy,,,,
Rwy_3_011,48,36.0763980153,-115.1465363924,n48,Rwy,,,,
Rwy_3_015,49,36.0763791758,-115.1574499133,n49,Rwy,,,,
Rwy_3_017,50,36.076363366,-115.1629403352,n50,Rwy,RW08L,Entry,RW26R,End
Rwy_3_018,51,36.0763746193,-115.1640279856,n51,Rwy,,,,
Rwy_3_019,52,36.0763871705,-115.1673563086,n52,Rwy,,,,
Rwy_3_020,53,36.076367847,-115.1682978683,n53,Rwy,,,,
Rwy_3_021,54,36.0763638307,-115.1701992104,n54,Rwy,,,,
Rwy_3_022,55,36.0763658315,-115.1713763073,n55,Rwy,,,,
Rwy_3_023,56,36.0763970043,-115.1519564418,n56,Rwy,,,,
Rwy_3_027,57,36.076372887,-115.1612820049,n57,Rwy,,,,
Rwy_3_029,58,36.0764126282,-115.1259910015,n58,Rwy,RW26R,Entry,RW08L,End
Rwy_4_001,59,36.0736526945,-115.1259936418,n59,Rwy,RW26L,Entry,RW08R,End
Txy_A2_022,60,36.0744777437,-115.1259913425,n60,Txy,,,,
Rwy_4_003,61,36.0736503646,-115.133832279,n61,Rwy,,,,
Rwy_4_004,62,36.0736331136,-115.1422397706,n62,Rwy,,,,
Rwy_4_005,63,36.0736320394,-115.1482119098,n63,Rwy,,,,
Rwy_4_006,64,36.0736310824,-115.1557882221,n64,Rwy,,,,
Rwy_4_008,65,36.0736232113,-115.1612218893,n65,Rwy,RW08R,Entry,RW26L,End
Txy_A8_001,66,36.0744358223,-115.1612638686,n66,Txy,,,,
Txy_A8_002,67,36.0755536402,-115.1612639446,n67,Txy,,,,
Txy_A8_004,68,36.0771867238,-115.161267778,n68,Txy,,,,
Txy_A8_B,69,36.0780231445,-115.1612832945,n69,Txy,,,,
Txy_A7_001,70,36.0744571078,-115.1557615216,n70,Txy,,,,
Txy_A7_004,71,36.0772086668,-115.1581996948,n71,Txy,,,,
Txy_A7_B,72,36.0780262995,-115.1582385354,n72,Txy,,,,
Txy_A6_002,73,36.0745898101,-115.1502537195,n73,Txy,,,,
Txy_A6_A,74,36.0750115157,-115.1509845663,n74,Txy,,,,
Txy_A6_004,75,36.0755454119,-115.1514657338,n75,Txy,,,,
Txy_A6_006,76,36.0772012981,-115.1524232374,n76,Txy,,,,
Txy_A6_007,77,36.0772034792,-115.1515517994,n77,Txy,,,,
Txy_A6_008,78,36.0772056452,-115.151053065,n78,Txy,,,,
Txy_A5_A,79,36.0750168762,-115.1464114136,n79,Txy,,,,
Txy_A5_004,80,36.0755618124,-115.1465331559,n80,Txy,,,,
Txy_A5_005,81,36.0772055691,-115.146537479,n81,Txy,,,,
Txy_A4_002,82,36.0745976653,-115.1388208407,n82,Txy,,,,
Txy_A4_A,83,36.0750238551,-115.1380280565,n83,Txy,,,,
Txy_A4_004,84,36.0755726914,-115.1379047686,n84,Txy,,,,
Txy_A4_005,85,36.0772144383,-115.1379043666,n85,Txy,,,,
