id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_05_002,0,28.414831,-81.336584,n0,Gate,,,,
Gate_05_001,1,28.414829,-81.336983,n1,Gate,,,,
Parking_B1_001,2,28.448279,-81.317058,n2,Park,,,,
Ramp_04_008,3,28.429346,-81.302423,n3,Ramp,,,,
Ramp_04_007,4,28.429242,-81.302177,n4,Ramp,,,,
Ramp_04_005,5,28.428846,-81.301834,n5,Ramp,,,,
Ramp_04_006,6,28.429026,-81.301993,n6,Ramp,,,,
Ramp_04_004,7,28.428658,-81.30171,n7,Ramp,,,,
Rwy_01_001,8,28.448175,-81.326981,n8,Rwy,RW18R,Entry,RW36L,End
Txy_B1_001,9,28.448183,-81.326116,n9,Txy,,,,
Txy_A1_B1,10,28.448043,-81.327963,n10,Txy,,,,
Txy_B1_002,11,28.448199,-81.325195,n11,Txy,,,,
Rwy_01_002,12,28.436717,-81.326849,n12,Rwy,,,,
Txy_J_003,13,28.437211,-81.325879,n13,Txy,,,,
Txy_J_002,14,28.436687,-81.327721,n14,Txy,,,,
Rwy_01_003,15,28.430548,-81.326788,n15,Rwy,,,,
Txy_Y_001,16,28.43055,-81.325647,n16,Txy,,,,
Txy_Y_Z,17,28.430563,-81.324453,n17,Txy,,,,
Rwy_01_004,18,28.429089,-81.326767,n18,Rwy,,,,
Txy_A2_002,19,28.429079,-81.327634,n19,Txy,,,,
Rwy_01_005,20,28.426518,-81.326744,n20,Rwy,,,,
Txy_E_002,21,28.426505,-81.327614,n21,Txy,,,,
Txy_E_003,22,28.426012,-81.325762,n22,Txy,,,,
Rwy_01_006,23,28.415374,-81.326622,n23,Rwy,RW36L,Entry,RW18R,End
Txy_A3_011,24,28.415371,-81.327488,n24,Txy,,,,
Txy_B10_001,25,28.415384,-81.325764,n25,Txy,,,,
Rwy_02_009,26,28.415406,-81.321949,n26,Rwy,RW36R,Entry,RW18L,End
Txy_B10_003,27,28.415397,-81.322809,n27,Txy,,,,
Txy_B10_004,28,28.415414,-81.321089,n28,Txy,,,,
Rwy_02_008,29,28.416859,-81.321972,n29,Rwy,,,,
Txy_B9_001,30,28.416861,-81.32111,n30,Txy,,,,
Rwy_02_007,31,28.424127,-81.322049,n31,Rwy,,,,
Txy_E_004,32,28.424607,-81.322991,n32,Txy,,,,
Txy_E_005,33,28.423659,-81.321119,n33,Txy,,,,
Rwy_02_006,34,28.427675,-81.322077,n34,Rwy,,,,
Txy_B7_001,35,28.427163,-81.321101,n35,Txy,,,,
Txy_B_B7,36,28.427067,-81.319899,n36,Txy,,,,
Txy_Y_002,37,28.430571,-81.32298,n37,Txy,,,,
Rwy_02_005,38,28.430576,-81.322115,n38,Rwy,,,,
Txy_B6_001,39,28.430587,-81.32126,n39,Txy,,,,
Rwy_02_004,40,28.432108,-81.322134,n40,Rwy,,,,
Txy_B5_001,41,28.431536,-81.32113,n41,Txy,,,,
Txy_J_004,42,28.438655,-81.323144,n42,Txy,,,,
Txy_J_005,43,28.439636,-81.321297,n43,Txy,,,,
Rwy_02_003,44,28.439173,-81.322205,n44,Rwy,,,,
Rwy_02_002,45,28.44713,-81.322292,n45,Rwy,,,,
Txy_B2_001,46,28.44713,-81.321427,n46,Txy,,,,
Txy_B1_004,47,28.448228,-81.321443,n47,Txy,,,,
Rwy_02_001,48,28.448228,-81.322304,n48,Rwy,RW18L,Entry,RW36R,End
Txy_B1_003,49,28.448208,-81.323163,n49,Txy,,,,
Txy_A_001,50,28.445389,-81.329403,n50,Txy,,,,
Txy_A_002,51,28.439882,-81.329343,n51,Txy,,,,
Txy_A_J,52,28.436682,-81.329305,n52,Txy,,,,
Txy_J_001,53,28.436679,-81.329074,n53,Txy,,,,
Txy_A_A2,54,28.429065,-81.329222,n54,Txy,,,,
Txy_A2_001,55,28.429071,-81.328637,n55,Txy,,,,
Txy_A_E,56,28.426487,-81.329194,n56,Txy,,,,
Txy_E_001,57,28.426494,-81.328929,n57,Txy,,,,
Txy_A_A3,58,28.415346,-81.329077,n58,Txy,,,,
Txy_B_B2,59,28.447137,-81.320112,n59,Txy,,,,
Txy_B_B1,60,28.448234,-81.320108,n60,Txy,,,,
Txy_C_B1,61,28.448249,-81.319074,n61,Txy,,,,
Txy_C_B2,62,28.44714,-81.319058,n62,Txy,,,,
Txy_B1_005,63,28.448252,-81.318644,n63,Txy,,,,
Txy_B_J,64,28.439856,-81.320036,n64,Txy,,,,
