id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_1_001,0,41.791449,-87.760888,n0,Rwy,,,,
Rwy_1_003,1,41.790689,-87.759823,n1,Rwy,RW13C,Entry,RW31C,End
Rwy_1_004,2,41.788572,-87.756849,n2,Rwy,,,,
Rwy_1_3,3,41.786791,-87.754345,n3,Rwy,,,,
Rwy_1_4,4,41.785049,-87.751879,n4,Rwy,,,,
Rwy_1_006,5,41.784282,-87.750812,n5,Rwy,,,,
Rwy_1_007,6,41.782056,-87.747687,n6,Rwy,RW31L,Entry,RW13R,End
Rwy_1_008,7,41.780572,-87.745589,n7,Rwy,RW31C,Entry,RW13C,End
Rwy_1_009,8,41.779074,-87.744225,n8,Rwy,,,,
Rwy_2_001,9,41.792143,-87.757696,n9,Rwy,,,,
Rwy_2_002,10,41.790881,-87.755925,n10,Rwy,RW13L,Entry,RW31R,End
Rwy_2_003,11,41.788835,-87.75304,n11,Rwy,,,,
Rwy_2_3,12,41.788352,-87.75235,n12,Rwy,,,,
Rwy_2_004,13,41.787863,-87.751675,n13,Rwy,,,,
Rwy_2_005,14,41.787092,-87.750583,n14,Rwy,,,,
Rwy_2_4,15,41.786597,-87.749893,n15,Rwy,,,,
Rwy_2_006,16,41.786113,-87.749215,n16,Rwy,,,,
Rwy_2_007,17,41.785843,-87.748833,n17,Rwy,,,,
Rwy_2_008,18,41.785098,-87.747797,n18,Rwy,,,,
Rwy_2_009,19,41.782612,-87.744281,n19,Rwy,RW31R,Entry,RW13L,End
Rwy_3_001,20,41.792247,-87.747403,n20,Rwy,,,,
Rwy_3_003,21,41.790592,-87.749538,n21,Rwy,RW22R,Entry,RW04L,End
Rwy_3_5,22,41.785791,-87.755593,n22,Rwy,,,,
Rwy_5_002,23,41.78758,-87.758121,n23,Rwy,,,,
Rwy_3_005,24,41.785389,-87.756101,n24,Rwy,,,,
Rwy_3_006,25,41.785218,-87.756339,n25,Rwy,,,,
Rwy_3_009,26,41.782367,-87.759924,n26,Rwy,,,,
Rwy_3_011,27,41.781468,-87.761066,n27,Rwy,,,,
Rwy_4_001,28,41.791905,-87.743166,n28,Rwy,,,,
Rwy_4_003,29,41.791194,-87.744058,n29,Rwy,,,,
Rwy_4_005,30,41.790531,-87.744942,n30,Rwy,,,,
Rwy_4_004,31,41.790727,-87.744668,n31,Rwy,RW22L,Entry,RW04R,End
Rwy_4_006,32,41.788174,-87.747899,n32,Rwy,,,,
rw_4_007,33,41.785819,-87.750879,n33,Rwy,,,,
Rwy_4_5,34,41.78404,-87.753122,n34,Rwy,,,,
Rwy_4_009,35,41.783638,-87.753644,n35,Rwy,,,,
Rwy_4_010,36,41.781896,-87.755849,n36,Rwy,,,,
Rwy_4_011,37,41.780207,-87.758009,n37,Rwy,RW04R,Entry,RW22L,End
Rwy_4_012,38,41.779632,-87.758715,n38,Rwy,,,,
Rwy_4_013,39,41.779229,-87.759212,n39,Rwy,,,,
Rwy_5_001,40,41.788013,-87.758734,n40,Rwy,RW13R,Entry,RW31L,End
Rwy_5_004,41,41.782004,-87.750285,n41,Rwy,,,,
Txy_5_005,42,41.780816,-87.748637,n42,Txy,,,,
Txy_W_001,43,41.792083,-87.760176,n43,Txy,,,,
Txy_W_002,44,41.792107,-87.759734,n44,Txy,,,,
Txy_N_001,45,41.791218,-87.759283,n45,Txy,,,,
Txy_N_002,46,41.791244,-87.75779,n46,Txy,,,,
Rwy_2_011,47,41.791259,-87.756444,n47,Rwy,,,,
Txy_N_003,48,41.79128,-87.754943,n48,Txy,,,,
Txy_N_004,49,41.791299,-87.754074,n49,Txy,,,,
Txy_N_007,50,41.79135,-87.750428,n50,Txy,,,,
Txy_N_008,51,41.791353,-87.750007,n51,Txy,,,,
Txy_N_010,52,41.791416,-87.74668,n52,Txy,,,,
Txy_N_Q,53,41.791425,-87.746201,n53,Txy,,,,
Txy_N_012,54,41.791444,-87.745197,n54,Txy,,,,
Txy_N_013,55,41.791447,-87.744495,n55,Txy,,,,
Txy_R_001,56,41.792409,-87.743839,n56,Txy,,,,
Txy_R_002,57,41.792483,-87.744378,n57,Txy,,,,
Txy_R_004,58,41.791737,-87.746639,n58,Txy,,,,
Txy_Q_001,59,41.790989,-87.745585,n59,Txy,,,,
Txy_Q_002,60,41.790024,-87.74418,n60,Txy,,,,
Txy_N_015,61,41.790711,-87.743316,n61,Txy,,,,
Txy_R_005,62,41.79161,-87.742697,n62,Txy,,,,
Txy_R_006,63,41.791172,-87.742574,n63,Txy,,,,
Txy_P_010,64,41.787169,-87.747866,n64,Txy,,,,
Txy_P_011,65,41.787372,-87.747612,n65,Txy,,,,
Txy_P_012,66,41.787575,-87.747881,n66,Txy,,,,
Txy_P_014,67,41.789278,-87.747935,n67,Txy,,,,
Txy_P_015,68,41.790673,-87.747982,n68,Txy,,,,
Txy_B_002,69,41.790557,-87.758125,n69,Txy,,,,
Txy_B_003,70,41.789116,-87.757593,n70,Txy,,,,
Txy_W_003,71,41.790667,-87.76134,n71,Txy,,,,
Txy_W_004,72,41.790656,-87.761719,n72,Txy,,,,
Txy_W_005,73,41.790253,-87.761323,n73,Txy,,,,
Txy_W_006,74,41.790242,-87.761705,n74,Txy,,,,
Txy_W_007,75,41.789446,-87.761286,n75,Txy,,,,
Txy_W_009,76,41.788549,-87.76026,n76,Txy,,,,
Txy_W_011,77,41.788135,-87.760157,n77,Txy,,,,
Txy_F_001,78,41.788127,-87.760391,n78,Txy,,,,
Txy_W_012,79,41.786894,-87.760105,n79,Txy,,,,
Txy_W2_001,80,41.786889,-87.760341,n80,Txy,,,,
Txy_W_014,81,41.783417,-87.759967,n81,Txy,,,,
Txy_V_001,82,41.781781,-87.759404,n82,Txy,,,,
Txy_V_004,83,41.780986,-87.758296,n83,Txy,,,,
Txy_V_W,84,41.781449,-87.75893,n84,Txy,,,,
Txy_J_002,85,41.785126,-87.757866,n85,Txy,,,,
Txy_F1_001,86,41.787761,-87.759061,n86,Txy,,,,
Txy_A_001,87,41.788083,-87.75749,n87,Txy,,,,
Txy_A_002,88,41.787838,-87.757802,n88,Txy,,,,
Txy_A_003,89,41.787329,-87.75845,n89,Txy,,,,
Txy_F_002,90,41.787193,-87.758631,n90,Txy,,,,
Txy_F_003,91,41.78588,-87.756791,n91,Txy,,,,
Txy_F_004,92,41.784903,-87.755422,n92,Txy,,,,
Txy_F_005,93,41.784128,-87.754338,n93,Txy,,,,
Txy_F_006,94,41.783154,-87.752961,n94,Txy,,,,
Txy_F_Y,95,41.782884,-87.752579,n95,Txy,,,,
Txy_F_008,96,41.781984,-87.751313,n96,Txy,,,,
Txy_F_009,97,41.78159,-87.750762,n97,Txy,,,,
Txy_F_010,98,41.781011,-87.74995,n98,Txy,,,,
Txy_F_012,99,41.779448,-87.747709,n99,Txy,,,,
Txy_F_011,100,41.780437,-87.749143,n100,Txy,,,,
Txy_K_Y,101,41.781933,-87.753785,n101,Txy,,,,
Txy_K_004,102,41.78199,-87.751025,n102,Txy,,,,
Txy_K_005,103,41.782022,-87.749501,n103,Txy,,,,
Txy_K_006,104,41.782027,-87.749129,n104,Txy,,,,
Txy_K_007,105,41.782084,-87.746224,n105,Txy,,,,
Txy_K_E,106,41.782125,-87.744204,n106,Txy,,,,
Txy_K_009,107,41.782134,-87.743651,n107,Txy,,,,
Rwy_4_060,108,41.782545,-87.755059,n108,Rwy,,,,
Txy_D_001,109,41.781107,-87.755507,n109,Txy,,,,
Txy_Y_002,110,41.779135,-87.757808,n110,Txy,,,,
Txy_Y_003,111,41.779272,-87.7563,n111,Txy,,,,
Txy_Y_004,112,41.779185,-87.757305,n112,Txy,,,,
Txy_Y_005,113,41.780091,-87.756126,n113,Txy,,,,
Txy_Y_006,114,41.780518,-87.755578,n114,Txy,,,,
Txy_Y_007,115,41.780822,-87.755197,n115,Txy,,,,
Txy_Y_008,116,41.781779,-87.753976,n116,Txy,,,,
Txy_Y_009,117,41.783024,-87.752401,n117,Txy,,,,
Txy_Y_010,118,41.783538,-87.751753,n118,Txy,,,,
Txy_Y_011,119,41.78376,-87.751471,n119,Txy,,,,
Txy_Y_012,120,41.7848,-87.750158,n120,Txy,,,,
Txy_Y_013,121,41.785342,-87.749469,n121,Txy,,,,
Txy_Y_014,122,41.786271,-87.748297,n122,Txy,,,,
Txy_P_001,123,41.779515,-87.7476,n123,Txy,,,,
Txy_P_003,124,41.780746,-87.747649,n124,Txy,,,,
Txy_P_004,125,41.780978,-87.747658,n125,Txy,,,,
Txy_P_005,126,41.783141,-87.747727,n126,Txy,,,,
Txy_P_007,127,41.783961,-87.747753,n127,Txy,,,,
Txy_P_008,128,41.785919,-87.747826,n128,Txy,,,,
Txy_F_013,129,41.779431,-87.748241,n129,Txy,,,,
Txy_F_014,130,41.779444,-87.747517,n130,Txy,,,,
Txy_F_015,131,41.779448,-87.747342,n131,Txy,,,,
Txy_F_017,132,41.778948,-87.745591,n132,Txy,,,,
Txy_F_018,133,41.778965,-87.744888,n133,Txy,,,,
Rwy_1_017,134,41.779306,-87.74384,n134,Rwy,,,,
Txy_G_001,135,41.7836,-87.747728,n135,Txy,,,,
Txy_G_E,136,41.781079,-87.744161,n136,Txy,,,,
Txy_E_001,137,41.780543,-87.744144,n137,Txy,,,,
Rwy_1_018,138,41.7795,-87.744108,n138,Rwy,,,,
Txy_E_002,139,41.780261,-87.743578,n139,Txy,,,,
Txy_E_004,140,41.779529,-87.74356,n140,Txy,,,,
Rwy_E_005,141,41.780332,-87.743027,n141,Rwy,,,,
Rwy_E_006,142,41.780951,-87.743608,n142,Rwy,,,,
Txy_E_007,143,41.781421,-87.74307,n143,Txy,,,,
Txy_E_009,144,41.7814,-87.744175,n144,Txy,,,,
Txy_E_010,145,41.781571,-87.744183,n145,Txy,,,,
Txy_E_011,146,41.782138,-87.743209,n146,Txy,,,,
Txy_E_013,147,41.78295,-87.743678,n147,Txy,,,,
Txy_E_014,148,41.782768,-87.744098,n148,Txy,,,,
Txy_E_016,149,41.783351,-87.744248,n149,Txy,,,,
Txy_E_015,150,41.783078,-87.743858,n150,Txy,,,,
Txy_Y1_001,151,41.780364,-87.75538,n151,Txy,,,,
Txy_Y2_001,152,41.781636,-87.753761,n152,Txy,,,,
Txy_F2_001,153,41.780846,-87.750175,n153,Txy,,,,
Gate_C_003,154,41.789914,-87.742042,n154,Gate,,,,
Gate_C_002,155,41.789748,-87.742355,n155,Gate,,,,
Gate_B_001,156,41.788713,-87.742506,n156,Gate,,,,
Gate_B_002,157,41.788636,-87.743083,n157,Gate,,,,
Gate_B_003,158,41.788669,-87.743563,n158,Gate,,,,
Gate_B_005,159,41.788586,-87.743916,n159,Gate,,,,
Gate_B_007,160,41.78834,-87.744119,n160,Gate,,,,
Gate_B_009,161,41.787754,-87.744807,n161,Gate,,,,
Gate_B_011,162,41.787598,-87.745217,n162,Gate,,,,
Gate_B_015,163,41.787193,-87.74545,n163,Gate,,,,
Gate_B_017,164,41.786949,-87.745825,n164,Gate,,,,
Gate_B_019,165,41.786727,-87.746226,n165,Gate,,,,
Gate_B_021,166,41.786539,-87.746573,n166,Gate,,,,
Gate_B_023,167,41.786271,-87.746302,n167,Gate,,,,
Gate_B_026,168,41.78612,-87.746048,n168,Gate,,,,
Gate_B_028,169,41.786018,-87.745693,n169,Gate,,,,
Gate_B_024,170,41.786307,-87.745389,n170,Gate,,,,
Gate_B_022,171,41.786505,-87.745128,n171,Gate,,,,
Gate_B_020,172,41.7868,-87.744847,n172,Gate,,,,
Gate_B_018,173,41.787043,-87.744479,n173,Gate,,,,
Gate_B_016,174,41.787376,-87.744163,n174,Gate,,,,
Gate_B_014,175,41.78764,-87.74386,n175,Gate,,,,
Gate_B_012,176,41.787916,-87.74343,n176,Gate,,,,
Gate_B_010,177,41.788105,-87.74297,n177,Gate,,,,
Gate_A_001,178,41.787383,-87.742097,n178,Gate,,,,
Gate_A_002,179,41.787148,-87.742181,n179,Gate,,,,
Gate_A_003,180,41.78668,-87.742167,n180,Gate,,,,
Gate_A_005,181,41.786277,-87.742353,n181,Gate,,,,
