id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,35.049303,-89.987438,n0,Rwy,RW18R,Entry,RW36L,End
Parking_Cargo_029,1,35.061214,-89.969624,n1,Park,,,,
Parking_Cargo_030,2,35.061179,-89.970189,n2,Park,,,,
Rwy_01_002,3,35.048201,-89.987413,n3,Rwy,,,,
Rwy_01_003,4,35.045296,-89.987343,n4,Rwy,,,,
Rwy_01_004,5,35.041839,-89.987276,n5,Rwy,,,,
Rwy_01_005,6,35.036574,-89.987161,n6,Rwy,,,,
Rwy_01_006,7,35.032291,-89.987067,n7,Rwy,,,,
Rwy_01_007,8,35.028085,-89.986974,n8,Rwy,,,,
Rwy_01_008,9,35.025109,-89.986912,n9,Rwy,,,,
Rwy_01_009,10,35.024037,-89.986892,n10,Rwy,RW36L,Entry,RW18R,End
Rwy_02_001,11,35.054442,-89.97617,n11,Rwy,RW18C,Entry,RW36C,End
Rwy_02_002,12,35.053665,-89.976152,n12,Rwy,,,,
Rwy_02_003,13,35.052866,-89.976123,n13,Rwy,,,,
Rwy_02_004,14,35.053038,-89.976126,n14,Rwy,,,,
Rwy_02_005,15,35.048672,-89.976045,n15,Rwy,,,,
Rwy_02_006,16,35.046356,-89.976,n16,Rwy,,,,
Rwy_02_007,17,35.044943,-89.975965,n17,Rwy,,,,
Rwy_02_008,18,35.041963,-89.975911,n18,Rwy,,,,
Rwy_02_009,19,35.040752,-89.975876,n19,Rwy,,,,
Rwy_02_010,20,35.039479,-89.975847,n20,Rwy,,,,
Rwy_02_011,21,35.037995,-89.97582,n21,Rwy,,,,
Rwy_02_012,22,35.033036,-89.97571,n22,Rwy,,,,
Rwy_02_013,23,35.031611,-89.975684,n23,Rwy,,,,
Rwy_02_014,24,35.025522,-89.975537,n24,Rwy,,,,
Rwy_02_015,25,35.024157,-89.975529,n25,Rwy,RW36C,Entry,RW18C,End
Rwy_03_001,26,35.0487,-89.972945,n26,Rwy,RW18L,Entry,RW36R,End
Rwy_03_002,27,35.04734,-89.972923,n27,Rwy,,,,
Rwy_03_003,28,35.045004,-89.972865,n28,Rwy,,,,
Rwy_03_004,29,35.043256,-89.972831,n29,Rwy,,,,
Rwy_03_005,30,35.040598,-89.972776,n30,Rwy,,,,
Rwy_03_006,31,35.03804,-89.972724,n31,Rwy,,,,
Rwy_03_007,32,35.033169,-89.972598,n32,Rwy,,,,
Rwy_03_008,33,35.031668,-89.97258,n33,Rwy,,,,
Rwy_03_009,34,35.028094,-89.972497,n34,Rwy,,,,
Rwy_03_010,35,35.025603,-89.972451,n35,Rwy,,,,
Rwy_03_011,36,35.02421,-89.972417,n36,Rwy,RW36R,Entry,RW18L,End
Rwy_04_001,37,35.058605,-89.985059,n37,Rwy,RW09 ,Entry,RW27 ,End
Rwy_04_002,38,35.05847,-89.980258,n38,Rwy,,,,
Rwy_04_003,39,35.058406,-89.977833,n39,Rwy,,,,
Rwy_04_004,40,35.058324,-89.974832,n40,Rwy,,,,
Rwy_04_005,41,35.058161,-89.96914,n41,Rwy,,,,
Rwy_04_006,42,35.058011,-89.963823,n42,Rwy,,,,
Rwy_04_007,43,35.057798,-89.956166,n43,Rwy,,,,
Rwy_04_008,44,35.05779,-89.955858,n44,Rwy,RW27 ,Entry,RW09 ,End
Txy_M9_001,45,35.049346,-89.986492,n45,Txy,,,,
Txy_M9_M,46,35.049348,-89.98608,n46,Txy,,,,
Txy_M9_N,47,35.049373,-89.985136,n47,Txy,,,,
Txy_M8_001,48,35.048249,-89.986478,n48,Txy,,,,
Txy_M_N,49,35.051287,-89.985126,n49,Txy,,,,
Txy_M_001,50,35.05006,-89.985834,n50,Txy,,,,
Txy_M_002,51,35.049665,-89.986015,n51,Txy,,,,
Txy_M_003,52,35.04891,-89.986093,n52,Txy,,,,
Txy_M_004,53,35.047814,-89.98607,n53,Txy,,,,
Txy_M_M8,54,35.048255,-89.986079,n54,Txy,,,,
Txy_M_005,55,35.047277,-89.986061,n55,Txy,,,,
Txy_M_M7,56,35.046622,-89.986042,n56,Txy,,,,
Txy_M_006,57,35.045971,-89.98603,n57,Txy,,,,
Txy_M_007,58,35.042308,-89.985946,n58,Txy,,,,
Txy_M_M6,59,35.041868,-89.98594,n59,Txy,,,,
Txy_M_008,60,35.041433,-89.985926,n60,Txy,,,,
Txy_M_009,61,35.039233,-89.985886,n61,Txy,,,,
Txy_M_T,62,35.038795,-89.985873,n62,Txy,,,,
Txy_M_P,63,35.037855,-89.985851,n63,Txy,,,,
Txy_M_010,64,35.038353,-89.985862,n64,Txy,,,,
Txy_M_M5,65,35.036588,-89.985824,n65,Txy,,,,
Txy_M_011,66,35.036155,-89.985811,n66,Txy,,,,
Txy_M_012,67,35.031509,-89.985716,n67,Txy,,,,
Txy_M_M4,68,35.030861,-89.985704,n68,Txy,,,,
Txy_M_013,69,35.030141,-89.985686,n69,Txy,,,,
Txy_M_014,70,35.027337,-89.985617,n70,Txy,,,,
Txy_M_M3,71,35.026688,-89.985605,n71,Txy,,,,
Txy_M_015,72,35.025595,-89.985585,n72,Txy,,,,
Txy_M_M2,73,35.025151,-89.98558,n73,Txy,,,,
Txy_M_016,74,35.024507,-89.985566,n74,Txy,,,,
Txy_M_M1,75,35.024062,-89.985557,n75,Txy,,,,
Txy_N_001,76,35.06625,-89.975585,n76,Txy,,,,
Txy_N_C,77,35.0664603,-89.9778366,n77,Txy,,,,
Txy_N_V,78,35.060174,-89.985204,n78,Txy,,,,
Txy_N_004,79,35.059423,-89.985122,n79,Txy,,,,
Txy_N_005,80,35.057805,-89.985071,n80,Txy,,,,
Txy_N_006,81,35.057392,-89.985073,n81,Txy,,,,
Txy_N_A,82,35.056941,-89.985082,n82,Txy,,,,
Txy_N_007,83,35.056271,-89.985077,n83,Txy,,,,
Txy_N_008,84,35.055704,-89.985086,n84,Txy,,,,
Txy_N_009,85,35.054189,-89.985092,n85,Txy,,,,
Txy_N_010,86,35.053569,-89.985099,n86,Txy,,,,
Txy_N_011,87,35.049654,-89.985146,n87,Txy,,,,
Txy_N_012,88,35.048767,-89.985132,n88,Txy,,,,
Txy_N_013,89,35.048274,-89.985121,n89,Txy,,,,
Txy_N_014,90,35.04728,-89.985099,n90,Txy,,,,
Txy_N_015,91,35.046851,-89.985086,n91,Txy,,,,
Txy_N_016,92,35.046407,-89.985076,n92,Txy,,,,
Txy_N_017,93,35.042314,-89.98499,n93,Txy,,,,
Txy_N_018,94,35.041887,-89.984982,n94,Txy,,,,
Txy_N_019,95,35.041394,-89.984966,n95,Txy,,,,
Txy_N_020,96,35.040935,-89.984962,n96,Txy,,,,
Txy_N_021,97,35.039245,-89.984925,n97,Txy,,,,
Txy_N_T,98,35.038809,-89.984914,n98,Txy,,,,
Txy_N_022,99,35.03833,-89.9849,n99,Txy,,,,
