n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_03_002,566,35.063592,-89.972552,Ramp_03_003,567,35.0636,-89.972963
Txy_M_T,62,35.038795,-89.985873,Txy_M_010,64,35.038353,-89.985862
Txy_C_008,156,35.05391,-89.977805,Txy_C_C7,157,35.053621,-89.977769
Txy_V_007,205,35.059151,-89.967508,Ramp_03_031,595,35.059169,-89.968108
Gate_C_12A,383,35.044337,-89.979217,Ramp_01_041,550,35.044438,-89.978375
Ramp_03_020,584,35.061792,-89.969719,Ramp_03_021,585,35.061751,-89.969149
Ramp_01_008,517,35.042423,-89.982934,Gate_B_027,335,35.041973,-89.982338
Ramp_01_021,530,35.040857,-89.981554,Ramp_01_022,531,35.040622,-89.981185
Ramp_03_034,598,35.060475,-89.963844,Ramp_03_035,599,35.060471,-89.96318
Ramp_03_038,602,35.060405,-89.961065,Ramp_03_037,601,35.06043,-89.961866
Txy_T_001,113,35.038817,-89.984389,Txy_T_002,114,35.038835,-89.983242
Txy_N_C,77,35.0664603,-89.9778366,Txy_N_001,76,35.06625,-89.975585
Txy_Y_P,300,35.038065,-89.970851,Txy_Y_014,301,35.028838,-89.970621
Ramp_01_002,503,35.046109,-89.985068,Ramp_01_003,504,35.045624,-89.985057
Txy_N_P,100,35.037883,-89.984886,Txy_N_023,101,35.037437,-89.984878
Gate_C_016,387,35.045583,-89.979308,Ramp_01_044,553,35.045713,-89.978402
Ramp_01_024,533,35.040212,-89.980727,Txy_P1_001,133,35.039815,-89.980357
Gate_B_035,339,35.040996,-89.983761,Ramp_01_004,513,35.041396,-89.984478
Txy_C_011,162,35.048212,-89.977544,Txy_C_012,164,35.046765,-89.977509
Txy_C1_001,173,35.032022,-89.976643,Txy_C_E,171,35.031599,-89.977195
Ramp_03_060,624,35.061209,-89.954988,Ramp_03_061,625,35.060667,-89.955013
Ramp_01_006,515,35.042026,-89.983398,Ramp_01_005,514,35.041779,-89.983678
Rwy_04_006,42,35.058011,-89.963823,Txy_A2_001,235,35.057207,-89.963855
Txy_C_006,152,35.05633,-89.977824,Txy_C_A,151,35.056743,-89.977836
Txy_P_004,130,35.03802,-89.974896,Txy_S_P,266,35.038019,-89.974482
Txy_J_E,142,35.031583,-89.978189,Txy_J_H,143,35.025488,-89.978057
Ramp_03_052,616,35.063,-89.958492,Ramp_03_051,615,35.063019,-89.959173
Parking_Cargo_060,448,35.061139,-89.958182,Ramp_03_042,606,35.060336,-89.958319
Txy_B_007,243,35.055284,-89.974305,Txy_B_S,244,35.054977,-89.974849
Txy_C8_001,180,35.054447,-89.977105,Txy_C_B,155,35.054436,-89.977806
Txy_S_003,248,35.061903,-89.975437,Ramp_02_031,564,35.06272,-89.975436
Rwy_03_008,33,35.031668,-89.97258,Rwy_03_009,34,35.028094,-89.972497
Txy_M_015,72,35.025595,-89.985585,Txy_M_M2,73,35.025151,-89.98558
Ramp_01_015,524,35.039751,-89.984927,Txy_N_021,97,35.039245,-89.984925
Txy_V_V4,196,35.0602,-89.982449,Txy_V_002,198,35.060076,-89.978506
Txy_C_C7,157,35.053621,-89.977769,Txy_C7_001,179,35.053638,-89.977089
Txy_A_S,219,35.056646,-89.974874,Txy_A_005,220,35.05665,-89.974355
Txy_P_C,128,35.037995,-89.977317,Txy_C_E,171,35.031599,-89.977195
Ramp_03_031,595,35.059169,-89.968108,Txy_V_006,204,35.059184,-89.968625
