n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_04_007,42,25.790411,-80.284924,Txy_U_003,389,25.791048,-80.284415
Txy_K2_001,371,25.803826,-80.297634,Txy_K_009,329,25.804173,-80.297651
Ramp_05_004,458,25.795244,-80.285761,Ramp_05_005,459,25.79442,-80.285771
Txy_Q_U,267,25.791242,-80.284282,Txy_S_Q,222,25.789973,-80.281882
Ramp_09_004,412,25.805476,-80.266931,Ramp_09_005,413,25.805477,-80.266417
Txy_T5_001,380,25.78816,-80.284351,Txy_T_008,234,25.788835,-80.28373
Ramp_05_003,457,25.796175,-80.285188,Ramp_05_002,456,25.796311,-80.282848
Ramp_06_010,476,25.790793,-80.280764,Ramp_06_011,477,25.79145,-80.280364
Rwy_03_010,34,25.803938,-80.276361,Txy_L10_004,340,25.803187,-80.276336
Txy_S_006,214,25.788405,-80.305549,Ramp_11_015,518,25.788461,-80.304274
Txy_K9_001,349,25.804561,-80.280114,Rwy_03_009,33,25.803767,-80.280626
Txy_V_001,382,25.790186,-80.286864,Txy_S_V,209,25.789529,-80.286825
Ramp_07_008,489,25.792507,-80.277592,Gate_G_002,129,25.792504,-80.278169
Txy_S_Q,222,25.789973,-80.281882,Txy_S_P,223,25.790443,-80.281367
Gate_D_005,56,25.798174,-80.271368,Ramp_01_005,418,25.79777,-80.270725
Ramp_13_008,513,25.793212,-80.293851,Parking_13_008,193,25.792384,-80.294336
Rwy_01_04,11,25.787564,-80.279352,Rwy_04_012,47,25.787908,-80.280035
Txy_S_012,220,25.789604,-80.285203,Txy_S_U,210,25.789594,-80.285562
Txy_AA_010,407,25.805335,-80.269951,Txy_AA_009,406,25.803659,-80.269912
Ramp_12_003,504,25.790516,-80.30122,Parking_12_009,183,25.790713,-80.300269
Rwy_01_04,11,25.787564,-80.279352,Rwy_04_013,48,25.786858,-80.277982
Gate_F_018,111,25.791563,-80.281668,Ramp_06_009,475,25.790905,-80.282233
Txy_S_005,213,25.788163,-80.311427,Txy_S_004,212,25.788096,-80.313464
Ramp_06_001,465,25.793493,-80.282603,Ramp_06_002,466,25.793792,-80.281455
Ramp_04_004,435,25.79953,-80.283167,Gate_D_044,70,25.798208,-80.283191
Ramp_08_020,538,25.7921296,-80.2722877,Gate_J_004,520,25.7923325,-80.273087
Rwy_04_009,44,25.789308,-80.28277,Rwy_04_010,45,25.788907,-80.281981
Ramp_04_004,435,25.79953,-80.283167,Ramp_04_005,436,25.799508,-80.283754
Ramp_13_006,511,25.79215,-80.291782,Parking_13_004,189,25.791363,-80.292251
Txy_M1_002,262,25.799955,-80.301119,Txy_M1_004,266,25.799662,-80.299962
Txy_N_001,275,25.800026,-80.27114,Ramp_01_007,420,25.799403,-80.270332
Txy_AA_008,292,25.803252,-80.269894,Txy_L11_001,334,25.802774,-80.269871
Rwy_03_001,25,25.802907,-80.301422,Rwy_03_002,26,25.802937,-80.300576
Txy_S_011,219,25.788985,-80.291654,Txy_S_111,391,25.789062,-80.290388
Rwy_04_006,41,25.791429,-80.28692,Txy_V_001,382,25.790186,-80.286864
Rwy_04_009,44,25.789308,-80.28277,Txy_S_013,221,25.789861,-80.282049
Rwy_03_002,26,25.802937,-80.300576,Txy_L1_004,363,25.802177,-80.300546
Ramp_08_005,496,25.791655,-80.275375,Gate_J_009,531,25.7917891,-80.2740499
Rwy_03_003,27,25.803063,-80.297598,Rwy_03_004,28,25.803129,-80.296051
Rwy_04_001,36,25.799208,-80.302151,Rwy_04_002,37,25.796787,-80.297416
Txy_K1_001,373,25.803667,-80.301454,Rwy_03_001,25,25.802907,-80.301422
Txy_M_Z,317,25.799926,-80.293747,Txy_M_012,316,25.800035,-80.29101
Ramp_07_004,485,25.790805,-80.277842,Gate_H_011,134,25.790921,-80.27702
Txy_V_102,454,25.79661,-80.285968,Ramp_04_011,445,25.796662,-80.284405
Rwy_01_005,4,25.787022,-80.29253,Rwy_01_006,5,25.787221,-80.287789
