id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,42.9306546,-87.8976266,n0,Rwy,,,,
Rwy_01_002,1,42.9314951,-87.8974925,n1,Rwy,RW01L,Entry,RW19R,End
Rwy_01_003,2,42.9354855,-87.8968058,n2,Rwy,,,,
Rwy_01_004,3,42.9401118,-87.8960119,n3,Rwy,,,,
Rwy_01_02,4,42.9445728,-87.8952609,n4,Rwy,,,,
Rwy_01_005,5,42.9463477,-87.8949605,n5,Rwy,,,,
Rwy_01_006,6,42.9475414,-87.8947459,n6,Rwy,,,,
Rwy_01_007,7,42.9497168,-87.8943704,n7,Rwy,,,,
Rwy_01_03,8,42.9518763,-87.8939949,n8,Rwy,,,,
Rwy_01_008,9,42.9546718,-87.8935014,n9,Rwy,,,,
Rwy_01_04,10,42.9556926,-87.8933512,n10,Rwy,RW19R,Entry,RW01L,End
Rwy_01_009,11,42.9574907,-87.8930508,n11,Rwy,,,,
Rwy_02_001,12,42.9391176,-87.9176413,n12,Rwy,RW07R,Entry,RW25L,End
Rwy_02_002,13,42.9407041,-87.9111075,n13,Rwy,,,,
Rwy_02_003,14,42.941678,-87.9072022,n14,Rwy,,,,
Rwy_02_004,15,42.9423378,-87.904477,n15,Rwy,,,,
Rwy_02_005,16,42.9430053,-87.9017412,n16,Rwy,,,,
Rwy_02_006,17,42.9435865,-87.8993809,n17,Rwy,,,,
Rwy_02_007,18,42.9442227,-87.8968381,n18,Rwy,,,,
Rwy_02_05,19,42.9455264,-87.891345,n19,Rwy,,,,
Rwy_02_008,20,42.9462332,-87.8884911,n20,Rwy,RW25L,Entry,RW07R,End
Rwy_03_001,21,42.9480551,-87.8883087,n21,Rwy,RW31 ,Entry,RW13 ,End
Rwy_03_05,22,42.9496179,-87.8906261,n22,Rwy,,,,
Rwy_03_002,23,42.952759,-87.8953468,n23,Rwy,,,,
Rwy_03_003,24,42.9531673,-87.8959584,n24,Rwy,,,,
Rwy_03_004,25,42.9538976,-87.8970527,n25,Rwy,,,,
Rwy_03_04,26,42.9545446,-87.8980373,n26,Rwy,,,,
Rwy_03_005,27,42.957442,-87.9023718,n27,Rwy,RW13 ,Entry,RW31 ,End
Rwy_04_001,28,42.9528013,-87.9052042,n28,Rwy,RW07L,Entry,RW25R,End
Rwy_04_002,29,42.953563,-87.9020714,n29,Rwy,,,,
Rwy_04_003,30,42.9552984,-87.8949367,n30,Rwy,,,,
Rwy_04_005,31,42.9568924,-87.8884136,n31,Rwy,RW25R,Entry,RW07L,End
Rwy_05_001,32,42.9397498,-87.8923217,n32,Rwy,RW01R,Entry,RW19L,End
Rwy_05_002,33,42.9417841,-87.8919784,n33,Rwy,,,,
Rwy_05_003,34,42.9473837,-87.891019,n34,Rwy,,,,
Rwy_05_004,35,42.9506584,-87.8904397,n35,Rwy,RW19L,Entry,RW01R,End
Txy_R6_R,36,42.9307943,-87.8995096,n36,Txy,,,,
Txy_R6_Q,37,42.9309043,-87.9005181,n37,Txy,,,,
Txy_R5_R,38,42.931627,-87.8994023,n38,Txy,,,,
Txy_R4_Q,39,42.933253,-87.9001211,n39,Txy,,,,
Txy_R4_R,40,42.9332766,-87.8991018,n40,Txy,,,,
Txy_R3_R,41,42.9356283,-87.8989271,n41,Txy,,,,
Txy_R4_001,42,42.9332561,-87.901384,n42,Txy,,,,
Txy_R3_001,43,42.9353613,-87.9012767,n43,Txy,,,,
Txy_R_S,44,42.9404196,-87.8988735,n44,Txy,,,,
Txy_T_001,45,42.9418237,-87.8972963,n45,Txy,,,,
Txy_R_Y,46,42.9424127,-87.8991095,n46,Txy,,,,
Txy_A3_Y,47,42.9406613,-87.9067913,n47,Txy,,,,
Txy_A5_A,48,42.9401429,-87.9181103,n48,Txy,,,,
Txy_A4_A,49,42.9417294,-87.911673,n49,Txy,,,,
Txy_A3_A,50,42.9427426,-87.9075489,n50,Txy,,,,
Txy_A_B,51,42.9431353,-87.9059825,n51,Txy,,,,
Txy_A1_A,52,42.9440149,-87.9022381,n52,Txy,,,,
Txy_A_R,53,42.944651,-87.8996524,n53,Txy,,,,
Txy_A_T,54,42.9454233,-87.8966234,n54,Txy,,,,
Txy_B_001,55,42.9438918,-87.9058609,n55,Txy,,,,
Txy_B_002,56,42.9446615,-87.9024813,n56,Txy,,,,
Txy_B_003,57,42.9452043,-87.8997455,n57,Txy,,,,
Txy_B_004,58,42.9461153,-87.8977499,n58,Txy,,,,
Txy_B_M,59,42.9476624,-87.8970847,n59,Txy,,,,
Txy_E_M,60,42.9476231,-87.8962371,n60,Txy,,,,
Txy_B_K,61,42.9497278,-87.8971169,n61,Txy,,,,
Txy_E_K,62,42.9497356,-87.8958831,n62,Txy,,,,
Txy_B_G,63,42.9503639,-87.8978197,n63,Txy,,,,
Txy_G_U,64,42.9521386,-87.896661,n64,Txy,,,,
Txy_E_U,65,42.9515339,-87.8955774,n65,Txy,,,,
Txy_U_V,66,42.9535128,-87.8985922,n66,Txy,,,,
Txy_B_V,67,42.952814,-87.9015319,n67,Txy,,,,
Txy_V_001,68,42.9521779,-87.9046325,n68,Txy,,,,
Txy_E_V,69,42.9543609,-87.8951161,n69,Txy,,,,
Txy_E_F,70,42.957439,-87.8945367,n70,Txy,,,,
Txy_F1_F,71,42.957439,-87.8968005,n71,Txy,,,,
Txy_Z_F,72,42.9574547,-87.8954165,n72,Txy,,,,
Txy_F1_E,73,42.9556016,-87.8948586,n73,Txy,,,,
Txy_F1_001,74,42.9562062,-87.8968863,n74,Txy,,,,
Txy_Z_001,75,42.9563554,-87.895513,n75,Txy,,,,
Txy_W_001,76,42.9415837,-87.8899555,n76,Txy,,,,
Txy_M_N,77,42.9473247,-87.8890006,n77,Txy,,,,
Txy_N_001,78,42.9448588,-87.8878634,n78,Txy,,,,
Txy_C_001,79,42.9560491,-87.905287,n79,Txy,,,,
Txy_D1_C,80,42.9570778,-87.9040639,n80,Txy,,,,
Txy_D1_D,81,42.9557979,-87.9020576,n81,Txy,,,,
Txy_K_H,82,42.9497386,-87.8888826,n82,Txy,,,,
Txy_H_001,83,42.9539163,-87.8876595,n83,Txy,,,,
Txy_F2_H,84,42.9575102,-87.8910267,n84,Txy,,,,
Txy_F_001,85,42.9574749,-87.8887415,n85,Txy,,,,
Rwy_04_004,86,42.956301,-87.8907965,n86,Rwy,,,,
Gate_C_010,87,42.9496359,-87.9020226,n87,Gate,,,,
Gate_C_012,88,42.9499912,-87.9018,n88,Gate,,,,
Gate_C_014,89,42.9502759,-87.9014379,n89,Gate,,,,
Gate_C_018,90,42.9507294,-87.9012448,n90,Gate,,,,
Gate_C_019,91,42.9509689,-87.901057,n91,Gate,,,,
Gate_C_020,92,42.9511377,-87.9007325,n92,Gate,,,,
Gate_C_021,93,42.9509866,-87.9004347,n93,Gate,,,,
Gate_C_022,94,42.9507156,-87.9000807,n94,Gate,,,,
Gate_C_023,95,42.9505448,-87.8996918,n95,Gate,,,,
Gate_C_024,96,42.950272,-87.8995496,n96,Gate,,,,
Gate_C_025,97,42.9500423,-87.8996918,n97,Gate,,,,
Gate_C_017,98,42.9499657,-87.9005259,n98,Gate,,,,
Gate_C_015,99,42.9497792,-87.9005688,n99,Gate,,,,
Gate_C_011,100,42.9496339,-87.9008827,n100,Gate,,,,
Gate_C_009,101,42.9492884,-87.9011402,n101,Gate,,,,
Ramp_01_001,102,42.9506568,-87.9025188,n102,Ramp,,,,
Ramp_01_002,103,42.9517915,-87.9013923,n103,Ramp,,,,
Ramp_01_003,104,42.9511358,-87.8997615,n104,Ramp,,,,
Ramp_01_004,105,42.9501385,-87.8985384,n105,Ramp,,,,
Ramp_01_005,106,42.949467,-87.8994933,n106,Ramp,,,,
Ramp_01_006,107,42.9487917,-87.9003677,n107,Ramp,,,,
Ramp_03_001,108,42.9456211,-87.9029278,n108,Ramp,,,,
Ramp_03_002,109,42.9451695,-87.9011039,n109,Ramp,,,,
Ramp_03_003,110,42.9460334,-87.9000096,n110,Ramp,,,,
Ramp_03_004,111,42.9469876,-87.9003851,n111,Ramp,,,,
Ramp_02_001,112,42.9475569,-87.8976331,n112,Ramp,,,,
Gate_E_60,113,42.9464653,-87.902386,n113,Gate,,,,
Gate_E_69,114,42.9458203,-87.9020682,n114,Gate,,,,
Gate_E_68,115,42.94552,-87.9018174,n115,Gate,,,,
Gate_E_67,116,42.9455258,-87.9015693,n116,Gate,,,,
Gate_E_66,117,42.9457143,-87.9009229,n117,Gate,,,,
Gate_E_65,118,42.9459971,-87.900892,n118,Gate,,,,
Gate_E_64,119,42.9461767,-87.9009604,n119,Gate,,,,
Gate_E_63,120,42.946376,-87.9014781,n120,Gate,,,,
Gate_E_62,121,42.9466842,-87.9014727,n121,Gate,,,,
Gate_E_61,122,42.9467804,-87.9016444,n122,Gate,,,,
Gate_D_052,123,42.9467975,-87.8992402,n123,Gate,,,,
Gate_D_056,124,42.9464991,-87.8991275,n124,Gate,,,,
Gate_D_055,125,42.9465383,-87.8987761,n125,Gate,,,,
Gate_D_054,126,42.9467111,-87.8984918,n126,Gate,,,,
Gate_D_053,127,42.9470724,-87.898465,n127,Gate,,,,
Gate_D_051,128,42.9473178,-87.898465,n128,Gate,,,,
Gate_D_039,129,42.9477006,-87.8983926,n129,Gate,,,,
Gate_D_041,130,42.9480442,-87.8983363,n130,Gate,,,,
Gate_D_043,131,42.9484467,-87.8983389,n131,Gate,,,,
Gate_D_045,132,42.948696,-87.8982933,n132,Gate,,,,
Gate_D_049,133,42.9489964,-87.8985857,n133,Gate,,,,
Gate_D_048,134,42.9490121,-87.8989183,n134,Gate,,,,
Gate_D_047,135,42.9487549,-87.8990149,n135,Gate,,,,
Gate_D_046,136,42.9484899,-87.8991007,n136,Gate,,,,
Gate_D_044,137,42.9479303,-87.8991785,n137,Gate,,,,
Gate_D_042,138,42.9479225,-87.9002245,n138,Gate,,,,
Gate_D_038,139,42.948164,-87.9009353,n139,Gate,,,,
