n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,42.9306546,-87.8976266,Rwy_01_002,1,42.9314951,-87.8974925
Rwy_01_003,2,42.9354855,-87.8968058,Rwy_01_002,1,42.9314951,-87.8974925
Rwy_01_004,3,42.9401118,-87.8960119,Rwy_01_003,2,42.9354855,-87.8968058
Rwy_01_02,4,42.9445728,-87.8952609,Rwy_01_004,3,42.9401118,-87.8960119
Rwy_01_005,5,42.9463477,-87.8949605,Rwy_01_02,4,42.9445728,-87.8952609
Rwy_01_005,5,42.9463477,-87.8949605,Rwy_01_006,6,42.9475414,-87.8947459
Rwy_01_007,7,42.9497168,-87.8943704,Rwy_01_006,6,42.9475414,-87.8947459
Rwy_01_007,7,42.9497168,-87.8943704,Rwy_01_03,8,42.9518763,-87.8939949
Rwy_01_03,8,42.9518763,-87.8939949,Rwy_01_008,9,42.9546718,-87.8935014
Rwy_01_04,10,42.9556926,-87.8933512,Rwy_01_008,9,42.9546718,-87.8935014
Rwy_01_04,10,42.9556926,-87.8933512,Rwy_01_009,11,42.9574907,-87.8930508
Rwy_02_001,12,42.9391176,-87.9176413,Rwy_02_002,13,42.9407041,-87.9111075
Rwy_02_003,14,42.941678,-87.9072022,Rwy_02_002,13,42.9407041,-87.9111075
Rwy_02_004,15,42.9423378,-87.904477,Rwy_02_003,14,42.941678,-87.9072022
Rwy_02_004,15,42.9423378,-87.904477,Rwy_02_005,16,42.9430053,-87.9017412
Rwy_02_006,17,42.9435865,-87.8993809,Rwy_02_005,16,42.9430053,-87.9017412
Rwy_02_007,18,42.9442227,-87.8968381,Rwy_02_006,17,42.9435865,-87.8993809
Rwy_02_007,18,42.9442227,-87.8968381,Rwy_01_02,4,42.9445728,-87.8952609
Rwy_01_02,4,42.9445728,-87.8952609,Rwy_02_05,19,42.9455264,-87.891345
Rwy_02_05,19,42.9455264,-87.891345,Rwy_02_008,20,42.9462332,-87.8884911
Rwy_03_001,21,42.9480551,-87.8883087,Rwy_03_05,22,42.9496179,-87.8906261
Rwy_03_05,22,42.9496179,-87.8906261,Rwy_01_03,8,42.9518763,-87.8939949
Rwy_01_03,8,42.9518763,-87.8939949,Rwy_03_002,23,42.952759,-87.8953468
Rwy_03_002,23,42.952759,-87.8953468,Rwy_03_003,24,42.9531673,-87.8959584
Rwy_03_003,24,42.9531673,-87.8959584,Rwy_03_004,25,42.9538976,-87.8970527
Rwy_03_004,25,42.9538976,-87.8970527,Rwy_03_04,26,42.9545446,-87.8980373
Rwy_03_04,26,42.9545446,-87.8980373,Rwy_03_005,27,42.957442,-87.9023718
Rwy_04_001,28,42.9528013,-87.9052042,Rwy_04_002,29,42.953563,-87.9020714
Rwy_03_04,26,42.9545446,-87.8980373,Rwy_04_002,29,42.953563,-87.9020714
Rwy_03_04,26,42.9545446,-87.8980373,Rwy_04_003,30,42.9552984,-87.8949367
Rwy_04_003,30,42.9552984,-87.8949367,Rwy_01_04,10,42.9556926,-87.8933512
Rwy_05_001,32,42.9397498,-87.8923217,Rwy_05_002,33,42.9417841,-87.8919784
Rwy_02_05,19,42.9455264,-87.891345,Rwy_05_002,33,42.9417841,-87.8919784
Rwy_05_003,34,42.9473837,-87.891019,Rwy_02_05,19,42.9455264,-87.891345
Rwy_05_003,34,42.9473837,-87.891019,Rwy_03_05,22,42.9496179,-87.8906261
Rwy_03_05,22,42.9496179,-87.8906261,Rwy_05_004,35,42.9506584,-87.8904397
Rwy_01_001,0,42.9306546,-87.8976266,Txy_R6_R,36,42.9307943,-87.8995096
Txy_R6_R,36,42.9307943,-87.8995096,Txy_R6_Q,37,42.9309043,-87.9005181
Txy_R6_R,36,42.9307943,-87.8995096,Txy_R5_R,38,42.931627,-87.8994023
Rwy_01_002,1,42.9314951,-87.8974925,Txy_R5_R,38,42.931627,-87.8994023
Txy_R6_Q,37,42.9309043,-87.9005181,Txy_R4_Q,39,42.933253,-87.9001211
Txy_R5_R,38,42.931627,-87.8994023,Txy_R4_R,40,42.9332766,-87.8991018
Txy_R4_Q,39,42.933253,-87.9001211,Txy_R4_R,40,42.9332766,-87.8991018
Txy_R4_R,40,42.9332766,-87.8991018,Txy_R3_R,41,42.9356283,-87.8989271
Txy_R3_R,41,42.9356283,-87.8989271,Rwy_01_003,2,42.9354855,-87.8968058
Txy_R3_001,43,42.9353613,-87.9012767,Txy_R4_001,42,42.9332561,-87.901384
Txy_R4_Q,39,42.933253,-87.9001211,Txy_R4_001,42,42.9332561,-87.901384
Txy_R3_R,41,42.9356283,-87.8989271,Txy_R3_001,43,42.9353613,-87.9012767
Txy_R3_R,41,42.9356283,-87.8989271,Txy_R_S,44,42.9404196,-87.8988735
Rwy_01_004,3,42.9401118,-87.8960119,Txy_R_S,44,42.9404196,-87.8988735
Rwy_01_004,3,42.9401118,-87.8960119,Rwy_05_001,32,42.9397498,-87.8923217
Txy_R_S,44,42.9404196,-87.8988735,Txy_T_001,45,42.9418237,-87.8972963
Txy_T_001,45,42.9418237,-87.8972963,Rwy_02_007,18,42.9442227,-87.8968381
Txy_R_S,44,42.9404196,-87.8988735,Txy_R_Y,46,42.9424127,-87.8991095
Rwy_02_006,17,42.9435865,-87.8993809,Txy_R_Y,46,42.9424127,-87.8991095
Txy_A3_Y,47,42.9406613,-87.9067913,Txy_R_Y,46,42.9424127,-87.8991095
Txy_A3_Y,47,42.9406613,-87.9067913,Rwy_02_003,14,42.941678,-87.9072022
Rwy_02_001,12,42.9391176,-87.9176413,Txy_A5_A,48,42.9401429,-87.9181103
Rwy_02_002,13,42.9407041,-87.9111075,Txy_A4_A,49,42.9417294,-87.911673
Txy_A4_A,49,42.9417294,-87.911673,Txy_A5_A,48,42.9401429,-87.9181103
Txy_A3_A,50,42.9427426,-87.9075489,Txy_A4_A,49,42.9417294,-87.911673
Rwy_02_003,14,42.941678,-87.9072022,Txy_A3_A,50,42.9427426,-87.9075489
Txy_A_B,51,42.9431353,-87.9059825,Txy_A3_A,50,42.9427426,-87.9075489
Txy_A1_A,52,42.9440149,-87.9022381,Txy_A_B,51,42.9431353,-87.9059825
Rwy_02_005,16,42.9430053,-87.9017412,Txy_A1_A,52,42.9440149,-87.9022381
Txy_A1_A,52,42.9440149,-87.9022381,Txy_A_R,53,42.944651,-87.8996524
Rwy_02_006,17,42.9435865,-87.8993809,Txy_A_R,53,42.944651,-87.8996524
Txy_A_R,53,42.944651,-87.8996524,Txy_A_T,54,42.9454233,-87.8966234
Rwy_02_007,18,42.9442227,-87.8968381,Txy_A_T,54,42.9454233,-87.8966234
Txy_A_B,51,42.9431353,-87.9059825,Txy_B_001,55,42.9438918,-87.9058609
Txy_B_001,55,42.9438918,-87.9058609,Txy_B_002,56,42.9446615,-87.9024813
Txy_A1_A,52,42.9440149,-87.9022381,Txy_B_002,56,42.9446615,-87.9024813
Txy_B_002,56,42.9446615,-87.9024813,Txy_B_003,57,42.9452043,-87.8997455
Txy_A_R,53,42.944651,-87.8996524,Txy_B_003,57,42.9452043,-87.8997455
Txy_B_003,57,42.9452043,-87.8997455,Txy_B_004,58,42.9461153,-87.8977499
Txy_B_004,58,42.9461153,-87.8977499,Txy_B_M,59,42.9476624,-87.8970847
Txy_A_T,54,42.9454233,-87.8966234,Txy_E_M,60,42.9476231,-87.8962371
Txy_B_M,59,42.9476624,-87.8970847,Txy_E_M,60,42.9476231,-87.8962371
Txy_E_M,60,42.9476231,-87.8962371,Rwy_01_006,6,42.9475414,-87.8947459
Txy_B_M,59,42.9476624,-87.8970847,Txy_B_K,61,42.9497278,-87.8971169
Txy_E_K,62,42.9497356,-87.8958831,Txy_E_M,60,42.9476231,-87.8962371
Txy_B_K,61,42.9497278,-87.8971169,Txy_E_K,62,42.9497356,-87.8958831
Txy_E_K,62,42.9497356,-87.8958831,Rwy_01_007,7,42.9497168,-87.8943704
Txy_B_G,63,42.9503639,-87.8978197,Txy_B_K,61,42.9497278,-87.8971169
Txy_G_U,64,42.9521386,-87.896661,Txy_B_G,63,42.9503639,-87.8978197
Txy_E_U,65,42.9515339,-87.8955774,Txy_G_U,64,42.9521386,-87.896661
Txy_E_K,62,42.9497356,-87.8958831,Txy_E_U,65,42.9515339,-87.8955774
