id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,37.701594,-122.214396,n0,Rwy,RW30 ,Entry,RW12 ,End
Ramp_03_002,1,37.714805,-122.217109,n1,Ramp,,,,
Ramp_01_002,2,37.712536,-122.216832,n2,Ramp,,,,
Txy_S_001,3,37.713936,-122.216317,n3,Txy,,,,
Ramp_01_001,4,37.713256,-122.216814,n4,Ramp,,,,
Txy_B_009,5,37.724226,-122.205153,n5,Txy,,,,
Txy_B_010,6,37.725576,-122.204734,n6,Txy,,,,
Txy_B_008,7,37.722942,-122.20581,n7,Txy,,,,
Parking_08_003,8,37.728231,-122.209038,n8,Park,,,,
Parking_07_001,9,37.735775,-122.216947,n9,Park,,,,
Parking_08_004,10,37.726546,-122.20479,n10,Park,,,,
Parking_08_002,11,37.729624,-122.212104,n11,Park,,,,
Parking_06_001,12,37.737792,-122.218743,n12,Park,,,,
Parking_08_001,13,37.730352,-122.213207,n13,Park,,,,
Txy_D_006,14,37.729244,-122.213673,n14,Txy,,,,
Rwy_01_002,15,37.70662,-122.221927,n15,Rwy,,,,
Rwy_01_003,16,37.708932,-122.225392,n16,Rwy,,,,
Rwy_01_004,17,37.71227,-122.230417,n17,Rwy,,,,
Rwy_01_005,18,37.719023,-122.24055,n18,Rwy,RW12 ,Entry,RW30 ,End
Rwy_02_001,19,37.72232,-122.206139,n19,Rwy,RW28L,Entry,RW10R,End
Rwy_02_002,20,37.722681,-122.207262,n20,Rwy,,,,
Rwy_02_003,21,37.724892,-122.214153,n21,Rwy,,,,
Rwy_02_004,22,37.725394,-122.215667,n22,Rwy,,,,
Rwy_02_005,23,37.726099,-122.217845,n23,Rwy,,,,
Rwy_02_006,24,37.728404,-122.224995,n24,Rwy,,,,
Rwy_02_007,25,37.728672,-122.225808,n25,Rwy,RW10R,Entry,RW28L,End
Rwy_03_001,26,37.724861,-122.204837,n26,Rwy,RW28R,Entry,RW10L,End
Rwy_03_002,27,37.726346,-122.209441,n27,Rwy,,,,
Rwy_03_003,28,37.727443,-122.212837,n28,Rwy,,,,
Rwy_03_004,29,37.727938,-122.214361,n29,Rwy,,,,
Rwy_03_005,30,37.729426,-122.218966,n30,Rwy,,,,
Rwy_03_006,31,37.729746,-122.219967,n31,Rwy,,,,
Rwy_03_007,32,37.730417,-122.222033,n32,Rwy,RW10L,Entry,RW28R,End
Rwy_04_001,33,37.731382,-122.219685,n33,Rwy,RW33 ,Entry,RW15 ,End
Rwy_04_002,34,37.73429,-122.220705,n34,Rwy,,,,
Rwy_04_003,35,37.736415,-122.22145,n35,Rwy,,,,
Rwy_04_004,36,37.739917,-122.222678,n36,Rwy,,,,
Rwy_04_005,37,37.740223,-122.222785,n37,Rwy,RW15 ,Entry,RW33 ,End
