id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,35.3791842,-97.6057335,n0,Rwy,RW35L,Entry,RW17R,End
Rwy_01_002,1,35.3805838,-97.605755,n1,Rwy,,,,
Rwy_01_003,2,35.3855172,-97.605755,n2,Rwy,,,,
Rwy_01_004,3,35.3898031,-97.605755,n3,Rwy,,,,
Rwy_01_005,4,35.3921821,-97.605755,n4,Rwy,,,,
Rwy_01_03,5,35.3962578,-97.6057979,n5,Rwy,,,,
Rwy_01_006,6,35.3981993,-97.6057764,n6,Rwy,,,,
Rwy_01_007,7,35.3992138,-97.6057335,n7,Rwy,,,,
Rwy_01_008,8,35.4047232,-97.6057335,n8,Rwy,,,,
Rwy_01_009,9,35.4058076,-97.605755,n9,Rwy,RW17R,Entry,RW35L,End
Rwy_02_001,10,35.3783935,-97.5889751,n10,Rwy,RW35R,Entry,RW17L,End
Rwy_02_002,11,35.3796881,-97.5889751,n11,Rwy,,,,
Rwy_02_003,12,35.3854788,-97.5889751,n12,Rwy,,,,
Rwy_02_004,13,35.3879979,-97.5889965,n13,Rwy,,,,
Rwy_02_005,14,35.3897997,-97.5889965,n14,Rwy,,,,
Rwy_02_006,15,35.3922312,-97.5889536,n15,Rwy,,,,
Rwy_02_007,16,35.3972514,-97.5889658,n16,Rwy,,,,
Rwy_02_008,17,35.4039503,-97.5889873,n17,Rwy,,,,
Rwy_02_009,18,35.4050871,-97.5889658,n18,Rwy,RW17L,Entry,RW35R,End
Rwy_03_001,19,35.3898052,-97.5978211,n19,Rwy,RW31 ,Entry,RW13 ,End
Rwy_03_002,20,35.3921842,-97.6007823,n20,Rwy,,,,
Rwy_03_003,21,35.3947643,-97.6038722,n21,Rwy,,,,
Rwy_03_004,22,35.3992771,-97.6093653,n22,Rwy,,,,
Rwy_03_005,23,35.4012186,-97.6117686,n23,Rwy,,,,
Rwy_03_006,24,35.4045242,-97.6158026,n24,Rwy,RW13 ,Entry,RW31 ,End
Rwy_04_001,25,35.3851192,-97.607764,n25,Rwy,RW36 ,Entry,RW18 ,End
Rwy_04_002,26,35.3921777,-97.6077532,n26,Rwy,,,,
Rwy_04_003,27,35.3941893,-97.6077747,n27,Rwy,RW18 ,Entry,RW36 ,End
Txy_A_001,28,35.379241,-97.6033973,n28,Txy,,,,
Txy_A8_A,29,35.3806319,-97.6033544,n29,Txy,,,,
Txy_A7_A,30,35.3855303,-97.6033544,n30,Txy,,,,
Txy_A_F,31,35.3897637,-97.6035368,n31,Txy,,,,
Txy_A_G,32,35.3921952,-97.6037299,n32,Txy,,,,
Txy_A1_A,33,35.4058207,-97.6040947,n33,Txy,,,,
Txy_A2_A,34,35.4047713,-97.6040303,n34,Txy,,,,
Txy_A_L,35,35.3992356,-97.6040196,n35,Txy,,,,
Txy_A_C,36,35.3967956,-97.6040089,n36,Txy,,,,
Txy_E_001,37,35.3783838,-97.5905764,n37,Txy,,,,
Txy_E12_E,38,35.3797221,-97.59063,n38,Txy,,,,
Txy_E11_E,39,35.3854778,-97.5906271,n39,Txy,,,,
Txy_E_M,40,35.3880144,-97.5906485,n40,Txy,,,,
