id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,41.2911545,-95.894639,n0,Rwy,RW36 ,Entry,RW18 ,End
Rwy_01_002,1,41.2970712,-95.894639,n1,Rwy,,,,
Rwy_01_003,2,41.299844,-95.894639,n2,Rwy,,,,
Rwy_01_02,3,41.301714,-95.8945746,n3,Rwy,,,,
Rwy_01_004,4,41.3054376,-95.8945746,n4,Rwy,,,,
Rwy_01_03,5,41.3073718,-95.8945746,n5,Rwy,,,,
Rwy_01_005,6,41.3088708,-95.8945961,n6,Rwy,,,,
Rwy_01_006,7,41.3132871,-95.8945531,n7,Rwy,RW18 ,Entry,RW36 ,End
Rwy_02_001,8,41.2928151,-95.8861123,n8,Rwy,RW32L,Entry,RW14R,End
Rwy_02_002,9,41.2976838,-95.8907686,n9,Rwy,,,,
Rwy_02_003,10,41.3032776,-95.8960901,n10,Rwy,,,,
Rwy_02_004,11,41.3056955,-95.8983432,n11,Rwy,,,,
Rwy_02_005,12,41.3082422,-95.9007894,n12,Rwy,,,,
Rwy_02_006,13,41.3106277,-95.9030424,n13,Rwy,,,,
Rwy_02_007,14,41.3137383,-95.9060036,n14,Rwy,RW14R,Entry,RW32L,End
Rwy_03_001,15,41.2947337,-95.8825289,n15,Rwy,RW32R,Entry,RW14L,End
Rwy_03_002,16,41.2996023,-95.8872496,n16,Rwy,,,,
Rwy_03_003,17,41.3025845,-95.8900176,n17,Rwy,,,,
Rwy_03_004,18,41.3060501,-95.8932792,n18,Rwy,,,,
Rwy_03_005,19,41.3089192,-95.8960258,n19,Rwy,,,,
Rwy_03_006,20,41.3101281,-95.8972059,n20,Rwy,,,,
Rwy_03_007,21,41.3134805,-95.9003388,n21,Rwy,RW14L,Entry,RW32R,End
Txy_F_001,22,41.2911707,-95.8960472,n22,Txy,,,,
Txy_F_F1,23,41.2956042,-95.8961116,n23,Txy,,,,
Txy_D_F,24,41.297039,-95.8960258,n24,Txy,,,,
Txy_F_F2,25,41.2979418,-95.8960472,n25,Txy,,,,
Txy_F_F3,26,41.3000214,-95.8960687,n26,Txy,,,,
Txy_A_F,27,41.3013997,-95.896058,n27,Txy,,,,
Txy_F_S,28,41.3070172,-95.8960365,n28,Txy,,,,
Txy_F_K,29,41.3107728,-95.896015,n29,Txy,,,,
Txy_F_Z,30,41.3132871,-95.8959721,n30,Txy,,,,
Txy_E_001,31,41.2911101,-95.8892291,n31,Txy,,,,
Txy_A_E,32,41.2921146,-95.8873184,n32,Txy,,,,
Txy_A_D,33,41.2971123,-95.8919962,n33,Txy,,,,
Txy_A_B,34,41.3050835,-95.8995922,n34,Txy,,,,
Txy_A_K,35,41.307606,-95.9019525,n35,Txy,,,,
Txy_A_H,36,41.3099632,-95.904211,n36,Txy,,,,
Txy_A_W,37,41.3131384,-95.907215,n37,Txy,,,,
Txy_G_W,38,41.3126548,-95.9080841,n38,Txy,,,,
Txy_G_H,39,41.3094635,-95.9050907,n39,Txy,,,,
Txy_G_K,40,41.3071264,-95.9028591,n40,Txy,,,,
Txy_B_G,41,41.3046763,-95.9002949,n41,Txy,,,,
Txy_A_A1,42,41.3033384,-95.8979131,n42,Txy,,,,
Txy_T_S,43,41.2940288,-95.8837036,n43,Txy,,,,
Txy_D_S,44,41.2989619,-95.8883921,n44,Txy,,,,
Txy_M_S,45,41.301951,-95.8912245,n45,Txy,,,,
Txy_K_S,46,41.3094947,-95.898445,n46,Txy,,,,
Txy_H_S,47,41.3118479,-95.9006981,n47,Txy,,,,
Txy_S_001,48,41.3128472,-95.901492,n48,Txy,,,,
Txy_Z_001,49,41.3142719,-95.8987891,n49,Txy,,,,
Txy_L_001,50,41.2956792,-95.8808827,n50,Txy,,,,
Txy_D_L,51,41.3005315,-95.8854746,n51,Txy,,,,
Txy_L_M,52,41.3035137,-95.8882534,n52,Txy,,,,
Txy_L_L3,53,41.3055688,-95.8901953,n53,Txy,,,,
Txy_L_Y,54,41.3069631,-95.8915042,n54,Txy,,,,
