id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Ramp_03_070,0,41.972954,-87.901832,n0,Ramp,,,,
Txy_A_053,1,41.977071,-87.912645,n1,Txy,,,,
Txy_A_054,2,41.975964,-87.911676,n2,Txy,,,,
Txy_A_052,3,41.979162,-87.91278,n3,Txy,,,,
Txy_A_051,4,41.980311,-87.911991,n4,Txy,,,,
Txy_A_050,5,41.981131,-87.911369,n5,Txy,,,,
Ramp_01_006,6,41.982365,-87.907126,n6,Ramp,,,,
Ramp_01_001,7,41.982396,-87.904161,n7,Ramp,,,,
Ramp_01_002,8,41.982396,-87.904651,n8,Ramp,,,,
Ramp_01_003,9,41.982398,-87.905149,n9,Ramp,,,,
Ramp_01_004,10,41.982387,-87.905605,n10,Ramp,,,,
Ramp_01_005,11,41.982394,-87.906114,n11,Ramp,,,,
Ramp_02_006,12,41.974329,-87.907088,n12,Ramp,,,,
Ramp_03_007,13,41.973301,-87.901824,n13,Ramp,,,,
Ramp_03_013,14,41.973971,-87.90182,n14,Ramp,,,,
Ramp_03_016,15,41.974339,-87.901831,n15,Ramp,,,,
Ramp_03_012,16,41.973898,-87.902094,n16,Ramp,,,,
Ramp_03_004,17,41.972955,-87.902085,n17,Ramp,,,,
Ramp_03_032,18,41.974033,-87.899129,n18,Ramp,,,,
Ramp_03_056,19,41.976412,-87.899263,n19,Ramp,,,,
Ramp_03_039,20,41.975871,-87.896133,n20,Ramp,,,,
Ramp_03_040,21,41.975687,-87.896406,n21,Ramp,,,,
Ramp_04_027,22,41.973341,-87.883676,n22,Ramp,,,,
Ramp_04_025,23,41.972685,-87.884563,n23,Ramp,,,,
Ramp_04_024,24,41.972705,-87.885666,n24,Ramp,,,,
Ramp_04_022,25,41.972697,-87.88707,n25,Ramp,,,,
Ramp_04_021,26,41.972692,-87.887947,n26,Ramp,,,,
Ramp_04_020,27,41.97268,-87.888463,n27,Ramp,,,,
Ramp_04_028,28,41.97268,-87.888955,n28,Ramp,,,,
Ramp_04_018,29,41.972688,-87.889937,n29,Ramp,,,,
Ramp_04_016,30,41.972679,-87.892208,n30,Ramp,,,,
Ramp_04_014,31,41.973463,-87.893289,n31,Ramp,,,,
Ramp_04_009,32,41.977563,-87.893593,n32,Ramp,,,,
Ramp_04_010,33,41.976952,-87.893536,n33,Ramp,,,,
Ramp_04_011,34,41.976264,-87.893311,n34,Ramp,,,,
Ramp_03_043,35,41.975824,-87.896917,n35,Ramp,,,,
Ramp_03_050,36,41.97616,-87.89811,n36,Ramp,,,,
Ramp_03_055,37,41.976598,-87.898902,n37,Ramp,,,,
Ramp_03_057,38,41.976197,-87.899607,n38,Ramp,,,,
Ramp_03_049,39,41.975854,-87.898192,n39,Ramp,,,,
Ramp_03_041,40,41.975333,-87.896347,n40,Ramp,,,,
Ramp_03_042,41,41.97542,-87.896733,n41,Ramp,,,,
Ramp_03_045,42,41.975558,-87.897194,n42,Ramp,,,,
Ramp_03_051,43,41.976389,-87.898078,n43,Ramp,,,,
Ramp_03_044,44,41.976007,-87.896699,n44,Ramp,,,,
Ramp_03_025,45,41.973154,-87.897394,n45,Ramp,,,,
Ramp_03_034,46,41.973494,-87.896641,n46,Ramp,,,,
Ramp_03_035,47,41.973885,-87.896107,n47,Ramp,,,,
Ramp_03_026,48,41.973344,-87.898017,n48,Ramp,,,,
Ramp_03_027,49,41.973208,-87.898353,n49,Ramp,,,,
Ramp_03_028,50,41.97309,-87.898684,n50,Ramp,,,,
Ramp_03_017,51,41.974421,-87.901582,n51,Ramp,,,,
Ramp_03_014,52,41.974053,-87.901588,n52,Ramp,,,,
Ramp_03_008,53,41.973313,-87.901585,n53,Ramp,,,,
Ramp_03_005,54,41.97296,-87.901588,n54,Ramp,,,,
Ramp_03_006,55,41.973288,-87.902076,n55,Ramp,,,,
Ramp_03_015,56,41.974269,-87.902096,n56,Ramp,,,,
Ramp_03_021,57,41.975181,-87.901614,n57,Ramp,,,,
Ramp_02_014,58,41.973345,-87.904658,n58,Ramp,,,,
Ramp_02_020,59,41.974162,-87.904646,n59,Ramp,,,,
Ramp_02_024,60,41.974524,-87.904655,n60,Ramp,,,,
Ramp_02_029,61,41.975042,-87.904597,n61,Ramp,,,,
Ramp_02_023,62,41.974551,-87.904392,n62,Ramp,,,,
Ramp_02_022,63,41.974318,-87.904401,n63,Ramp,,,,
Ramp_02_019,64,41.974061,-87.904406,n64,Ramp,,,,
Ramp_02_012,65,41.972866,-87.904382,n65,Ramp,,,,
Ramp_02_013,66,41.973336,-87.904382,n66,Ramp,,,,
Ramp_02_015,67,41.973321,-87.904925,n67,Ramp,,,,
Ramp_02_021,68,41.974119,-87.904925,n68,Ramp,,,,
Ramp_02_025,69,41.97451,-87.904916,n69,Ramp,,,,
Ramp_01_022,70,41.975467,-87.909578,n70,Ramp,,,,
Ramp_01_019,71,41.97687,-87.908616,n71,Ramp,,,,
Ramp_01_018,72,41.977297,-87.908527,n72,Ramp,,,,
Ramp_01_017,73,41.977642,-87.908452,n73,Ramp,,,,
Ramp_01_016,74,41.978057,-87.908352,n74,Ramp,,,,
Ramp_01_015,75,41.97843,-87.908274,n75,Ramp,,,,
Ramp_01_014,76,41.978938,-87.908167,n76,Ramp,,,,
Ramp_01_013,77,41.979454,-87.908047,n77,Ramp,,,,
Ramp_01_012,78,41.979807,-87.907966,n78,Ramp,,,,
Ramp_01_011,79,41.980153,-87.907888,n79,Ramp,,,,
Ramp_01_010,80,41.98054,-87.907792,n80,Ramp,,,,
Ramp_01_009,81,41.980957,-87.90774,n81,Ramp,,,,
Ramp_01_008,82,41.981553,-87.90784,n82,Ramp,,,,
Ramp_01_037,83,41.981594,-87.908548,n83,Ramp,,,,
Ramp_01_036,84,41.981042,-87.908484,n84,Ramp,,,,
Ramp_01_035,85,41.980518,-87.908537,n85,Ramp,,,,
Ramp_01_034,86,41.980112,-87.908626,n86,Ramp,,,,
Ramp_01_033,87,41.979672,-87.908728,n87,Ramp,,,,
Ramp_01_032,88,41.979179,-87.908833,n88,Ramp,,,,
Ramp_01_031,89,41.978569,-87.908981,n89,Ramp,,,,
Ramp_01_030,90,41.978123,-87.909083,n90,Ramp,,,,
Ramp_01_029,91,41.977638,-87.909192,n91,Ramp,,,,
Ramp_01_028,92,41.977154,-87.909294,n92,Ramp,,,,
Ramp_01_025,93,41.975889,-87.910084,n93,Ramp,,,,
Txy_A_025,94,41.982695,-87.907925,n94,Txy,,,,
Txy_A_001,95,41.98251,-87.908646,n95,Txy,,,,
Ramp_03_052,96,41.976509,-87.898518,n96,Ramp,,,,
Ramp_03_048,97,41.97617,-87.897284,n97,Ramp,,,,
Ramp_03_037,98,41.975441,-87.895685,n98,Ramp,,,,
Ramp_03_019,99,41.974811,-87.901827,n99,Ramp,,,,
Ramp_03_009,100,41.973656,-87.901571,n100,Ramp,,,,
Ramp_03_010,101,41.973588,-87.901813,n101,Ramp,,,,
Ramp_03_011,102,41.973534,-87.90209,n102,Ramp,,,,
