n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Gate_05_0M5,141,41.976153,-87.892395,Ramp_04_012,367,41.975859,-87.893323
Txy_Q_CC,458,41.964213,-87.925376,Txy_CC_001,459,41.964879,-87.925381
Gate_03_H15,253,41.972683,-87.899199,Ramp_03_022,302,41.972699,-87.898296
Ramp_03_032,18,41.974033,-87.899129,Ramp_03_029,121,41.973503,-87.899113
Txy_B_A10,356,41.97306,-87.90973,Txy_B_A9,357,41.974205,-87.911043
Txy_M_C,661,41.986989,-87.900415,Txy_C_004,737,41.984792,-87.897915
Ramp_01_017,73,41.977642,-87.908452,Ramp_01_018,72,41.977297,-87.908527
Txy_A_A20,318,41.975872,-87.895214,Txy_A_A21,692,41.977662,-87.895244
Txy_A_A7,337,41.976533,-87.912212,Gate_01_0C2,159,41.976625,-87.911211
Txy_A_013,320,41.972047,-87.901582,Txy_A_A15,369,41.972044,-87.901317
Txy_R_B,684,41.977406,-87.914593,Txy_B_A7,359,41.976226,-87.913309
Txy_L2_L,530,41.971568,-87.922103,Txy_L2_N,531,41.970419,-87.922125
Txy_A_001,95,41.98251,-87.908646,Txy_A_002,343,41.982142,-87.909649
Txy_L_L3,535,41.971568,-87.916288,Txy_L_SS,538,41.971831,-87.912217
Txy_T_T3,624,41.982024,-87.921508,Txy_T_R2,622,41.981554,-87.920955
Gate_03_0K3,273,41.97587,-87.90039,Ramp_03_057,38,41.976197,-87.899607
Gate_01_C31,174,41.981254,-87.909829,Txy_A_002,343,41.982142,-87.909649
Ramp_02_001,113,41.974032,-87.907744,Ramp_02_004,112,41.97391,-87.907465
Txy_N3_001,602,41.969897,-87.90247,Txy_N4_N3,601,41.970451,-87.90129
Ramp_02_001,113,41.974032,-87.907744,Ramp_02_005,114,41.974145,-87.907246
Ramp_01_013,77,41.979454,-87.908047,Ramp_01_014,76,41.978938,-87.908167
Gate_05_M12,134,41.973649,-87.889931,Ramp_04_018,29,41.972688,-87.889937
Txy_A_A13,327,41.972072,-87.904143,Txy_B_A13,353,41.971388,-87.904209
Gate_05_M11,135,41.973686,-87.890855,Ramp_04_017,364,41.972681,-87.890993
Ramp_01_023,312,41.975243,-87.910338,Ramp_01_022,70,41.975467,-87.909578
Txy_SS_001,633,41.975947,-87.916803,Txy_K_SS,537,41.972525,-87.913005
Ramp_03_043,35,41.975824,-87.896917,Ramp_03_040,21,41.975687,-87.896406
Gate_02_E11,205,41.974557,-87.908196,Ramp_02_001,113,41.974032,-87.907744
Txy_Y3_001,564,41.959833,-87.893243,Rwy_02_003,380,41.960448,-87.891011
Gate_03_0L5,285,41.977308,-87.897652,Ramp_03_059,290,41.977862,-87.897355
Txy_A_A12,328,41.972121,-87.905164,Txy_A_008,326,41.972111,-87.904906
Gate_05_M17,129,41.973677,-87.886352,Ramp_04_023,363,41.972685,-87.886574
Rwy_06_003,419,41.990454,-87.904283,Rwy_06_004,420,41.986291,-87.908757
Txy_C_C2,673,41.994505,-87.909014,Txy_C2_YY,674,41.989656,-87.915001
Gate_03_K10,262,41.974604,-87.898592,Ramp_03_032,18,41.974033,-87.899129
Ramp_04_028,28,41.97268,-87.888955,Ramp_04_020,27,41.97268,-87.888463
Txy_PP_U,652,41.989975,-87.890534,Txy_U_U1,655,41.989955,-87.892658
Txy_C_004,737,41.984792,-87.897915,Rwy_05_004,411,41.983895,-87.897009
Txy_A_053,1,41.977071,-87.912645,Txy_A_A7,337,41.976533,-87.912212
Txy_S_S3,610,41.962091,-87.904261,Txy_F_RR,609,41.964014,-87.9013
Txy_R2_001,710,41.981662,-87.9155,Rwy_06_006,422,41.981789,-87.91381
Ramp_03_070,0,41.972954,-87.901832,Txy_A_A15,369,41.972044,-87.901317
Ramp_Cargo_012,486,41.962183,-87.910071,Parking_Cargo_027,507,41.961449,-87.91013
Txy_A_C,695,41.980812,-87.892991,Txy_H_C,647,41.98291,-87.895786
Gate_G_008,224,41.974062,-87.903675,Ramp_02_019,64,41.974061,-87.904406
Txy_A_030,315,41.972209,-87.90655,Txy_A_A12,328,41.972121,-87.905164
Txy_DD_003,526,41.968186,-87.920837,Rwy_04_010,404,41.969031,-87.920843
Ramp_Cargo_003,464,41.962179,-87.92662,Parking_Cargo_009,476,41.962159,-87.927715
Txy_T_K,619,41.97351,-87.911932,Txy_T_T7,620,41.975879,-87.914582
Ramp_03_004,17,41.972955,-87.902085,Ramp_03_001,305,41.972414,-87.902091
Ramp_04_010,33,41.976952,-87.893536,Ramp_04_011,34,41.976264,-87.893311
Txy_GG_JJ,578,41.9632,-87.89203,Txy_Y_GG,560,41.962067,-87.892009
