n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_G_002,209,45.586509,-122.609646,Txy_E_011,200,45.586198,-122.609219
Txy_A_013,54,45.583428,-122.569653,Txy_A_014,55,45.583546,-122.568974
Rwy_02_004,12,45.590465,-122.605352,Rwy_02_003,11,45.591382,-122.604049
Txy_B_015,40,45.582985,-122.587044,Txy_B_016,41,45.581574,-122.583411
Txy_A_001,42,45.594538,-122.598176,Rwy_02_002,10,45.594658,-122.599365
Ramp_06_001,164,45.586372,-122.593898,Ramp_06_002,165,45.586239,-122.593665
Txy_E_012,201,45.582993,-122.613794,Ramp_07_001,181,45.582404,-122.612957
Rwy_01_007,7,45.58375,-122.592214,Txy_C6_001,219,45.583082,-122.592738
Rwy_03_005,23,45.587061,-122.575762,Txy_A2_001,183,45.586398,-122.576285
Ramp_10_001,206,45.587338,-122.613575,Txy_G_001,205,45.586738,-122.612025
Ramp_01_005,130,45.591194,-122.59174,Gate_E_003,74,45.59033,-122.59228
Txy_E_011,200,45.586198,-122.609219,Txy_E_012,201,45.582993,-122.613794
Ramp_06_007,170,45.585353,-122.592104,Gate_A_007,120,45.58568,-122.591597
Ramp_04_002,162,45.586728,-122.594573,Ramp_04_003,163,45.586479,-122.594089
Gate_C_001,110,45.587823,-122.594687,Ramp_03_017,160,45.587144,-122.595549
Txy_B_007,32,45.590939,-122.606031,Txy_B_006,31,45.59136,-122.606878
Txy_A_011,52,45.5861,-122.576511,Ramp_09_001,185,45.585322,-122.577144
Gate_A_002,115,45.586763,-122.592884,Ramp_06_002,165,45.586239,-122.593665
Parking_10_001,207,45.587821,-122.613769,Ramp_10_001,206,45.587338,-122.613575
Gate_D_012,82,45.591188,-122.596695,Ramp_02_002,138,45.590642,-122.597434
Ramp_03_017,160,45.587144,-122.595549,Ramp_04_001,161,45.586971,-122.595108
Ramp_04_002,162,45.586728,-122.594573,Ramp_04_001,161,45.586971,-122.595108
Gate_A_012,125,45.584893,-122.589698,Ramp_06_012,175,45.584226,-122.590216
Ramp_02_007,143,45.589503,-122.594509,Gate_C_002,88,45.588752,-122.594852
Txy_E_006,195,45.590223,-122.603484,Ramp_03_007,150,45.589647,-122.601969
Txy_E_007,196,45.589439,-122.604596,Rwy_01_003,3,45.588878,-122.605389
Txy_A_011,52,45.5861,-122.576511,Txy_A_012,53,45.585245,-122.57433
Txy_A_E,43,45.594326,-122.597625,Txy_A_003,44,45.59378,-122.596226
Txy_E_010,199,45.586384,-122.608951,Txy_E_009,198,45.587595,-122.607227
Gate_D_007,80,45.591817,-122.596105,Ramp_01_011,136,45.592539,-122.595178
Gate_C_022,98,45.590378,-122.599802,Ramp_03_005,148,45.591383,-122.600386
Ramp_02_003,139,45.590425,-122.596876,Gate_C_012,93,45.589716,-122.597428
Txy_B1_001,25,45.595752,-122.620801,Txy_B_001,26,45.596172,-122.620398
Txy_C_005,61,45.589782,-122.612529,Txy_C_006,62,45.589665,-122.610676
Txy_E_005,194,45.590914,-122.602495,Txy_M_004,227,45.591387,-122.601804
Gate_E_006,71,45.589766,-122.590659,Ramp_01_002,127,45.590495,-122.589954
Ramp_08_001,180,45.583516,-122.6022,Txy_J_001,211,45.585019,-122.601014
Ramp_06_001,164,45.586372,-122.593898,Gate_A_001,114,45.587021,-122.593121
Ramp_06_011,174,45.584382,-122.590616,Txy_B_114,212,45.584312,-122.590437
Txy_B_002,27,45.596238,-122.619451,Txy_B_003,28,45.595475,-122.617486
Txy_B_011,36,45.587972,-122.599843,Txy_B_012,37,45.586895,-122.597082
Txy_J_001,211,45.585019,-122.601014,Txy_C_011,67,45.585708,-122.600469
Txy_B_012,37,45.586895,-122.597082,Ramp_03_015,158,45.58754,-122.596567
Ramp_06_011,174,45.584382,-122.590616,Gate_A_011,124,45.585042,-122.590088
Txy_E_006,195,45.590223,-122.603484,Txy_E_005,194,45.590914,-122.602495
Txy_B_013,38,45.58663,-122.596395,Txy_B_014,39,45.584707,-122.591461
Rwy_03_006,24,45.584213,-122.568447,Rwy_03_005,23,45.587061,-122.575762
Ramp_03_015,158,45.58754,-122.596567,Ramp_03_016,159,45.587317,-122.595991
Txy_B_004,29,45.593602,-122.612691,Txy_B_005,30,45.593159,-122.611559
Ramp_03_015,158,45.58754,-122.596567,Ramp_03_014,157,45.587686,-122.596941
Txy_T_001,220,45.593137,-122.596733,Ramp_01_011,136,45.592539,-122.595178
Txy_A2_001,183,45.586398,-122.576285,Txy_A_011,52,45.5861,-122.576511
Rwy_01_004,4,45.587505,-122.601855,Txy_B3_001,214,45.588499,-122.602166
Ramp_01_011,136,45.592539,-122.595178,Ramp_01_010,135,45.592368,-122.594752
Txy_E_001,190,45.595125,-122.596506,Rwy_03_001,19,45.594726,-122.59544
Rwy_02_007,15,45.588629,-122.607969,Rwy_02_006,14,45.588884,-122.607609
Ramp_02_005,141,45.589897,-122.595514,Gate_D_006,85,45.590555,-122.594984
Ramp_03_003,146,45.590822,-122.59789,Ramp_02_002,138,45.590642,-122.597434
Ramp_06_005,168,45.585706,-122.592735,Ramp_06_006,169,45.585438,-122.592256
Txy_E_004,193,45.59245,-122.600307,Txy_M_004,227,45.591387,-122.601804
