id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,33.44086,-112.029677,n0,Rwy,,,,
Rwy_01_002,1,33.440857,-112.028367,n1,Rwy,,,,
Rwy_01_003,2,33.440857,-112.026695,n2,Rwy,RW08 ,Entry,RW26 ,End
Rwy_01_004,3,33.440855,-112.020401,n3,Rwy,,,,
Rwy_01_005,4,33.440849,-112.016995,n4,Rwy,,,,
Rwy_01_006,5,33.440845,-112.013588,n5,Rwy,,,,
Rwy_01_007,6,33.440842,-112.010629,n6,Rwy,,,,
Rwy_01_008,7,33.440839,-112.007352,n7,Rwy,,,,
Rwy_01_009,8,33.440839,-112.004681,n8,Rwy,,,,
Rwy_01_010,9,33.440832,-112.001188,n9,Rwy,,,,
Rwy_01_011,10,33.440831,-111.998306,n10,Rwy,,,,
Rwy_01_012,11,33.440825,-111.993589,n11,Rwy,,,,
Rwy_01_013,12,33.44082,-111.992256,n12,Rwy,RW26 ,Entry,RW08 ,End
Rwy_02_001,13,33.431057,-112.02698,n13,Rwy,RW07L,Entry,RW25R,End
Rwy_02_002,14,33.431068,-112.025136,n14,Rwy,,,,
Rwy_02_004,15,33.431057,-112.019487,n15,Rwy,,,,
Rwy_02_005,16,33.431055,-112.015373,n16,Rwy,,,,
Rwy_02_007,17,33.431055,-112.012083,n17,Rwy,,,,
Rwy_02_008,18,33.431046,-112.008942,n18,Rwy,,,,
Rwy_02_010,19,33.43105,-112.006631,n19,Rwy,,,,
Rwy_02_013,20,33.431032,-112.003314,n20,Rwy,,,,
Rwy_02_015,21,33.431033,-111.999781,n21,Rwy,,,,
Rwy_02_017,22,33.431036,-111.99553,n22,Rwy,,,,
Rwy_02_018,23,33.431029,-111.993472,n23,Rwy,RW25R,Entry,RW07L,End
Rwy_03_001,24,33.428858,-112.026977,n24,Rwy,RW07R,Entry,RW25L,End
Rwy_03_002,25,33.428852,-112.026007,n25,Rwy,,,,
Rwy_03_003,26,33.428856,-112.024444,n26,Rwy,,,,
Rwy_03_004,27,33.428856,-112.021861,n27,Rwy,,,,
Rwy_03_005,28,33.428855,-112.020626,n28,Rwy,,,,
