id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,40.502351,-80.271059,n0,Rwy,RW10L,Entry,RW28R,End
Rwy_01_002,1,40.502184,-80.26385,n1,Rwy,,,,
Rwy_01_003,2,40.502057,-80.25956,n2,Rwy,,,,
Rwy_01_004,3,40.50195,-80.255689,n3,Rwy,,,,
Rwy_01_005,4,40.501906,-80.254365,n4,Rwy,,,,
Rwy_01_006,5,40.501877,-80.250644,n5,Rwy,,,,
Rwy_01_007,6,40.501772,-80.247126,n6,Rwy,,,,
Rwy_01_008,7,40.50141,-80.235949,n7,Rwy,,,,
Rwy_01_009,8,40.501351,-80.233587,n8,Rwy,RW28R,Entry,RW10L,End
Rwy_02_04,9,40.489093,-80.216226,n9,Rwy,,,,
Rwy_02_001,10,40.489874,-80.246234,n10,Rwy,RW10C,Entry,RW28C,End
Rwy_02_002,11,40.489709,-80.240022,n11,Rwy,,,,
Rwy_02_004,12,40.48967,-80.238538,n12,Rwy,,,,
Rwy_02_005,13,40.489523,-80.232989,n13,Rwy,,,,
Rwy_02_006,14,40.489379,-80.227205,n14,Rwy,,,,
Rwy_02_007,15,40.48931,-80.224463,n15,Rwy,,,,
Rwy_02_008,16,40.489259,-80.222537,n16,Rwy,,,,
Rwy_02_009,17,40.489159,-80.218766,n17,Rwy,,,,
Rwy_02_010,18,40.489046,-80.214326,n18,Rwy,,,,
Rwy_02_011,19,40.488953,-80.2114,n19,Rwy,RW28C,Entry,RW10C,End
Rwy_02_012,20,40.4889,-80.209395,n20,Rwy,,,,
Rwy_03_001,21,40.486727,-80.251771,n21,Rwy,RW10R,Entry,RW28L,End
Rwy_03_002,22,40.48662,-80.247665,n22,Rwy,,,,
Rwy_03_003,23,40.486318,-80.236224,n23,Rwy,,,,
Rwy_03_004,24,40.486194,-80.231072,n24,Rwy,,,,
Rwy_03_005,25,40.486013,-80.224221,n25,Rwy,,,,
Rwy_03_006,26,40.485774,-80.215103,n26,Rwy,,,,
Rwy_03_007,27,40.485764,-80.21457,n27,Rwy,,,,
Rwy_03_008,28,40.485689,-80.211962,n28,Rwy,,,,
Rwy_03_009,29,40.485658,-80.210791,n29,Rwy,RW28L,Entry,RW10R,End
Rwy_04_001,30,40.479933,-80.204788,n30,Rwy,RW32 ,Entry,RW14 ,End
Rwy_04_002,31,40.487394,-80.214121,n31,Rwy,,,,
Rwy_04_003,32,40.49024,-80.217665,n32,Rwy,,,,
Rwy_04_004,33,40.491584,-80.219338,n33,Rwy,,,,
Rwy_04_005,34,40.492453,-80.220425,n34,Rwy,,,,
Rwy_04_006,35,40.494476,-80.222953,n35,Rwy,,,,
Rwy_04_007,36,40.495935,-80.224767,n36,Rwy,RW14 ,Entry,RW32 ,End
Gate_D_076,37,40.496715,-80.246608,n37,Gate,,,,
Gate_D_078,38,40.497121,-80.246958,n38,Gate,,,,
Gate_D_080,39,40.497339,-80.24735,n39,Gate,,,,
Gate_D_082,40,40.497601,-80.247686,n40,Gate,,,,
Gate_D_084,41,40.497932,-80.248079,n41,Gate,,,,
Gate_D_086,42,40.498214,-80.248357,n42,Gate,,,,
Gate_D_088,43,40.498402,-80.248635,n43,Gate,,,,
Gate_D_089,44,40.497887,-80.249214,n44,Gate,,,,
Gate_D_087,45,40.497594,-80.248884,n45,Gate,,,,
Gate_D_085,46,40.497417,-80.248612,n46,Gate,,,,
Gate_D_083,47,40.497115,-80.248234,n47,Gate,,,,
Gate_D_081,48,40.49684,-80.247913,n48,Gate,,,,
Gate_D_079,49,40.496551,-80.247594,n49,Gate,,,,
Gate_D_077,50,40.496279,-80.247334,n50,Gate,,,,
Gate_C_052,51,40.495383,-80.247284,n51,Gate,,,,
Gate_C_054,52,40.495087,-80.247664,n52,Gate,,,,
Gate_C_056,53,40.494704,-80.248117,n53,Gate,,,,
Gate_C_058,54,40.494346,-80.248595,n54,Gate,,,,
Gate_C_060,55,40.493976,-80.249028,n55,Gate,,,,
Gate_C_061,56,40.493526,-80.248889,n56,Gate,,,,
Gate_C_059,57,40.49339,-80.248497,n57,Gate,,,,
Gate_C_057,58,40.493688,-80.248082,n58,Gate,,,,
Gate_C_055,59,40.494031,-80.247617,n59,Gate,,,,
Gate_C_053,60,40.494374,-80.247076,n60,Gate,,,,
Gate_C_051,61,40.494686,-80.24663,n61,Gate,,,,
Gate_B_026,62,40.494783,-80.245546,n62,Gate,,,,
Gate_B_028,63,40.494492,-80.245248,n63,Gate,,,,
Gate_B_030,64,40.494202,-80.244908,n64,Gate,,,,
Gate_B_032,65,40.493895,-80.244478,n65,Gate,,,,
Gate_B_034,66,40.49357,-80.244139,n66,Gate,,,,
Gate_B_036,67,40.493312,-80.243776,n67,Gate,,,,
Gate_B_038,68,40.493008,-80.243442,n68,Gate,,,,
Gate_B_040,69,40.492906,-80.243084,n69,Gate,,,,
Gate_B_042,70,40.492898,-80.242706,n70,Gate,,,,
Gate_B_044,71,40.492909,-80.242136,n71,Gate,,,,
Gate_B_046,72,40.4928,-80.241677,n72,Gate,,,,
Gate_B_050,73,40.492863,-80.241385,n73,Gate,,,,
Gate_B_049,74,40.493092,-80.241369,n74,Gate,,,,
Gate_B_048,75,40.493312,-80.241375,n75,Gate,,,,
Gate_B_047,76,40.493543,-80.241457,n76,Gate,,,,
Gate_B_045,77,40.493564,-80.24171,n77,Gate,,,,
Gate_B_043,78,40.493519,-80.242117,n78,Gate,,,,
Gate_B_041,79,40.493538,-80.242572,n79,Gate,,,,
Gate_B_039,80,40.493646,-80.243112,n80,Gate,,,,
Gate_B_037,81,40.493973,-80.243485,n81,Gate,,,,
Gate_B_035,82,40.494216,-80.243833,n82,Gate,,,,
Gate_B_033,83,40.494515,-80.244104,n83,Gate,,,,
Gate_B_031,84,40.494795,-80.244447,n84,Gate,,,,
Gate_B_029,85,40.495062,-80.244753,n85,Gate,,,,
Gate_B_027,86,40.495286,-80.245102,n86,Gate,,,,
Gate_A_002,87,40.49606,-80.244987,n87,Gate,,,,
Gate_A_004,88,40.496322,-80.244639,n88,Gate,,,,
Gate_A_006,89,40.496554,-80.244334,n89,Gate,,,,
Gate_A_008,90,40.496801,-80.243948,n90,Gate,,,,
Gate_A_010,91,40.497042,-80.243616,n91,Gate,,,,
Gate_A_012,92,40.497259,-80.243266,n92,Gate,,,,
Gate_A_014,93,40.497606,-80.242923,n93,Gate,,,,
Gate_A_016,94,40.497664,-80.242495,n94,Gate,,,,
Gate_A_018,95,40.497683,-80.242065,n95,Gate,,,,
Gate_A_020,96,40.497682,-80.241566,n96,Gate,,,,
Gate_A_022,97,40.497702,-80.241209,n97,Gate,,,,
Gate_A_024,98,40.497926,-80.241183,n98,Gate,,,,
Gate_A_025,99,40.498121,-80.241186,n99,Gate,,,,
Gate_A_023,100,40.498342,-80.241222,n100,Gate,,,,
Gate_A_019,101,40.498382,-80.241835,n101,Gate,,,,
Gate_A_017,102,40.498389,-80.242474,n102,Gate,,,,
Gate_A_015,103,40.498398,-80.242949,n103,Gate,,,,
Gate_A_013,104,40.498298,-80.243233,n104,Gate,,,,
Gate_A_011,105,40.498058,-80.243594,n105,Gate,,,,
Gate_A_009,106,40.49779,-80.24402,n106,Gate,,,,
Gate_A_007,107,40.497555,-80.24437,n107,Gate,,,,
Gate_A_005,108,40.497274,-80.244702,n108,Gate,,,,
Gate_A_003,109,40.496984,-80.245099,n109,Gate,,,,
Gate_A_001,110,40.496728,-80.245437,n110,Gate,,,,
Parking_deice_001,111,40.499805,-80.237716,n111,Park,,,,
Parking_deice_002,112,40.499795,-80.237137,n112,Park,,,,
Parking_deice_003,113,40.499782,-80.236658,n113,Park,,,,
Parking_deice_004,114,40.499769,-80.235841,n114,Park,,,,
Parking_deice2_001,115,40.491309,-80.238085,n115,Park,,,,
Parking_deice2_002,116,40.491303,-80.237501,n116,Park,,,,
Parking_deice2_003,117,40.491286,-80.236994,n117,Park,,,,
Parking_deice2_004,118,40.491263,-80.236128,n118,Park,,,,
Ramp_01_001,119,40.497779,-80.245994,n119,Ramp,,,,
Ramp_01_002,120,40.49788,-80.246543,n120,Ramp,,,,
Ramp_01_003,121,40.498115,-80.24693,n121,Ramp,,,,
Ramp_01_004,122,40.498455,-80.247348,n122,Ramp,,,,
Ramp_01_005,123,40.498709,-80.247645,n123,Ramp,,,,
Ramp_01_006,124,40.499466,-80.248586,n124,Ramp,,,,
Ramp_01_007,125,40.497992,-80.250652,n125,Ramp,,,,
Ramp_01_008,126,40.497444,-80.250011,n126,Ramp,,,,
Ramp_01_009,127,40.496889,-80.249354,n127,Ramp,,,,
Ramp_01_010,128,40.496573,-80.248975,n128,Ramp,,,,
Ramp_01_011,129,40.496299,-80.248715,n129,Ramp,,,,
Ramp_01_012,130,40.495894,-80.248582,n130,Ramp,,,,
Ramp_01_013,131,40.495845,-80.247943,n131,Ramp,,,,
Ramp_02_001,132,40.495247,-80.248782,n132,Ramp,,,,
Ramp_02_002,133,40.494903,-80.249271,n133,Ramp,,,,
Ramp_02_003,134,40.493974,-80.250708,n134,Ramp,,,,
Ramp_02_004,135,40.49297,-80.249944,n135,Ramp,,,,
Ramp_02_005,136,40.492478,-80.248312,n136,Ramp,,,,
Ramp_02_006,137,40.493137,-80.247395,n137,Ramp,,,,
Ramp_02_007,138,40.493471,-80.246914,n138,Ramp,,,,
Ramp_02_008,139,40.494278,-80.246148,n139,Ramp,,,,
Ramp_02_009,140,40.493689,-80.246295,n140,Ramp,,,,
Ramp_03_001,141,40.493593,-80.245756,n141,Ramp,,,,
Ramp_03_002,142,40.493347,-80.245258,n142,Ramp,,,,
Ramp_03_003,143,40.493063,-80.244906,n143,Ramp,,,,
Ramp_03_004,144,40.492772,-80.244551,n144,Ramp,,,,
Ramp_03_005,145,40.49248,-80.244191,n145,Ramp,,,,
Ramp_03_006,146,40.492148,-80.243252,n146,Ramp,,,,
Ramp_03_007,147,40.492133,-80.242749,n147,Ramp,,,,
Ramp_03_008,148,40.492114,-80.242186,n148,Ramp,,,,
Ramp_03_009,149,40.492101,-80.241608,n149,Ramp,,,,
Ramp_03_010,150,40.492076,-80.240739,n150,Ramp,,,,
Ramp_03_011,151,40.492896,-80.240706,n151,Ramp,,,,
Ramp_03_012,152,40.49352,-80.240677,n152,Ramp,,,,
Ramp_03_013,153,40.49412,-80.240663,n153,Ramp,,,,
Ramp_03_014,154,40.494142,-80.241544,n154,Ramp,,,,
Ramp_03_015,155,40.494153,-80.242082,n155,Ramp,,,,
Ramp_03_016,156,40.494207,-80.242612,n156,Ramp,,,,
Ramp_03_017,157,40.494396,-80.242857,n157,Ramp,,,,
Ramp_03_018,158,40.494668,-80.243198,n158,Ramp,,,,
Ramp_03_019,159,40.494927,-80.24352,n159,Ramp,,,,
Ramp_03_020,160,40.495219,-80.243869,n160,Ramp,,,,
Ramp_03_021,161,40.495703,-80.244056,n161,Ramp,,,,
Ramp_03_022,162,40.495716,-80.244568,n162,Ramp,,,,
Ramp_04_001,163,40.496129,-80.243796,n163,Ramp,,,,
Ramp_05_001,164,40.496377,-80.243441,n164,Ramp,,,,
Ramp_05_002,165,40.496633,-80.24309,n165,Ramp,,,,
Ramp_05_003,166,40.496863,-80.242764,n166,Ramp,,,,
Ramp_05_004,167,40.497008,-80.242486,n167,Ramp,,,,
Ramp_05_005,168,40.497075,-80.242102,n168,Ramp,,,,
Ramp_05_006,169,40.497062,-80.241614,n169,Ramp,,,,
Ramp_05_007,170,40.497666,-80.240461,n170,Ramp,,,,
Ramp_05_008,171,40.497891,-80.240455,n171,Ramp,,,,
Ramp_05_009,172,40.498093,-80.240445,n172,Ramp,,,,
Ramp_05_010,173,40.49906,-80.240387,n173,Ramp,,,,
Ramp_05_011,174,40.499089,-80.241502,n174,Ramp,,,,
Ramp_05_012,175,40.499092,-80.241848,n175,Ramp,,,,
Ramp_05_013,176,40.499108,-80.242469,n176,Ramp,,,,
Ramp_05_014,177,40.499132,-80.243346,n177,Ramp,,,,
Ramp_05_015,178,40.49884,-80.243948,n178,Ramp,,,,
Ramp_05_016,179,40.498598,-80.244281,n179,Ramp,,,,
Ramp_05_017,180,40.498322,-80.24466,n180,Ramp,,,,
Ramp_05_018,181,40.498079,-80.244999,n181,Ramp,,,,
Ramp_05_019,182,40.497862,-80.245387,n182,Ramp,,,,
Ramp_05_020,183,40.497262,-80.245981,n183,Ramp,,,,
Txy_F_001,184,40.487516,-80.251709,n184,Txy,,,,
Txy_F_002,185,40.488063,-80.251657,n185,Txy,,,,
Txy_F_003,186,40.488343,-80.251193,n186,Txy,,,,
Txy_F_004,187,40.488282,-80.248212,n187,Txy,,,,
Txy_F_W,188,40.488267,-80.247624,n188,Txy,,,,
Txy_F_006,189,40.488072,-80.240098,n189,Txy,,,,
Txy_F_007,190,40.488031,-80.238558,n190,Txy,,,,
Txy_F_008,191,40.48789,-80.233238,n191,Txy,,,,
Txy_F_009,192,40.487763,-80.227963,n192,Txy,,,,
Txy_F_010,193,40.487722,-80.226475,n193,Txy,,,,
