n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,43.638545,-70.3007048,Rwy_01_002,1,43.6412159,-70.3018098
Rwy_01_02,6,43.6443158,-70.303104,Rwy_01_002,1,43.6412159,-70.3018098
Rwy_01_003,2,43.6454648,-70.3035801,Rwy_01_02,6,43.6443158,-70.303104
Rwy_01_003,2,43.6454648,-70.3035801,Rwy_01_004,3,43.6480384,-70.304649
Rwy_01_004,3,43.6480384,-70.304649,Rwy_01_005,4,43.6518539,-70.3062368
Rwy_01_005,4,43.6518539,-70.3062368,Rwy_01_006,5,43.6544156,-70.3073044
Rwy_01_006,5,43.6544156,-70.3073044,Txy_C_005,16,43.6538319,-70.3084312
Txy_C_006,17,43.6541114,-70.3082488,Txy_C_005,16,43.6538319,-70.3084312
Txy_C_J,15,43.6516118,-70.3073476,Txy_C_005,16,43.6538319,-70.3084312
Rwy_01_005,4,43.6518539,-70.3062368,Txy_C_J,15,43.6516118,-70.3073476
Txy_C_004,14,43.6512547,-70.3071867,Txy_C_J,15,43.6516118,-70.3073476
Txy_C_004,14,43.6512547,-70.3071867,Txy_C_G,13,43.6477031,-70.307015
Rwy_01_004,3,43.6480384,-70.304649,Txy_C_G,13,43.6477031,-70.307015
Txy_C_G,13,43.6477031,-70.307015,Txy_C_A,12,43.6456841,-70.3069449
Rwy_01_003,2,43.6454648,-70.3035801,Txy_C_A,12,43.6456841,-70.3069449
Rwy_01_004,3,43.6480384,-70.304649,Txy_G_001,18,43.6482636,-70.3028594
Txy_G_001,18,43.6482636,-70.3028594,Txy_G_002,19,43.6483567,-70.3022049
Parking_01_001,20,43.649001,-70.3030578,Txy_G_001,18,43.6482636,-70.3028594
Parking_01_002,21,43.6491097,-70.3024087,Txy_G_002,19,43.6483567,-70.3022049
Txy_C_001,7,43.6383917,-70.3014357,Rwy_01_001,0,43.638545,-70.3007048
Txy_C_001,7,43.6383917,-70.3014357,Txy_C_002,8,43.6387353,-70.3019748
Txy_C_B,9,43.6409831,-70.3029002,Txy_C_002,8,43.6387353,-70.3019748
Txy_C_B,9,43.6409831,-70.3029002,Txy_C_003,22,43.6416328,-70.303468
Txy_C_003,22,43.6416328,-70.303468,Txy_C_Z,10,43.6421865,-70.3059311
