n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Gate_02_039,83,32.734159,-117.203528,Ramp_01_006,200,32.734111,-117.202692
Txy_D_017,164,32.734101,-117.183627,Txy_D_016,170,32.734354,-117.183839
Ramp_04_003,242,32.733745,-117.205582,Gate_02_049,237,32.732527,-117.206064
Parking_04_014,149,32.734975,-117.186729,Txy_C_008,175,32.734068,-117.187042
Gate_01_011,108,32.733671,-117.197965,Txy_B_004,25,32.733946,-117.196967
Parking_04_017,152,32.734647,-117.185374,Txy_C_005,172,32.733738,-117.185678
Txy_D_008,63,32.736227,-117.185451,Gate_04_008,144,32.736161,-117.186244
Txy_D_011,66,32.737099,-117.186177,Txy_D_010,65,32.736654,-117.185809
Ramp_02_004,215,32.734375,-117.199576,Txy_B_002,23,32.734567,-117.199513
Txy_C_002,168,32.732135,-117.179507,Txy_C_003,169,32.732478,-117.180922
Ramp_04_004,243,32.733312,-117.206622,Gate_02_051,239,32.732486,-117.207218
Txy_D_008,63,32.736227,-117.185451,Txy_D_006,61,32.735806,-117.185072
Txy_C4_001,34,32.734839,-117.190245,Txy_B4_002,33,32.73455,-117.190828
Parking_04_011,146,32.735308,-117.188085,Txy_C_010,177,32.734399,-117.188394
Ramp_03_007,188,32.731891,-117.190931,Ramp_03_006,186,32.732226,-117.190766
Txy_D_019,166,32.73369,-117.183286,Txy_D_018,165,32.733897,-117.183459
Txy_B_B4,37,32.733076,-117.19193,Txy_B_009,35,32.732742,-117.190556
Gate_03_009,128,32.730532,-117.19103,Ramp_03_012,193,32.730908,-117.191197
Ramp_01_012,205,32.735014,-117.201395,Ramp_01_011,204,32.735118,-117.201795
Rwy_01_008,6,32.733244,-117.188349,Rwy_01_009,7,32.73231,-117.184506
Gate_02_024,98,32.732943,-117.200915,Ramp_01_016,210,32.733092,-117.200006
Txy_C_005,172,32.733738,-117.185678,Txy_C_006,173,32.733846,-117.186119
Ramp_03_002,183,32.733038,-117.193222,Ramp_03_003,184,32.732936,-117.192808
Ramp_01_005,199,32.734421,-117.202585,Ramp_01_004,198,32.734956,-117.202402
Gate_03_007,126,32.732039,-117.19136,Ramp_03_007,188,32.731891,-117.190931
Txy_B1_002,55,32.729536,-117.177331,Txy_B1_008,78,32.729458,-117.177019
Ramp_02_007,217,32.73313,-117.197244,Ramp_02_009,220,32.733514,-117.197115
Gate_01_015,104,32.733252,-117.198905,Ramp_02_003,214,32.733818,-117.199764
Txy_B_009,35,32.732742,-117.190556,Txy_B_010,36,32.732464,-117.190649
Rwy_01_011,9,32.731593,-117.181542,Txy_D_002,57,32.730692,-117.180785
Ramp_02_013,224,32.732788,-117.194488,Ramp_02_014,225,32.7321,-117.194923
Txy_D_015,70,32.737749,-117.18672,Txy_D_014,68,32.73757,-117.18657
Gate_04_007,137,32.736582,-117.186594,Txy_D_010,65,32.736654,-117.185809
Txy_C_D,48,32.73289,-117.18262,Txy_C_003,169,32.732478,-117.180922
Ramp_01_013,206,32.734773,-117.200381,Ramp_01_012,205,32.735014,-117.201395
Rwy_01_018,76,32.73015,-117.175586,Rwy_01_014,12,32.730289,-117.176216
Ramp_01_014,209,32.734136,-117.199656,Ramp_02_003,214,32.733818,-117.199764
