id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,29.5234023,-98.469755,n0,Rwy,RW04 ,Entry,RW22 ,End
Rwy_01_002,1,29.5242565,-98.4689182,n1,Rwy,,,,
Rwy_01_003,2,29.5256428,-98.4675664,n2,Rwy,,,,
Rwy_01_004,3,29.526539,-98.4666705,n3,Rwy,,,,
Rwy_01_02,4,29.5274165,-98.4658068,n4,Rwy,RW31L,Entry,RW13R,End
Rwy_01_005,5,29.5303151,-98.462953,n5,Rwy,,,,
Rwy_01_006,6,29.5323128,-98.4609788,n6,Rwy,,,,
Rwy_01_007,7,29.5339651,-98.4593373,n7,Rwy,,,,
Rwy_01_008,8,29.5367655,-98.4565908,n8,Rwy,,,,
Rwy_01_009,9,29.5401865,-98.4532112,n9,Rwy,,,,
Rwy_01_010,10,29.5408679,-98.4525406,n10,Rwy,RW22 ,Entry,RW04 ,End
Rwy_02_001,11,29.5282567,-98.4668797,n11,Rwy,,,,
Rwy_02_002,12,29.5287328,-98.4675127,n12,Rwy,,,,
Rwy_02_003,13,29.5309359,-98.4703237,n13,Rwy,,,,
Rwy_02_004,14,29.5331296,-98.4731775,n14,Rwy,,,,
Rwy_02_005,15,29.5344178,-98.4748298,n15,Rwy,,,,
Rwy_02_006,16,29.5370315,-98.4781879,n16,Rwy,,,,
Rwy_02_007,17,29.538217,-98.4796899,n17,Rwy,,,,
Rwy_02_008,18,29.5396545,-98.4815246,n18,Rwy,,,,
Rwy_02_009,19,29.5420067,-98.4845823,n19,Rwy,,,,
Rwy_02_010,20,29.5426694,-98.4854299,n20,Rwy,RW13R,Entry,RW31L,End
Rwy_03_001,21,29.5303084,-98.4648345,n21,Rwy,RW31R,Entry,RW13L,End
Rwy_03_002,22,29.5329642,-98.4682624,n22,Rwy,,,,
Rwy_03_003,23,29.5347565,-98.4705691,n23,Rwy,,,,
Rwy_03_004,24,29.5364601,-98.4727524,n24,Rwy,,,,
Rwy_03_005,25,29.5376642,-98.4743027,n25,Rwy,,,,
Rwy_03_006,26,29.5402591,-98.477634,n26,Rwy,RW13L,Entry,RW31R,End
Txy_N1_N,27,29.5240654,-98.4707685,n27,Txy,,,,
Txy_N2_N,28,29.5249989,-98.4698458,n28,Txy,,,,
Txy_N3_N,29,29.5263433,-98.4685354,n29,Txy,,,,
Txy_G_N,30,29.5273562,-98.4677254,n30,Txy,,,,
Txy_N9_N,31,29.5236426,-98.4712727,n31,Txy,,,,
Txy_N10_N,32,29.5244969,-98.4703393,n32,Txy,,,,
Txy_N11_N,33,29.5254538,-98.4694113,n33,Txy,,,,
Txy_N12_N,34,29.5259625,-98.4689017,n34,Txy,,,,
Txy_F_001,35,29.522016,-98.4677155,n35,Txy,,,,
