id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_B_004,0,38.183394,-85.741484,n0,Gate,,,,
Gate_B_006,1,38.18297,-85.741488,n1,Gate,,,,
Gate_B_002,2,38.183765,-85.741331,n2,Gate,,,,
Gate_B_018,3,38.181937,-85.74181,n3,Gate,,,,
Gate_B_017,4,38.181935,-85.741559,n4,Gate,,,,
Gate_B_015,5,38.182119,-85.741263,n5,Gate,,,,
Gate_B_011,6,38.182343,-85.740939,n6,Gate,,,,
Gate_B_009,7,38.182671,-85.740851,n7,Gate,,,,
Gate_A_010,8,38.183203,-85.73875,n8,Gate,,,,
Gate_B_016,9,38.182126,-85.742171,n9,Gate,,,,
Gate_A_012,10,38.183469,-85.738336,n10,Gate,,,,
Gate_A_014,11,38.183849,-85.73839,n11,Gate,,,,
Gate_A_011,12,38.184045,-85.738824,n12,Gate,,,,
Gate_A_009,13,38.183906,-85.739177,n13,Gate,,,,
Gate_A_005,14,38.184028,-85.739572,n14,Gate,,,,
Gate_A_003,15,38.184044,-85.740051,n15,Gate,,,,
Gate_A_001,16,38.184206,-85.740508,n16,Gate,,,,
Gate_03_001,17,38.172192,-85.73683,n17,Gate,,,,
Gate_03_002,18,38.172342,-85.73742,n18,Gate,,,,
Gate_03_003,19,38.172506,-85.738019,n19,Gate,,,,
Gate_03_004,20,38.172678,-85.738567,n20,Gate,,,,
Gate_03_005,21,38.17286,-85.739168,n21,Gate,,,,
Gate_03_006,22,38.173043,-85.739766,n22,Gate,,,,
Gate_03_007,23,38.173214,-85.740337,n23,Gate,,,,
Gate_03_008,24,38.171681,-85.738727,n24,Gate,,,,
Gate_03_009,25,38.171507,-85.738133,n25,Gate,,,,
Gate_03_010,26,38.171331,-85.737536,n26,Gate,,,,
Gate_03_011,27,38.171146,-85.736889,n27,Gate,,,,
Gate_03_012,28,38.170976,-85.736363,n28,Gate,,,,
Gate_03_013,29,38.170782,-85.735808,n29,Gate,,,,
Gate_05_002,30,38.169363,-85.736421,n30,Gate,,,,
Gate_05_003,31,38.169541,-85.737026,n31,Gate,,,,
Gate_05_004,32,38.16972,-85.737579,n32,Gate,,,,
Gate_05_005,33,38.169913,-85.738201,n33,Gate,,,,
Gate_05_006,34,38.170082,-85.738741,n34,Gate,,,,
Gate_05_007,35,38.170267,-85.739355,n35,Gate,,,,
Gate_05_008,36,38.168941,-85.738402,n36,Gate,,,,
Gate_05_009,37,38.168768,-85.737823,n37,Gate,,,,
Gate_05_010,38,38.168585,-85.737245,n38,Gate,,,,
Gate_05_011,39,38.168411,-85.736651,n39,Gate,,,,
Gate_05_012,40,38.168239,-85.736071,n40,Gate,,,,
Gate_05_013,41,38.168053,-85.735488,n41,Gate,,,,
Gate_07_001,42,38.16637,-85.735524,n42,Gate,,,,
Gate_07_002,43,38.166554,-85.736085,n43,Gate,,,,
Gate_07_003,44,38.166781,-85.736701,n44,Gate,,,,
Gate_07_004,45,38.166944,-85.737262,n45,Gate,,,,
Gate_07_005,46,38.167123,-85.737869,n46,Gate,,,,
Gate_07_006,47,38.167299,-85.738442,n47,Gate,,,,
Gate_07_007,48,38.165999,-85.7376,n48,Gate,,,,
Gate_07_008,49,38.165808,-85.737038,n49,Gate,,,,
Gate_07_009,50,38.165628,-85.736407,n50,Gate,,,,
Gate_07_010,51,38.165478,-85.735801,n51,Gate,,,,
Gate_07_011,52,38.165312,-85.735233,n52,Gate,,,,
Rwy_01_001,53,38.158314,-85.739289,n53,Rwy,RW35L,Entry,RW17R,End
Rwy_01_003,54,38.159095,-85.73955,n54,Rwy,,,,
Rwy_01_004,55,38.16323,-85.740929,n55,Rwy,,,,
Rwy_01_006,56,38.166359,-85.741978,n56,Rwy,,,,
Rwy_01_008,57,38.169191,-85.742903,n57,Rwy,,,,
Rwy_01_010,58,38.173111,-85.744185,n58,Rwy,,,,
Rwy_01_012,59,38.175796,-85.745076,n59,Rwy,,,,
Rwy_01_014,60,38.178649,-85.746027,n60,Rwy,,,,
Rwy_01_03,61,38.17995,-85.746442,n61,Rwy,,,,
Rwy_01_016,62,38.180822,-85.746743,n62,Rwy,RW11 ,Entry,RW29 ,End
Rwy_01_017,63,38.183882,-85.747737,n63,Rwy,,,,
Rwy_01_018,64,38.184615,-85.747981,n64,Rwy,RW17R,Entry,RW35L,End
Rwy_02_001,65,38.164683,-85.723615,n65,Rwy,,,,
Rwy_02_002,66,38.16584,-85.724026,n66,Rwy,RW35R,Entry,RW17L,End
Rwy_02_003,67,38.169726,-85.72534,n67,Rwy,,,,
Rwy_02_004,68,38.172654,-85.726326,n68,Rwy,,,,
Rwy_02_03,69,38.173989,-85.726796,n69,Rwy,,,,
Rwy_02_007,70,38.175274,-85.727228,n70,Rwy,,,,
Rwy_02_009,71,38.177817,-85.728108,n71,Rwy,,,,
Rwy_02_011,72,38.180773,-85.729109,n72,Rwy,,,,
Rwy_02_013,73,38.182484,-85.729691,n73,Rwy,,,,
Rwy_02_014,74,38.183712,-85.730118,n74,Rwy,,,,
Rwy_02_015,75,38.186263,-85.730983,n75,Rwy,RW17L,Entry,RW35R,End
Rwy_02_016,76,38.187186,-85.731299,n76,Rwy,,,,
Rwy_03_002,77,38.179414,-85.744663,n77,Rwy,,,,
Rwy_03_003,78,38.17908,-85.743592,n78,Rwy,,,,
Rwy_03_004,79,38.178834,-85.742775,n79,Rwy,,,,
Rwy_03_005,80,38.177838,-85.739485,n80,Rwy,,,,
Rwy_03_006,81,38.176833,-85.736214,n81,Rwy,,,,
Rwy_03_007,82,38.176046,-85.73363,n82,Rwy,,,,
Rwy_03_008,83,38.175375,-85.731428,n83,Rwy,,,,
Rwy_03_009,84,38.174503,-85.728592,n84,Rwy,,,,
Rwy_03_010,85,38.173111,-85.723942,n85,Rwy,RW29 ,Entry,RW11 ,End
Txy_B_001,86,38.158471,-85.738342,n86,Txy,,,,
Txy_B_002,87,38.158592,-85.737769,n87,Txy,,,,
Txy_B_003,88,38.159373,-85.738031,n88,Txy,,,,
Txy_B1_001,89,38.159268,-85.738603,n89,Txy,,,,
Txy_B2_001,90,38.163418,-85.739984,n90,Txy,,,,
Txy_B_005,91,38.16352,-85.739429,n91,Txy,,,,
Txy_B_B3,92,38.16558,-85.740102,n92,Txy,,,,
Txy_B3_001,93,38.166149,-85.740649,n93,Txy,,,,
Txy_B_007,94,38.166577,-85.740431,n94,Txy,,,,
Txy_B4_001,95,38.168725,-85.741594,n95,Txy,,,,
Txy_B_B4,96,38.168427,-85.741032,n96,Txy,,,,
Txy_B_B5,97,38.174097,-85.7429,n97,Txy,,,,
Txy_B_B6,98,38.17647,-85.743692,n98,Txy,,,,
Txy_B_014,99,38.178471,-85.744345,n99,Txy,,,,
Txy_B_017,100,38.184165,-85.746232,n100,Txy,,,,
Txy_B_018,101,38.184749,-85.746419,n101,Txy,,,,
Txy_B_019,102,38.184808,-85.747055,n102,Txy,,,,
Txy_B7_001,103,38.184063,-85.746802,n103,Txy,,,,
Txy_G_001,104,38.180916,-85.745705,n104,Txy,,,,
Txy_B_G,105,38.180726,-85.745098,n105,Txy,,,,
Txy_B_109,106,38.171142,-85.741932,n106,Txy,,,,
Txy_C_001,107,38.158752,-85.736949,n107,Txy,,,,
Txy_C_002,108,38.165756,-85.739184,n108,Txy,,,,
Txy_C_102,109,38.165203,-85.739001,n109,Txy,,,,
Txy_C_004,110,38.168599,-85.740127,n110,Txy,,,,
Txy_C_006,111,38.17131,-85.741027,n111,Txy,,,,
Txy_C_008,112,38.174278,-85.742002,n112,Txy,,,,
Txy_C_010,113,38.17664,-85.742783,n113,Txy,,,,
Txy_C_F,114,38.177762,-85.743148,n114,Txy,,,,
Txy_C_012,115,38.178146,-85.743283,n115,Txy,,,,
Txy_C_013,116,38.179991,-85.743886,n116,Txy,,,,
Txy_C_G,117,38.180393,-85.744002,n117,Txy,,,,
Parking_06_001,118,38.16965,-85.729362,n118,Park,,,,
Parking_06_002,119,38.169892,-85.730049,n119,Park,,,,
Parking_06_003,120,38.17008,-85.730707,n120,Park,,,,
Parking_06_004,121,38.170307,-85.731352,n121,Park,,,,
Parking_06_005,122,38.170473,-85.732018,n122,Park,,,,
Parking_06_006,123,38.169163,-85.731569,n123,Park,,,,
Parking_06_007,124,38.168985,-85.730906,n124,Park,,,,
Parking_06_008,125,38.168798,-85.730296,n125,Park,,,,
Parking_06_009,126,38.168631,-85.7297,n126,Park,,,,
Parking_06_010,127,38.168409,-85.729015,n127,Park,,,,
Parking_06_011,128,38.168211,-85.728392,n128,Park,,,,
Parking_09_001,129,38.164444,-85.733806,n129,Park,,,,
Parking_09_002,130,38.164252,-85.733099,n130,Park,,,,
Parking_09_003,131,38.164117,-85.732482,n131,Park,,,,
Parking_09_004,132,38.163914,-85.731899,n132,Park,,,,
Parking_09_005,133,38.163725,-85.731289,n133,Park,,,,
Parking_09_006,134,38.163786,-85.734801,n134,Park,,,,
Parking_09_007,135,38.163661,-85.734241,n135,Park,,,,
Parking_09_008,136,38.163527,-85.73386,n136,Park,,,,
Parking_09_009,137,38.163358,-85.733323,n137,Park,,,,
Parking_09_010,138,38.163192,-85.732756,n138,Park,,,,
Parking_09_011,139,38.162575,-85.730878,n139,Park,,,,
Parking_09_012,140,38.162392,-85.730282,n140,Park,,,,
Parking_09_013,141,38.162214,-85.729717,n141,Park,,,,
Parking_09_014,142,38.163076,-85.727904,n142,Park,,,,
Parking_09_015,143,38.162937,-85.727276,n143,Park,,,,
Parking_09_016,144,38.162803,-85.726688,n144,Park,,,,
Parking_09_017,145,38.162045,-85.725985,n145,Park,,,,
Parking_09_018,146,38.161325,-85.725955,n146,Park,,,,
Parking_09_019,147,38.160906,-85.726114,n147,Park,,,,
Parking_11_001,148,38.163903,-85.735831,n148,Park,,,,
Parking_11_002,149,38.164085,-85.736438,n149,Park,,,,
Parking_11_003,150,38.16421,-85.737159,n150,Park,,,,
Parking_11_004,151,38.163331,-85.736516,n151,Park,,,,
Parking_11_005,152,38.16259,-85.736652,n152,Park,,,,
Parking_11_006,153,38.161363,-85.736959,n153,Park,,,,
Parking_11_007,154,38.160558,-85.736876,n154,Park,,,,
Parking_11_008,155,38.159815,-85.736575,n155,Park,,,,
Parking_11_009,156,38.159102,-85.736358,n156,Park,,,,
Txy_N_001,157,38.176068,-85.736414,n157,Txy,,,,
Txy_N_002,158,38.177601,-85.736043,n158,Txy,,,,
Txy_N_G,159,38.177936,-85.735953,n159,Txy,,,,
Txy_N_H,160,38.18146,-85.735109,n160,Txy,,,,
Txy_N_003,161,38.183604,-85.734565,n161,Txy,,,,
Txy_N_004,162,38.186586,-85.733864,n162,Txy,,,,
Txy_P_001,163,38.175284,-85.733821,n163,Txy,,,,
Txy_P_002,164,38.17686,-85.73341,n164,Txy,,,,
Txy_P_003,165,38.177722,-85.733262,n165,Txy,,,,
Txy_P_004,166,38.179665,-85.733665,n166,Txy,,,,
Txy_P_005,167,38.183568,-85.732723,n167,Txy,,,,
Txy_P_006,168,38.185523,-85.733306,n168,Txy,,,,
Txy_D_001,169,38.164468,-85.724589,n169,Txy,,,,
Txy_D_002,170,38.164694,-85.725243,n170,Txy,,,,
Txy_D_003,171,38.16552,-85.725516,n171,Txy,,,,
Txy_D_004,172,38.168238,-85.72645,n172,Txy,,,,
Txy_D_005,173,38.170991,-85.727393,n173,Txy,,,,
Txy_D_F,174,38.173202,-85.728169,n174,Txy,,,,
Txy_D_G,175,38.175838,-85.729055,n175,Txy,,,,
Txy_D_007,176,38.180909,-85.730777,n176,Txy,,,,
Txy_D_008,177,38.183542,-85.731663,n177,Txy,,,,
Txy_D_009,178,38.186192,-85.732586,n178,Txy,,,,
Txy_D_D6,179,38.186781,-85.732777,n179,Txy,,,,
Txy_D6_001,180,38.186286,-85.732017,n180,Txy,,,,
Txy_D_010,181,38.18699,-85.732256,n181,Txy,,,,
Txy_G_M,182,38.179865,-85.742193,n182,Txy,,,,
Txy_G_P,183,38.177137,-85.733355,n183,Txy,,,,
Txy_G_002,184,38.176258,-85.730436,n184,Txy,,,,
Txy_G_003,185,38.174928,-85.726093,n185,Txy,,,,
Txy_G_004,186,38.174738,-85.725456,n186,Txy,,,,
Txy_G_005,187,38.17437,-85.724251,n187,Txy,,,,
Txy_G_006,188,38.174114,-85.723664,n188,Txy,,,,
Txy_G_007,189,38.173854,-85.72355,n189,Txy,,,,
Txy_F_002,190,38.178313,-85.744912,n190,Txy,,,,
Txy_F_B,191,38.178106,-85.744236,n191,Txy,,,,
Txy_F_003,192,38.175739,-85.736488,n192,Txy,,,,
Txy_F_004,193,38.174948,-85.733908,n193,Txy,,,,
Txy_F_005,194,38.172298,-85.725187,n194,Txy,,,,
Txy_F_006,195,38.172358,-85.724283,n195,Txy,,,,
Txy_D1_001,196,38.165628,-85.724971,n196,Txy,,,,
Txy_D2_001,197,38.168614,-85.725973,n197,Txy,,,,
Txy_D3_001,198,38.171295,-85.726895,n198,Txy,,,,
Txy_F_105,199,38.172997,-85.727473,n199,Txy,,,,
Txy_D4_001,200,38.180832,-85.73016,n200,Txy,,,,
Txy_D5_001,201,38.183486,-85.731061,n201,Txy,,,,
Txy_E_001,202,38.17613,-85.725907,n202,Txy,,,,
Txy_E_002,203,38.178103,-85.726572,n203,Txy,,,,
Txy_E_003,204,38.179417,-85.727027,n204,Txy,,,,
Txy_E_004,205,38.182027,-85.727897,n205,Txy,,,,
Txy_E_005,206,38.182867,-85.72781,n206,Txy,,,,
Txy_E_006,207,38.183228,-85.72783,n207,Txy,,,,
Txy_E_007,208,38.184078,-85.728081,n208,Txy,,,,
Txy_E_008,209,38.186613,-85.728945,n209,Txy,,,,
Txy_E_009,210,38.186481,-85.730053,n210,Txy,,,,
Txy_E3_001,211,38.177995,-85.727162,n211,Txy,,,,
Txy_E4_001,212,38.182655,-85.728736,n212,Txy,,,,
Txy_L_M,213,38.180244,-85.741894,n213,Txy,,,,
Txy_L_H,214,38.182874,-85.73615,n214,Txy,,,,
Txy_M_001,215,38.179218,-85.741178,n215,Txy,,,,
Txy_M_002,216,38.180966,-85.742218,n216,Txy,,,,
Txy_H_001,217,38.183491,-85.736598,n217,Txy,,,,
Txy_H_K,218,38.185135,-85.737827,n218,Txy,,,,
Txy_K_001,219,38.186636,-85.734496,n219,Txy,,,,
Txy_B6_001,220,38.176404,-85.744039,n220,Txy,,,,
Txy_B5_001,221,38.173803,-85.743221,n221,Txy,,,,
Txy_M_003,222,38.182378,-85.743596,n222,Txy,,,,
Parking_12_001,223,38.18339,-85.745096,n223,Park,,,,
Parking_12_002,224,38.182294,-85.744778,n224,Park,,,,
Parking_13_001,225,38.183806,-85.726426,n225,Park,,,,
Parking_13_002,226,38.184138,-85.725075,n226,Park,,,,
Parking_13_004,227,38.183224,-85.726221,n227,Park,,,,
Parking_13_003,228,38.183399,-85.725213,n228,Park,,,,
Ramp_13_001,229,38.183539,-85.726328,n229,Ramp,,,,
Ramp_13_002,230,38.18382,-85.725031,n230,Ramp,,,,
Parking_13_005,231,38.182129,-85.726992,n231,Park,,,,
Parking_13_006,232,38.182215,-85.724838,n232,Park,,,,
Parking_13_007,233,38.182505,-85.724262,n233,Park,,,,
Parking_13_008,234,38.181652,-85.72465,n234,Park,,,,
Parking_13_009,235,38.181685,-85.724044,n235,Park,,,,
Ramp_13_006,236,38.182481,-85.724593,n236,Ramp,,,,
Txy_E_104,237,38.182444,-85.727901,n237,Txy,,,,
Ramp_12_002,238,38.18261,-85.727135,n238,Ramp,,,,
Txy_E4_003,239,38.183108,-85.724807,n239,Txy,,,,
Ramp_01_005,240,38.181472,-85.74167,n240,Ramp,,,,
Ramp_01_001,241,38.184186,-85.742145,n241,Ramp,,,,
Ramp_01_002,242,38.183505,-85.742411,n242,Ramp,,,,
Ramp_01_003,243,38.182884,-85.742951,n243,Ramp,,,,
Ramp_01_004,244,38.181742,-85.741055,n244,Ramp,,,,
Ramp_01_006,245,38.182406,-85.740079,n245,Ramp,,,,
Ramp_01_012,246,38.182798,-85.739034,n246,Ramp,,,,
