n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_02_013,73,38.182484,-85.729691,Rwy_02_011,72,38.180773,-85.729109
Txy_B_109,106,38.171142,-85.741932,Txy_C_006,111,38.17131,-85.741027
Txy_B6_001,220,38.176404,-85.744039,Txy_B_B6,98,38.17647,-85.743692
Ramp_06_003,290,38.169253,-85.729836,Ramp_06_004,291,38.169493,-85.730608
Ramp_09_002,282,38.162129,-85.72762,Parking_09_016,144,38.162803,-85.726688
Ramp_05_001,265,38.168208,-85.738716,Txy_C_004,110,38.168599,-85.740127
Txy_B_014,99,38.178471,-85.744345,Txy_F_B,191,38.178106,-85.744236
Ramp_06_003,290,38.169253,-85.729836,Parking_06_009,126,38.168631,-85.7297
Ramp_09_001,281,38.161527,-85.726678,Ramp_09_002,282,38.162129,-85.72762
Ramp_01_016,250,38.18448,-85.739405,Ramp_01_015,249,38.184371,-85.738885
Ramp_03_007,252,38.174162,-85.740684,Gate_03_007,23,38.173214,-85.740337
Txy_B_002,87,38.158592,-85.737769,Txy_C_001,107,38.158752,-85.736949
Txy_D2_001,197,38.168614,-85.725973,Txy_D_004,172,38.168238,-85.72645
Txy_B_B6,98,38.17647,-85.743692,Txy_B_B5,97,38.174097,-85.7429
Rwy_03_009,84,38.174503,-85.728592,Rwy_02_03,69,38.173989,-85.726796
Ramp_07_003,273,38.164823,-85.736827,Ramp_07_004,274,38.164668,-85.736143
Txy_B_014,99,38.178471,-85.744345,Rwy_03_002,77,38.179414,-85.744663
Ramp_09_005b,295,38.163308,-85.731609,Ramp_09_003,283,38.162825,-85.729897
Ramp_03_003,256,38.173277,-85.737814,Gate_03_003,19,38.172506,-85.738019
Ramp_13_006,236,38.182481,-85.724593,Ramp_13_008,294,38.181969,-85.724463
Ramp_03_002,257,38.173091,-85.737241,Gate_03_002,18,38.172342,-85.73742
Ramp_06_004,291,38.169493,-85.730608,Parking_06_008,125,38.168798,-85.730296
Ramp_07_004,274,38.164668,-85.736143,Ramp_07_005,275,38.164513,-85.735564
Ramp_05_006,270,38.16733,-85.735842,Gate_05_013,41,38.168053,-85.735488
Txy_M_002,216,38.180966,-85.742218,Txy_L_M,213,38.180244,-85.741894
Ramp_13_006,236,38.182481,-85.724593,Parking_13_006,232,38.182215,-85.724838
Ramp_09_007,287,38.164131,-85.734284,Parking_09_006,134,38.163786,-85.734801
Rwy_01_016,62,38.180822,-85.746743,Txy_G_001,104,38.180916,-85.745705
Ramp_03_005,254,38.173666,-85.739083,Ramp_03_006,253,38.173881,-85.739766
Txy_C_006,111,38.17131,-85.741027,Txy_C_004,110,38.168599,-85.740127
Txy_B_G,105,38.180726,-85.745098,Txy_C_G,117,38.180393,-85.744002
Ramp_05_004,268,38.167699,-85.737038,Gate_07_003,44,38.166781,-85.736701
Rwy_02_014,74,38.183712,-85.730118,Txy_D5_001,201,38.183486,-85.731061
Gate_07_010,51,38.165478,-85.735801,Ramp_07_004,274,38.164668,-85.736143
Ramp_01_003,243,38.182884,-85.742951,Gate_B_016,9,38.182126,-85.742171
Txy_D6_001,180,38.186286,-85.732017,Rwy_02_015,75,38.186263,-85.730983
Txy_F_002,190,38.178313,-85.744912,Txy_F_B,191,38.178106,-85.744236
Ramp_01_012,246,38.182798,-85.739034,Gate_A_010,8,38.183203,-85.73875
Txy_B6_001,220,38.176404,-85.744039,Rwy_01_012,59,38.175796,-85.745076
Txy_P_003,165,38.177722,-85.733262,Txy_G_P,183,38.177137,-85.733355
Txy_B5_001,221,38.173803,-85.743221,Rwy_01_010,58,38.173111,-85.744185
Ramp_11_001,276,38.163169,-85.737473,Parking_11_005,152,38.16259,-85.736652
Rwy_02_002,66,38.16584,-85.724026,Txy_D1_001,196,38.165628,-85.724971
