id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_A_015,0,37.622362,-122.38848,n0,Txy,,,,
Txy_A_013,1,37.621134,-122.385563,n1,Txy,,,,
Txy_A_011,2,37.620828,-122.384811,n2,Txy,,,,
Txy_A_012,3,37.620983,-122.385199,n3,Txy,,,,
Txy_A_014,4,37.62207,-122.387773,n4,Txy,,,,
Txy_B_003,5,37.623037,-122.388322,n5,Txy,,,,
Txy_B_002,6,37.622719,-122.387571,n6,Txy,,,,
Txy_A_016,7,37.6225,-122.388803,n7,Txy,,,,
Txy_Q1_001,8,37.622628,-122.388095,n8,Txy,,,,
Gate_A_006,9,37.613742,-122.389421,n9,Gate,,,,
Gate_A_008,10,37.613205,-122.389709,n10,Gate,,,,
Gate_A_010,11,37.612634,-122.390099,n11,Gate,,,,
Gate_A_012,12,37.612068,-122.390507,n12,Gate,,,,
Gate_A_11A,13,37.611503,-122.390615,n13,Gate,,,,
Gate_A_011,14,37.61135,-122.390233,n14,Gate,,,,
Gate_A_009,15,37.611238,-122.389726,n15,Gate,,,,
Gate_A_007,16,37.611664,-122.389538,n16,Gate,,,,
Gate_A_005,17,37.612239,-122.389154,n17,Gate,,,,
Gate_B_020,18,37.613826,-122.385473,n18,Gate,,,,
Gate_B_022,19,37.613459,-122.385328,n19,Gate,,,,
Gate_B_24A,20,37.613092,-122.385232,n20,Gate,,,,
Gate_B_24B,21,37.612553,-122.38601,n21,Gate,,,,
Gate_B_039,22,37.612274,-122.386195,n22,Gate,,,,
Gate_B_36B,23,37.612044,-122.38612,n23,Gate,,,,
Gate_B_36A,24,37.611964,-122.385694,n24,Gate,,,,
Gate_B_035,25,37.612042,-122.385397,n25,Gate,,,,
Gate_B_034,26,37.612498,-122.38535,n26,Gate,,,,
Gate_B_038,27,37.612729,-122.384658,n27,Gate,,,,
Gate_B_037,28,37.612306,-122.38396,n28,Gate,,,,
Gate_B_033,29,37.61258,-122.383327,n29,Gate,,,,
Gate_B_032A,30,37.612879,-122.383269,n30,Gate,,,,
Gate_B_32BC,31,37.613174,-122.38336,n31,Gate,,,,
Gate_B_025,32,37.613301,-122.383694,n32,Gate,,,,
Gate_B_031,33,37.613605,-122.384562,n33,Gate,,,,
Gate_B_021,34,37.613988,-122.384784,n34,Gate,,,,
Gate_C_040,35,37.614849,-122.383678,n35,Gate,,,,
Gate_C_042,36,37.614648,-122.383109,n36,Gate,,,,
Gate_C_044,37,37.614373,-122.38264,n37,Gate,,,,
Gate_C_046,38,37.61436,-122.382318,n38,Gate,,,,
Gate_C_048,39,37.614498,-122.382024,n39,Gate,,,,
Gate_C_047,40,37.614869,-122.381848,n40,Gate,,,,
Gate_C_045,41,37.615114,-122.381993,n41,Gate,,,,
Gate_C_043,42,37.615434,-122.38279,n42,Gate,,,,
Gate_D_050,43,37.616897,-122.382162,n43,Gate,,,,
Gate_D_51A,44,37.61669,-122.381722,n44,Gate,,,,
Gate_D_51B,45,37.616491,-122.381278,n45,Gate,,,,
Gate_D_052,46,37.616425,-122.380798,n46,Gate,,,,
Gate_D_053,47,37.616747,-122.380517,n47,Gate,,,,
Gate_D_54A,48,37.617126,-122.380444,n48,Gate,,,,
Gate_D_54B,49,37.617626,-122.38062,n49,Gate,,,,
Gate_D_055,50,37.617878,-122.380716,n50,Gate,,,,
Gate_D_56A,51,37.618247,-122.380863,n51,Gate,,,,
Gate_D_56B,52,37.618536,-122.381655,n52,Gate,,,,
Gate_D_057,53,37.618372,-122.382045,n53,Gate,,,,
Gate_D_58A,54,37.618027,-122.382295,n54,Gate,,,,
Gate_E_060,55,37.618312,-122.384356,n55,Gate,,,,
Gate_E_061,56,37.618606,-122.384019,n56,Gate,,,,
Gate_E_062,57,37.618907,-122.383903,n57,Gate,,,,
Gate_E_063,58,37.619195,-122.383729,n58,Gate,,,,
Gate_E_064,59,37.619505,-122.383674,n59,Gate,,,,
Gate_E_065,60,37.619654,-122.384031,n60,Gate,,,,
Gate_E_066,61,37.61975,-122.384444,n61,Gate,,,,
Gate_E_067,62,37.619494,-122.384663,n62,Gate,,,,
Gate_E_068,63,37.619014,-122.384788,n63,Gate,,,,
Gate_05_010,64,37.61855,-122.385378,n64,Gate,,,,
Gate_01_070,65,37.618739,-122.385887,n65,Gate,,,,
Gate_01_071,66,37.618775,-122.386322,n66,Gate,,,,
Gate_06_003,67,37.618706,-122.386733,n67,Gate,,,,
Gate_06_004,68,37.619763,-122.386869,n68,Gate,,,,
Gate_06_005,69,37.620161,-122.38679,n69,Gate,,,,
Gate_F_77A,70,37.620472,-122.386639,n70,Gate,,,,
Gate_F_077,71,37.620611,-122.386478,n71,Gate,,,,
Gate_F_078,72,37.620922,-122.386609,n72,Gate,,,,
