n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_A_K,201,37.621538,-122.386493,Ramp_06_007,160,37.621178,-122.386665
Ramp_02_008,130,37.612664,-122.382801,Gate_B_032A,30,37.612879,-122.383269
Txy_B_B5,190,37.619995,-122.39358,Txy_B5_001,192,37.620235,-122.392604
Txy_E_V,338,37.625333,-122.373326,Txy_E_005,339,37.627335,-122.372003
Txy_S_001,381,37.627028,-122.392715,Txy_S2_001,382,37.627686,-122.392718
Ramp_07_014,185,37.616716,-122.392221,Gate_G_093,101,37.617519,-122.391675
Txy_S_001,381,37.627028,-122.392715,Txy_S_R,377,37.624912,-122.391662
Rwy_02_003,218,37.607937,-122.379968,Rwy_02_004,232,37.612427,-122.376995
Rwy_02_008,238,37.623728,-122.369511,Rwy_02_009,239,37.625727,-122.368183
Txy_A_013,1,37.621134,-122.385563,Txy_A_K,201,37.621538,-122.386493
Txy_A_D,202,37.620304,-122.383548,Txy_B_D,203,37.620943,-122.383309
Txy_Q1_001,8,37.622628,-122.388095,Txy_B_003,5,37.623037,-122.388322
Txy_L_010,335,37.626617,-122.365662,Txy_L_011,334,37.627363,-122.366067
Txy_K_003,370,37.624312,-122.384651,Rwy_04_012,289,37.624912,-122.384254
Rwy_04_009,367,37.623447,-122.380745,Txy_D_003,369,37.623298,-122.382254
Txy_E_004,336,37.622264,-122.375627,Txy_C_E,337,37.622643,-122.37515
Rwy_04_013,290,37.627146,-122.389574,Rwy_04_014,375,37.627388,-122.390138
Txy_C_015,352,37.627494,-122.386705,Ramp_C_014,445,37.62782,-122.386494
Txy_A_007,277,37.613293,-122.381839,Txy_A_G,207,37.614211,-122.381228
Txy_A_F1,262,37.616819,-122.37956,Txy_B_001,263,37.617629,-122.378639
Txy_C_016,353,37.627902,-122.387683,Txy_C_R,354,37.628361,-122.388779
Txy_C_008,343,37.622305,-122.374344,Txy_C_E,337,37.622643,-122.37515
Txy_L_V,332,37.623084,-122.367985,Txy_L_E,333,37.62539,-122.36647
Txy_H_003,119,37.6113,-122.386285,Ramp_02_005,120,37.611715,-122.387023
Gate_E_068,63,37.619014,-122.384788,Ramp_05_009,154,37.619525,-122.385667
Rwy_04_010,288,37.623907,-122.381865,Txy_D_003,369,37.623298,-122.382254
Ramp_07_007,189,37.619902,-122.392777,Txy_B_B5,190,37.619995,-122.39358
Txy_C_E,337,37.622643,-122.37515,Txy_C_009,344,37.623382,-122.376922
Txy_C_004,311,37.614902,-122.35685,Txy_C_W,309,37.615492,-122.358065
Txy_S2_002,390,37.627696,-122.393865,Txy_S2_003,389,37.628606,-122.395872
Ramp_04_005,139,37.615917,-122.380639,Gate_D_052,46,37.616425,-122.380798
Txy_A1_002,225,37.605168,-122.381816,Rwy_02_001,221,37.606196,-122.381108
Rwy_04_003,283,37.616634,-122.36452,Rwy_04_004,284,37.617672,-122.366945
Rwy_02_007,237,37.621029,-122.371297,Txy_C_006,341,37.621343,-122.372053
Txy_Z_002,384,37.627491,-122.396476,Txy_Z_003,385,37.627857,-122.396641
Txy_M_001,121,37.609809,-122.384786,Txy_M_H,112,37.611136,-122.388118
Txy_Z_006,358,37.630289,-122.396147,Txy_Z_007,392,37.630558,-122.395318
Txy_C_015,352,37.627494,-122.386705,Txy_C_016,353,37.627902,-122.387683
Gate_01_070,65,37.618739,-122.385887,Ramp_05_009,154,37.619525,-122.385667
Txy_F_N,308,37.61484,-122.369498,Txy_P_001,319,37.615231,-122.368556
Txy_C_011,347,37.625332,-122.381561,Ramp_C_011,453,37.625702,-122.38132
Txy_L_011,334,37.627363,-122.366067,Rwy_02_011,241,37.627736,-122.366863
Txy_E_009,420,37.625708,-122.367231,Rwy_02_010,240,37.626029,-122.367985
Ramp_07_009,425,37.619315,-122.39637,Parking_02_001,426,37.62036,-122.396615
Ramp_07_011,182,37.617653,-122.39446,Gate_G_099,98,37.618271,-122.393716
Rwy_01_003,242,37.613391,-122.379289,Rwy_01_004,243,37.616594,-122.377168
Ramp_05_007,152,37.620493,-122.385018,Txy_A_011,2,37.620828,-122.384811
Ramp_01_002,104,37.613061,-122.391093,Ramp_01_001,103,37.613628,-122.390709
Txy_H_001,117,37.611201,-122.387657,Gate_A_005,17,37.612239,-122.389154
Rwy_01_004,243,37.616594,-122.377168,Rwy_01_005,244,37.617619,-122.376487
Txy_C_S,357,37.630341,-122.393736,Txy_Z_S,360,37.630952,-122.393739
Rwy_04_012,289,37.624912,-122.384254,Rwy_04_013,290,37.627146,-122.389574
Txy_Q_002,401,37.624975,-122.387862,Rwy_03_009,296,37.624469,-122.388768
Txy_C_D,346,37.62512,-122.381051,Txy_D_004,366,37.624629,-122.381376
Txy_A_009,269,37.618033,-122.37956,Ramp_04_008,142,37.617792,-122.379977
Ramp_04_001,135,37.616218,-122.382587,Gate_C_041,459,37.61568,-122.3833
Txy_B_D,203,37.620943,-122.383309,Txy_B_K,200,37.622115,-122.386115
Txy_A_F1,262,37.616819,-122.37956,Txy_A_009,269,37.618033,-122.37956
Ramp_07_010,181,37.61843,-122.39515,Gate_G_101,97,37.618452,-122.393943
Rwy_01_008,249,37.626698,-122.370487,Txy_E_007,418,37.626379,-122.369711
Txy_S_003,361,37.629784,-122.393435,Txy_C_S,357,37.630341,-122.393736
Gate_G_096,94,37.618412,-122.391909,Ramp_07_004,171,37.619288,-122.391326
Ramp_07_013,184,37.617008,-122.392923,Ramp_07_012,183,37.617341,-122.39371
Txy_A_B3,195,37.621481,-122.391555,Ramp_06_013,165,37.621278,-122.391088
Rwy_02_006,234,37.616777,-122.37412,Rwy_02_03,235,37.61799,-122.373308
Ramp_02_006,124,37.611713,-122.38479,Gate_B_038,27,37.612729,-122.384658
Txy_L_003,325,37.610983,-122.376002,Txy_L_004,326,37.612521,-122.374986
Txy_H_004,123,37.610839,-122.385182,Gate_B_035,25,37.612042,-122.385397
Rwy_01_006,247,37.621991,-122.373592,Txy_C_008,343,37.622305,-122.374344
Rwy_04_008,287,37.621933,-122.377151,Rwy_04_009,367,37.623447,-122.380745
Txy_A_B1,199,37.622644,-122.389659,Ramp_06_011,164,37.622057,-122.389657
Txy_A_003,223,37.608274,-122.384616,Txy_A_M,187,37.609678,-122.38432
Txy_C_Z,359,37.630575,-122.394584,Txy_C_S,357,37.630341,-122.393736
Txy_L_V,332,37.623084,-122.367985,Txy_V_001,413,37.623411,-122.36875
Rwy_02_003,218,37.607937,-122.379968,Txy_M_004,208,37.608255,-122.380725
Ramp_01_007,111,37.610554,-122.388808,Ramp_01_006,110,37.610152,-122.390044
Txy_C_010,345,37.624469,-122.379521,Ramp_C_010,423,37.624788,-122.379295
Txy_C_U,356,37.629651,-122.391872,Txy_C_018,363,37.630099,-122.392969
Ramp_02_003,115,37.613053,-122.386586,Gate_B_24B,21,37.612553,-122.38601
Txy_B_B4,193,37.620773,-122.393064,Txy_B_B3,194,37.621793,-122.392374
Rwy_03_002,301,37.614805,-122.365704,Rwy_03_003,300,37.615833,-122.368155
Ramp_02_004,116,37.612494,-122.386856,Gate_B_039,22,37.612274,-122.386195
Ramp_C_014,445,37.62782,-122.386494,Parking_07_002,446,37.628157,-122.386279
Ramp_C_013,448,37.626993,-122.384524,Parking_07_004,450,37.627721,-122.383943
Rwy_01_005,244,37.617619,-122.376487,Rwy_01_03,245,37.618951,-122.375601
Txy_A_M,187,37.609678,-122.38432,Txy_M_001,121,37.609809,-122.384786
