id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,40.807574,-111.999241,n0,Rwy,RW16R,Entry,RW34L,End
Rwy_01_002,1,40.806833,-111.999138,n1,Rwy,,,,
Rwy_01_003,2,40.800591,-111.998431,n2,Rwy,,,,
Rwy_01_004,3,40.797326,-111.998053,n3,Rwy,,,,
Rwy_01_005,4,40.794114,-111.99768,n4,Rwy,,,,
Rwy_01_006,5,40.791017,-111.997316,n5,Rwy,,,,
Rwy_01_007,6,40.788108,-111.996979,n6,Rwy,,,,
Rwy_01_008,7,40.785283,-111.996655,n7,Rwy,,,,
Rwy_01_009,8,40.781988,-111.996266,n8,Rwy,,,,
Rwy_01_010,9,40.77587,-111.995552,n9,Rwy,,,,
Rwy_01_011,10,40.775159,-111.995473,n10,Rwy,RW34L,Entry,RW16R,End
Rwy_02_001,11,40.807441,-111.976924,n11,Rwy,RW16L,Entry,RW34R,End
Rwy_02_002,12,40.806373,-111.976811,n12,Rwy,,,,
Rwy_02_003,13,40.801764,-111.976263,n13,Rwy,,,,
Rwy_02_004,14,40.79695,-111.975705,n14,Rwy,,,,
Rwy_02_005,15,40.794285,-111.975387,n15,Rwy,,,,
Rwy_02_006,16,40.792147,-111.975144,n16,Rwy,,,,
Rwy_02_007,17,40.786245,-111.974458,n17,Rwy,,,,
Rwy_02_008,18,40.781811,-111.973943,n18,Rwy,,,,
Rwy_02_009,19,40.775632,-111.973238,n19,Rwy,,,,
Rwy_02_010,20,40.774909,-111.973145,n20,Rwy,RW34R,Entry,RW16L,End
Rwy_03_001,21,40.79872,-111.962036,n21,Rwy,RW17 ,Entry,RW35 ,End
Rwy_03_002,22,40.798068,-111.962026,n22,Rwy,,,,
Rwy_03_003,23,40.791475,-111.962029,n23,Rwy,,,,
Rwy_03_004,24,40.78672,-111.962028,n24,Rwy,,,,
Rwy_03_005,25,40.782393,-111.962024,n25,Rwy,,,,
Rwy_03_006,26,40.780986,-111.962019,n26,Rwy,,,,
Rwy_03_007,27,40.777083,-111.962026,n27,Rwy,,,,
Rwy_03_008,28,40.773672,-111.962032,n28,Rwy,,,,
Rwy_03_009,29,40.773457,-111.962032,n29,Rwy,RW35 ,Entry,RW17 ,End
Rwy_03_010,30,40.772706,-111.962032,n30,Rwy,,,,
Txy_A11_001,31,40.807662,-111.99808,n31,Txy,,,,
Txy_A_A11,32,40.807713,-111.997103,n32,Txy,,,,
Txy_A11_B,33,40.807733,-111.996188,n33,Txy,,,,
