n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_002,1,40.806833,-111.999138,Txy_A10_001,34,40.806941,-111.998007
Txy_H9_001,151,40.795478,-111.976617,Txy_H_H10,126,40.796808,-111.977856
Ramp_01_069,365,40.787614,-111.987071,Gate_E_019,215,40.786962,-111.987452
Txy_F3_E,86,40.791257,-111.989546,Txy_F3_001,87,40.790904,-111.989515
Ramp_01_041,338,40.790021,-111.985108,Ramp_01_042,339,40.789996,-111.985549
Txy_F1_F,99,40.792427,-111.983107,Txy_E_009,109,40.7917,-111.983006
Txy_G_W,156,40.803853,-111.979651,Txy_W_001,157,40.803835,-111.980201
Gate_01_089,277,40.787984,-111.987822,Ramp_01_056,353,40.788,-111.987272
Txy_B_A3,55,40.780965,-111.992998,Txy_B_A2,54,40.776074,-111.992425
Txy_F3_E,86,40.791257,-111.989546,Txy_E_001,90,40.791138,-111.991338
Txy_A11_B,33,40.807733,-111.996188,Txy_A10_B,36,40.807071,-111.996045
Ramp_01_047,344,40.789822,-111.989381,Ramp_01_046,343,40.790382,-111.989445
Txy_A_A7,40,40.795389,-111.995645,Txy_A_A6,41,40.791598,-111.995204
Txy_B_A9,64,40.802008,-111.995447,Txy_A9_A,38,40.801962,-111.99641
Txy_H8_002,104,40.79209,-111.976194,Txy_E_015,115,40.792091,-111.977309
Txy_H_H7,130,40.789763,-111.977037,Txy_H7_001,150,40.790637,-111.976209
Txy_A_A1,52,40.775309,-111.993326,Txy_A1_001,73,40.775223,-111.994315
Rwy_03_006,26,40.780986,-111.962019,Txy_P_003,196,40.77967,-111.963096
Gate_A_008,272,40.785101,-111.977627,Ramp_03_006,303,40.784885,-111.976467
Ramp_01_038,335,40.789538,-111.983785,Ramp_01_039,336,40.789719,-111.983949
Gate_A_007,273,40.784837,-111.977607,Ramp_03_005,302,40.784131,-111.976824
Rwy_03_001,21,40.79872,-111.962036,Txy_K9_003,172,40.79886,-111.960998
Rwy_01_007,6,40.788108,-111.996979,Txy_A5_001,69,40.787477,-111.995736
Txy_E_013,113,40.791984,-111.978844,Txy_E_014,114,40.79203,-111.978249
Txy_K6_001,179,40.788437,-111.960793,Txy_K_K6,178,40.789308,-111.959991
Gate_E_015,217,40.786739,-111.986869,Ramp_01_066,363,40.787391,-111.986477
Txy_F_F2,89,40.792223,-111.986145,Txy_F2_001,94,40.791855,-111.98624
Txy_B_A8,63,40.798699,-111.995061,Txy_A_A8,39,40.798675,-111.996027
Gate_B_003,267,40.786545,-111.978735,Ramp_01_009,306,40.786157,-111.97812
Txy_E_F4,76,40.791027,-111.992949,Txy_F4_001,77,40.789937,-111.992821
Ramp_01_060,357,40.787684,-111.98615,Ramp_01_061,358,40.787464,-111.986046
Txy_K8_001,169,40.798052,-111.960996,Rwy_03_002,22,40.798068,-111.962026
Txy_H7_001,150,40.790637,-111.976209,Rwy_02_006,16,40.792147,-111.975144
Rwy_03_005,25,40.782393,-111.962024,Rwy_03_006,26,40.780986,-111.962019
Txy_M_001,189,40.772713,-111.963581,Txy_M_002,190,40.772713,-111.964188
Ramp_01_015,312,40.789671,-111.978545,Gate_01_103,291,40.791031,-111.978741
