id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_01_001,0,33.681755,-117.860628,n0,Gate,,,,
Gate_01_002,1,33.681398,-117.860851,n1,Gate,,,,
Gate_01_003,2,33.681037,-117.861052,n2,Gate,,,,
Gate_01_004,3,33.680628,-117.861385,n3,Gate,,,,
Gate_01_005,4,33.680352,-117.8616,n4,Gate,,,,
Gate_01_006,5,33.680027,-117.861725,n5,Gate,,,,
Gate_01_007,6,33.679642,-117.862019,n6,Gate,,,,
Gate_01_008,7,33.679282,-117.862269,n7,Gate,,,,
Gate_01_009,8,33.678957,-117.862471,n8,Gate,,,,
Gate_01_010,9,33.678601,-117.862623,n9,Gate,,,,
Gate_01_011,10,33.678239,-117.862854,n10,Gate,,,,
Gate_01_012,11,33.677879,-117.863098,n11,Gate,,,,
Gate_01_013,12,33.677492,-117.863316,n12,Gate,,,,
Gate_01_014,13,33.677067,-117.863579,n13,Gate,,,,
Ramp_A_002,14,33.681966,-117.861115,n14,Ramp,,,,
Ramp_A_003,15,33.681606,-117.861343,n15,Ramp,,,,
Ramp_A_004,16,33.68125,-117.861565,n16,Ramp,,,,
Ramp_A_005,17,33.680956,-117.861756,n17,Ramp,,,,
Ramp_A_006,18,33.68053,-117.862024,n18,Ramp,,,,
Ramp_A_007,19,33.680155,-117.862264,n19,Ramp,,,,
Ramp_A_008,20,33.679839,-117.862462,n20,Ramp,,,,
Ramp_A_009,21,33.679465,-117.862696,n21,Ramp,,,,
Ramp_A_010,22,33.679145,-117.862899,n22,Ramp,,,,
Ramp_A_011,23,33.678817,-117.863114,n23,Ramp,,,,
Ramp_A_012,24,33.678448,-117.863338,n24,Ramp,,,,
Ramp_A_013,25,33.678093,-117.863567,n25,Ramp,,,,
Ramp_A_014,26,33.677702,-117.863812,n26,Ramp,,,,
Ramp_A_015,27,33.677281,-117.864085,n27,Ramp,,,,
Txy_A_035,28,33.680752,-117.862258,n28,Txy,,,,
Txy_A_034,29,33.680028,-117.862715,n29,Txy,,,,
Txy_L_001,30,33.680752,-117.863309,n30,Txy,,,,
Txy_K_001,31,33.680023,-117.863769,n31,Txy,,,,
Txy_K_002,32,33.680342,-117.864476,n32,Txy,,,,
Txy_K_003,33,33.680507,-117.864854,n33,Txy,,,,
Txy_L_002,34,33.681065,-117.864019,n34,Txy,,,,
Txy_L_003,35,33.681233,-117.864396,n35,Txy,,,,
Rwy_01_009,36,33.681558,-117.865115,n36,Rwy,RW20R,Entry,RW02L,End
Txy_L_004,37,33.681897,-117.865899,n37,Txy,,,,
Txy_K_004,38,33.681146,-117.866298,n38,Txy,,,,
Txy_B_035,39,33.681043,-117.867117,n39,Txy,,,,
Txy_B_034,40,33.679843,-117.867875,n40,Txy,,,,
Txy_J_002,41,33.677244,-117.866448,n41,Txy,,,,
Txy_J_003,42,33.677409,-117.866813,n42,Txy,,,,
Txy_J_001,43,33.676932,-117.865735,n43,Txy,,,,
Txy_A_027,44,33.676852,-117.864734,n44,Txy,,,,
Txy_C_003,45,33.677068,-117.86521,n45,Txy,,,,
Txy_A_026,46,33.6758318,-117.8653716,n46,Txy,,,,
Txy_C_002,47,33.676487,-117.865575,n47,Txy,,,,
Txy_C_J,48,33.676781,-117.86539,n48,Txy,,,,
Txy_C_001,49,33.67407,-117.867113,n49,Txy,,,,
Txy_H_003,50,33.674531,-117.868524,n50,Txy,,,,
Txy_H_002,51,33.674244,-117.868335,n51,Txy,,,,
Txy_H_001,52,33.673919,-117.867635,n52,Txy,,,,
Txy_H_004,53,33.675896,-117.869639,n53,Txy,,,,
Txy_G_001,54,33.674203,-117.870706,n54,Txy,,,,
Txy_F_001,55,33.672098,-117.872151,n55,Txy,,,,
Txy_E_002,56,33.670105,-117.873311,n56,Txy,,,,
Txy_E_001,57,33.669347,-117.871859,n57,Txy,,,,
Txy_D_002,58,33.668221,-117.874482,n58,Txy,,,,
Rwy_01_002,59,33.667906,-117.873758,n59,Rwy,RW02L,Entry,RW20R,End
Txy_D_001,60,33.667583,-117.87304,n60,Txy,,,,
Txy_01_001,61,33.665737,-117.876177,n61,Txy,,,,
Rwy_02_005,62,33.680914,-117.863672,n62,Rwy,RW20L,Entry,RW02R,End
Rwy_02_004,63,33.680183,-117.864128,n63,Rwy,,,,
Txy_C_005,64,33.680158,-117.863245,n64,Txy,,,,
Txy_C_006,65,33.680318,-117.863146,n65,Txy,,,,
Txy_A_L,66,33.680385,-117.862499,n66,Txy,,,,
Txy_C_L,67,33.6806,-117.862968,n67,Txy,,,,
Txy_C_K,68,33.679873,-117.86343,n68,Txy,,,,
Txy_A_K,69,33.679661,-117.862951,n69,Txy,,,,
Txy_A_036,70,33.681088,-117.862047,n70,Txy,,,,
Txy_A_040,71,33.682445,-117.861186,n71,Txy,,,,
Txy_A_039,72,33.682088,-117.861417,n72,Txy,,,,
Txy_A_038,73,33.68174,-117.861637,n73,Txy,,,,
Txy_A_037,74,33.681377,-117.861863,n74,Txy,,,,
Ramp_A_001,75,33.682733,-117.860792,n75,Ramp,,,,
Txy_A_033,76,33.679375,-117.863135,n76,Txy,,,,
Txy_A_032,77,33.678942,-117.863412,n77,Txy,,,,
Txy_A_031,78,33.678584,-117.863636,n78,Txy,,,,
Txy_A_030,79,33.678224,-117.863862,n79,Txy,,,,
Txy_A_029,80,33.677826,-117.864119,n80,Txy,,,,
Txy_A_028,81,33.677407,-117.864383,n81,Txy,,,,
Txy_A_J,82,33.676571,-117.864911,n82,Txy,,,,
Txy_A_H,83,33.673568,-117.866819,n83,Txy,,,,
Txy_C_H,84,33.673775,-117.867289,n84,Txy,,,,
Rwy_02_001,85,33.674081,-117.867996,n85,Rwy,RW02R,Entry,RW20L,End
Txy_A_E,86,33.668867,-117.871202,n86,Txy,,,,
Rwy_01_003,87,33.669785,-117.872577,n87,Rwy,,,,
Txy_A_013,88,33.668969,-117.871088,n88,Txy,,,,
Txy_A_014,89,33.66936,-117.870687,n89,Txy,,,,
Txy_A_015,90,33.669617,-117.870415,n90,Txy,,,,
Txy_A_016,91,33.66987,-117.870165,n91,Txy,,,,
