id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Parking_V_002,0,38.75567,-90.368386,n0,Park,,,,
Parking_V_001,1,38.755432,-90.369676,n1,Park,,,,
Txy_B_001,2,38.760581,-90.409182,n2,Txy,,,,
Txy_A6_001,3,38.759933,-90.407888,n3,Txy,,,,
Txy_A_A6,4,38.760208,-90.407666,n4,Txy,,,,
Txy_B_002,5,38.761477,-90.408457,n5,Txy,,,,
Rwy_01_001,6,38.759938,-90.409704,n6,Rwy,RW11 ,Entry,RW29 ,End
Txy_B_A6,7,38.76082,-90.407188,n7,Txy,,,,
Rwy_01_002,8,38.759286,-90.408378,n8,Rwy,,,,
Txy_A_A5,9,38.75928,-90.405678,n9,Txy,,,,
Txy_B_A5,10,38.759882,-90.405175,n10,Txy,,,,
Txy_A5_001,11,38.758706,-90.40529,n11,Txy,,,,
Rwy_01_003,12,38.757347,-90.404395,n12,Rwy,,,,
Txy_A_A4,13,38.757349,-90.401878,n13,Txy,,,,
Txy_B_A4,14,38.757934,-90.401406,n14,Txy,,,,
Txy_A4_001,15,38.756773,-90.401501,n15,Txy,,,,
Rwy_01_004,16,38.755366,-90.400582,n16,Rwy,,,,
Txy_A3_001,17,38.751297,-90.3904,n17,Txy,,,,
Txy_A_A3,18,38.751291,-90.38961,n18,Txy,,,,
Txy_B_A3,19,38.751903,-90.389103,n19,Txy,,,,
Rwy_01_005,20,38.751328,-90.392393,n20,Rwy,,,,
Txy_A2_001,21,38.749407,-90.3866,n21,Txy,,,,
Txy_B_A2,22,38.750011,-90.385263,n22,Txy,,,,
Txy_A_A2,23,38.749383,-90.385768,n23,Txy,,,,
Rwy_01_006,24,38.749478,-90.388598,n24,Rwy,,,,
Txy_A_A1,25,38.748616,-90.384219,n25,Txy,,,,
Txy_B_A1,26,38.749241,-90.383729,n26,Txy,,,,
Txy_B_U,27,38.748417,-90.382078,n27,Txy,,,,
Txy_U_001,28,38.747837,-90.383432,n28,Txy,,,,
Txy_A_U,29,38.748018,-90.383011,n29,Txy,,,,
