n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_03_008,124,38.743105,-90.357276,Txy_L_003,133,38.743778,-90.356403
Rwy_03_005,86,38.74816,-90.367494,Txy_R_002,87,38.747182,-90.367372
Rwy_03_013,148,38.739273,-90.349487,Txy_J_003,147,38.73994,-90.348956
Txy_E_K,172,38.743894,-90.354252,Txy_K_004,170,38.744619,-90.353642
Txy_V_004,100,38.754454,-90.369435,Txy_V_F,101,38.754603,-90.368482
Txy_H_003,154,38.738501,-90.34605,Txy_H_004,156,38.739223,-90.345485
Txy_A3_001,17,38.751297,-90.3904,Rwy_01_005,20,38.751328,-90.392393
Txy_C_P,127,38.744141,-90.363594,Gate_01_B23,241,38.743806,-90.364492
Txy_B_A2,22,38.750011,-90.385263,Txy_B_A3,19,38.751903,-90.389103
Rwy_03_011,141,38.74017,-90.351303,Rwy_03_012,145,38.739694,-90.350339
Ramp_03_024,290,38.741156,-90.362553,Ramp_03_025,291,38.741296,-90.362828
Rwy_04_008,165,38.740908,-90.344145,Rwy_04_009,192,38.738699,-90.339711
Txy_D_L,138,38.741358,-90.356548,Txy_L_002,132,38.741738,-90.356349
Ramp_05_003,344,38.738667,-90.357472,Gate_02_E29,317,38.738018,-90.356984
Rwy_02_003,38,38.747389,-90.379462,Txy_B_003,37,38.747756,-90.380517
Txy_C_019,352,38.740859,-90.356911,Txy_C_020,353,38.740261,-90.355796
Txy_C_P,127,38.744141,-90.363594,Ramp_02_008,271,38.743538,-90.364038
Txy_S_003,43,38.746664,-90.378217,Txy_S_B,42,38.746829,-90.377801
Txy_C2_002,378,38.740418,-90.35567,Txy_D_005,379,38.740776,-90.355369
Txy_B_A5,10,38.759882,-90.405175,Txy_B_A6,7,38.76082,-90.407188
Txy_C_N,130,38.743247,-90.361783,Gate_C_012,251,38.742683,-90.362663
Rwy_02_007,67,38.749966,-90.373071,Rwy_02_03,74,38.750398,-90.371997
Txy_K_007,202,38.748957,-90.350157,Parking_K_002,204,38.749443,-90.349384
Ramp_03_015,281,38.739769,-90.358639,Ramp_03_016,282,38.739606,-90.359384
Txy_C_T,49,38.750001,-90.376048,Txy_D_T,53,38.750444,-90.37496
Txy_F_F7,183,38.749309,-90.357916,Txy_F_L,181,38.748606,-90.356487
Ramp_02_009,272,38.743204,-90.364555,Gate_01_B24B,238,38.743432,-90.364735
Txy_E_H,163,38.739472,-90.345277,Txy_H_005,164,38.740222,-90.344688
Txy_J_002,146,38.738625,-90.350026,Rwy_03_013,148,38.739273,-90.349487
Txy_C_J,162,38.737764,-90.350737,Txy_C_021,368,38.737174,-90.349538
Txy_B_001,2,38.760581,-90.409182,Rwy_01_001,6,38.759938,-90.409704
Txy_C_011,359,38.745475,-90.366274,Txy_C_Q,128,38.745133,-90.365596
Txy_D1_001,140,38.7395,-90.35182,Txy_D_D1,142,38.739159,-90.352105
Txy_C_M,131,38.741821,-90.358894,Gate_C_032,269,38.741154,-90.359732
Ramp_05_002,343,38.738559,-90.357756,Gate_02_E31,316,38.737861,-90.357329
Txy_C_D,346,38.752876,-90.379845,Txy_C_001,61,38.753192,-90.37958
Rwy_04_005,171,38.745285,-90.353121,Txy_K_005,169,38.745937,-90.352594
Txy_P_008,98,38.755301,-90.357575,Rwy_02_014,97,38.756177,-90.357607
Ramp_05_011,334,38.737481,-90.353432,Gate_02_E10,326,38.737061,-90.353965
Txy_E_P,109,38.747721,-90.362007,Txy_E2_001,177,38.74751,-90.359706
Txy_B_A6,7,38.76082,-90.407188,Txy_B_002,5,38.761477,-90.408457
Rwy_01_002,8,38.759286,-90.408378,Rwy_01_001,6,38.759938,-90.409704
Ramp_04_012,314,38.738791,-90.358901,Gate_02_E36,304,38.738262,-90.35935
Rwy_03_001,64,38.753855,-90.379038,Txy_C_001,61,38.753192,-90.37958
Ramp_05_009,336,38.737959,-90.354404,Ramp_05_010,335,38.737699,-90.353868
Ramp_04_012,314,38.738791,-90.358901,Gate_02_E34,303,38.738157,-90.359011
