id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,41.50085,-74.130383,n0,Rwy,,,,
Rwy_01_002,1,41.501172,-74.128309,n1,Rwy,,,,
Rwy_01_003,2,41.501955,-74.123382,n2,Rwy,RW09 ,Entry,RW27 ,End
RWy_01_004,3,41.503074,-74.116127,n3,Rwy,,,,
Rwy_01_005,4,41.503238,-74.115061,n4,Rwy,,,,
Rwy_01_006,5,41.503749,-74.111737,n5,Rwy,,,,
Rwy_01_007,6,41.504715,-74.105603,n6,Rwy,,,,
Rwy_01_008,7,41.505815,-74.098368,n7,Rwy,,,,
Rwy_01_02,8,41.505967,-74.097283,n8,Rwy,,,,
Rwy_01_010,9,41.506259,-74.09546,n9,Rwy,RW27 ,Entry,RW09 ,End
Rwy_01_011,10,41.506895,-74.09139,n10,Rwy,,,,
Rwy_01_012,11,41.507341,-74.088467,n11,Rwy,,,,
Rwy_02_001,12,41.511169,-74.101374,n12,Rwy,RW16 ,Entry,RW34 ,End
Rwy_02_002,13,41.506681,-74.097848,n13,Rwy,,,,
Rwy_02_003,14,41.50528,-74.096741,n14,Rwy,,,,
Rwy_02_004,15,41.504389,-74.096037,n15,Rwy,,,,
Rwy_02_005,16,41.501135,-74.093473,n16,Rwy,,,,
Rwy_02_006,17,41.497857,-74.090929,n17,Rwy,RW34 ,Entry,RW16 ,End
Txy_A_001,18,41.499675,-74.129893,n18,Txy,,,,
Txy_A_002,19,41.499389,-74.129071,n19,Txy,,,,
Txy_A1_001,20,41.500113,-74.127982,n20,Txy,,,,
Txy_A_A1,21,41.499601,-74.127847,n21,Txy,,,,
Txy_A2_001,22,41.502353,-74.1148,n22,Txy,,,,
Txy_A2_A,23,41.50172,-74.113959,n23,Txy,,,,
Txy_A3_001,24,41.502732,-74.113147,n24,Txy,,,,
Txy_L_001,25,41.503758,-74.116745,n25,Txy,,,,
Parking_04_001,26,41.504766,-74.117824,n26,Park,,,,
Txy_M_001,27,41.503985,-74.115291,n27,Txy,,,,
Txy_M_002,28,41.50644,-74.115885,n28,Txy,,,,
Parking_04_002,29,41.506899,-74.113213,n29,Park,,,,
Txy_G_001,30,41.505817,-74.104749,n30,Txy,,,,
Txy_G_002,31,41.507724,-74.102489,n31,Txy,,,,
Txy_G_003,32,41.510089,-74.101732,n32,Txy,,,,
Txy_A4_A,33,41.503396,-74.102574,n33,Txy,,,,
Txy_A5_A,34,41.50523,-74.090909,n34,Txy,,,,
Txy_A_003,35,41.505675,-74.088041,n35,Txy,,,,
Txy_J_A,36,41.505389,-74.089435,n36,Txy,,,,
Txy_K_A,37,41.505051,-74.091651,n37,Txy,,,,
Parking_03_001,38,41.502056,-74.089157,n38,Park,,,,
Parking_03_002,39,41.502813,-74.087501,n39,Park,,,,
Parking_01_001,40,41.501271,-74.099618,n40,Park,,,,
Parking_Helipad_001,41,41.50179,-74.098884,n41,Park,,,,
Txy_B_001,42,41.500708,-74.09433,n42,Txy,,,,
Txy_B_002,43,41.502027,-74.098276,n43,Txy,,,,
Txy_B_003,44,41.501425,-74.098484,n44,Txy,,,,
Parking_Helipad_002,45,41.493777,-74.094051,n45,Park,,,,
Txy_F_001,46,41.493886,-74.092947,n46,Txy,,,,
Ramp_01_001,47,41.494745,-74.096769,n47,Ramp,,,,
Ramp_01_002,48,41.494051,-74.093959,n48,Ramp,,,,
Gate_01_006,49,41.497952,-74.099621,n49,Gate,,,,
Gate_01_005,50,41.498225,-74.099628,n50,Gate,,,,
Gate_01_004,51,41.498532,-74.099812,n51,Gate,,,,
Gate_01_003,52,41.498811,-74.099817,n52,Gate,,,,
Gate_01_002,53,41.499157,-74.100062,n53,Gate,,,,
Gate_01_01B,54,41.499475,-74.100122,n54,Gate,,,,
Gate_01_01A,55,41.49965,-74.100345,n55,Gate,,,,
Ramp_01_003,56,41.498353,-74.098689,n56,Ramp,,,,
Ramp_01_004,57,41.498664,-74.098843,n57,Ramp,,,,
Ramp_01_005,58,41.498988,-74.098972,n58,Ramp,,,,
Ramp_01_006,59,41.499336,-74.099144,n59,Ramp,,,,
Ramp_01_007,60,41.499588,-74.099175,n60,Ramp,,,,
Ramp_01_008,61,41.500034,-74.099729,n61,Ramp,,,,
Ramp_01_009,62,41.49997,-74.099046,n62,Ramp,,,,
Ramp_01_010,63,41.501188,-74.098563,n63,Ramp,,,,
