id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Parking_Z_004,0,40.854543,-74.062743,n0,Park,,,,
Txy_C_P,1,40.85327,-74.062939,n1,Txy,,,,
Rwy_01_001,2,40.838739,-74.060267,n2,Rwy,,,,
Rwy_01_002,3,40.840244,-74.060161,n3,Rwy,,,,
Rwy_01_004,4,40.843268,-74.059938,n4,Rwy,,,,
Rwy_01_005,5,40.845909,-74.059928,n5,Rwy,,,,
Rwy_01_006,6,40.847771,-74.059789,n6,Rwy,,,,
Rwy_01_007,7,40.849251,-74.059681,n7,Rwy,,,,
Rwy_01_008,8,40.850875,-74.059554,n8,Rwy,,,,
Rwy_01_009,9,40.852719,-74.059429,n9,Rwy,,,,
Rwy_01_010,10,40.853275,-74.059393,n10,Rwy,,,,
Rwy_01_02,11,40.854245,-74.059324,n11,Rwy,,,,
Rwy_01_012,12,40.856509,-74.059153,n12,Rwy,,,,
Rwy_01_013,13,40.857787,-74.059057,n13,Rwy,,,,
Rwy_02_001,14,40.846807,-74.070279,n14,Rwy,RW06 ,Entry,RW24 ,End
Rwy_02_002,15,40.849561,-74.066232,n15,Rwy,,,,
Rwy_02_003,16,40.852603,-74.061753,n16,Rwy,,,,
Rwy_02_004,17,40.85323,-74.060839,n17,Rwy,,,,
Rwy_02_005,18,40.853622,-74.060264,n18,Rwy,,,,
Rwy_02_006,19,40.854902,-74.058274,n19,Rwy,,,,
Rwy_02_007,20,40.855513,-74.057329,n20,Rwy,,,,
Rwy_02_008,21,40.85768,-74.054289,n21,Rwy,RW24 ,Entry,RW06 ,End
Txy_L_001,22,40.838766,-74.061356,n22,Txy,,,,
Txy_L_K,23,40.840308,-74.061793,n23,Txy,,,,
Txy_L_002,24,40.838798,-74.061902,n24,Txy,,,,
Txy_L_J,25,40.8424,-74.061633,n25,Txy,,,,
Txy_L_G,26,40.84671,-74.061323,n26,Txy,,,,
Txy_L_D,27,40.84931,-74.061131,n27,Txy,,,,
Txy_L_F,28,40.851678,-74.060956,n28,Txy,,,,
Txy_L_003,29,40.85426,-74.060769,n29,Txy,,,,
Txy_L_P,30,40.854771,-74.060729,n30,Txy,,,,
Txy_L_004,31,40.857825,-74.059951,n31,Txy,,,,
Txy_G_001,32,40.844663,-74.057793,n32,Txy,,,,
Txy_G_002,33,40.845405,-74.059074,n33,Txy,,,,
Txy_G_003,34,40.846408,-74.060797,n34,Txy,,,,
Txy_G_004,35,40.849146,-74.065506,n35,Txy,,,,
Txy_G_N,36,40.848882,-74.065074,n36,Txy,,,,
Txy_G_005,37,40.849974,-74.066946,n37,Txy,,,,
Txy_G_P,38,40.850236,-74.067399,n38,Txy,,,,
