n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_05_001,319,27.978275,-82.531276,Ramp_04_014,317,27.978282,-82.531621
Txy_W1_W,86,27.963374,-82.541121,Txy_W_W1,87,27.964224,-82.541092
Ramp_07_004,254,27.973613,-82.521424,Gate_07_004,256,27.973593,-82.520303
Gate_A_005,226,27.974805,-82.532547,Ramp_04_003,306,27.974223,-82.533432
Txy_E_002,125,27.985862,-82.526394,Txy_E_003,126,27.983158,-82.526494
Txy_A14_A,73,27.973763,-82.530742,Txy_A14_001,72,27.973528,-82.530745
Rwy_01_006,5,27.977323,-82.541866,Txy_W4_W,57,27.976569,-82.541045
Ramp_04_006,309,27.973771,-82.530991,Gate_A_008,223,27.974922,-82.531822
Txy_N_C,77,27.971904,-82.52997,Txy_C_004,114,27.971357,-82.52999
Gate_F_086,209,27.976186,-82.537472,Ramp_03_008,300,27.975426,-82.538078
Txy_W8_001,36,27.993411,-82.540475,Txy_W8_W,34,27.993037,-82.539945
Rwy_02_03,18,27.970635,-82.52877,Rwy_03_007,30,27.970614,-82.527922
Txy_D_R,156,27.968742,-82.5276,Txy_R_003,166,27.968727,-82.527106
Txy_W_W8,37,27.992523,-82.539961,Txy_W8_002,35,27.992554,-82.540509
Ramp_03_007,299,27.975622,-82.538422,Ramp_03_006,298,27.975809,-82.538742
Parking_10_001,270,27.967841,-82.520663,Txy_S1_R,170,27.96862,-82.522214
Rwy_02_013,22,27.965249,-82.528956,Txy_Q_001,120,27.965268,-82.529824
Txy_C_003,113,27.97344,-82.529924,Txy_J_C,71,27.973007,-82.529937
Txy_T_N,180,27.971576,-82.517705,Txy_T_001,181,27.972002,-82.517645
Gate_A_017,215,27.977521,-82.531921,Ramp_04_014,317,27.978282,-82.531621
Ramp_05_002,320,27.979285,-82.530553,Txy_A11_A,108,27.978259,-82.530587
Rwy_03_002,25,27.970303,-82.516576,Rwy_03_003,26,27.970454,-82.522146
Parking_09_010,263,27.972978,-82.514535,Ramp_09_004,268,27.9724,-82.514521
Ramp_06_008,332,27.984924,-82.533751,Ramp_06_009,333,27.983844,-82.533754
Gate_A_018,214,27.977558,-82.532295,Ramp_04_015,318,27.978292,-82.532097
Txy_P_003,163,27.96436,-82.527251,Txy_P_E,164,27.964366,-82.52702
Rwy_02_001,10,27.987031,-82.528228,Txy_E_001,124,27.986869,-82.52729
Txy_K_001,177,27.972109,-82.521471,Txy_J_K,82,27.972763,-82.521456
Txy_U_002,129,27.979058,-82.526347,Parking_01_003,246,27.979022,-82.525141
Txy_W2_W,337,27.969182,-82.540988,Txy_W2_001,83,27.969142,-82.541283
Rwy_03_005,28,27.970568,-82.526787,Rwy_03_004,27,27.970532,-82.524331
Rwy_01_005,4,27.978607,-82.541821,Rwy_01_006,5,27.977323,-82.541866
Gate_A_012,219,27.976497,-82.531706,Ramp_04_010,313,27.976431,-82.530649
Txy_J_K,82,27.972763,-82.521456,Txy_J_007,81,27.972787,-82.521879
Txy_W_W1,87,27.964224,-82.541092,Txy_W1_001,84,27.964234,-82.54145
Txy_B_C,93,27.985803,-82.529503,Txy_C_002,97,27.987033,-82.529466
Gate_A_006,225,27.974631,-82.532355,Ramp_04_004,307,27.973809,-82.53269
Txy_J_L,66,27.973089,-82.533192,Txy_J_004,65,27.973477,-82.536349
Txy_B8_B,95,27.984326,-82.529554,Txy_A9_B,98,27.983337,-82.529588
Txy_E_F,132,27.975282,-82.526976,Txy_E_006,130,27.97625,-82.526947
Ramp_04_003,306,27.974223,-82.533432,Ramp_04_002,305,27.975053,-82.533406
Txy_J_E,79,27.972918,-82.526786,Txy_H_002,133,27.973728,-82.527728
Ramp_06_006,330,27.984406,-82.531233,Txy_A_A8,92,27.98483,-82.531697
Gate_F_080,203,27.977339,-82.538801,Ramp_03_002,294,27.97774,-82.539777
Ramp_01_004,273,27.984986,-82.535736,Ramp_01_005,274,27.985016,-82.536763
Ramp_03_004,296,27.97638,-82.539688,Ramp_03_005,297,27.975992,-82.539053
Ramp_07_002,252,27.975928,-82.521343,Gate_07_002,249,27.975902,-82.520301
Txy_Q_R,157,27.965204,-82.527716,Txy_Q_002,160,27.965217,-82.528092
Ramp_03_006,298,27.975809,-82.538742,Gate_F_084,207,27.97656,-82.538157
Txy_V6_001,45,27.98333,-82.539828,Txy_W_V6,46,27.983326,-82.54044
Txy_R_001,118,27.968801,-82.529698,Txy_C_R,117,27.968808,-82.530077
Txy_N_N1,184,27.971544,-82.516528,Txy_N1_001,183,27.97099,-82.516555
Ramp_02_010,290,27.978241,-82.538376,Ramp_02_011,291,27.978309,-82.537877
Txy_W2_W,337,27.969182,-82.540988,Txy_W_J,59,27.975186,-82.540711
Txy_L_001,67,27.973528,-82.533175,Txy_A_L,68,27.973853,-82.533157
Ramp_02_001,281,27.981482,-82.537274,Ramp_01_011,280,27.981585,-82.53753
Gate_E_069,194,27.979524,-82.538685,Ramp_02_007,287,27.979536,-82.539736
Ramp_07_004,254,27.973613,-82.521424,Ramp_07_003,253,27.975381,-82.521358
Txy_Y_001,55,27.975864,-82.540198,Txy_Y_V,54,27.975859,-82.539999
Txy_S_D,153,27.969434,-82.527573,Txy_D_001,155,27.969917,-82.52756
Rwy_01_001,0,27.993406,-82.541334,Txy_W8_001,36,27.993411,-82.540475
Gate_C_036,235,27.983362,-82.531293,Txy_A9_A,100,27.983347,-82.530415
Rwy_03_006,29,27.970606,-82.527568,Txy_D_001,155,27.969917,-82.52756
Txy_E_001,124,27.986869,-82.52729,Txy_E_002,125,27.985862,-82.526394
