n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_02_003,7,36.2098274303,-115.193142224,Rwy_02_004,8,36.2064947127,-115.188930613
Rwy_03_007,18,36.205134383,-115.190599684,Txy_K_003,77,36.2047323499,-115.191050539
Txy_H_004,93,36.2094372368,-115.193606885,Rwy_02_003,7,36.2098274303,-115.193142224
Txy_B_H,86,36.2079787291,-115.195364394,Txy_B_001,87,36.2063499683,-115.193309273
Rwy_01_005,3,36.2135218849,-115.192146367,Rwy_01_004,35,36.21346588,-115.194896612
Txy_A_014,58,36.2126898861,-115.186882819,Txy_A_015,59,36.212959402,-115.187223108
Txy_A_015,59,36.212959402,-115.187223108,Txy_A_011,55,36.2129751367,-115.18646046
Txy_G_009,61,36.2138444397,-115.203685217,Txy_G_010,62,36.2141075051,-115.203570974
Txy_A_006,50,36.212763676,-115.196836061,Txy_A_007,51,36.2127870832,-115.195905754
Txy_M_002,73,36.2052621973,-115.186199417,Txy_M_001,72,36.2054030172,-115.186028906
Txy_B_H,86,36.2079787291,-115.195364394,Txy_H_001,90,36.2078557972,-115.19552019
Txy_C_006,101,36.2121617803,-115.194865023,Txy_C_005,100,36.2120785536,-115.195031871
Txy_A_006,50,36.212763676,-115.196836061,Txy_A_005,49,36.212749083,-115.197805776
Txy_BB_001,105,36.2062278056,-115.193466527,Txy_B_001,87,36.2063499683,-115.193309273
Txy_G_003,40,36.2138477104,-115.203331029,Txy_G_004,41,36.214130795,-115.203259311
Txy_F_001,82,36.2126574472,-115.202839481,Txy_F_002,83,36.2127732638,-115.202843312
Txy_C_004,99,36.2114947167,-115.196201485,Rwy_02_002,6,36.2117848058,-115.195611516
Txy_G_003,40,36.2138477104,-115.203331029,Txy_G_008,60,36.2135974775,-115.203333333
Txy_A_E,52,36.2128123066,-115.194879214,Txy_C_006,101,36.2121617803,-115.194865023
Txy_BB_001,105,36.2062278056,-115.193466527,Ramp_02_002,25,36.206002235,-115.193519129
Rwy_02_003,7,36.2098274303,-115.193142224,Txy_H_005,94,36.2102154027,-115.192673996
Txy_A_015,59,36.212959402,-115.187223108,Txy_A_010,54,36.2129137543,-115.18944586
Rwy_03_005,16,36.2084520751,-115.194797531,Rwy_03_006,17,36.2054050313,-115.19095086
