id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_008,0,61.167847,-150.03435,n0,Rwy,RW07R,Entry,RW25L,End
Rwy_01_006,1,61.167852,-149.99784,n1,Rwy,,,,
Rwy_01_007,2,61.167878,-150.008107,n2,Rwy,,,,
Rwy_02_009,3,61.169792,-150.008258,n3,Rwy,RW07L,Entry,RW25R,End
Txy_K_001,4,61.171225,-150.035048,n4,Txy,,,,
Txy_K_002,5,61.171267,-150.017538,n5,Txy,,,,
Txy_K_Y,6,61.171298,-150.001638,n6,Txy,,,,
Rwy_02_008,7,61.169818,-150.00078,n7,Rwy,,,,
Rwy_02_007,8,61.169792,-149.993902,n8,Rwy,,,,
Rwy_01_005,9,61.167914,-149.993141,n9,Rwy,,,,
Txy_R_009,10,61.169055,-149.993876,n10,Txy,,,,
Rwy_01_004,11,61.167904,-149.986532,n11,Rwy,,,,
Rwy_01_003,12,61.167873,-149.984386,n12,Rwy,,,,
Rwy_01_001,13,61.167873,-149.973207,n13,Rwy,RW25L,Entry,RW07R,End
Txy_K_003,14,61.171277,-149.998612,n14,Txy,,,,
Txy_K_R,15,61.171225,-149.995115,n15,Txy,,,,
Txy_G_K,16,61.171277,-149.990823,n16,Txy,,,,
Txy_K_E,17,61.171205,-149.986982,n17,Txy,,,,
Rwy_02_006,18,61.169782,-149.98592,n18,Rwy,,,,
Rwy_02_005,19,61.169803,-149.977949,n19,Rwy,,,,
Txy_K_D,20,61.171184,-149.978099,n20,Txy,,,,
Rwy_02_004,21,61.169818,-149.968067,n21,Rwy,,,,
Rwy_02_003,22,61.169818,-149.959066,n22,Rwy,,,,
Rwy_02_001,23,61.169818,-149.948337,n23,Rwy,RW25R,Entry,RW07L,End
Txy_A_K,24,61.171277,-149.948616,n24,Txy,,,,
Rwy_03_001,25,61.199449,-150.014384,n25,Rwy,RW15 ,Entry,RW33 ,End
Rwy_03_002,26,61.197511,-150.013343,n26,Rwy,,,,
Txy_A_001,27,61.170698,-149.948348,n27,Txy,,,,
Rwy_02_002,28,61.169823,-149.949946,n28,Rwy,,,,
Rwy_03_003,29,61.195086,-150.011938,n29,Rwy,,,,
Rwy_03_004,30,61.190723,-150.009513,n30,Rwy,,,,
Rwy_03_005,31,61.18639,-150.00711,n31,Rwy,,,,
Rwy_03_006,32,61.17856,-150.002604,n32,Rwy,,,,
Txy_M_001,33,61.178043,-150.000458,n33,Txy,,,,
Txy_R_M,34,61.176546,-149.998065,n34,Txy,,,,
Txy_R_L,35,61.172922,-149.995995,n35,Txy,,,,
Txy_Y_L,36,61.172922,-150.002496,n36,Txy,,,,
Txy_Y_W,37,61.17511,-150.003752,n37,Txy,,,,
Txy_Y_U,38,61.1861,-150.009835,n38,Txy,,,,
Txy_Y_T,39,61.190392,-150.012195,n39,Txy,,,,
Txy_Y_S,40,61.194693,-150.014556,n40,Txy,,,,
Txy_Q_001,41,61.199175,-150.012431,n41,Txy,,,,
Txy_R_Q,42,61.199273,-150.010908,n42,Txy,,,,
Txy_R_002,43,61.197955,-150.010006,n43,Txy,,,,
Txy_R_S,44,61.19552,-150.008665,n44,Txy,,,,
Txy_R_T,45,61.191152,-150.006251,n45,Txy,,,,
Txy_R_U,46,61.186835,-150.003816,n46,Txy,,,,
Txy_R_006,47,61.185304,-150.002872,n47,Txy,,,,
Txy_R_007,48,61.179318,-149.999589,n48,Txy,,,,
Txy_C_002,49,61.168923,-149.969674,n49,Txy,,,,
Rwy_01_002,50,61.167894,-149.975427,n50,Rwy,,,,
Gate_N_001,51,61.178964,-149.987572,n51,Gate,,,,
Gate_N_003,52,61.178772,-149.988613,n52,Gate,,,,
Gate_N_005,53,61.178581,-149.989761,n53,Gate,,,,
Gate_N_007,54,61.178266,-149.990877,n54,Gate,,,,
Gate_N_008,55,61.177673,-149.989568,n55,Gate,,,,
Gate_N_006,56,61.177746,-149.988779,n56,Gate,,,,
Gate_N_004,57,61.177937,-149.987481,n57,Gate,,,,
Gate_N_002,58,61.178205,-149.986119,n58,Gate,,,,
Gate_S_C9,59,61.176732,-149.98444,n59,Gate,,,,
Gate_S_C8,60,61.176447,-149.984724,n60,Gate,,,,
Gate_S_C7,61,61.17622,-149.984697,n61,Gate,,,,
Gate_S_C6,62,61.175746,-149.984794,n62,Gate,,,,
Gate_S_C5,63,61.175395,-149.984815,n63,Gate,,,,
Gate_S_C4,64,61.175056,-149.984359,n64,Gate,,,,
Gate_S_C3,65,61.174712,-149.984139,n65,Gate,,,,
Gate_S_C2,66,61.174321,-149.983989,n66,Gate,,,,
Gate_S_C1,67,61.173876,-149.983463,n67,Gate,,,,
Gate_S_B4,68,61.173103,-149.984118,n68,Gate,,,,
Gate_S_B6,69,61.172992,-149.98496,n69,Gate,,,,
Gate_S_B8,70,61.172661,-149.985276,n70,Gate,,,,
Gate_S_B9,71,61.172361,-149.985089,n71,Gate,,,,
Gate_S_B7,72,61.172172,-149.984627,n72,Gate,,,,
Gate_S_B5,73,61.172255,-149.983973,n73,Gate,,,,
Gate_S_B3,74,61.172456,-149.983179,n74,Gate,,,,
Gate_S_B1,75,61.172692,-149.982439,n75,Gate,,,,
Txy_K_C,76,61.171282,-149.96811,n76,Txy,,,,
Ramp_Cargo_001,77,61.171272,-149.96708,n77,Ramp,,,,
Ramp_Cargo_002,78,61.171282,-149.965846,n78,Ramp,,,,
Ramp_Cargo_003,79,61.171282,-149.964591,n79,Ramp,,,,
Parking_Cargo_004,80,61.173905,-149.990609,n80,Park,,,,
Parking_Cargo_005,81,61.174536,-149.991081,n81,Park,,,,
Parking_Cargo_006,82,61.175157,-149.991639,n82,Park,,,,
Parking_Cargo_007,83,61.17585,-149.992175,n83,Park,,,,
Parking_Cargo_008,84,61.176491,-149.99254,n84,Park,,,,
Parking_Cargo_009,85,61.17794,-149.994053,n85,Park,,,,
Parking_Cargo_010,86,61.178591,-149.994632,n86,Park,,,,
Parking_Cargo_011,87,61.179217,-149.995158,n87,Park,,,,
Txy_E_V,88,61.180174,-149.994192,n88,Txy,,,,
Txy_E_001,89,61.179543,-149.99357,n89,Txy,,,,
Txy_E_002,90,61.178902,-149.993055,n90,Txy,,,,
Txy_E_003,91,61.178291,-149.992561,n91,Txy,,,,
