n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_02_008,7,61.169818,-150.00078,Rwy_02_009,3,61.169792,-150.008258
Ramp_Cargo_007,167,61.193809,-150.004138,Parking_Cargo_016,174,61.194026,-150.002625
Ramp_Cargo_010,170,61.189622,-150.000876,Ramp_Cargo_011,171,61.188929,-150.00049
Txy_Y_L,36,61.172922,-150.002496,Txy_K_Y,6,61.171298,-150.001638
Txy_E_011,127,61.170589,-149.986521,Rwy_02_006,18,61.169782,-149.98592
Rwy_02_006,18,61.169782,-149.98592,Txy_E_012,128,61.169016,-149.985341
Txy_E_003,91,61.178291,-149.992561,Parking_Cargo_009,85,61.17794,-149.994053
Txy_R_T,45,61.191152,-150.006251,Ramp_Cargo_004,164,61.191617,-150.002925
Txy_E_006,94,61.176284,-149.990802,Txy_E_007,95,61.175467,-149.990072
Ramp_Cargo_008,168,61.190806,-150.00152,Ramp_Cargo_009,169,61.190201,-150.001198
Txy_R_009,10,61.169055,-149.993876,Txy_R_010,123,61.168646,-149.993602
Txy_G1_005,142,61.176284,-149.994192,Parking_Cargo_008,84,61.176491,-149.99254
Ramp_S_001,107,61.177267,-149.98636,Gate_S_C8,60,61.176447,-149.984724
Txy_Y_U,38,61.1861,-150.009835,Txy_Y_W,37,61.17511,-150.003752
Txy_G1_007,144,61.178416,-149.996252,Txy_G1_008,145,61.178953,-149.996595
Txy_R_L,35,61.172922,-149.995995,Txy_K_R,15,61.171225,-149.995115
Ramp_S_007,102,61.171194,-149.98224,Gate_S_B5,73,61.172255,-149.983973
Txy_K_Y,6,61.171298,-150.001638,Rwy_02_008,7,61.169818,-150.00078
Txy_S_002,114,61.195293,-150.010382,Txy_R_S,44,61.19552,-150.008665
Ramp_Cargo_004,164,61.191617,-150.002925,Ramp_Cargo_005,165,61.192455,-150.003398
Txy_Y_T,39,61.190392,-150.012195,Txy_T_001,115,61.190516,-150.011015
Txy_K_C,76,61.171282,-149.96811,Ramp_Cargo_001,77,61.171272,-149.96708
Txy_R_002,43,61.197955,-150.010006,Txy_R_S,44,61.19552,-150.008665
Txy_A_K,24,61.171277,-149.948616,Txy_A_001,27,61.170698,-149.948348
Ramp_Cargo_003,79,61.171282,-149.964591,Parking_Cargo_003,149,61.172757,-149.96458
Txy_G_001,150,61.170573,-149.991832,Txy_G_K,16,61.171277,-149.990823
Ramp_Cargo_009,169,61.190201,-150.001198,Parking_Cargo_029,188,61.190532,-149.999385
Ramp_Cargo_012,172,61.188241,-150.000104,Parking_Cargo_025,184,61.187993,-150.002003
Rwy_03_001,25,61.199449,-150.014384,Rwy_03_002,26,61.197511,-150.013343
Txy_E_004,92,61.177443,-149.991875,Txy_E_005,93,61.17675,-149.991081
Ramp_Cargo_010,170,61.189622,-150.000876,Parking_Cargo_028,187,61.18994,-149.99902
Ramp_S_002,106,61.17616,-149.986961,Gate_S_C7,61,61.17622,-149.984697
Ramp_Cargo_010,170,61.189622,-150.000876,Parking_Cargo_023,182,61.189337,-150.002882
Ramp_N_003,155,61.177195,-149.987014,Ramp_N_004,156,61.17735,-149.986017
Ramp_Cargo_007,167,61.193809,-150.004138,Parking_Cargo_015,173,61.19367,-150.005618
Ramp_S_003,105,61.175167,-149.98621,Gate_S_C4,64,61.175056,-149.984359
Txy_C_002,49,61.168923,-149.969674,Txy_C_003,134,61.168763,-149.970632
Rwy_01_002,50,61.167894,-149.975427,Rwy_01_003,12,61.167873,-149.984386
Ramp_N_006,158,61.179253,-149.990298,Ramp_N_007,159,61.17944,-149.989107
Ramp_N_002,154,61.176972,-149.988227,Gate_N_006,56,61.177746,-149.988779
Rwy_03_003,29,61.195086,-150.011938,Rwy_03_004,30,61.190723,-150.009513
Ramp_S_007,102,61.171194,-149.98224,Gate_S_B3,74,61.172456,-149.983179
Txy_G_E,100,61.172539,-149.987884,Txy_K_E,17,61.171205,-149.986982
Txy_R_007,48,61.179318,-149.999589,Txy_R_M,34,61.176546,-149.998065
Ramp_S_003,105,61.175167,-149.98621,Ramp_S_002,106,61.17616,-149.986961
Ramp_S_007,102,61.171194,-149.98224,Txy_K_D,20,61.171184,-149.978099
Ramp_Cargo_011,171,61.188929,-150.00049,Parking_Cargo_027,186,61.189213,-149.99887
Rwy_01_003,12,61.167873,-149.984386,Rwy_01_004,11,61.167904,-149.986532
Txy_K_R,15,61.171225,-149.995115,Txy_K_003,14,61.171277,-149.998612
Ramp_Cargo_003,79,61.171282,-149.964591,Txy_B_K,133,61.171287,-149.959109
Txy_M_001,33,61.178043,-150.000458,Txy_R_M,34,61.176546,-149.998065
Txy_K_E,17,61.171205,-149.986982,Ramp_S_006,101,61.171194,-149.985008
